area_id,area_name,b18103001,b18103001_moe,b18103002,b18103002_moe,b18103003,b18103003_moe,b18103004,b18103004_moe,b18103005,b18103005_moe,b18103006,b18103006_moe,b18103007,b18103007_moe,b18103008,b18103008_moe,b18103009,b18103009_moe,b18103010,b18103010_moe,b18103011,b18103011_moe,b18103012,b18103012_moe,b18103013,b18103013_moe,b18103014,b18103014_moe,b18103015,b18103015_moe,b18103016,b18103016_moe,b18103017,b18103017_moe,b18103018,b18103018_moe,b18103019,b18103019_moe,b18103020,b18103020_moe,b18103021,b18103021_moe,b18103022,b18103022_moe,b18103023,b18103023_moe,b18103024,b18103024_moe,b18103025,b18103025_moe,b18103026,b18103026_moe,b18103027,b18103027_moe,b18103028,b18103028_moe,b18103029,b18103029_moe,b18103030,b18103030_moe,b18103031,b18103031_moe,b18103032,b18103032_moe,b18103033,b18103033_moe,b18103034,b18103034_moe,b18103035,b18103035_moe,b18103036,b18103036_moe,b18103037,b18103037_moe,b18103038,b18103038_moe,b18103039,b18103039_moe
BX28,Van Cortlandt Village,48726,1767,22108,1157,1626,332,30,62,1596,330,4207,462,46,70,4161,468,6192,655,18,51,6174,655,8323,612,269,127,8054,603,979,209,24,49,955,208,781,164,40,51,741,161,26618,1221,1705,352,0,43,1705,352,4390,533,28,51,4362,531,7091,638,49,55,7042,635,10418,595,238,105,10180,591,1696,281,86,70,1610,281,1318,243,125,68,1193,238
BX29,Spuyten Duyvil-Kingsbridge,28747,1038,13667,723,1281,296,0,38,1281,296,1680,318,0,38,1680,318,3391,398,56,89,3335,392,5335,400,162,90,5173,405,1059,193,79,59,980,184,921,172,65,54,856,168,15080,694,820,200,0,38,820,200,1768,307,13,43,1755,300,3016,384,7,38,3009,384,6440,395,91,85,6349,391,1277,201,43,61,1234,198,1759,236,174,74,1585,231
BX30,Kingsbridge Heights,29838,1385,13377,930,849,248,0,38,849,248,2498,373,13,40,2485,370,4359,607,15,42,4344,606,4884,531,140,77,4744,524,440,147,78,67,362,129,347,120,52,56,295,119,16461,916,966,241,0,38,966,241,2824,421,47,63,2777,418,4546,532,32,50,4514,531,6317,504,302,173,6015,473,993,208,116,77,877,196,815,183,91,89,724,180
BX31,Allerton-Pelham Gardens,31648,1374,15323,857,1023,236,15,46,1008,233,3136,387,0,42,3136,387,3254,458,97,91,3157,450,6118,463,218,120,5900,458,901,177,94,98,807,158,891,171,99,69,792,160,16325,871,733,177,0,42,733,177,2798,388,6,39,2792,389,3704,413,102,69,3602,398,6583,409,147,89,6436,401,1185,198,18,42,1167,197,1322,201,223,102,1099,179
BX33,Longwood,25360,1332,11634,917,1011,262,9,37,1002,261,3365,420,38,49,3327,419,3201,507,82,68,3119,502,3508,392,136,95,3372,385,291,111,56,58,235,100,258,101,0,36,258,101,13726,767,1310,290,0,36,1310,290,2677,372,62,63,2615,368,3792,407,30,57,3762,403,4454,378,199,85,4255,374,990,204,61,44,929,201,503,148,115,77,388,131
BX34,Melrose South-Mott Haven North,38850,1714,17044,1085,1872,370,0,42,1872,370,4743,564,29,51,4714,563,4710,707,0,42,4710,707,4702,438,155,88,4547,439,663,174,62,61,601,164,354,125,35,49,319,117,21806,1094,1641,307,11,45,1630,307,4357,541,117,80,4240,538,6698,600,97,79,6601,596,6861,419,362,144,6499,425,1101,216,201,109,900,203,1148,224,276,134,872,206
BX35,Morrisania-Melrose,37724,1478,17150,1001,1531,265,22,44,1509,263,4099,478,40,62,4059,458,5097,605,94,100,5003,601,5427,504,223,104,5204,497,730,188,53,42,677,190,266,99,70,72,196,76,20574,973,1514,287,10,41,1504,287,4197,470,37,46,4160,470,5209,500,121,89,5088,485,7689,487,217,102,7472,489,1022,212,125,76,897,197,943,218,115,70,828,205
BX36,University Heights-Morris Heights,53722,1843,25328,1226,2260,398,23,61,2237,397,5396,552,41,60,5355,549,7270,702,29,54,7241,701,8936,737,464,148,8472,728,1108,235,142,86,966,222,358,124,124,85,234,100,28394,1227,2001,325,13,53,1988,322,5551,594,65,64,5486,591,7957,638,43,60,7914,639,10936,580,590,158,10346,577,1177,204,120,78,1057,198,772,187,183,82,589,174
BX37,Van Nest-Morris Park-Westchester Square,29434,1253,14165,854,1188,243,31,52,1157,241,2662,375,20,50,2642,373,3808,499,107,78,3701,500,5275,446,124,70,5151,444,776,164,101,70,675,152,456,124,20,46,436,122,15269,779,1171,238,0,42,1171,238,2691,360,38,47,2653,357,3955,413,13,45,3942,412,5435,402,146,78,5289,403,1008,208,30,46,978,206,1009,193,139,82,870,183
BX39,Mott Haven-Port Morris,52086,1640,25312,1163,2482,389,0,50,2482,389,5897,551,55,68,5842,550,7333,672,111,94,7222,668,7960,684,458,158,7502,650,995,206,280,125,715,174,645,174,39,54,606,170,26774,1065,2163,348,33,68,2130,344,5181,489,190,104,4991,475,6811,540,74,72,6737,538,9561,537,595,239,8966,481,1746,241,199,93,1547,227,1312,229,420,144,892,187
