area_id,area_name,c27004001,c27004001_moe,c27004002,c27004002_moe,c27004003,c27004003_moe,c27004004,c27004004_moe,c27004005,c27004005_moe,c27004006,c27004006_moe,c27004007,c27004007_moe,c27004008,c27004008_moe,c27004009,c27004009_moe,c27004010,c27004010_moe,c27004011,c27004011_moe,c27004012,c27004012_moe,c27004013,c27004013_moe,c27004014,c27004014_moe,c27004015,c27004015_moe,c27004016,c27004016_moe,c27004017,c27004017_moe,c27004018,c27004018_moe,c27004019,c27004019_moe,c27004020,c27004020_moe,c27004021,c27004021_moe
QN03,Springfield Gardens South-Brookville,19835,1136,9162,727,2751,406,1695,304,1056,330,5678,549,3585,361,2093,437,733,145,396,112,337,113,10673,644,2294,327,1455,269,839,240,7283,492,4760,401,2523,398,1096,145,501,109,595,135
QN05,Rosedale,28201,1384,12209,799,3693,479,2143,368,1550,372,7622,509,5287,428,2335,395,894,184,469,141,425,138,15992,912,4003,483,2572,429,1431,322,10427,617,7238,536,3189,518,1562,230,485,136,1077,215
QN06,Jamaica Estates-Holliswood,24637,958,11036,598,2303,323,1236,265,1067,244,7232,445,4579,431,2653,408,1501,200,637,125,864,179,13601,694,2135,302,1270,242,865,214,8857,527,5307,404,3550,513,2609,344,961,211,1648,294
QN07,Hollis,21127,1009,9507,663,1889,331,931,250,958,230,6789,514,3468,361,3321,404,829,152,391,105,438,120,11620,656,2437,287,985,196,1452,262,7735,531,4451,406,3284,406,1448,206,475,114,973,184
QN08,St. Albans,50573,1582,22947,986,6147,527,2761,360,3386,427,14655,759,9020,625,5635,499,2145,263,997,171,1148,212,27626,1046,5405,526,2863,397,2542,372,17945,780,11456,615,6489,542,4276,341,1791,247,2485,278
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,28885,1229,14082,794,3306,475,2664,425,642,258,8546,533,5875,444,2671,421,2230,246,1238,182,992,187,14803,722,3076,395,2447,348,629,225,9027,500,6579,456,2448,372,2700,281,1152,171,1548,252
QN12,Hammels-Arverne-Edgemere,34216,1585,15847,1029,5693,747,1970,360,3723,671,8984,674,4550,479,4434,594,1170,198,422,126,748,169,18369,956,4771,599,1808,348,2963,519,11683,637,5692,492,5991,595,1915,251,625,141,1290,226
QN15,Far Rockaway-Bayswater,48539,2135,22302,1274,7222,796,3424,534,3798,667,12937,906,6160,614,6777,732,2143,294,475,125,1668,275,26237,1316,7203,849,3650,642,3553,659,15320,870,7837,712,7483,729,3714,371,668,185,3046,340
QN17,Forest Hills,84146,1917,38155,1148,6520,586,4547,497,1973,372,25634,915,17588,796,8046,640,6001,427,2143,271,3858,380,45991,1313,7734,740,5320,594,2414,491,29431,959,20938,873,8493,731,8826,508,2786,326,6040,474
QN18,Rego Park,27500,916,13096,678,2602,414,1447,269,1155,345,8643,536,5362,453,3281,393,1851,226,494,119,1357,210,14404,612,1902,310,1170,267,732,197,9870,511,6179,466,3691,388,2632,279,622,136,2010,266
