area_id,area_name,b14007h001,b14007h001_moe,b14007h002,b14007h002_moe,b14007h003,b14007h003_moe,b14007h004,b14007h004_moe,b14007h005,b14007h005_moe,b14007h006,b14007h006_moe,b14007h007,b14007h007_moe,b14007h008,b14007h008_moe,b14007h009,b14007h009_moe,b14007h010,b14007h010_moe,b14007h011,b14007h011_moe,b14007h012,b14007h012_moe,b14007h013,b14007h013_moe,b14007h014,b14007h014_moe,b14007h015,b14007h015_moe,b14007h016,b14007h016_moe,b14007h017,b14007h017_moe,b14007h018,b14007h018_moe,b14007h019,b14007h019_moe
BK33,Carroll Gardens-Columbia Street-Red Hook,22195,976,3879,442,519,145,250,107,156,77,300,126,181,103,128,62,176,100,205,112,166,83,92,60,51,52,93,70,191,107,110,78,425,154,836,200,18316,780
BK34,Sunset Park East,9622,882,2421,485,191,129,238,108,163,90,78,70,163,93,127,77,213,95,88,60,73,68,48,58,37,60,109,73,60,66,63,63,500,152,270,108,7201,583
BK35,Stuyvesant Heights,2949,560,600,220,22,61,38,66,28,58,0,51,28,58,74,83,34,62,0,51,37,62,16,55,0,51,35,73,0,51,21,58,169,92,98,83,2349,471
BK37,Park Slope-Gowanus,46132,1517,9071,731,898,185,546,185,329,113,422,126,356,119,328,123,319,107,245,108,363,138,257,116,273,104,276,108,486,157,268,108,1157,277,2548,385,37061,1221
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,14576,789,2558,379,230,121,230,101,109,70,120,67,57,52,238,112,152,95,64,58,77,70,53,65,19,44,77,58,11,43,41,53,238,96,842,207,12018,636
BK40,Windsor Terrace,14311,843,2869,416,261,96,157,75,71,67,148,75,128,71,127,69,170,92,73,53,65,62,128,83,71,43,107,71,104,73,31,37,595,177,633,192,11442,634
BK41,Kensington-Ocean Parkway,17847,1250,5542,743,302,115,375,125,380,130,336,107,243,93,146,84,280,103,268,108,278,93,195,89,238,110,306,124,289,110,253,103,1260,267,393,147,12305,786
BK42,Flatbush,21687,1383,5637,775,279,126,280,131,348,136,271,120,237,108,355,137,188,102,274,114,251,121,201,107,283,120,242,102,264,117,294,138,1334,269,536,169,16050,929
BK43,Midwood,37960,1473,11956,947,608,136,669,164,580,154,532,129,656,148,466,110,555,141,732,179,500,139,565,140,581,143,710,150,613,143,564,131,2613,365,1012,221,26004,937
BK44,Madison,26923,1173,6366,718,407,136,474,131,261,103,393,140,251,107,321,125,152,86,350,133,242,106,182,88,164,72,414,132,330,110,267,88,1726,325,432,130,20557,781
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,33838,1298,9398,785,746,195,565,149,561,155,441,130,609,163,467,149,339,123,541,172,409,135,387,133,372,124,499,172,280,104,396,134,2201,313,585,160,24440,850
BK46,Ocean Parkway South,15922,1005,5400,644,366,114,376,108,326,102,239,116,312,96,195,85,270,96,195,85,244,84,284,94,217,92,337,115,261,99,176,94,1283,231,319,112,10522,575
BK50,Canarsie,4707,570,494,169,29,83,34,75,18,75,36,78,0,70,45,82,28,71,17,72,31,79,46,80,0,70,0,70,23,74,8,68,160,96,19,72,4213,485
BK58,Flatlands,11949,852,3424,452,210,95,322,125,238,106,106,70,216,100,171,90,194,99,143,84,155,81,133,92,174,80,139,79,184,102,244,100,662,173,133,85,8525,598
BK60,Prospect Lefferts Gardens-Wingate,6633,968,2199,563,242,127,93,85,93,89,170,109,140,99,177,124,16,55,29,62,138,108,50,72,104,105,86,71,41,68,59,74,442,169,319,134,4434,564
BK61,Crown Heights North,10294,953,2724,523,206,102,151,126,124,99,119,95,75,86,51,80,64,78,139,139,43,73,34,69,60,77,62,78,20,68,67,79,817,252,692,194,7570,665
BK63,Crown Heights South,9897,1069,4602,716,462,159,366,139,334,115,198,100,194,109,226,115,294,111,129,76,206,105,232,107,223,96,151,83,116,71,179,102,941,282,351,134,5295,510
BK64,Prospect Heights,9827,809,1846,381,250,116,78,59,117,81,13,32,56,70,25,33,40,70,29,36,47,70,13,32,8,32,24,36,8,32,24,42,317,163,797,210,7981,634
BK68,Fort Greene,6879,581,1238,271,66,53,126,80,81,66,21,48,64,59,17,42,15,43,15,43,9,39,14,43,31,62,0,38,14,43,9,39,349,136,407,132,5641,475
BK69,Clinton Hill,12403,969,3863,495,177,69,147,61,100,59,28,45,148,72,59,51,71,52,61,50,41,45,55,56,60,55,39,49,45,48,56,51,1858,347,918,239,8540,756
BK72,Williamsburg,24527,1367,12532,1017,1606,225,1100,203,751,160,662,128,721,167,581,165,475,127,768,171,654,144,717,171,783,155,789,170,648,158,711,154,1455,271,111,66,11995,601
BK73,North Side-South Side,23239,1191,4677,618,395,126,309,105,289,104,159,79,176,99,360,120,139,77,160,81,201,95,207,108,257,111,179,87,151,73,222,99,893,212,580,164,18562,941
BK75,Bedford,16046,999,7713,646,985,193,807,171,604,126,577,154,597,154,520,152,487,146,300,96,307,100,416,126,290,103,275,101,305,145,195,107,618,215,430,152,8333,582
BK76,Greenpoint,23538,1035,3668,515,102,63,183,112,163,84,56,54,91,61,96,74,157,95,90,73,139,94,101,62,88,75,103,81,208,110,120,72,967,263,1004,236,19870,862
BK77,Bushwick North,5816,607,1235,291,34,66,0,54,0,54,21,57,7,54,0,54,19,56,28,60,0,54,7,54,17,58,11,51,25,58,0,54,749,249,317,105,4581,497
BK78,Bushwick South,6511,746,1140,253,22,57,0,56,4,55,5,56,0,56,0,56,0,56,22,60,0,56,0,56,1,55,24,68,0,56,37,67,466,149,559,187,5371,656
BK79,Ocean Hill,573,275,232,183,8,38,50,57,0,38,33,51,49,56,0,38,15,43,0,38,15,43,15,43,0,38,21,49,0,38,26,55,0,38,0,38,341,133
BK81,Brownsville,352,165,93,77,14,53,13,53,0,51,13,55,0,51,16,55,0,51,0,51,13,54,0,51,0,51,0,51,0,51,0,51,10,50,14,54,259,121
BK82,East New York,1495,335,148,111,0,65,41,75,0,65,25,69,14,67,0,65,0,65,0,65,11,67,0,65,0,65,0,65,32,79,0,65,25,70,0,65,1347,286
BK83,Cypress Hills-City Line,2532,508,614,228,88,73,12,50,19,57,69,74,25,52,36,62,42,61,8,50,10,51,55,71,19,57,63,67,0,49,25,56,143,85,0,49,1918,361
BK85,East New York (Pennsylvania Ave),388,253,47,70,0,36,0,36,0,36,4,35,0,36,4,35,25,49,0,36,0,36,0,36,0,36,0,36,4,35,0,36,10,41,0,36,341,204
BK88,Borough Park,74010,2582,31218,1812,2498,314,2501,298,1996,265,1988,273,1857,252,1858,281,1859,237,1545,228,1648,251,1493,231,1898,270,1695,241,1504,237,1737,274,4314,486,827,190,42792,1282
BK90,East Williamsburg,14659,789,1902,304,121,86,63,60,56,50,16,43,19,41,1,39,64,51,7,40,13,42,16,45,33,45,15,41,61,63,17,41,808,199,592,152,12757,720
BK91,East Flatbush-Farragut,1043,333,343,204,36,64,2,53,31,60,18,58,0,54,19,59,0,54,46,74,0,54,39,69,28,60,26,66,0,54,16,58,82,83,0,54,700,183
BK93,Starrett City,3736,546,387,206,16,34,0,24,0,24,0,24,15,33,0,24,0,24,0,24,0,24,13,27,0,24,24,30,7,24,81,84,210,173,21,38,3349,521
BK95,Erasmus,289,125,159,90,1,32,0,36,0,36,0,36,0,36,1,32,0,36,0,36,0,36,0,36,5,35,0,36,0,36,0,36,107,76,45,44,130,90
BK96,Rugby-Remsen Village,658,273,99,146,18,60,0,54,16,59,0,54,0,54,0,54,16,58,0,54,0,54,0,54,0,54,33,74,7,54,0,54,9,54,0,54,559,196
BK99,park-cemetery-etc-Brooklyn,240,225,51,89,0,40,0,40,25,56,0,40,0,40,0,40,0,40,0,40,26,56,0,40,0,40,0,40,0,40,0,40,0,40,0,40,189,151
BX01,Claremont-Bathgate,265,128,95,72,5,39,0,40,0,40,0,40,5,39,0,40,0,40,0,40,17,40,0,40,0,40,5,39,0,40,0,40,63,63,0,40,170,103
BX03,Eastchester-Edenwald-Baychester,957,362,225,163,0,40,41,66,4,39,13,40,0,40,10,42,0,40,39,64,0,40,1,38,0,40,1,38,0,40,1,38,105,119,10,41,732,244
BX05,Bedford Park-Fordham North,3870,753,733,271,43,65,41,68,33,71,63,83,24,52,36,74,63,83,48,69,55,82,0,50,32,71,0,50,38,60,17,55,201,124,39,61,3137,590
BX06,Belmont,4782,696,3085,541,73,75,35,43,28,54,46,60,25,40,45,58,23,40,68,67,0,34,22,41,35,47,19,42,14,33,34,61,2568,493,50,42,1697,349
BX07,Bronxdale,4950,643,681,210,10,39,26,56,42,60,0,38,24,52,31,52,27,58,10,40,16,49,75,68,0,38,51,60,91,71,76,55,202,90,0,38,4269,568
BX08,West Farms-Bronx River,609,229,99,106,0,40,5,39,0,40,14,45,0,40,13,44,5,39,0,40,14,44,0,40,14,45,0,40,0,40,0,40,10,42,24,44,510,190
BX09,Soundview-Castle Hill-Clason Point-Harding Park,670,189,95,70,29,57,0,50,18,52,0,50,0,50,0,50,0,50,0,50,0,50,0,50,18,54,14,51,10,50,0,50,4,48,2,47,575,156
BX10,Pelham Bay-Country Club-City Island,15876,1088,2724,501,124,95,150,102,97,73,104,113,95,80,61,58,192,116,71,59,122,85,153,83,150,102,151,102,108,64,112,76,697,207,337,160,13152,870
BX13,Co-op City,3839,535,184,107,0,33,0,33,15,35,0,33,0,33,0,33,0,33,0,33,0,33,14,34,0,33,0,33,0,33,8,28,81,78,66,67,3655,514
BX14,East Concourse-Concourse Village,1131,438,248,151,0,51,21,63,0,51,18,57,0,51,0,51,39,72,0,51,19,58,34,68,20,62,0,51,0,51,0,51,97,106,0,51,883,325
BX17,East Tremont,867,402,257,187,30,65,28,63,0,45,21,54,11,47,40,77,8,45,22,50,29,63,10,48,0,45,0,45,24,51,14,52,17,52,3,44,610,248
BX22,North Riverdale-Fieldston-Riverdale,17140,971,4379,564,364,160,87,70,147,83,85,67,125,80,105,67,133,86,157,103,109,66,167,116,116,70,115,71,181,115,115,73,2132,357,241,107,12761,671
BX26,Highbridge,237,112,20,43,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,20,43,0,42,0,42,0,42,217,104
BX27,Hunts Point,302,107,71,61,0,38,5,37,0,38,9,38,0,38,16,45,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,23,38,18,45,231,81
BX28,Van Cortlandt Village,5339,598,625,204,101,86,0,43,43,67,31,65,20,50,52,63,39,56,19,46,75,66,15,48,37,60,13,44,16,49,17,46,101,67,46,51,4714,534
BX29,Spuyten Duyvil-Kingsbridge,13875,753,2556,409,264,108,157,90,119,78,103,82,98,73,24,49,57,64,83,63,30,45,207,111,14,40,61,56,50,53,174,90,775,245,340,115,11319,602
BX30,Kingsbridge Heights,850,268,64,101,0,38,0,38,14,41,0,38,0,38,0,38,0,38,0,38,9,44,1,36,0,38,3,37,5,34,5,41,17,41,10,39,786,225
BX31,Allerton-Pelham Gardens,9064,857,2157,429,131,89,82,75,80,77,101,94,55,66,30,54,137,81,104,71,128,80,131,92,90,71,98,87,125,85,162,91,544,167,159,76,6907,556
BX33,Longwood,386,227,125,139,0,36,0,36,0,36,0,36,0,36,0,36,82,104,0,36,0,36,0,36,25,50,8,34,0,36,0,36,3,35,7,34,261,109
BX34,Melrose South-Mott Haven North,826,392,223,195,36,59,37,59,0,42,36,59,0,42,36,59,24,50,0,42,0,42,0,42,18,48,0,42,16,45,0,42,20,45,0,42,603,260
BX35,Morrisania-Melrose,391,131,106,71,9,41,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,9,36,0,40,9,39,69,58,10,42,285,113
BX36,University Heights-Morris Heights,877,320,230,148,34,66,16,56,1,52,10,51,1,51,0,51,16,56,1,52,15,55,10,53,1,50,1,50,0,51,76,72,48,74,0,51,647,234
BX37,Van Nest-Morris Park-Westchester Square,7532,768,1163,310,22,49,62,62,7,41,36,51,58,59,54,57,65,57,72,77,69,77,35,49,24,50,46,62,59,57,29,48,407,151,118,78,6369,609
BX39,Mott Haven-Port Morris,854,269,175,112,0,50,0,50,8,49,0,50,0,50,12,50,8,49,0,50,0,50,15,53,23,61,2,47,20,56,5,49,58,69,24,53,679,224
BX40,Fordham South,403,156,50,51,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,50,51,0,32,353,144
BX41,Mount Hope,672,225,191,92,0,51,17,52,0,51,27,57,0,51,0,51,0,51,0,51,0,51,0,51,26,66,3,50,26,53,10,51,58,56,24,54,481,178
BX43,Norwood,4844,736,696,255,0,41,33,49,52,57,29,48,65,65,29,53,18,47,34,57,0,41,84,103,42,51,0,41,49,53,19,46,138,86,104,85,4148,601
BX44,Williamsbridge-Olinville,1455,363,103,102,0,54,27,67,0,54,27,67,0,54,0,54,19,59,0,54,0,54,0,54,16,54,0,54,1,52,0,54,13,52,0,54,1352,334
BX46,Parkchester,1067,272,137,116,36,61,0,36,0,36,0,36,0,36,0,36,0,36,0,36,17,43,0,36,0,36,0,36,0,36,13,40,61,65,10,36,930,236
BX49,Pelham Parkway,10873,913,2341,427,108,99,69,63,14,39,170,100,37,50,60,72,0,38,113,86,235,127,134,96,102,81,77,71,117,91,128,72,676,196,301,100,8532,695
BX52,Schuylerville-Throgs Neck-Edgewater Park,21377,1322,4216,529,226,106,196,109,160,89,214,143,117,100,100,100,151,96,78,84,102,80,277,142,184,118,139,87,220,117,138,89,1504,322,410,159,17161,1068
BX55,Soundview-Bruckner,557,170,75,60,0,40,0,40,0,40,0,40,0,40,0,40,11,40,5,38,34,53,0,40,6,36,0,40,0,40,1,38,9,38,9,41,482,147
BX59,Westchester-Unionport,1486,312,88,72,4,34,0,36,40,66,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,24,42,20,40,1398,289
BX62,Woodlawn-Wakefield,7148,607,1308,303,127,90,31,53,35,56,93,79,39,67,34,56,77,66,58,56,40,55,59,57,18,50,100,84,126,96,50,58,303,135,118,76,5840,468
BX63,West Concourse,806,386,185,170,0,42,36,68,0,42,43,75,15,47,0,42,0,42,0,42,28,58,0,42,0,42,0,42,0,42,6,40,44,59,13,38,621,274
BX75,Crotona Park East,247,143,43,49,0,29,0,29,0,29,8,31,3,27,0,29,0,29,0,29,0,29,0,29,27,47,3,27,1,27,0,29,1,27,0,29,204,134
BX98,Rikers Island,651,138,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,651,138
BX99,park-cemetery-etc-Bronx,110,57,2,30,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,2,30,0,32,108,56
MN01,Marble Hill-Inwood,6788,643,914,207,74,70,6,40,47,53,22,43,13,42,0,41,32,45,47,49,11,42,25,46,39,51,5,40,18,42,41,48,77,61,457,153,5874,587
MN03,Central Harlem North-Polo Grounds,5845,673,1081,284,66,79,15,60,66,111,22,61,33,62,0,59,0,59,20,60,9,60,36,81,74,83,23,63,64,84,44,79,342,150,267,115,4764,541
MN04,Hamilton Heights,6301,811,1652,457,55,62,43,60,49,65,27,56,0,46,58,72,41,63,34,57,66,113,0,46,0,46,0,46,34,52,0,46,485,232,760,291,4649,599
MN06,Manhattanville,2086,524,497,182,27,43,0,34,16,30,0,34,0,34,0,34,0,34,14,37,14,37,8,34,0,34,0,34,0,34,8,34,246,125,164,94,1589,446
MN09,Morningside Heights,25595,1550,11935,1243,230,125,125,82,123,67,96,80,133,75,163,122,78,64,177,89,147,103,150,98,95,97,149,86,125,91,98,72,6169,984,3877,557,13660,898
MN11,Central Harlem South,7999,725,1740,332,118,78,81,64,81,65,78,62,23,47,11,45,52,64,24,51,0,45,37,63,22,54,28,54,23,48,11,42,344,154,807,231,6259,611
MN12,Upper West Side,88820,2485,16580,1358,1668,354,1081,338,707,191,616,193,707,236,974,289,462,161,474,167,614,190,490,206,501,169,673,210,409,168,430,155,2516,480,4258,653,72240,1858
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,43616,1529,5825,736,466,187,224,113,236,130,159,99,161,87,167,104,83,73,126,73,156,108,98,76,104,80,107,75,127,87,53,62,1914,533,1644,359,37791,1342
MN14,Lincoln Square,41422,1695,5460,659,711,225,104,74,265,146,211,118,273,162,221,127,278,137,237,141,126,104,93,75,130,102,142,74,55,56,58,64,1362,328,1194,293,35962,1491
MN15,Clinton,24450,1191,2980,562,82,85,51,55,97,75,11,44,55,66,56,64,40,51,19,42,32,67,0,43,68,81,10,43,38,67,92,111,975,307,1354,378,21470,1121
MN17,Midtown-Midtown South,18719,1021,3322,512,166,89,32,56,137,101,37,55,15,51,35,62,48,67,32,73,7,51,88,95,77,79,18,52,17,50,10,46,1873,400,730,220,15397,858
MN19,Turtle Bay-East Midtown,35625,1596,3243,608,372,180,188,107,51,67,116,100,60,77,214,119,50,62,50,64,152,132,79,87,81,90,90,85,68,82,16,51,847,358,809,237,32382,1404
MN20,Murray Hill-Kips Bay,33704,1636,5354,757,513,231,120,101,57,54,166,107,133,91,212,128,111,93,91,84,16,46,0,42,47,67,14,44,17,48,108,104,1772,435,1977,385,28350,1457
MN21,Gramercy,19816,1160,2872,585,153,88,83,58,42,39,168,153,26,43,45,51,10,35,15,39,36,43,96,77,29,44,0,34,44,46,18,42,1440,535,667,192,16944,1005
MN22,East Village,28300,1442,5844,917,121,88,37,56,73,71,15,44,52,58,11,40,116,87,64,63,93,79,37,47,29,58,28,47,110,103,100,82,3548,832,1410,331,22456,1150
MN23,West Village,53029,1806,9408,1086,584,187,180,88,309,153,401,149,131,80,358,168,83,72,236,121,115,83,170,85,174,114,124,92,167,107,231,117,3692,816,2453,487,43621,1402
MN24,SoHo-TriBeCa-Civic Center-Little Italy,25498,1236,4603,731,425,162,138,88,197,102,115,79,130,67,157,92,161,88,95,68,127,91,114,69,90,64,140,98,156,102,60,66,1950,538,548,154,20895,988
MN25,Battery Park City-Lower Manhattan,23643,1323,4419,638,579,197,250,131,153,105,16,41,146,106,138,131,104,68,40,61,80,66,43,58,80,56,157,111,79,77,120,100,1160,347,1274,318,19224,1100
MN27,Chinatown,7301,673,857,226,29,45,6,42,4,44,10,44,18,46,0,44,13,46,36,67,12,45,5,44,18,56,0,44,0,44,15,47,374,147,317,141,6444,641
MN28,Lower East Side,17389,1186,2846,653,266,143,97,84,114,89,94,94,56,66,35,57,112,84,53,72,64,69,110,96,42,73,175,108,134,108,171,99,729,231,594,208,14543,880
MN31,Lenox Hill-Roosevelt Island,59100,2209,8304,973,699,208,514,210,449,225,372,135,353,174,390,217,196,121,134,97,341,158,136,83,123,92,201,117,212,124,132,81,1493,484,2559,484,50796,1833
MN32,Yorkville,57798,1987,8466,820,977,246,372,139,473,171,301,118,312,132,357,148,434,236,301,123,284,138,326,165,309,161,165,89,281,132,167,87,1438,397,1969,413,49332,1668
MN33,East Harlem South,10757,1016,2528,525,82,88,54,57,35,56,114,91,82,68,52,60,48,56,66,68,64,77,38,54,30,53,32,56,45,62,19,60,905,313,862,308,8229,868
MN34,East Harlem North,4887,758,714,254,0,50,35,61,44,66,24,60,15,53,0,50,8,51,17,51,86,85,20,54,46,77,7,49,3,49,0,50,106,71,303,157,4173,644
MN35,Washington Heights North,17796,1075,3857,543,252,128,103,84,30,56,101,93,62,77,120,106,91,81,86,88,75,85,129,86,104,68,67,65,69,66,61,59,1540,321,967,252,13939,785
MN36,Washington Heights South,9550,973,2543,482,32,63,80,92,26,60,0,56,59,75,24,57,16,58,2,53,0,56,30,60,22,53,39,78,89,97,28,60,752,223,1344,391,7007,810
MN40,Upper East Side-Carnegie Hill,49467,1637,9552,825,1021,223,571,195,393,124,418,147,440,125,556,162,563,163,396,134,777,234,509,174,393,121,544,167,600,205,285,97,984,252,1102,304,39915,1256
MN50,Stuyvesant Town-Cooper Village,15127,1040,2133,707,199,120,112,74,12,22,12,24,122,94,90,68,63,90,64,55,0,22,51,45,26,32,57,47,0,22,26,30,459,248,840,590,12994,886
MN99,park-cemetery-etc-Manhattan,245,100,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,245,100
QN01,South Jamaica,238,99,69,72,30,65,0,46,0,46,0,46,0,46,0,46,0,46,5,46,0,46,5,45,0,46,0,46,0,46,0,46,29,53,0,46,169,78
QN02,Springfield Gardens North,371,210,19,30,13,34,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,6,27,0,31,352,206
QN03,Springfield Gardens South-Brookville,374,182,127,92,0,29,0,29,8,31,0,29,7,26,0,29,14,35,10,31,18,38,0,29,1,27,11,32,15,37,13,34,30,40,0,29,247,119
QN05,Rosedale,1150,262,157,85,0,35,29,55,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,10,36,4,34,16,30,11,35,56,53,31,48,993,237
QN06,Jamaica Estates-Holliswood,5905,556,1299,304,53,48,37,44,46,62,41,47,96,67,28,45,49,57,15,38,65,63,53,52,55,51,86,64,29,46,50,47,398,203,198,93,4606,410
QN07,Hollis,721,252,72,68,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,2,34,7,33,0,36,24,51,0,36,39,60,0,36,649,207
QN08,St. Albans,674,229,112,94,9,60,4,58,41,67,5,58,0,59,1,58,21,67,0,59,0,59,0,59,0,59,13,59,0,59,0,59,3,58,15,62,562,181
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,22380,1132,5148,610,390,143,277,100,347,178,241,93,361,134,178,98,430,142,259,122,196,97,234,97,156,77,259,109,355,112,240,108,926,233,299,117,17232,790
QN12,Hammels-Arverne-Edgemere,4715,602,752,265,11,41,54,56,88,83,0,38,46,57,10,37,0,38,68,75,24,39,17,37,0,38,2,37,91,77,31,52,241,124,69,56,3963,464
QN15,Far Rockaway-Bayswater,12301,1051,3934,606,523,166,450,146,175,86,225,81,215,96,303,164,147,81,162,83,165,76,150,90,178,94,226,103,135,74,246,114,421,147,213,102,8367,665
QN17,Forest Hills,48149,1666,9258,830,866,247,499,212,396,157,373,160,537,195,329,130,409,134,291,125,253,103,323,138,498,156,273,134,378,129,446,143,2201,370,1186,254,38891,1241
QN18,Rego Park,11963,811,2085,331,163,99,55,44,64,64,56,66,59,55,166,100,57,54,91,70,37,51,33,45,39,49,91,64,181,101,62,68,611,147,320,152,9878,674
QN19,Glendale,18541,1095,3477,455,159,74,161,96,110,74,139,87,224,97,62,60,221,115,242,102,80,56,235,104,117,75,168,82,168,74,192,76,1074,208,125,61,15064,819
QN20,Ridgewood,26073,1317,4915,580,193,98,300,121,163,100,272,117,191,113,264,118,251,107,291,127,118,84,281,125,363,133,165,92,181,94,261,105,1355,263,266,99,21158,1016
QN21,Middle Village,28648,1123,5761,558,342,126,341,130,221,94,390,140,260,119,157,85,376,136,358,115,273,110,288,110,289,121,175,74,418,127,291,95,1149,217,433,131,22887,813
QN22,Flushing,6600,603,431,159,0,54,0,54,0,54,0,54,0,54,0,54,36,64,12,55,0,54,33,58,32,59,21,61,23,58,65,63,165,98,44,59,6169,575
QN23,College Point,7663,790,1377,305,79,63,83,66,10,33,47,52,67,50,81,71,93,64,41,38,58,49,68,59,54,56,82,58,55,51,93,54,401,167,65,48,6286,636
QN25,Corona,5005,743,715,251,49,65,13,47,35,54,47,64,20,52,33,58,28,59,36,59,15,46,10,46,6,44,54,65,93,76,39,60,189,105,48,84,4290,622
QN26,North Corona,664,195,71,62,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,10,46,0,45,0,45,35,58,26,48,593,177
QN27,East Elmhurst,734,277,83,65,0,34,0,34,0,34,13,31,0,34,12,37,4,33,12,37,19,38,0,34,0,34,0,34,0,34,10,33,13,38,0,34,651,260
QN28,Jackson Heights,17031,1187,2774,525,240,120,174,117,102,82,80,92,79,98,150,115,109,99,69,79,59,76,103,123,148,111,52,78,83,90,155,100,651,194,520,204,14257,928
QN29,Elmhurst,5453,661,908,293,74,86,51,85,22,61,49,73,49,71,19,67,33,66,36,71,9,61,8,60,0,60,10,61,25,60,123,124,268,119,132,125,4545,531
QN30,Maspeth,16541,863,3252,384,291,106,99,68,147,76,181,84,166,85,89,59,189,78,78,61,215,89,98,57,108,70,156,65,111,65,216,84,877,170,231,82,13289,667
QN31,Hunters Point-Sunnyside-West Maspeth,20962,1066,2607,393,309,117,182,105,86,90,75,69,104,92,18,57,25,60,64,77,13,59,9,55,26,61,149,87,55,62,103,81,774,229,615,176,18355,951
QN33,Cambria Heights,318,132,16,42,0,43,0,43,0,43,0,43,0,43,0,43,9,44,0,43,0,43,0,43,0,43,0,43,0,43,0,43,7,41,0,43,302,128
