area_id,area_name,b08302001,b08302001_moe,b08302002,b08302002_moe,b08302003,b08302003_moe,b08302004,b08302004_moe,b08302005,b08302005_moe,b08302006,b08302006_moe,b08302007,b08302007_moe,b08302008,b08302008_moe,b08302009,b08302009_moe,b08302010,b08302010_moe,b08302011,b08302011_moe,b08302012,b08302012_moe,b08302013,b08302013_moe,b08302014,b08302014_moe,b08302015,b08302015_moe
MN99,park-cemetery-etc-Manhattan,114,73,4,31,0,32,6,32,12,34,4,31,12,33,19,40,29,45,5,31,3,30,0,32,0,32,13,34,7,33
QN01,South Jamaica,14293,862,797,182,585,163,449,139,1631,308,1600,306,1979,286,883,187,1577,277,438,146,949,237,323,114,234,116,1592,289,1256,248
QN02,Springfield Gardens North,11281,873,576,239,353,148,458,153,1007,251,917,255,1897,408,764,246,1190,339,613,269,614,246,446,209,214,165,1267,346,965,274
QN03,Springfield Gardens South-Brookville,8522,552,443,140,322,112,380,150,820,219,830,205,1212,215,713,192,1074,223,472,152,361,142,251,107,122,85,721,166,801,217
QN05,Rosedale,13318,783,664,177,497,150,572,182,1442,269,1456,357,1963,358,1586,321,1527,290,472,159,738,212,216,134,271,140,1258,303,656,173
QN06,Jamaica Estates-Holliswood,11789,587,246,160,192,114,355,141,782,193,1143,250,1650,288,1548,305,2121,345,867,216,598,156,310,114,446,181,721,171,810,239
QN07,Hollis,9874,600,395,143,344,121,457,145,864,193,1064,241,1225,291,1332,262,1017,208,392,128,675,167,315,142,88,67,850,215,856,217
QN08,St. Albans,23796,977,966,203,1103,225,1315,231,2588,361,2177,301,3480,440,2256,330,2276,333,1069,231,1135,222,430,150,297,116,2558,362,2146,310
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,11819,687,515,161,270,114,463,154,770,169,1182,215,2761,398,1682,277,1423,279,566,203,751,189,276,115,133,80,687,191,340,125
QN12,Hammels-Arverne-Edgemere,11840,742,604,171,474,159,328,114,1340,286,1317,257,1716,303,1314,256,1133,237,366,125,828,246,425,183,153,83,1299,293,543,156
