area_id,area_name,b05003h001,b05003h001_moe,b05003h002,b05003h002_moe,b05003h003,b05003h003_moe,b05003h004,b05003h004_moe,b05003h005,b05003h005_moe,b05003h006,b05003h006_moe,b05003h007,b05003h007_moe,b05003h008,b05003h008_moe,b05003h009,b05003h009_moe,b05003h010,b05003h010_moe,b05003h011,b05003h011_moe,b05003h012,b05003h012_moe,b05003h013,b05003h013_moe,b05003h014,b05003h014_moe,b05003h015,b05003h015_moe,b05003h016,b05003h016_moe,b05003h017,b05003h017_moe,b05003h018,b05003h018_moe,b05003h019,b05003h019_moe,b05003h020,b05003h020_moe,b05003h021,b05003h021_moe,b05003h022,b05003h022_moe,b05003h023,b05003h023_moe
BK30,Dyker Heights,23678,1063,11616,669,1907,281,1703,266,204,111,52,66,152,100,9709,574,6619,496,3090,347,1958,249,1132,254,12062,597,1927,280,1758,276,169,102,21,59,148,99,10135,483,7361,466,2774,304,1806,237,968,218
BK31,Bay Ridge,55886,1875,26642,1079,5075,555,4663,531,412,166,176,130,236,117,21567,803,14518,691,7049,590,4606,444,2443,408,29244,1150,4892,628,4448,575,444,214,113,92,331,205,24352,818,16867,756,7485,551,5242,460,2243,319
BK32,Sunset Park West,9709,799,5035,499,588,180,573,180,15,49,15,49,0,49,4447,441,3497,411,950,206,444,133,506,160,4674,485,621,199,558,187,63,62,63,62,0,49,4053,397,2959,347,1094,248,613,184,481,164
BK33,Carroll Gardens-Columbia Street-Red Hook,23142,1044,11468,680,2180,365,2119,359,61,66,28,62,33,49,9288,532,8094,503,1194,234,585,160,609,181,11674,687,1519,236,1490,233,29,49,6,44,23,49,10155,589,8903,564,1252,248,695,185,557,163
BK34,Sunset Park East,10086,958,5099,550,1107,287,1099,287,8,58,0,59,8,58,3992,416,2592,339,1400,248,730,162,670,181,4987,542,1074,302,1034,298,40,76,0,59,40,76,3913,376,2343,286,1570,250,913,189,657,195
BK35,Stuyvesant Heights,2990,571,1460,323,140,97,109,84,31,70,0,51,31,70,1320,285,1187,274,133,86,79,78,54,62,1530,338,235,151,235,151,0,51,0,51,0,51,1295,272,1070,258,225,99,31,55,194,96
BK37,Park Slope-Gowanus,48292,1647,23186,989,3896,457,3794,455,102,88,31,67,71,77,19290,802,17056,784,2234,308,962,204,1272,238,25106,1084,3920,472,3836,468,84,81,0,58,84,81,21186,877,18802,856,2384,331,1229,239,1155,238
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,15280,826,7699,536,1115,230,1081,227,34,53,0,42,34,53,6584,457,5623,444,961,180,342,114,619,159,7581,479,1088,212,1082,212,6,41,0,42,6,41,6493,388,5624,377,869,181,385,109,484,159
BK40,Windsor Terrace,14897,880,7093,511,1091,258,1072,258,19,40,0,32,19,40,6002,393,4837,405,1165,232,497,162,668,184,7804,547,1298,261,1266,254,32,43,12,32,20,41,6506,427,5381,400,1125,245,718,215,407,120
BK41,Kensington-Ocean Parkway,18548,1308,8959,782,2368,443,2046,415,322,161,148,113,174,121,6591,527,3446,359,3145,419,1733,302,1412,314,9589,709,2372,405,2049,374,323,162,79,70,244,154,7217,485,3907,429,3310,371,2373,317,937,232
BK42,Flatbush,22750,1464,11078,825,2230,381,2052,376,178,104,55,76,123,98,8848,680,5322,542,3526,455,1776,291,1750,363,11672,882,2744,530,2310,517,434,154,25,68,409,154,8928,569,5647,492,3281,343,1930,249,1351,264
BK43,Midwood,39924,1561,19574,933,5702,591,5335,577,367,135,169,101,198,104,13872,622,8017,511,5855,483,3967,384,1888,345,20350,904,4835,561,4477,546,358,130,183,104,175,91,15515,595,8296,512,7219,487,5262,412,1957,346
BK44,Madison,28071,1253,13297,762,2638,423,2333,407,305,141,141,88,164,118,10659,541,5197,456,5462,445,4089,395,1373,277,14774,729,2845,393,2472,364,373,152,133,81,240,133,11929,540,5712,448,6217,456,4578,390,1639,314
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,35341,1359,17045,843,4582,525,4545,525,37,56,0,55,37,56,12463,557,8990,527,3473,372,3152,362,321,116,18296,765,3823,434,3775,433,48,68,39,67,9,56,14473,582,10847,557,3626,426,3173,395,453,159
BK46,Ocean Parkway South,16735,1070,8089,589,2234,366,2149,362,85,62,19,45,66,56,5855,388,3871,331,1984,249,1575,209,409,151,8646,633,2688,447,2588,443,100,103,9,37,91,101,5958,349,3798,341,2160,229,1581,204,579,153
BK50,Canarsie,4753,583,2156,321,140,91,122,87,18,75,0,70,18,75,2016,297,1604,264,412,143,313,128,99,87,2597,348,227,135,204,133,23,74,6,70,17,74,2370,289,1834,255,536,151,423,131,113,97
BK58,Flatlands,12363,880,6196,530,1609,273,1575,271,34,83,34,83,0,62,4587,395,3718,370,869,186,660,162,209,109,6167,483,1523,243,1523,243,0,62,0,62,0,62,4644,363,3666,333,978,198,728,160,250,127
BK60,Prospect Lefferts Gardens-Wingate,7121,1039,3794,577,1036,302,1001,286,35,80,0,58,35,80,2758,405,2262,374,496,135,329,116,167,93,3327,577,950,330,906,325,44,77,10,57,34,78,2377,355,1768,301,609,178,291,141,318,133
BK61,Crown Heights North,10818,1010,5387,598,874,255,753,226,121,136,0,67,121,136,4513,489,3598,459,915,202,441,146,474,159,5431,581,921,291,837,274,84,100,0,67,84,100,4510,459,3654,420,856,199,522,151,334,145
BK63,Crown Heights South,10740,1157,5737,686,2256,474,2142,452,114,118,22,50,92,114,3481,425,2575,385,906,206,626,162,280,129,5003,610,1998,379,1924,368,74,102,0,40,74,102,3005,342,2128,283,877,184,594,155,283,116
BK64,Prospect Heights,10219,830,5031,538,826,271,819,271,7,31,0,32,7,31,4205,411,3757,407,448,163,196,117,252,116,5188,544,356,91,343,89,13,36,0,32,13,36,4832,524,4237,468,595,188,328,154,267,102
BK68,Fort Greene,7182,624,3294,385,419,143,404,134,15,43,15,43,0,38,2875,328,2363,294,512,176,142,78,370,158,3888,406,411,205,411,205,0,38,0,38,0,38,3477,333,2961,342,516,146,222,110,294,97
BK69,Clinton Hill,12971,1011,6452,666,934,263,907,257,27,56,27,56,0,40,5518,587,4739,557,779,198,254,103,525,169,6519,574,734,175,734,175,0,40,0,40,0,40,5785,518,5252,488,533,150,188,98,345,116
BK72,Williamsburg,28047,1566,14284,945,7507,728,7499,728,8,37,8,37,0,36,6777,394,5486,393,1291,209,1026,194,265,95,13763,827,6990,627,6990,627,0,36,0,36,0,36,6773,384,5372,369,1401,228,1144,196,257,105
BK73,North Side-South Side,24367,1275,12473,776,2096,383,2052,378,44,69,14,50,30,67,10377,653,8313,639,2064,318,691,174,1373,260,11894,857,2437,500,2429,500,8,49,0,48,8,49,9457,656,7792,633,1665,267,715,171,950,205
BK75,Bedford,18280,1119,9474,671,4765,491,4758,491,7,62,0,56,7,62,4709,391,4080,360,629,169,394,147,235,94,8806,643,4205,400,4198,398,7,61,0,56,7,61,4601,413,4134,381,467,133,221,101,246,99
BK76,Greenpoint,24067,1084,11888,672,1119,252,1048,247,71,58,24,49,47,52,10769,607,6734,544,4035,466,1764,296,2271,381,12179,714,1175,261,1056,240,119,78,49,55,70,68,11004,612,6874,527,4130,390,1827,264,2303,320
BK77,Bushwick North,5964,655,3210,418,111,104,94,83,17,58,17,58,0,54,3099,400,2584,371,515,174,181,91,334,156,2754,409,208,146,170,112,38,74,16,57,22,59,2546,345,2123,305,423,162,188,113,235,116
BK78,Bushwick South,6580,754,3587,541,138,90,121,88,17,60,0,56,17,60,3449,527,3028,493,421,171,84,82,337,154,2993,433,45,61,45,61,0,56,0,56,0,56,2948,427,2595,395,353,132,143,88,210,107
BK79,Ocean Hill,588,291,359,186,125,113,125,113,0,38,0,38,0,38,234,112,194,107,40,47,40,47,0,38,229,122,98,96,98,96,0,38,0,38,0,38,131,67,95,57,36,49,8,39,28,48
BK81,Brownsville,384,177,244,128,75,73,75,73,0,51,0,51,0,51,169,98,88,63,81,88,4,50,77,88,140,82,26,56,26,56,0,51,0,51,0,51,114,71,104,71,10,51,10,51,0,51
BK82,East New York,1536,354,722,195,94,103,94,103,0,65,0,65,0,65,628,169,524,152,104,81,45,68,59,77,814,234,66,77,63,78,3,64,3,64,0,65,748,220,500,180,248,119,211,115,37,68
BK83,Cypress Hills-City Line,2697,557,1290,304,349,149,300,142,49,66,21,58,28,58,941,221,739,181,202,125,132,103,70,86,1407,315,301,149,301,149,0,49,0,49,0,49,1106,228,743,170,363,129,239,105,124,88
BK85,East New York (Pennsylvania Ave),438,288,225,165,61,83,36,53,25,49,25,49,0,36,164,115,58,67,106,86,79,76,27,49,213,139,50,59,26,50,24,48,24,48,0,36,163,107,38,45,125,97,92,75,33,47
BK88,Borough Park,81194,2840,41438,1660,18482,1171,18188,1172,294,138,138,122,156,98,22956,833,15349,757,7607,552,5258,448,2349,355,39756,1481,15683,1046,15359,1038,324,166,127,113,197,128,24073,803,15910,746,8163,571,5543,426,2620,410
BK90,East Williamsburg,14984,811,7345,574,419,140,399,137,20,42,6,39,14,43,6926,551,5778,530,1148,258,554,195,594,181,7639,530,465,144,465,144,0,40,0,40,0,40,7174,495,5884,491,1290,229,657,160,633,176
BK91,East Flatbush-Farragut,1077,345,472,150,116,94,116,94,0,54,0,54,0,54,356,120,290,102,66,78,19,53,47,78,605,237,214,148,214,148,0,54,0,54,0,54,391,138,343,134,48,63,48,63,0,54
BK93,Starrett City,3753,552,1419,288,41,43,41,43,0,24,0,24,0,24,1378,278,512,221,866,244,777,224,89,78,2334,369,83,70,83,70,0,24,0,24,0,24,2251,364,690,263,1561,323,1377,281,184,157
BK95,Erasmus,303,140,190,100,7,31,7,31,0,36,0,36,0,36,183,99,145,85,38,60,3,34,35,60,113,63,14,39,14,39,0,36,0,36,0,36,99,50,62,44,37,42,3,34,34,40
BK96,Rugby-Remsen Village,675,293,341,180,57,97,50,97,7,54,7,54,0,54,284,144,186,101,98,111,22,59,76,108,334,156,50,96,50,96,0,54,0,54,0,54,284,117,220,106,64,61,38,59,26,56
BK99,park-cemetery-etc-Brooklyn,240,225,100,103,28,60,28,60,0,40,0,40,0,40,72,67,72,67,0,40,0,40,0,40,140,136,51,89,51,89,0,40,0,40,0,40,89,71,72,68,17,46,17,46,0,40
BX01,Claremont-Bathgate,270,130,158,94,10,41,10,41,0,40,0,40,0,40,148,94,148,94,0,40,0,40,0,40,112,68,27,47,27,47,0,40,0,40,0,40,85,52,59,45,26,46,26,46,0,40
BX03,Eastchester-Edenwald-Baychester,957,362,321,128,48,66,48,66,0,40,0,40,0,40,273,111,203,86,70,80,65,80,5,39,636,266,62,72,62,72,0,40,0,40,0,40,574,247,355,132,219,186,203,186,16,42
BX05,Bedford Park-Fordham North,3981,797,1835,460,413,181,379,172,34,72,34,72,0,50,1422,357,815,240,607,258,333,147,274,190,2146,437,303,190,303,190,0,50,0,50,0,50,1843,345,1169,278,674,244,390,154,284,181
BX06,Belmont,4876,721,2036,333,271,146,232,135,39,55,15,38,24,50,1765,277,1342,239,423,150,328,134,95,74,2840,521,395,204,378,205,17,40,17,40,0,34,2445,442,1973,414,472,143,327,110,145,91
BX07,Bronxdale,5023,639,2554,369,463,147,309,133,154,97,50,67,104,93,2091,311,1001,233,1090,252,579,239,511,178,2469,400,167,93,67,67,100,80,37,59,63,68,2302,380,1069,234,1233,375,493,290,740,251
BX08,West Farms-Bronx River,696,270,375,186,95,97,68,86,27,60,0,40,27,60,280,160,192,135,88,93,63,91,25,44,321,134,94,84,66,70,28,61,0,40,28,61,227,87,195,85,32,44,8,39,24,44
BX09,Soundview-Castle Hill-Clason Point-Harding Park,688,194,321,123,75,71,75,71,0,50,0,50,0,50,246,98,224,95,22,53,22,53,0,50,367,111,59,57,59,57,0,50,0,50,0,50,308,95,300,94,8,50,0,50,8,50
BX10,Pelham Bay-Country Club-City Island,16180,1115,7504,664,1032,337,1014,336,18,38,6,36,12,36,6472,585,5231,542,1241,343,953,272,288,173,8676,716,1115,283,1084,279,31,45,0,34,31,45,7561,611,6337,598,1224,263,1018,234,206,137
BX13,Co-op City,3857,530,1848,387,29,42,29,42,0,33,0,33,0,33,1819,378,1498,388,321,147,316,146,5,30,2009,323,32,38,32,38,0,33,0,33,0,33,1977,323,1528,311,449,168,392,152,57,56
BX14,East Concourse-Concourse Village,1140,438,678,378,111,94,111,94,0,51,0,51,0,51,567,360,263,131,304,339,304,339,0,51,462,174,95,100,95,100,0,51,0,51,0,51,367,141,246,103,121,94,62,77,59,70
BX17,East Tremont,916,443,418,227,153,120,101,83,52,72,0,45,52,72,265,137,159,92,106,110,7,45,99,109,498,246,120,127,120,127,0,45,0,45,0,45,378,168,300,144,78,96,3,44,75,96
BX22,North Riverdale-Fieldston-Riverdale,17965,1031,8665,628,1392,286,1387,285,5,36,0,38,5,36,7273,510,6096,498,1177,234,710,151,467,188,9300,650,1499,345,1492,345,7,38,0,38,7,38,7801,478,6339,474,1462,233,1091,212,371,126
BX26,Highbridge,237,112,138,87,0,42,0,42,0,42,0,42,0,42,138,87,127,84,11,39,7,40,4,41,99,60,8,41,0,42,8,41,8,41,0,42,91,55,91,55,0,42,0,42,0,42
BX27,Hunts Point,311,115,191,82,22,45,22,45,0,38,0,38,0,38,169,72,162,69,7,36,0,38,7,36,120,66,17,46,17,46,0,38,0,38,0,38,103,56,103,56,0,38,0,38,0,38
BX28,Van Cortlandt Village,5564,634,2762,384,344,147,322,145,22,51,0,43,22,51,2418,354,1382,215,1036,286,521,176,515,239,2802,420,359,178,332,167,27,54,6,43,21,54,2443,349,1594,272,849,235,716,229,133,69
BX29,Spuyten Duyvil-Kingsbridge,14519,788,7038,530,1312,286,1144,273,168,94,103,78,65,64,5726,425,4381,367,1345,290,843,198,502,246,7481,492,800,191,731,193,69,69,51,66,18,40,6681,435,5044,361,1637,287,1307,274,330,108
BX30,Kingsbridge Heights,850,268,360,151,7,41,7,41,0,38,0,38,0,38,353,140,283,117,70,70,70,70,0,38,490,170,25,53,25,53,0,38,0,38,0,38,465,160,392,155,73,51,55,47,18,40
BX31,Allerton-Pelham Gardens,9267,896,4587,532,923,299,894,295,29,47,29,47,0,42,3664,351,2678,296,986,198,674,152,312,138,4680,517,772,225,772,225,0,42,0,42,0,42,3908,411,2672,354,1236,231,795,149,441,164
BX33,Longwood,401,231,139,73,33,48,33,48,0,36,0,36,0,36,106,60,92,56,14,39,14,39,0,36,262,185,97,112,97,112,0,36,0,36,0,36,165,92,136,88,29,38,9,37,20,39
BX34,Melrose South-Mott Haven North,890,410,561,292,237,225,201,183,36,59,0,42,36,59,324,189,206,139,118,129,32,62,86,86,329,163,114,99,75,88,39,62,0,42,39,62,215,111,186,108,29,54,29,54,0,42
BX35,Morrisania-Melrose,401,134,226,99,20,38,20,38,0,40,0,40,0,40,206,95,163,75,43,69,43,69,0,40,175,81,10,41,10,41,0,40,0,40,0,40,165,79,126,70,39,44,23,44,16,40
BX36,University Heights-Morris Heights,878,328,433,189,112,105,97,102,15,55,0,51,15,55,321,138,287,118,34,61,0,51,34,61,445,199,72,86,56,73,16,56,0,51,16,56,373,172,333,161,40,59,17,55,23,55
BX37,Van Nest-Morris Park-Westchester Square,7659,785,3654,424,340,148,292,135,48,73,0,42,48,73,3314,381,2476,321,838,212,542,152,296,131,4005,495,488,190,462,188,26,51,0,42,26,51,3517,408,2696,343,821,196,564,165,257,98
BX39,Mott Haven-Port Morris,900,289,535,209,62,61,62,61,0,50,0,50,0,50,473,197,245,108,228,173,17,52,211,172,365,157,112,99,97,97,15,53,0,50,15,53,253,99,218,95,35,53,23,51,12,52
BX40,Fordham South,403,156,267,122,0,32,0,32,0,32,0,32,0,32,267,122,180,108,87,73,55,52,32,57,136,82,0,32,0,32,0,32,0,32,0,32,136,82,80,64,56,59,15,36,41,55
BX41,Mount Hope,683,228,367,138,57,57,35,55,22,54,0,51,22,54,310,131,245,123,65,62,15,51,50,62,316,130,75,76,58,69,17,53,5,51,12,53,241,103,186,90,55,66,27,52,28,62
BX43,Norwood,5079,786,2530,465,337,154,250,128,87,67,26,50,61,59,2193,394,1284,302,909,277,543,223,366,142,2549,429,377,185,234,144,143,121,0,41,143,121,2172,341,1285,269,887,238,371,147,516,174
BX44,Williamsbridge-Olinville,1455,363,651,199,29,59,29,59,0,54,0,54,0,54,622,195,515,158,107,94,71,77,36,76,804,278,61,99,61,99,0,54,0,54,0,54,743,254,545,147,198,210,37,66,161,207
BX46,Parkchester,1118,293,577,189,68,68,32,48,36,61,0,36,36,61,509,158,347,130,162,99,113,88,49,59,541,177,49,56,49,56,0,36,0,36,0,36,492,162,429,155,63,58,47,55,16,41
BX49,Pelham Parkway,11275,948,5345,553,1026,267,855,231,171,107,44,55,127,99,4319,454,2836,383,1483,298,915,201,568,209,5930,558,832,274,725,256,107,88,34,52,73,81,5098,436,3442,393,1656,302,925,212,731,223
BX52,Schuylerville-Throgs Neck-Edgewater Park,21610,1336,10783,851,1318,304,1272,304,46,72,10,53,36,71,9465,756,7994,702,1471,385,1013,290,458,252,10827,775,1341,321,1341,321,0,52,0,52,0,52,9486,655,8214,644,1272,264,959,244,313,114
BX55,Soundview-Bruckner,597,187,250,104,46,52,46,52,0,40,0,40,0,40,204,96,127,69,77,69,22,42,55,62,347,131,50,73,50,73,0,40,0,40,0,40,297,105,246,95,51,43,32,42,19,40
BX59,Westchester-Unionport,1542,334,627,190,44,54,26,45,18,47,18,47,0,36,583,173,435,151,148,89,148,89,0,36,915,232,81,121,81,121,0,36,0,36,0,36,834,176,596,147,238,97,121,70,117,72
BX62,Woodlawn-Wakefield,7496,609,3716,375,678,196,660,194,18,54,18,54,0,48,3038,314,2117,298,921,190,602,164,319,135,3780,412,583,182,564,180,19,56,19,56,0,48,3197,340,2358,322,839,182,469,128,370,145
BX63,West Concourse,886,459,469,291,155,166,121,145,34,57,6,40,28,58,314,163,199,124,115,114,13,45,102,113,417,195,53,73,53,73,0,42,0,42,0,42,364,171,216,124,148,123,12,45,136,122
BX75,Crotona Park East,247,143,125,120,3,27,3,27,0,29,0,29,0,29,122,120,23,35,99,118,48,68,51,59,122,79,39,47,39,47,0,29,0,29,0,29,83,65,56,54,27,47,0,29,27,47
BX98,Rikers Island,651,138,538,129,23,34,23,34,0,17,0,17,0,17,515,123,375,110,140,56,43,30,97,43,113,54,0,17,0,17,0,17,0,17,0,17,113,54,102,48,11,21,0,17,11,21
BX99,park-cemetery-etc-Bronx,110,57,55,42,0,32,0,32,0,32,0,32,0,32,55,42,49,41,6,31,6,31,0,32,55,41,0,32,0,32,0,32,0,32,0,32,55,41,23,33,32,40,27,39,5,31
MN01,Marble Hill-Inwood,6909,653,3599,466,281,107,265,104,16,45,0,41,16,45,3318,449,2783,372,535,269,295,152,240,157,3310,356,210,91,210,91,0,41,0,41,0,41,3100,338,2552,334,548,158,304,111,244,137
MN03,Central Harlem North-Polo Grounds,5941,689,3112,485,272,151,246,146,26,70,0,59,26,70,2840,438,2317,408,523,170,110,102,413,146,2829,408,296,160,268,154,28,73,0,59,28,73,2533,356,2052,331,481,177,141,107,340,148
MN04,Hamilton Heights,6517,831,3150,502,378,176,324,154,54,98,0,46,54,98,2772,427,2191,388,581,188,198,118,383,144,3367,546,366,174,366,174,0,46,0,46,0,46,3001,493,2540,473,461,161,209,121,252,113
MN06,Manhattanville,2097,526,844,219,66,62,64,63,2,33,0,34,2,33,778,210,599,195,179,88,33,41,146,85,1253,395,43,58,43,58,0,34,0,34,0,34,1210,395,945,361,265,114,121,73,144,93
MN09,Morningside Heights,26036,1558,11651,886,1101,298,1029,286,72,97,0,45,72,97,10550,804,8472,708,2078,395,590,162,1488,360,14385,1150,1329,261,1303,258,26,46,0,45,26,46,13056,1110,10824,1047,2232,350,747,182,1485,299
MN11,Central Harlem South,8324,756,4084,475,472,144,433,135,39,65,9,47,30,64,3612,446,2872,412,740,201,228,104,512,179,4240,517,461,165,418,149,43,60,0,45,43,60,3779,472,3116,451,663,179,183,84,480,163
MN12,Upper West Side,92083,2599,44020,1646,6786,740,6279,713,507,232,117,154,390,186,37234,1370,30723,1322,6511,668,2916,463,3595,493,48063,1805,6447,717,6111,698,336,188,30,73,306,183,41616,1497,34452,1439,7164,744,3683,553,3481,517
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,44507,1564,23383,1054,1528,290,1519,289,9,54,0,54,9,54,21855,960,18657,936,3198,456,1337,314,1861,359,21124,1158,1654,356,1587,346,67,73,36,66,31,62,19470,1055,16210,1000,3260,472,1529,310,1731,345
MN14,Lincoln Square,43803,1870,21835,1309,2850,510,2621,488,229,135,19,54,210,135,18985,1138,15690,1146,3295,460,1532,351,1763,317,21968,1165,2567,455,2402,444,165,98,25,51,140,94,19401,981,16548,981,2853,427,1429,308,1424,278
MN15,Clinton,24858,1217,13289,919,642,208,624,207,18,50,0,43,18,50,12647,879,10688,869,1959,361,565,181,1394,307,11569,810,397,160,382,158,15,48,15,48,0,43,11172,789,9235,748,1937,366,735,225,1202,304
MN17,Midtown-Midtown South,19251,1049,9345,683,455,142,439,141,16,52,11,53,5,50,8890,670,7166,682,1724,277,454,139,1270,239,9906,748,836,219,753,203,83,91,48,74,35,73,9070,682,7158,618,1912,384,723,230,1189,308
MN19,Turtle Bay-East Midtown,36720,1663,16626,1016,1427,325,1427,325,0,48,0,48,0,48,15199,921,12553,916,2646,436,993,233,1653,355,20094,1101,1297,325,1111,265,186,210,0,48,186,210,18797,987,15466,937,3331,484,1398,270,1933,438
MN20,Murray Hill-Kips Bay,34525,1691,15506,1197,1273,323,1202,323,71,59,0,42,71,59,14233,1125,12484,1086,1749,335,674,222,1075,235,19019,1253,1316,364,1207,356,109,94,4,40,105,93,17703,1191,15140,1162,2563,417,1190,264,1373,336
MN21,Gramercy,20151,1182,8964,820,478,186,478,186,0,34,0,34,0,34,8486,782,7364,786,1122,250,405,142,717,217,11187,795,678,238,668,237,10,34,0,34,10,34,10509,770,9474,745,1035,248,465,186,570,185
MN22,East Village,28595,1469,14369,1159,588,207,588,207,0,40,0,40,0,40,13781,1134,11583,1037,2198,443,574,180,1624,417,14226,968,560,211,560,211,0,40,0,40,0,40,13666,921,10785,873,2881,499,1118,270,1763,429
MN23,West Village,54147,1870,26020,1169,2319,406,2240,387,79,88,27,62,52,85,23701,1033,20294,1011,3407,481,1402,278,2005,370,28127,1328,2114,405,2077,408,37,69,18,61,19,62,26013,1202,22125,1141,3888,517,1672,338,2216,419
MN24,SoHo-TriBeCa-Civic Center-Little Italy,26345,1290,13358,880,1544,342,1439,339,105,69,24,52,81,60,11814,789,9975,763,1839,307,639,173,1200,261,12987,851,1427,284,1346,283,81,56,23,47,58,51,11560,744,9831,742,1729,281,808,197,921,216
MN25,Battery Park City-Lower Manhattan,24524,1379,12499,932,1771,385,1635,385,136,120,62,96,74,83,10728,772,8436,688,2292,404,744,233,1548,349,12025,904,1204,261,1147,252,57,73,0,42,57,73,10821,843,8533,800,2288,424,763,224,1525,359
MN27,Chinatown,7385,686,3908,542,166,110,166,110,0,44,0,44,0,44,3742,531,2991,457,751,220,174,109,577,208,3477,470,107,70,107,70,0,44,0,44,0,44,3370,463,2750,413,620,203,198,105,422,170
MN28,Lower East Side,17709,1237,9448,784,1187,344,1160,340,27,70,27,70,0,56,8261,666,6642,601,1619,318,804,216,815,221,8261,755,779,307,753,306,26,60,18,61,8,54,7482,596,6035,578,1447,274,792,201,655,183
MN31,Lenox Hill-Roosevelt Island,61401,2325,27195,1437,3562,611,3372,588,190,173,0,53,190,173,23633,1217,19116,1127,4517,630,2019,396,2498,509,34206,1603,3507,599,3193,532,314,249,0,53,314,249,30699,1377,24613,1207,6086,782,3083,544,3003,581
MN32,Yorkville,59737,2076,26206,1300,3701,525,3674,523,27,54,0,50,27,54,22505,1094,18610,1054,3895,556,1708,329,2187,462,33531,1471,3548,497,3262,481,286,161,0,50,286,161,29983,1297,25406,1214,4577,647,2191,438,2386,454
MN33,East Harlem South,11085,1041,5358,644,544,173,522,171,22,55,0,50,22,55,4814,608,3750,536,1064,289,323,157,741,258,5727,644,623,191,615,191,8,50,0,50,8,50,5104,565,3668,481,1436,327,500,207,936,253
MN34,East Harlem North,5087,789,2571,455,257,158,257,158,0,50,0,50,0,50,2314,403,1948,363,366,141,110,79,256,125,2516,527,258,144,258,144,0,50,0,50,0,50,2258,480,1537,312,721,341,194,121,527,324
MN35,Washington Heights North,18415,1110,9054,727,1002,263,912,254,90,77,54,63,36,64,8052,649,6287,594,1765,310,1125,226,640,213,9361,753,1017,273,961,269,56,65,56,65,0,52,8344,649,6040,589,2304,344,1534,239,770,238
