area_id,area_name,b11002d001,b11002d001_moe,b11002d002,b11002d002_moe,b11002d003,b11002d003_moe,b11002d004,b11002d004_moe,b11002d005,b11002d005_moe,b11002d006,b11002d006_moe,b11002d007,b11002d007_moe,b11002d008,b11002d008_moe,b11002d009,b11002d009_moe,b11002d010,b11002d010_moe,b11002d011,b11002d011_moe,b11002d012,b11002d012_moe
BK96,Rugby-Remsen Village,962,501,896,499,638,385,638,385,0,54,199,311,199,311,0,54,59,123,52,112,7,54,66,79
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,343,323,203,236,203,236,203,236,0,40,0,40,0,40,0,40,0,40,0,40,0,40,140,224
BX05,Bedford Park-Fordham North,2545,619,2372,619,1686,485,1686,485,0,50,266,230,266,230,0,50,420,314,409,311,11,51,173,96
BX06,Belmont,424,215,177,184,59,56,59,56,0,34,0,34,0,34,0,34,118,178,118,178,0,34,247,115
BX07,Bronxdale,1499,462,1375,454,1186,428,1186,428,0,38,73,88,59,74,14,40,116,137,91,115,25,53,124,78
BX08,West Farms-Bronx River,991,411,840,387,429,268,429,268,0,40,379,327,379,327,0,40,32,55,32,55,0,40,151,154
BX09,Soundview-Castle Hill-Clason Point-Harding Park,934,447,915,446,488,315,488,315,0,50,287,238,265,218,22,57,140,222,140,222,0,50,19,56
BX10,Pelham Bay-Country Club-City Island,926,395,848,389,836,389,836,389,0,34,0,34,0,34,0,34,12,38,12,38,0,34,78,72
BX13,Co-op City,550,340,457,339,170,166,170,166,0,33,0,33,0,33,0,33,287,298,287,298,0,33,93,65
BX14,East Concourse-Concourse Village,659,330,644,329,582,312,582,312,0,51,25,96,25,96,0,51,37,80,37,80,0,51,15,55
BX17,East Tremont,355,296,315,293,170,243,170,243,0,45,0,45,0,45,0,45,145,169,116,138,29,60,40,63
BX22,North Riverdale-Fieldston-Riverdale,1863,519,1720,515,1418,464,1359,442,59,78,175,207,131,152,44,78,127,109,127,109,0,38,143,77
