area_id,area_name,b05003a001,b05003a001_moe,b05003a002,b05003a002_moe,b05003a003,b05003a003_moe,b05003a004,b05003a004_moe,b05003a005,b05003a005_moe,b05003a006,b05003a006_moe,b05003a007,b05003a007_moe,b05003a008,b05003a008_moe,b05003a009,b05003a009_moe,b05003a010,b05003a010_moe,b05003a011,b05003a011_moe,b05003a012,b05003a012_moe,b05003a013,b05003a013_moe,b05003a014,b05003a014_moe,b05003a015,b05003a015_moe,b05003a016,b05003a016_moe,b05003a017,b05003a017_moe,b05003a018,b05003a018_moe,b05003a019,b05003a019_moe,b05003a020,b05003a020_moe,b05003a021,b05003a021_moe,b05003a022,b05003a022_moe,b05003a023,b05003a023_moe
BK33,Carroll Gardens-Columbia Street-Red Hook,25764,1093,12615,709,2358,369,2297,363,61,66,28,62,33,49,10257,568,8698,526,1559,282,771,220,788,199,13149,720,1798,263,1763,260,35,50,6,44,29,51,11351,618,9777,586,1574,265,861,192,713,176
BK34,Sunset Park East,21965,1499,11221,880,2744,441,2616,430,128,99,30,64,98,94,8477,704,4841,509,3636,516,1093,237,2543,455,10744,816,2297,460,2086,412,211,136,4,57,207,137,8447,581,4717,432,3730,439,1579,268,2151,373
BK35,Stuyvesant Heights,7778,1084,3644,592,967,302,857,263,110,93,0,51,110,93,2677,433,2041,383,636,198,224,113,412,169,4134,693,1178,362,1049,358,129,98,34,73,95,83,2956,443,2113,371,843,240,211,116,632,200
BK37,Park Slope-Gowanus,53183,1714,25541,1036,4387,478,4285,476,102,88,31,67,71,77,21154,844,18355,819,2799,346,1300,234,1499,269,27642,1120,4445,494,4351,492,94,81,10,59,84,81,23197,901,20127,877,3070,379,1701,287,1369,254
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,18073,935,9037,608,1382,265,1331,260,51,58,0,42,51,58,7655,515,6466,484,1189,197,462,126,727,169,9036,533,1264,224,1213,216,51,68,10,43,41,68,7772,443,6669,425,1103,200,541,134,562,165
BK40,Windsor Terrace,16664,940,7897,556,1364,280,1345,281,19,40,0,32,19,40,6533,419,5161,422,1372,250,653,187,719,186,8767,561,1545,274,1513,268,32,43,12,32,20,41,7222,433,5940,414,1282,255,824,223,458,127
BK41,Kensington-Ocean Parkway,20243,1340,9832,797,2566,456,2244,430,322,161,148,113,174,121,7266,537,3821,386,3445,423,1842,312,1603,322,10411,746,2500,420,2177,388,323,162,79,70,244,154,7911,510,4273,445,3638,386,2539,320,1099,245
BK42,Flatbush,28856,1755,14013,983,3068,454,2758,445,310,120,55,76,255,114,10945,796,6088,586,4857,594,2070,318,2787,502,14843,1024,3682,607,3186,596,496,157,25,68,471,157,11161,651,6667,544,4494,471,2280,303,2214,377
BK43,Midwood,41195,1575,20266,944,5812,600,5380,578,432,167,234,143,198,104,14454,633,8314,517,6140,501,4024,388,2116,368,20929,917,4951,566,4593,550,358,130,183,104,175,91,15978,605,8586,525,7392,493,5332,414,2060,352
BK44,Madison,30103,1274,14307,815,2983,456,2595,429,388,190,141,88,247,173,11324,562,5464,463,5860,467,4278,402,1582,299,15796,742,3130,407,2752,381,378,153,138,82,240,133,12666,553,6065,464,6601,465,4771,394,1830,325
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,37825,1385,18270,874,4977,544,4940,544,37,56,0,55,37,56,13293,570,9655,550,3638,372,3302,362,336,119,19555,797,4092,437,4031,435,61,71,39,67,22,59,15463,605,11548,581,3915,435,3332,403,583,174
BK46,Ocean Parkway South,17438,1068,8526,600,2348,365,2235,362,113,75,19,45,94,70,6178,405,3979,335,2199,282,1623,220,576,205,8912,630,2740,448,2640,444,100,103,9,37,91,101,6172,348,3947,345,2225,234,1602,205,623,167
BK50,Canarsie,6774,761,3112,433,256,109,238,106,18,75,0,70,18,75,2856,407,2349,380,507,152,352,131,155,98,3662,430,423,170,400,168,23,74,6,70,17,74,3239,353,2584,317,655,167,493,138,162,105
BK58,Flatlands,14783,1003,7392,591,1920,298,1886,296,34,83,34,83,0,62,5472,439,4240,393,1232,240,767,173,465,173,7391,551,1906,283,1889,282,17,66,0,62,17,66,5485,392,4198,350,1287,227,873,176,414,153
BK60,Prospect Lefferts Gardens-Wingate,8055,1105,4169,609,1221,343,1186,330,35,80,0,58,35,80,2948,412,2345,376,603,163,364,123,239,125,3886,624,1157,353,1113,347,44,77,10,57,34,78,2729,379,2020,320,709,190,335,145,374,144
BK61,Crown Heights North,12433,1077,6232,640,928,258,807,229,121,136,0,67,121,136,5304,537,4235,495,1069,237,473,149,596,199,6201,623,1034,300,950,284,84,100,0,67,84,100,5167,497,4093,443,1074,230,551,156,523,178
BK63,Crown Heights South,11237,1188,5999,703,2324,473,2210,452,114,118,22,50,92,114,3675,445,2679,396,996,219,639,162,357,146,5238,629,2084,387,2010,376,74,102,0,40,74,102,3154,357,2233,297,921,187,603,155,318,121
BK64,Prospect Heights,11159,862,5508,542,938,282,931,282,7,31,0,32,7,31,4570,407,4067,405,503,166,235,120,268,117,5651,565,448,107,435,105,13,36,0,32,13,36,5203,540,4493,489,710,192,400,159,310,109
BK68,Fort Greene,9095,746,4267,466,694,192,666,185,28,47,15,43,13,42,3573,397,2860,333,713,226,222,97,491,204,4828,489,628,242,628,242,0,38,0,38,0,38,4200,385,3465,383,735,175,325,131,410,118
BK69,Clinton Hill,15020,1112,7435,721,1054,278,1027,272,27,56,27,56,0,40,6381,626,5254,566,1127,254,343,114,784,227,7585,630,946,213,930,210,16,50,0,40,16,50,6639,548,5807,511,832,208,327,130,505,152
BK72,Williamsburg,30366,1574,15593,1010,7972,768,7948,767,24,41,8,37,16,40,7621,443,6102,443,1519,229,1082,197,437,154,14773,814,7050,631,7050,631,0,36,0,36,0,36,7723,395,6096,381,1627,244,1234,208,393,142
BK73,North Side-South Side,36143,1523,17714,923,3214,450,3100,446,114,100,75,81,39,70,14500,763,10876,736,3624,465,1354,274,2270,366,18429,1046,3876,592,3755,581,121,97,37,61,84,87,14553,804,10948,738,3605,421,1777,292,1828,296
BK75,Bedford,22449,1277,11378,778,5291,521,5274,520,17,63,0,56,17,63,6087,548,4973,414,1114,389,519,165,595,360,11071,766,4721,423,4668,419,53,83,33,77,20,64,6350,541,5346,458,1004,224,527,184,477,136
BK76,Greenpoint,26941,1152,13332,728,1362,287,1291,284,71,58,24,49,47,52,11970,642,7491,571,4479,496,1957,311,2522,403,13609,754,1318,272,1192,251,126,77,49,55,77,69,12291,647,7683,559,4608,427,2045,291,2563,338
BK77,Bushwick North,22177,1766,11507,1036,2368,426,2154,410,214,108,17,58,197,105,9139,796,4791,529,4348,626,734,194,3614,586,10670,985,2118,417,1913,381,205,118,16,57,189,109,8552,739,4601,537,3951,527,972,216,2979,484
BK78,Bushwick South,27651,1958,13708,1122,3308,502,3142,483,166,121,37,72,129,112,10400,903,6674,686,3726,627,1208,270,2518,560,13943,1139,2601,500,2379,472,222,192,14,60,208,191,11342,870,7352,722,3990,563,1600,308,2390,477
BK79,Ocean Hill,1387,434,741,251,226,129,221,126,5,39,0,38,5,39,515,177,388,152,127,89,98,73,29,46,646,255,227,166,227,166,0,38,0,38,0,38,419,138,312,122,107,69,55,57,52,53
BK81,Brownsville,3212,780,1399,376,706,253,672,247,34,57,7,51,27,54,693,198,448,160,245,124,50,60,195,108,1813,500,458,265,444,264,14,56,3,52,11,53,1355,355,1128,339,227,117,63,65,164,105
BK82,East New York,16326,1486,7847,880,2413,444,2323,436,90,87,14,67,76,85,5434,645,3536,471,1898,392,900,221,998,333,8479,839,2397,398,2314,384,83,91,49,81,34,73,6082,574,3638,463,2444,393,1350,275,1094,283
BK83,Cypress Hills-City Line,23808,1757,11578,1003,3799,511,3391,491,408,163,79,73,329,153,7779,740,3927,447,3852,618,1629,342,2223,501,12230,965,3269,474,2915,439,354,157,68,61,286,146,8961,673,4483,519,4478,481,2100,314,2378,370
BK85,East New York (Pennsylvania Ave),3381,717,1583,380,570,223,536,215,34,51,34,51,0,36,1013,273,561,174,452,180,249,114,203,123,1798,410,551,203,527,200,24,48,24,48,0,36,1247,274,616,182,631,205,380,141,251,119
BK88,Borough Park,85730,2846,43786,1666,18833,1178,18488,1177,345,154,138,122,207,118,24953,872,16295,783,8658,616,5518,461,3140,446,41944,1494,16162,1049,15815,1044,347,170,127,113,220,133,25782,826,16912,774,8870,595,5777,435,3093,445
BK90,East Williamsburg,20732,1081,9745,689,855,235,796,223,59,67,30,58,29,51,8890,620,7047,586,1843,347,783,230,1060,290,10987,722,919,235,906,235,13,43,0,40,13,43,10068,628,7988,607,2080,299,1030,216,1050,233
BK91,East Flatbush-Farragut,1586,429,723,198,128,96,128,96,0,54,0,54,0,54,595,160,446,127,149,106,41,54,108,105,863,272,295,155,295,155,0,54,0,54,0,54,568,176,466,163,102,84,48,63,54,76
BK93,Starrett City,5022,683,2096,430,409,317,409,317,0,24,0,24,0,24,1687,313,776,256,911,249,777,224,134,109,2926,387,210,110,210,110,0,24,0,24,0,24,2716,372,1094,315,1622,316,1399,283,223,161
BK95,Erasmus,1131,482,616,271,180,152,180,152,0,36,0,36,0,36,436,163,243,110,193,117,12,36,181,115,515,234,188,130,179,130,9,35,9,35,0,36,327,137,173,80,154,111,48,55,106,98
BK96,Rugby-Remsen Village,1153,381,595,223,91,103,84,102,7,54,7,54,0,54,504,196,267,122,237,160,25,58,212,167,558,210,115,119,115,119,0,54,0,54,0,54,443,150,346,137,97,70,38,59,59,65
BK99,park-cemetery-etc-Brooklyn,286,230,123,110,28,60,28,60,0,40,0,40,0,40,95,78,95,78,0,40,0,40,0,40,163,138,63,90,63,90,0,40,0,40,0,40,100,71,83,68,17,46,17,46,0,40
BX01,Claremont-Bathgate,2663,555,1203,263,308,119,288,111,20,43,0,40,20,43,895,223,607,193,288,103,141,77,147,76,1460,378,341,173,307,151,34,58,0,40,34,58,1119,278,718,233,401,149,151,70,250,117
BX03,Eastchester-Edenwald-Baychester,2721,644,1128,324,182,124,151,107,31,52,7,38,24,53,946,265,732,226,214,126,126,103,88,78,1593,385,290,137,266,125,24,53,0,40,24,53,1303,323,939,244,364,206,293,197,71,61
BX05,Bedford Park-Fordham North,8638,1133,3990,646,1075,304,990,289,85,80,34,72,51,60,2915,482,1671,317,1244,338,601,200,643,252,4648,638,880,273,847,268,33,71,0,50,33,71,3768,494,2282,365,1486,356,699,185,787,303
BX06,Belmont,7599,847,3278,445,554,197,515,191,39,55,15,38,24,50,2724,384,1917,307,807,231,370,137,437,196,4321,581,705,249,678,247,27,39,17,40,10,33,3616,472,2725,437,891,192,487,142,404,143
BX07,Bronxdale,8431,896,4073,510,948,231,794,228,154,97,50,67,104,93,3125,397,1784,325,1341,291,721,255,620,208,4358,522,437,152,337,145,100,80,37,59,63,68,3921,456,2358,321,1563,404,671,305,892,270
BX08,West Farms-Bronx River,5145,790,2435,463,586,213,490,196,96,76,22,44,74,73,1849,361,1349,292,500,204,198,112,302,166,2710,436,527,171,482,164,45,61,6,39,39,62,2183,345,1631,301,552,176,244,115,308,127
BX09,Soundview-Castle Hill-Clason Point-Harding Park,8785,1067,4155,562,805,220,788,210,17,54,17,54,0,50,3350,483,2931,445,419,142,277,114,142,82,4630,635,714,198,707,197,7,49,0,50,7,49,3916,548,3118,445,798,249,376,135,422,175
BX10,Pelham Bay-Country Club-City Island,18673,1185,8695,703,1319,341,1301,341,18,38,6,36,12,36,7376,619,5912,547,1464,375,1095,304,369,188,9978,764,1406,308,1375,306,31,45,0,34,31,45,8572,640,7216,623,1356,278,1144,247,212,138
BX13,Co-op City,8010,934,3695,600,427,219,427,219,0,33,0,33,0,33,3268,513,2875,529,393,166,388,166,5,30,4315,561,325,172,325,172,0,33,0,33,0,33,3990,474,3335,500,655,224,475,168,180,122
BX14,East Concourse-Concourse Village,8385,1279,4075,740,1123,354,1006,333,117,96,39,82,78,71,2952,549,1624,343,1328,455,789,388,539,193,4310,708,996,290,903,274,93,86,20,59,73,79,3314,545,1711,340,1603,363,778,217,825,248
BX17,East Tremont,6583,1037,2981,576,1047,330,955,310,92,82,33,56,59,73,1934,354,1285,276,649,226,164,95,485,199,3602,560,648,222,634,221,14,49,0,45,14,49,2954,432,2125,351,829,240,434,149,395,152
BX22,North Riverdale-Fieldston-Riverdale,19933,1085,9598,649,1623,286,1618,285,5,36,0,38,5,36,7975,534,6613,524,1362,252,869,174,493,191,10335,691,1709,356,1682,357,27,48,20,48,7,38,8626,507,6978,503,1648,254,1218,227,430,136
BX26,Highbridge,5464,862,2820,513,943,275,837,268,106,69,8,40,98,69,1877,360,996,264,881,246,303,143,578,173,2644,446,583,180,501,158,82,65,8,41,74,65,2061,353,923,229,1138,258,481,156,657,169
BX27,Hunts Point,7299,886,3613,489,954,225,854,204,100,89,13,36,87,89,2659,387,1633,303,1026,257,367,140,659,208,3686,498,950,243,924,240,26,53,0,38,26,53,2736,355,1712,306,1024,214,399,122,625,173
BX28,Van Cortlandt Village,11673,1121,5633,650,1095,292,1073,290,22,51,0,43,22,51,4538,516,2806,382,1732,354,764,209,968,288,6040,659,1111,306,1069,300,42,58,6,43,36,58,4929,490,2908,382,2021,356,1351,297,670,188
BX29,Spuyten Duyvil-Kingsbridge,17626,979,8450,614,1712,322,1544,311,168,94,103,78,65,64,6738,477,4912,400,1826,330,1128,221,698,269,9176,603,1157,254,1059,254,98,77,51,66,47,52,8019,504,5871,405,2148,319,1651,294,497,130
BX30,Kingsbridge Heights,3344,612,1491,324,231,105,157,72,74,65,0,38,74,65,1260,284,818,204,442,176,198,101,244,142,1853,375,222,138,169,111,53,73,0,38,53,73,1631,306,1030,236,601,203,294,102,307,178
BX31,Allerton-Pelham Gardens,11740,979,5806,588,1137,320,1093,315,44,50,44,50,0,42,4669,407,3519,367,1150,214,759,163,391,142,5934,588,922,232,906,231,16,45,16,45,0,42,5012,487,3547,414,1465,271,988,200,477,167
BX33,Longwood,4114,730,1723,335,471,165,471,165,0,36,0,36,0,36,1252,276,801,204,451,160,254,120,197,97,2391,464,716,242,697,243,19,37,0,36,19,37,1675,298,1105,240,570,176,277,116,293,105
BX34,Melrose South-Mott Haven North,7846,1200,3921,707,1287,383,1235,360,52,56,7,40,45,58,2634,520,1664,404,970,337,374,177,596,241,3925,650,825,254,745,240,80,68,23,44,57,67,3100,489,2104,393,996,250,492,185,504,186
BX35,Morrisania-Melrose,4171,718,1889,405,638,245,566,239,72,67,0,40,72,67,1251,250,889,211,362,139,205,109,157,87,2282,454,562,210,528,207,34,54,0,40,34,54,1720,316,1168,231,552,201,243,104,309,138
BX36,University Heights-Morris Heights,6643,978,3047,503,984,245,950,237,34,62,0,51,34,62,2063,371,1336,279,727,203,280,117,447,159,3596,596,1026,290,907,273,119,86,42,59,77,81,2570,428,1599,323,971,265,412,136,559,223
BX37,Van Nest-Morris Park-Westchester Square,10876,965,5088,529,695,208,647,201,48,73,0,42,48,73,4393,445,3144,358,1249,275,693,162,556,214,5788,619,948,261,912,260,36,52,0,42,36,52,4840,477,3701,400,1139,218,752,182,387,113
BX39,Mott Haven-Port Morris,16636,1422,8372,940,2353,410,2227,396,126,89,12,51,114,88,6019,792,3382,518,2637,623,324,118,2313,615,8264,741,2025,357,1966,360,59,63,10,49,49,61,6239,541,3983,440,2256,366,814,198,1442,325
BX40,Fordham South,3050,732,1525,485,367,171,321,163,46,52,0,32,46,52,1158,388,585,204,573,348,204,111,369,344,1525,391,300,181,269,178,31,44,0,32,31,44,1225,299,524,169,701,260,336,146,365,197
BX41,Mount Hope,7101,930,3390,497,777,199,642,180,135,82,6,51,129,81,2613,402,1394,277,1219,261,421,133,798,212,3711,554,928,241,807,222,121,89,5,51,116,89,2783,404,1472,298,1311,257,663,160,648,196
BX43,Norwood,9133,1126,4558,651,963,255,849,228,114,80,53,67,61,59,3595,513,2025,370,1570,366,713,234,857,262,4575,603,797,240,654,210,143,121,0,41,143,121,3778,477,2244,366,1534,314,734,214,800,209
BX44,Williamsbridge-Olinville,4304,674,2004,371,356,155,309,146,47,64,29,62,18,55,1648,305,1194,230,454,189,177,96,277,167,2300,408,314,173,294,172,20,57,0,54,20,57,1986,341,1344,223,642,259,276,131,366,226
BX46,Parkchester,3536,517,1673,302,331,134,292,125,39,60,0,36,39,60,1342,264,1040,244,302,123,190,97,112,81,1863,319,351,154,340,150,11,38,0,36,11,38,1512,255,1218,248,294,118,185,88,109,74
BX49,Pelham Parkway,14174,1086,6715,646,1400,311,1228,284,172,107,44,55,128,99,5315,506,3471,422,1844,329,1096,216,748,231,7459,619,1146,299,1031,283,115,88,34,52,81,81,6313,495,4223,431,2090,337,1096,223,994,267
BX52,Schuylerville-Throgs Neck-Edgewater Park,27274,1503,13540,926,2039,363,1973,364,66,73,22,56,44,70,11501,798,9741,748,1760,425,1229,341,531,256,13734,888,2086,395,2058,397,28,55,13,55,15,53,11648,712,10087,698,1561,298,1121,265,440,143
BX55,Soundview-Bruckner,5343,826,2350,414,421,172,421,172,0,40,0,40,0,40,1929,353,1211,274,718,217,317,109,401,166,2993,518,587,228,587,228,0,40,0,40,0,40,2406,363,1643,283,763,216,418,133,345,151
BX59,Westchester-Unionport,4536,652,1886,341,396,161,378,157,18,47,18,47,0,36,1490,270,1163,230,327,130,223,110,104,73,2650,419,374,179,374,179,0,36,0,36,0,36,2276,341,1926,319,350,117,199,85,151,78
BX62,Woodlawn-Wakefield,9431,836,4607,442,884,238,866,236,18,54,18,54,0,48,3723,360,2637,340,1086,224,612,165,474,179,4824,582,741,205,722,202,19,56,19,56,0,48,4083,480,2897,358,1186,321,613,150,573,284
BX63,West Concourse,6997,1183,3034,576,749,256,653,214,96,91,6,40,90,92,2285,430,1176,331,1109,303,459,207,650,219,3963,728,1189,428,1067,423,122,79,52,51,70,61,2774,450,1284,318,1490,333,640,209,850,258
BX75,Crotona Park East,2464,508,1322,340,411,171,411,171,0,29,0,29,0,29,911,267,500,187,411,194,243,146,168,84,1142,241,235,106,235,106,0,29,0,29,0,29,907,180,579,149,328,109,149,71,179,87
BX98,Rikers Island,1421,195,1241,191,62,56,43,43,19,29,7,15,12,25,1179,202,913,176,266,94,64,40,202,74,180,79,0,17,0,17,0,17,0,17,0,17,180,79,163,78,17,23,0,17,17,23
BX99,park-cemetery-etc-Bronx,293,131,169,96,33,41,33,41,0,32,0,32,0,32,136,80,116,68,20,39,20,39,0,32,124,58,24,37,24,37,0,32,0,32,0,32,100,51,48,40,52,46,33,38,19,39
MN01,Marble Hill-Inwood,17310,1487,8857,890,1605,373,1493,359,112,89,0,41,112,89,7252,747,4258,485,2994,572,1193,265,1801,498,8453,826,1092,334,1010,312,82,81,0,41,82,81,7361,666,3763,458,3598,520,1721,348,1877,361
MN03,Central Harlem North-Polo Grounds,10012,1088,4895,654,869,278,728,249,141,117,14,60,127,116,4026,541,2847,454,1179,306,352,176,827,245,5117,639,755,253,660,221,95,129,67,122,28,73,4362,542,2774,416,1588,386,648,228,940,284
MN04,Hamilton Heights,12216,1382,5905,866,864,267,754,249,110,106,0,46,110,106,5041,752,3138,516,1903,449,686,205,1217,374,6311,773,1039,331,880,287,159,177,0,46,159,177,5272,628,3186,527,2086,396,962,269,1124,290
MN06,Manhattanville,4486,752,1995,370,349,143,335,141,14,36,0,34,14,36,1646,322,942,230,704,214,187,89,517,200,2491,508,310,128,286,125,24,41,0,34,24,41,2181,464,1242,373,939,228,462,139,477,166
MN09,Morningside Heights,30773,1732,13649,968,1377,337,1305,327,72,97,0,45,72,97,12272,883,9467,757,2805,439,943,219,1862,379,17124,1285,1617,286,1552,281,65,57,18,50,47,50,15507,1221,12035,1090,3472,547,1406,326,2066,427
MN11,Central Harlem South,10227,893,5003,559,665,174,626,167,39,65,9,47,30,64,4338,500,3337,450,1001,228,370,133,631,190,5224,577,670,196,627,183,43,60,0,45,43,60,4554,522,3599,491,955,209,339,110,616,182
MN12,Upper West Side,101748,2763,48425,1701,7636,777,7129,755,507,232,117,154,390,186,40789,1415,32819,1373,7970,709,3691,497,4279,548,53323,1918,7198,830,6839,818,359,191,30,73,329,187,46125,1577,37368,1495,8757,847,4557,602,4200,602
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,50798,1630,26663,1076,1882,316,1855,316,27,61,18,60,9,54,24781,989,20725,962,4056,496,1797,334,2259,394,24135,1202,2030,381,1932,371,98,81,36,66,62,71,22105,1088,18107,1041,3998,514,1994,349,2004,367
MN14,Lincoln Square,48136,2158,23953,1498,3535,593,3254,572,281,151,37,58,244,141,20418,1321,16701,1334,3717,476,1691,357,2026,344,24183,1263,3151,560,2986,552,165,98,25,51,140,94,21032,1000,17716,986,3316,467,1682,337,1634,303
MN15,Clinton,29503,1326,15465,1005,887,253,817,245,70,86,0,43,70,86,14578,949,11923,910,2655,433,879,222,1776,371,14038,855,717,209,682,206,35,55,15,48,20,51,13321,822,10368,770,2953,429,1441,282,1512,344
MN17,Midtown-Midtown South,20563,1060,10005,680,472,143,456,142,16,52,11,53,5,50,9533,666,7571,690,1962,298,544,148,1418,257,10558,756,853,220,761,203,92,91,48,74,44,74,9705,693,7453,621,2252,399,922,242,1330,316
MN19,Turtle Bay-East Midtown,39094,1660,17718,1036,1609,342,1609,342,0,48,0,48,0,48,16109,936,12934,913,3175,470,1270,270,1905,374,21376,1096,1447,343,1261,290,186,210,0,48,186,210,19929,982,16251,940,3678,506,1553,289,2125,446
MN20,Murray Hill-Kips Bay,37479,1751,16932,1275,1350,331,1279,331,71,59,0,42,71,59,15582,1201,13234,1135,2348,453,922,255,1426,355,20547,1252,1453,367,1320,356,133,100,4,40,129,100,19094,1186,15904,1155,3190,473,1505,303,1685,379
MN21,Gramercy,21094,1176,9417,827,493,188,493,188,0,34,0,34,0,34,8924,789,7699,786,1225,257,472,152,753,222,11677,794,728,241,718,241,10,34,0,34,10,34,10949,768,9731,756,1218,261,556,193,662,200
MN22,East Village,31859,1517,15832,1172,737,233,737,233,0,40,0,40,0,40,15095,1145,12380,1054,2715,492,807,216,1908,460,16027,1038,708,236,702,236,6,40,0,40,6,40,15319,985,12056,946,3263,529,1330,283,1933,449
MN23,West Village,56904,1906,27332,1187,2428,411,2341,393,87,88,27,62,60,85,24904,1047,20953,1021,3951,516,1711,309,2240,396,29572,1335,2149,406,2112,409,37,69,18,61,19,62,27423,1212,23280,1153,4143,535,1755,344,2388,434
MN24,SoHo-TriBeCa-Civic Center-Little Italy,27666,1297,14056,899,1744,370,1538,339,206,155,24,52,182,152,12312,800,10297,778,2015,318,724,180,1291,272,13610,852,1504,289,1423,288,81,56,23,47,58,51,12106,744,10142,744,1964,298,867,200,1097,247
MN25,Battery Park City-Lower Manhattan,26482,1491,13468,986,1960,432,1824,432,136,120,62,96,74,83,11508,788,8967,705,2541,413,809,237,1732,356,13014,945,1420,310,1363,304,57,73,0,42,57,73,11594,863,8943,824,2651,439,892,235,1759,375
MN27,Chinatown,9695,825,5273,597,445,201,445,201,0,44,0,44,0,44,4828,550,3793,476,1035,242,266,127,769,222,4422,552,249,111,226,110,23,47,23,47,0,44,4173,522,3236,435,937,255,342,127,595,198
MN28,Lower East Side,28874,1535,14406,934,2126,420,2099,416,27,70,27,70,0,56,12280,817,9973,744,2307,370,1226,265,1081,243,14468,980,1777,395,1740,392,37,61,18,61,19,56,12691,778,10321,757,2370,332,1334,247,1036,232
MN31,Lenox Hill-Roosevelt Island,66070,2402,29562,1509,3986,613,3779,590,207,176,0,53,207,176,25576,1275,20460,1204,5116,656,2225,409,2891,538,36508,1626,3991,643,3677,582,314,249,0,53,314,249,32517,1366,25548,1234,6969,798,3640,563,3329,594
MN32,Yorkville,64865,2040,28201,1302,3966,524,3939,522,27,54,0,50,27,54,24235,1125,19682,1107,4553,583,2115,377,2438,473,36664,1527,3927,525,3610,508,317,170,0,50,317,170,32737,1336,27115,1239,5622,744,2796,580,2826,477
