area_id,area_name,c15002g001,c15002g001_moe,c15002g002,c15002g002_moe,c15002g003,c15002g003_moe,c15002g004,c15002g004_moe,c15002g005,c15002g005_moe,c15002g006,c15002g006_moe,c15002g007,c15002g007_moe,c15002g008,c15002g008_moe,c15002g009,c15002g009_moe,c15002g010,c15002g010_moe,c15002g011,c15002g011_moe
MN20,Murray Hill-Kips Bay,614,266,355,171,0,42,41,71,117,89,197,110,259,150,0,42,0,42,66,58,193,121
MN21,Gramercy,344,203,149,104,0,34,0,34,77,84,72,69,195,129,0,34,84,112,40,42,71,56
MN22,East Village,745,220,489,190,6,40,94,92,9,42,380,166,256,103,9,40,0,40,41,55,206,91
MN23,West Village,1006,299,512,207,0,56,0,56,21,58,491,206,494,203,8,57,10,56,46,58,430,202
MN24,SoHo-TriBeCa-Civic Center-Little Italy,576,202,358,173,18,48,0,42,27,50,313,168,218,104,0,42,15,47,50,64,153,89
MN25,Battery Park City-Lower Manhattan,590,225,270,136,49,80,19,50,0,42,202,114,320,149,0,42,16,42,55,75,249,135
MN27,Chinatown,715,242,276,139,35,55,67,60,49,56,125,98,439,181,152,127,12,43,124,87,151,92
MN28,Lower East Side,2362,450,1135,290,332,142,281,153,220,133,302,131,1227,275,416,183,221,101,278,113,312,118
MN31,Lenox Hill-Roosevelt Island,984,301,367,164,12,56,28,66,41,70,286,149,617,246,0,53,71,85,89,96,457,199
MN32,Yorkville,732,246,243,132,0,50,21,58,33,59,189,123,489,197,104,112,137,110,17,48,231,118
MN33,East Harlem South,1141,339,474,204,172,148,75,68,36,56,191,131,667,208,226,131,150,108,49,54,242,127
MN34,East Harlem North,1231,333,523,181,209,116,132,110,82,63,100,84,708,214,193,101,209,130,112,73,194,109
MN35,Washington Heights North,1548,359,757,221,154,100,130,94,208,125,265,120,791,224,223,134,150,99,146,94,272,126
MN36,Washington Heights South,3141,662,1383,339,449,195,337,164,301,168,296,137,1758,459,677,336,227,120,365,156,489,179
MN40,Upper East Side-Carnegie Hill,287,115,78,65,31,58,0,52,0,52,47,59,209,104,16,56,31,69,15,56,147,86
MN50,Stuyvesant Town-Cooper Village,366,195,227,168,0,22,15,29,27,47,185,152,139,83,0,22,0,22,43,42,96,72
MN99,park-cemetery-etc-Manhattan,33,46,28,45,2,30,11,33,15,37,0,32,5,31,0,32,0,32,0,32,5,31
QN01,South Jamaica,862,272,301,117,20,47,139,90,123,70,19,46,561,183,75,74,275,113,81,61,130,86
QN02,Springfield Gardens North,59,52,33,47,0,31,0,31,33,47,0,31,26,38,0,31,0,31,26,38,0,31
QN03,Springfield Gardens South-Brookville,388,193,148,97,14,30,57,59,51,56,26,35,240,133,45,53,23,38,103,77,69,57
QN05,Rosedale,294,133,103,68,14,37,14,31,23,45,52,57,191,106,26,39,34,46,108,78,23,43
QN06,Jamaica Estates-Holliswood,684,220,333,121,8,34,75,67,109,72,141,80,351,123,115,78,11,39,37,47,188,89
QN07,Hollis,625,197,277,116,33,52,62,58,51,49,131,79,348,123,32,39,62,49,238,104,16,40
QN08,St. Albans,638,186,311,115,42,63,84,69,125,85,60,69,327,111,47,60,49,57,100,73,131,85
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,203,116,68,59,13,36,0,36,7,34,48,59,135,80,24,40,57,56,10,40,44,58
QN12,Hammels-Arverne-Edgemere,405,156,158,76,34,52,28,42,54,52,42,41,247,109,60,53,61,59,56,60,70,57
QN15,Far Rockaway-Bayswater,829,242,403,134,99,74,37,66,111,80,156,81,426,164,120,83,61,54,147,105,98,81
QN17,Forest Hills,1195,306,491,161,31,67,115,100,81,81,264,128,704,227,150,100,10,60,174,110,370,170
QN18,Rego Park,450,166,158,87,21,38,44,49,36,42,57,53,292,106,27,37,49,58,60,54,156,78
QN19,Glendale,258,124,113,70,10,45,44,47,51,53,8,44,145,89,22,44,12,43,28,44,83,83
QN20,Ridgewood,736,228,362,152,29,55,97,75,122,81,114,88,374,133,86,79,63,69,96,84,129,82
QN21,Middle Village,253,227,102,120,6,49,3,50,60,85,33,69,151,122,15,50,34,56,36,68,66,77
QN22,Flushing,1374,457,825,299,171,109,211,165,298,156,145,91,549,201,188,108,186,111,112,92,63,64
QN23,College Point,254,127,131,86,22,37,29,41,17,34,63,77,123,63,27,33,48,48,38,40,10,34
QN25,Corona,591,210,258,120,37,48,71,72,101,87,49,65,333,143,66,69,132,92,57,67,78,66
QN26,North Corona,608,269,404,201,116,122,141,95,69,65,78,75,204,95,41,51,40,64,94,67,29,48
QN27,East Elmhurst,505,228,260,105,33,53,22,32,40,42,165,73,245,154,46,51,75,86,91,74,33,45
QN28,Jackson Heights,2249,489,1076,270,261,141,306,133,287,129,222,110,1173,289,349,165,294,117,197,106,333,143
QN29,Elmhurst,926,286,619,198,216,116,229,122,51,65,123,102,307,139,120,85,38,62,25,59,124,116
QN30,Maspeth,230,157,65,53,26,51,24,46,9,46,6,44,165,147,42,61,55,74,22,49,46,59
QN31,Hunters Point-Sunnyside-West Maspeth,1108,324,587,219,117,86,78,79,278,137,114,84,521,165,104,105,152,83,174,97,91,74
QN33,Cambria Heights,132,85,61,62,6,42,26,48,29,47,0,43,71,56,0,43,26,55,2,42,43,44
QN34,Queens Village,2262,496,1152,285,236,119,318,146,381,182,217,105,1110,260,188,119,374,140,235,107,313,125
QN35,Briarwood-Jamaica Hills,1112,301,545,171,108,87,101,67,91,69,245,122,567,179,110,79,150,82,132,75,175,94
QN37,Kew Gardens Hills,823,263,416,148,54,61,12,42,203,103,147,85,407,152,66,64,59,65,163,97,119,73
