area_id,area_name,b99081001,b99081001_moe,b99081002,b99081002_moe,b99081003,b99081003_moe,b99081004,b99081004_moe,b99081005,b99081005_moe
MN31,Lenox Hill-Roosevelt Island,47691,-1,2735,-1,365,-1,2370,-1,44956,-1
MN32,Yorkville,47771,-1,2234,-1,250,-1,1984,-1,45537,-1
MN33,East Harlem South,25251,-1,2879,-1,580,-1,2299,-1,22372,-1
MN34,East Harlem North,21169,-1,2552,-1,272,-1,2280,-1,18617,-1
MN35,Washington Heights North,32296,-1,2669,-1,629,-1,2040,-1,29627,-1
MN36,Washington Heights South,38975,-1,4674,-1,1240,-1,3434,-1,34301,-1
MN40,Upper East Side-Carnegie Hill,29648,-1,1260,-1,84,-1,1176,-1,28388,-1
MN50,Stuyvesant Town-Cooper Village,12069,-1,769,-1,135,-1,634,-1,11300,-1
MN99,park-cemetery-etc-Manhattan,114,-1,56,-1,14,-1,42,-1,58,-1
QN01,South Jamaica,14592,-1,2872,-1,1445,-1,1427,-1,11720,-1
QN02,Springfield Gardens North,11700,-1,2109,-1,1179,-1,930,-1,9591,-1
QN03,Springfield Gardens South-Brookville,8826,-1,1403,-1,620,-1,783,-1,7423,-1
QN05,Rosedale,13671,-1,2245,-1,668,-1,1577,-1,11426,-1
QN06,Jamaica Estates-Holliswood,12179,-1,989,-1,145,-1,844,-1,11190,-1
QN07,Hollis,9987,-1,1330,-1,530,-1,800,-1,8657,-1
QN08,St. Albans,24271,-1,3657,-1,1620,-1,2037,-1,20614,-1
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,12251,-1,1656,-1,428,-1,1228,-1,10595,-1
QN12,Hammels-Arverne-Edgemere,12197,-1,3703,-1,989,-1,2714,-1,8494,-1
QN15,Far Rockaway-Bayswater,18958,-1,5143,-1,1460,-1,3683,-1,13815,-1
QN17,Forest Hills,42014,-1,4850,-1,996,-1,3854,-1,37164,-1
QN18,Rego Park,13779,-1,1531,-1,420,-1,1111,-1,12248,-1
QN19,Glendale,13955,-1,1006,-1,386,-1,620,-1,12949,-1
QN20,Ridgewood,31825,-1,3203,-1,969,-1,2234,-1,28622,-1
QN21,Middle Village,18267,-1,1345,-1,283,-1,1062,-1,16922,-1
QN22,Flushing,32952,-1,8951,-1,4282,-1,4669,-1,24001,-1
QN23,College Point,11211,-1,1255,-1,513,-1,742,-1,9956,-1
QN25,Corona,24802,-1,5844,-1,1032,-1,4812,-1,18958,-1
QN26,North Corona,25971,-1,8331,-1,1517,-1,6814,-1,17640,-1
QN27,East Elmhurst,10992,-1,3277,-1,1248,-1,2029,-1,7715,-1
QN28,Jackson Heights,51798,-1,8439,-1,2892,-1,5547,-1,43359,-1
QN29,Elmhurst,40386,-1,7485,-1,3000,-1,4485,-1,32901,-1
QN30,Maspeth,13194,-1,2289,-1,351,-1,1938,-1,10905,-1
QN31,Hunters Point-Sunnyside-West Maspeth,33498,-1,5420,-1,1308,-1,4112,-1,28078,-1
QN33,Cambria Heights,9653,-1,1085,-1,208,-1,877,-1,8568,-1
QN34,Queens Village,27804,-1,3544,-1,1051,-1,2493,-1,24260,-1
QN35,Briarwood-Jamaica Hills,18499,-1,1712,-1,531,-1,1181,-1,16787,-1
QN37,Kew Gardens Hills,15520,-1,2300,-1,475,-1,1825,-1,13220,-1
QN38,Pomonok-Flushing Heights-Hillcrest,13521,-1,1475,-1,418,-1,1057,-1,12046,-1
QN41,Fresh Meadows-Utopia,7860,-1,429,-1,74,-1,355,-1,7431,-1
QN42,Oakland Gardens,13086,-1,1039,-1,319,-1,720,-1,12047,-1
QN43,Bellerose,11960,-1,904,-1,138,-1,766,-1,11056,-1
QN44,Glen Oaks-Floral Park-New Hyde Park,10245,-1,706,-1,249,-1,457,-1,9539,-1
QN45,Douglas Manor-Douglaston-Little Neck,12406,-1,670,-1,118,-1,552,-1,11736,-1
QN46,Bayside-Bayside Hills,21346,-1,1567,-1,254,-1,1313,-1,19779,-1
QN47,Ft. Totten-Bay Terrace-Clearview,10202,-1,892,-1,138,-1,754,-1,9310,-1
QN48,Auburndale,9079,-1,968,-1,238,-1,730,-1,8111,-1
QN49,Whitestone,14119,-1,1304,-1,235,-1,1069,-1,12815,-1
QN50,Elmhurst-Maspeth,12636,-1,1837,-1,596,-1,1241,-1,10799,-1
QN51,Murray Hill,24296,-1,3940,-1,1931,-1,2009,-1,20356,-1
QN52,East Flushing,12404,-1,2198,-1,677,-1,1521,-1,10206,-1
QN53,Woodhaven,26157,-1,3823,-1,764,-1,3059,-1,22334,-1
QN54,Richmond Hill,29812,-1,4138,-1,1336,-1,2802,-1,25674,-1
QN55,South Ozone Park,36869,-1,5287,-1,1966,-1,3321,-1,31582,-1
QN56,Ozone Park,9711,-1,1198,-1,232,-1,966,-1,8513,-1
QN57,Lindenwood-Howard Beach,12640,-1,3312,-1,430,-1,2882,-1,9328,-1
QN60,Kew Gardens,11877,-1,1869,-1,491,-1,1378,-1,10008,-1
QN61,Jamaica,22264,-1,3916,-1,1531,-1,2385,-1,18348,-1
QN62,Queensboro Hill,9280,-1,1672,-1,479,-1,1193,-1,7608,-1
QN63,Woodside,22542,-1,3812,-1,466,-1,3346,-1,18730,-1
QN66,Laurelton,11457,-1,1426,-1,502,-1,924,-1,10031,-1
QN68,Queensbridge-Ravenswood-Long Island City,7347,-1,1565,-1,227,-1,1338,-1,5782,-1
QN70,Astoria,41525,-1,5423,-1,1193,-1,4230,-1,36102,-1
QN71,Old Astoria,13694,-1,1149,-1,154,-1,995,-1,12545,-1
QN72,Steinway,25557,-1,2778,-1,571,-1,2207,-1,22779,-1
QN76,Baisley Park,14828,-1,3332,-1,1692,-1,1640,-1,11496,-1
QN98,Airport,0,-1,0,-1,0,-1,0,-1,0,-1
QN99,park-cemetery-etc-Queens,174,-1,4,-1,0,-1,4,-1,170,-1
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,13221,-1,1253,-1,293,-1,960,-1,11968,-1
SI05,New Springville-Bloomfield-Travis,17149,-1,1448,-1,367,-1,1081,-1,15701,-1
SI07,Westerleigh,11001,-1,942,-1,314,-1,628,-1,10059,-1
SI08,Grymes Hill-Clifton-Fox Hills,10348,-1,1651,-1,199,-1,1452,-1,8697,-1
SI11,Charleston-Richmond Valley-Tottenville,10352,-1,861,-1,386,-1,475,-1,9491,-1
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,12234,-1,1526,-1,372,-1,1154,-1,10708,-1
SI14,Grasmere-Arrochar-Ft. Wadsworth,6457,-1,455,-1,132,-1,323,-1,6002,-1
SI22,West New Brighton-New Brighton-St. George,12307,-1,1085,-1,268,-1,817,-1,11222,-1
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,14525,-1,1775,-1,479,-1,1296,-1,12750,-1
SI25,Oakwood-Oakwood Beach,9752,-1,1214,-1,296,-1,918,-1,8538,-1
SI28,Port Richmond,7872,-1,998,-1,207,-1,791,-1,6874,-1
SI32,Rossville-Woodrow,9141,-1,858,-1,243,-1,615,-1,8283,-1
SI35,New Brighton-Silver Lake,7741,-1,885,-1,340,-1,545,-1,6856,-1
SI36,Old Town-Dongan Hills-South Beach,10641,-1,1114,-1,143,-1,971,-1,9527,-1
SI37,Stapleton-Rosebank,10645,-1,1333,-1,342,-1,991,-1,9312,-1
SI45,New Dorp-Midland Beach,9435,-1,1005,-1,190,-1,815,-1,8430,-1
SI48,Arden Heights,11818,-1,991,-1,229,-1,762,-1,10827,-1
SI54,Great Kills,19361,-1,1771,-1,547,-1,1224,-1,17590,-1
SI99,park-cemetery-etc-Staten Island,0,-1,0,-1,0,-1,0,-1,0,-1
