area_id,area_name,b23024001,b23024001_moe,b23024002,b23024002_moe,b23024003,b23024003_moe,b23024004,b23024004_moe,b23024005,b23024005_moe,b23024006,b23024006_moe,b23024007,b23024007_moe,b23024008,b23024008_moe,b23024009,b23024009_moe,b23024010,b23024010_moe,b23024011,b23024011_moe,b23024012,b23024012_moe,b23024013,b23024013_moe,b23024014,b23024014_moe,b23024015,b23024015_moe,b23024016,b23024016_moe,b23024017,b23024017_moe,b23024018,b23024018_moe,b23024019,b23024019_moe,b23024020,b23024020_moe,b23024021,b23024021_moe,b23024022,b23024022_moe,b23024023,b23024023_moe,b23024024,b23024024_moe,b23024025,b23024025_moe,b23024026,b23024026_moe,b23024027,b23024027_moe,b23024028,b23024028_moe,b23024029,b23024029_moe,b23024030,b23024030_moe,b23024031,b23024031_moe
MN34,East Harlem North,36125,1487,10899,1002,2643,464,332,127,0,50,332,127,234,109,98,74,2311,446,8256,877,3823,516,0,50,3823,516,2688,457,1135,266,4433,650,25226,1523,2669,446,1064,257,0,50,1064,257,972,247,92,79,1605,347,22557,1465,18507,1235,0,50,18507,1235,16869,1162,1638,361,4050,606
MN35,Washington Heights North,45655,1696,8405,938,1025,243,242,128,0,52,242,128,159,108,83,81,783,203,7380,894,4658,626,0,52,4658,626,3557,522,1101,295,2722,547,37250,1724,2361,411,1026,270,99,156,927,230,756,206,171,109,1335,301,34889,1672,31090,1555,36,55,31054,1557,27309,1417,3745,611,3799,512
MN36,Washington Heights South,59706,2223,15130,1451,2797,607,653,234,0,56,653,234,344,189,309,144,2144,517,12333,1298,6864,861,0,56,6864,861,4444,670,2420,435,5469,839,44576,2230,3702,523,1660,330,0,56,1660,330,1264,261,396,180,2042,425,40874,2129,35996,2002,12,57,35984,2001,32602,1877,3382,504,4878,624
MN40,Upper East Side-Carnegie Hill,32963,1197,2031,447,215,141,51,62,0,52,51,62,36,59,15,55,164,114,1816,422,920,271,0,52,920,271,696,237,224,137,896,237,30932,1181,929,204,562,169,0,52,562,169,532,166,30,61,367,123,30003,1181,24386,1053,12,53,24374,1054,23338,1044,1036,239,5617,495
MN50,Stuyvesant Town-Cooper Village,16142,978,2060,787,214,188,53,61,0,22,53,61,31,49,22,39,161,183,1846,760,711,277,0,22,711,277,407,173,304,226,1135,703,14082,960,454,171,123,86,0,22,123,86,111,85,12,22,331,155,13628,940,12110,846,0,22,12110,846,11373,817,737,239,1518,646
MN99,park-cemetery-etc-Manhattan,1259,487,1113,476,469,304,36,56,0,32,36,56,3,30,33,56,433,307,644,326,153,103,0,32,153,103,60,46,93,74,491,338,146,71,39,47,0,32,0,32,0,32,0,32,0,32,39,47,107,69,73,67,0,32,73,67,51,50,22,46,34,43
QN01,South Jamaica,21392,1030,3685,536,566,187,141,93,0,46,141,93,78,69,63,76,425,163,3119,483,1958,344,0,46,1958,344,1102,249,856,279,1161,268,17707,1049,1303,254,631,176,0,46,631,176,486,151,145,87,672,168,16404,1008,14133,886,0,46,14133,886,12822,834,1311,232,2271,396
QN02,Springfield Gardens North,15870,1115,1485,419,431,201,69,67,0,31,69,67,0,31,69,67,362,161,1054,327,764,276,0,31,764,276,450,239,314,176,290,162,14385,1075,1299,440,470,192,0,31,470,192,422,182,48,62,829,371,13086,925,11642,855,0,31,11642,855,10497,815,1145,317,1444,405
QN03,Springfield Gardens South-Brookville,12586,790,1504,354,324,156,39,68,0,29,39,68,8,32,31,55,285,140,1180,289,614,182,0,29,614,182,373,146,241,96,566,177,11082,767,673,226,252,103,0,29,252,103,252,103,0,29,421,184,10409,706,8856,609,0,29,8856,609,8189,578,667,174,1553,306
QN05,Rosedale,17222,848,916,302,46,43,0,35,0,35,0,35,0,35,0,35,46,43,870,295,453,197,0,35,453,197,291,164,162,92,417,166,16306,867,659,196,375,155,0,35,375,155,355,153,20,37,284,116,15647,868,13793,749,0,35,13793,749,12899,754,894,212,1854,394
QN06,Jamaica Estates-Holliswood,15443,688,1416,441,220,131,49,53,0,36,49,53,49,53,0,36,171,123,1196,387,627,230,0,36,627,230,473,219,154,89,569,204,14027,694,963,283,482,216,0,36,482,216,444,208,38,59,481,206,13064,718,11037,650,0,36,11037,650,10432,634,605,198,2027,317
QN07,Hollis,13824,728,1559,406,189,83,38,43,0,36,38,43,21,39,17,38,151,74,1370,398,1163,354,0,36,1163,354,696,259,467,198,207,109,12265,757,1013,202,580,152,0,36,580,152,517,140,63,57,433,121,11252,714,9662,656,16,43,9646,655,8665,610,981,199,1590,283
QN08,St. Albans,31089,1080,1839,320,361,120,31,56,0,59,31,56,10,58,21,57,330,115,1478,291,948,222,0,59,948,222,581,179,367,120,530,156,29250,1092,2096,301,1075,198,0,59,1075,198,982,191,93,74,1021,210,27154,1039,24146,978,67,105,24079,977,21744,931,2335,307,3008,353
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,16950,806,1132,324,346,166,43,68,0,36,43,68,0,36,43,68,303,129,786,247,392,156,0,36,392,156,302,144,90,56,394,176,15818,797,1506,358,542,161,0,36,542,161,484,155,58,51,964,310,14312,723,11583,648,0,36,11583,648,10872,630,711,181,2729,353
QN12,Hammels-Arverne-Edgemere,19734,911,4431,596,1037,268,384,146,0,38,384,146,257,108,127,94,653,200,3394,496,1655,303,0,38,1655,303,953,222,702,184,1739,345,15303,961,1549,319,653,206,0,38,653,206,589,195,64,65,896,238,13754,922,11443,796,45,68,11398,797,10152,718,1246,307,2311,409
QN15,Far Rockaway-Bayswater,26715,1337,5120,660,1114,258,146,92,0,46,146,92,83,75,63,70,968,234,4006,614,2061,408,0,46,2061,408,1489,355,572,202,1945,388,21595,1386,2140,458,1244,346,0,46,1244,346,1158,331,86,84,896,221,19455,1340,16806,1130,34,69,16772,1129,15492,1068,1280,330,2649,439
QN17,Forest Hills,53796,1391,4149,658,805,240,188,117,0,64,188,117,140,111,48,69,617,184,3344,603,1507,316,0,64,1507,316,1027,234,480,194,1837,444,49647,1448,2578,354,1201,253,0,64,1201,253,991,218,210,125,1377,269,47069,1442,40337,1308,0,64,40337,1308,38033,1300,2304,381,6732,665
QN18,Rego Park,18187,719,1633,328,120,62,23,34,0,34,23,34,16,34,7,34,97,61,1513,314,838,199,0,34,838,199,534,171,304,137,675,216,16554,739,730,185,320,124,0,34,320,124,262,103,58,50,410,129,15824,737,13440,663,0,34,13440,663,12554,648,886,199,2384,313
QN19,Glendale,19843,863,1978,371,291,95,0,43,0,43,0,43,0,43,0,43,291,95,1687,335,709,193,0,43,709,193,493,170,216,99,978,246,17865,881,852,196,333,119,23,52,310,114,292,112,18,46,519,145,17013,871,13526,744,21,46,13505,743,12759,717,746,184,3487,474
QN20,Ridgewood,45396,1367,7919,814,568,146,114,72,0,56,114,72,79,67,35,62,454,130,7351,796,3244,420,0,56,3244,420,2475,362,769,185,4107,550,37477,1383,1805,295,783,183,0,56,783,183,650,169,133,79,1022,221,35672,1357,29952,1191,37,69,29915,1192,28210,1164,1705,288,5720,575
QN21,Middle Village,23867,918,1621,302,168,93,7,49,0,51,7,49,5,50,2,50,161,94,1453,296,693,194,0,51,693,194,445,164,248,109,760,187,22246,929,1230,208,525,132,0,51,525,132,473,121,52,73,705,158,21016,930,17344,793,12,50,17332,793,16479,777,853,172,3672,398
QN22,Flushing,45552,1747,8493,1029,767,204,135,104,0,54,135,104,91,89,44,69,632,180,7726,987,4603,689,0,54,4603,689,3411,558,1192,320,3123,559,37059,1785,2148,379,1085,281,0,54,1085,281,870,249,215,120,1063,260,34911,1770,29472,1611,0,54,29472,1611,27642,1529,1830,362,5439,626
QN23,College Point,14850,872,1171,272,172,99,57,64,0,34,57,64,57,64,0,34,115,73,999,258,570,188,0,34,570,188,469,152,101,71,429,134,13679,862,849,231,444,161,0,34,444,161,411,157,33,43,405,156,12830,857,10723,751,43,55,10680,748,9819,718,861,259,2107,340
QN25,Corona,33771,1596,6116,778,640,205,174,99,0,44,174,99,124,88,50,59,466,190,5476,749,3165,493,0,44,3165,493,2666,461,499,203,2311,446,27655,1596,2178,436,1158,308,0,44,1158,308,1022,278,136,99,1020,306,25477,1550,21875,1350,0,44,21875,1350,20657,1312,1218,262,3602,508
QN26,North Corona,34263,1788,7247,796,626,180,227,113,0,45,227,113,151,95,76,66,399,135,6621,752,3891,494,0,45,3891,494,3347,447,544,171,2730,447,27016,1603,1727,318,1071,246,0,45,1071,246,977,238,94,67,656,187,25289,1556,21838,1436,0,45,21838,1436,21063,1406,775,211,3451,448
QN27,East Elmhurst,14821,906,2486,450,234,112,43,44,0,34,43,44,5,31,38,46,191,107,2252,421,1317,324,0,34,1317,324,937,266,380,161,935,252,12335,881,795,202,390,134,0,34,390,134,358,130,32,42,405,142,11540,855,10045,790,0,34,10045,790,9392,759,653,166,1495,265
QN28,Jackson Heights,70219,2060,11281,1186,1011,278,253,115,0,66,253,115,186,104,67,81,758,235,10270,1154,6012,745,0,66,6012,745,4309,593,1703,394,4258,650,58938,2079,3042,447,1568,349,0,66,1568,349,1312,319,256,146,1474,285,55896,2055,47406,1828,45,83,47361,1826,44064,1748,3297,472,8490,712
