area_id,area_name,c23002f001,c23002f001_moe,c23002f002,c23002f002_moe,c23002f003,c23002f003_moe,c23002f004,c23002f004_moe,c23002f005,c23002f005_moe,c23002f006,c23002f006_moe,c23002f007,c23002f007_moe,c23002f008,c23002f008_moe,c23002f009,c23002f009_moe,c23002f010,c23002f010_moe,c23002f011,c23002f011_moe,c23002f012,c23002f012_moe,c23002f013,c23002f013_moe,c23002f014,c23002f014_moe,c23002f015,c23002f015_moe,c23002f016,c23002f016_moe,c23002f017,c23002f017_moe,c23002f018,c23002f018_moe,c23002f019,c23002f019_moe,c23002f020,c23002f020_moe,c23002f021,c23002f021_moe,c23002f022,c23002f022_moe,c23002f023,c23002f023_moe,c23002f024,c23002f024_moe,c23002f025,c23002f025_moe,c23002f026,c23002f026_moe,c23002f027,c23002f027_moe
BK32,Sunset Park West,12484,1134,6991,758,6470,728,5262,673,0,49,5262,673,4971,666,291,140,1208,263,521,163,42,61,42,61,0,49,479,157,5493,585,5039,573,3075,432,0,49,3075,432,2494,361,581,199,1964,339,454,127,14,48,14,48,0,49,440,127
BK33,Carroll Gardens-Columbia Street-Red Hook,3979,711,1803,384,1540,371,1043,268,0,45,1043,268,861,248,182,106,497,221,263,149,7,44,0,45,7,44,256,149,2176,463,1758,415,1179,338,0,45,1179,338,949,271,230,155,579,187,418,184,24,58,0,45,24,58,394,179
BK34,Sunset Park East,7769,1023,4055,662,3914,656,3104,590,0,59,3104,590,2849,553,255,148,810,201,141,92,11,60,11,60,0,59,130,91,3714,483,3467,464,2084,337,0,59,2084,337,1864,315,220,111,1383,279,247,112,1,58,1,58,0,59,246,112
BK35,Stuyvesant Heights,3875,674,1647,396,1430,382,1102,355,0,51,1102,355,817,278,285,193,328,134,217,111,9,52,0,51,9,52,208,110,2228,406,1918,363,1110,275,0,51,1110,275,851,236,259,141,808,224,310,133,75,81,75,81,0,51,235,119
BK37,Park Slope-Gowanus,5511,876,2784,528,2501,516,2040,457,0,58,2040,457,1867,433,173,128,461,211,283,127,99,100,99,100,0,58,184,95,2727,487,2354,460,1276,320,0,58,1276,320,1038,278,238,138,1078,284,373,150,18,61,18,61,0,58,355,148
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,3268,565,1561,366,1431,359,841,286,0,42,841,286,631,221,210,132,590,215,130,93,75,83,75,83,0,42,55,58,1707,331,1284,309,832,226,0,42,832,226,601,209,231,116,452,164,423,157,69,66,50,60,19,50,354,144
BK40,Windsor Terrace,1070,346,492,200,476,195,423,173,0,32,423,173,392,177,31,42,53,58,16,33,15,35,15,35,0,32,1,29,578,192,504,178,302,130,0,32,302,130,302,130,0,32,202,127,74,57,0,32,0,32,0,32,74,57
BK41,Kensington-Ocean Parkway,2351,644,1296,411,1276,411,1125,392,0,40,1125,392,989,327,136,137,151,98,20,42,0,40,0,40,0,40,20,42,1055,306,962,306,575,214,0,40,575,214,546,208,29,50,387,168,93,69,56,62,56,62,0,40,37,49
BK42,Flatbush,8541,1274,4298,738,4183,735,3605,672,0,68,3605,672,3365,652,240,131,578,214,115,96,30,81,30,81,0,68,85,86,4243,654,3973,633,2331,453,0,68,2331,453,2150,425,181,107,1642,379,270,133,15,70,15,70,0,68,255,132
BK43,Midwood,1359,476,813,338,796,336,653,320,0,51,653,320,593,266,60,91,143,111,17,53,7,51,7,51,0,51,10,53,546,234,487,215,257,151,0,51,257,151,237,142,20,59,230,148,59,69,0,51,0,51,0,51,59,69
BK44,Madison,469,220,179,100,177,100,146,84,0,46,146,84,116,76,30,59,31,51,2,45,0,46,0,46,0,46,2,45,290,177,290,177,210,130,0,46,210,130,196,127,14,53,80,72,0,46,0,46,0,46,0,46,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,1122,474,572,313,525,299,386,191,0,55,386,191,333,182,53,79,139,138,47,70,37,69,37,69,0,55,10,57,550,243,528,233,357,157,0,55,357,157,295,135,62,77,171,111,22,58,0,55,0,55,0,55,22,58
BK46,Ocean Parkway South,714,333,351,177,319,170,286,165,0,36,286,165,254,157,32,61,33,51,32,59,0,36,0,36,0,36,32,59,363,180,336,175,218,139,0,36,218,139,138,91,80,78,118,81,27,56,0,36,0,36,0,36,27,56
BK50,Canarsie,2967,664,1426,378,1287,367,807,266,0,70,807,266,720,256,87,92,480,189,139,96,25,74,25,74,0,70,114,92,1541,347,1419,335,842,241,0,70,842,241,726,217,116,118,577,184,122,92,0,70,0,70,0,70,122,92
BK58,Flatlands,1412,394,670,222,636,212,490,187,0,62,490,187,448,170,42,77,146,93,34,68,0,62,0,62,0,62,34,68,742,226,678,223,544,190,0,62,544,190,521,188,23,63,134,106,64,73,12,64,12,64,0,62,52,70
BK60,Prospect Lefferts Gardens-Wingate,2946,665,1122,337,1065,329,744,257,0,58,744,257,597,234,147,115,321,183,57,75,0,58,0,58,0,58,57,75,1824,443,1578,427,1021,321,0,58,1021,321,807,275,214,165,557,208,246,131,12,59,12,59,0,58,234,130
BK61,Crown Heights North,5027,870,2488,558,2367,550,1394,437,11,68,1383,437,1146,380,237,148,973,288,121,94,18,73,18,73,0,67,103,90,2539,475,2313,462,1036,257,0,67,1036,257,806,206,230,168,1277,315,226,116,0,67,0,67,0,67,226,116
BK63,Crown Heights South,1451,426,837,281,810,280,579,258,0,40,579,258,426,174,153,121,231,128,27,46,1,38,1,38,0,40,26,47,614,199,553,190,362,173,0,40,362,173,343,170,19,48,191,100,61,60,8,40,0,40,8,40,53,59
BK64,Prospect Heights,999,360,447,170,379,163,263,122,0,32,263,122,246,120,17,33,116,110,68,59,8,32,8,32,0,32,60,59,552,225,456,198,379,186,0,32,379,186,341,174,38,44,77,74,96,70,27,37,27,37,0,32,69,66
BK68,Fort Greene,2050,450,980,329,880,321,656,291,0,38,656,291,544,278,112,81,224,111,100,71,0,38,0,38,0,38,100,71,1070,239,914,232,564,188,0,38,564,188,542,186,22,47,350,133,156,66,0,38,0,38,0,38,156,66
BK69,Clinton Hill,2025,443,1138,304,1073,298,888,270,0,40,888,270,779,260,109,90,185,101,65,67,0,40,0,40,0,40,65,67,887,245,807,234,391,150,0,40,391,150,304,128,87,71,416,163,80,65,0,40,0,40,0,40,80,65
BK72,Williamsburg,931,329,371,173,282,160,177,122,0,36,177,122,120,84,57,94,105,75,89,62,17,42,0,36,17,42,72,58,560,201,421,168,152,96,0,36,152,96,152,96,0,36,269,132,139,100,0,36,0,36,0,36,139,100
BK73,North Side-South Side,2934,600,1389,334,1175,310,759,242,0,48,759,242,636,224,123,88,416,163,214,112,11,50,11,50,0,48,203,110,1545,341,1332,321,876,249,0,48,876,249,816,238,60,72,456,142,213,86,5,48,5,48,0,48,208,85
BK75,Bedford,4847,741,2292,469,2115,457,1672,415,0,56,1672,415,1454,394,218,130,443,146,177,92,3,54,3,54,0,56,174,93,2555,421,2297,408,1263,252,0,56,1263,252,1031,227,232,127,1034,263,258,100,14,57,14,57,0,56,244,99
BK76,Greenpoint,1563,366,767,256,748,253,422,156,0,42,422,156,355,145,67,76,326,197,19,45,0,42,0,42,0,42,19,45,796,228,756,215,584,170,0,42,584,170,568,168,16,43,172,115,40,59,28,60,0,42,28,60,12,40
BK77,Bushwick North,19735,1501,10389,1007,9874,991,7324,848,42,70,7282,849,6864,836,418,151,2550,418,515,163,51,58,51,58,0,54,464,158,9346,765,8731,737,4306,491,0,54,4306,491,4073,481,233,111,4425,497,615,164,24,64,24,64,0,54,591,161
BK78,Bushwick South,12222,1274,6237,749,5756,735,3880,533,0,56,3880,533,3356,505,524,198,1876,415,481,149,25,62,25,62,0,56,456,146,5985,682,5263,655,3040,478,0,56,3040,478,2465,387,575,235,2223,369,722,170,41,67,12,58,29,66,681,175
BK79,Ocean Hill,2688,537,1302,281,1142,264,730,198,0,38,730,198,657,191,73,68,412,155,160,93,0,38,0,38,0,38,160,93,1386,325,1257,314,724,224,0,38,724,224,666,222,58,59,533,186,129,74,52,60,52,60,0,38,77,55
BK81,Brownsville,3206,561,1160,299,1096,293,513,198,0,51,513,198,267,128,246,131,583,200,64,86,0,51,0,51,0,51,64,86,2046,357,1857,344,1171,261,0,51,1171,261,979,223,192,137,686,223,189,108,0,51,0,51,0,51,189,108
BK82,East New York,5384,814,2397,450,2206,442,1514,358,0,65,1514,358,1259,332,255,134,692,247,191,92,19,65,19,65,0,65,172,90,2987,493,2666,474,1753,359,0,65,1753,359,1506,316,247,150,913,251,321,125,28,70,28,70,0,65,293,122
BK83,Cypress Hills-City Line,4975,706,2341,399,2121,369,1574,300,38,64,1536,297,1422,294,114,72,547,167,220,98,45,63,45,63,0,49,175,90,2634,384,2330,354,1276,233,0,49,1276,233,1107,202,169,87,1054,241,304,119,32,62,32,62,0,49,272,113
BK85,East New York (Pennsylvania Ave),2576,583,1076,320,987,291,664,237,0,36,664,237,596,232,68,63,323,149,89,67,11,38,0,36,11,38,78,66,1500,350,1386,343,741,225,0,36,741,225,641,209,100,79,645,197,114,63,0,36,0,36,0,36,114,63
BK88,Borough Park,4560,864,2809,633,2669,626,2296,577,0,68,2296,577,2254,575,42,83,373,164,140,98,47,79,47,79,0,68,93,88,1751,358,1687,353,1032,257,0,68,1032,257,911,241,121,101,655,206,64,84,0,68,0,68,0,68,64,84
BK90,East Williamsburg,3422,566,1736,355,1478,337,1101,295,0,40,1101,295,962,273,139,96,377,143,258,116,11,42,11,42,0,40,247,115,1686,318,1422,294,773,212,0,40,773,212,659,184,114,92,649,241,264,117,3,39,3,39,0,40,261,117
BK91,East Flatbush-Farragut,747,280,419,187,378,183,235,119,0,54,235,119,216,113,19,61,143,117,41,60,10,54,10,54,0,54,31,59,328,147,308,146,132,83,0,54,132,83,101,73,31,63,176,105,20,53,8,54,8,54,0,54,12,53
BK93,Starrett City,564,394,6,21,6,21,0,24,0,24,0,24,0,24,0,24,6,21,0,24,0,24,0,24,0,24,0,24,558,394,485,387,282,201,0,24,282,201,282,201,0,24,203,206,73,80,0,24,0,24,0,24,73,80
BK95,Erasmus,776,300,394,161,386,160,332,149,0,36,332,149,289,146,43,55,54,61,8,34,0,36,0,36,0,36,8,34,382,166,366,164,231,105,0,36,231,105,196,98,35,41,135,106,16,37,0,36,0,36,0,36,16,37
BK96,Rugby-Remsen Village,842,306,370,185,305,168,264,164,0,54,264,164,236,162,28,58,41,63,65,79,12,56,12,56,0,54,53,77,472,202,450,199,311,135,0,54,311,135,253,124,58,74,139,141,22,61,0,54,0,54,0,54,22,61
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,8749,919,3832,541,3572,511,1910,382,0,40,1910,382,1622,341,288,146,1662,355,260,123,0,40,0,40,0,40,260,123,4917,572,4649,553,2500,359,0,40,2500,359,1934,332,566,237,2149,360,268,110,0,40,0,40,0,40,268,110
BX03,Eastchester-Edenwald-Baychester,4027,717,1683,430,1523,418,938,313,0,40,938,313,603,197,335,181,585,246,160,125,56,53,56,53,0,40,104,120,2344,410,2268,408,1403,315,0,40,1403,315,1252,301,151,112,865,239,76,74,0,40,0,40,0,40,76,74
BX05,Bedford Park-Fordham North,20293,1505,9470,1052,9096,1041,7081,866,0,50,7081,866,6190,827,891,268,2015,449,374,143,58,77,58,77,0,50,316,132,10823,839,10022,815,6101,643,0,50,6101,643,5597,599,504,191,3921,543,801,205,0,50,0,50,0,50,801,205
BX06,Belmont,7287,941,3426,566,3281,542,2551,482,0,34,2551,482,2430,475,121,74,730,232,145,86,3,33,3,33,0,34,142,86,3861,523,3712,513,1857,335,0,34,1857,335,1564,313,293,118,1855,348,149,81,13,38,13,38,0,34,136,78
BX07,Bronxdale,8857,1021,4584,822,4322,817,3236,760,0,38,3236,760,2862,752,374,181,1086,285,262,113,37,57,37,57,0,38,225,106,4273,494,3860,486,2424,368,0,38,2424,368,2018,351,406,154,1436,291,413,144,24,51,24,51,0,38,389,140
BX08,West Farms-Bronx River,11137,1195,5494,783,5011,768,4183,732,0,40,4183,732,3781,679,402,181,828,239,483,156,51,69,23,53,28,60,432,152,5643,647,5147,613,3083,470,0,40,3083,470,2582,430,501,208,2064,400,496,168,12,42,12,42,0,40,484,167
BX09,Soundview-Castle Hill-Clason Point-Harding Park,16234,1475,6818,849,5984,805,3536,505,0,50,3536,505,3369,494,167,100,2448,541,834,243,97,83,97,83,0,50,737,233,9416,878,8265,869,4975,608,0,50,4975,608,4742,559,233,154,3290,567,1151,252,19,57,19,57,0,50,1132,250
BX10,Pelham Bay-Country Club-City Island,4444,798,2177,459,2082,448,1613,368,0,34,1613,368,1443,368,170,115,469,238,95,82,40,56,40,56,0,34,55,69,2267,499,1979,455,1724,401,0,34,1724,401,1569,372,155,103,255,141,288,146,0,34,0,34,0,34,288,146
BX13,Co-op City,4648,915,2304,540,1937,519,1271,432,0,33,1271,432,1077,382,194,116,666,281,367,180,66,76,66,76,0,33,301,164,2344,521,1994,486,1199,346,0,33,1199,346,1086,321,113,129,795,294,350,174,67,80,67,80,0,33,283,168
BX14,East Concourse-Concourse Village,19283,1719,9213,1118,8520,1082,6316,911,0,51,6316,911,5465,868,851,281,2204,424,693,210,21,61,21,61,0,51,672,207,10070,915,9105,859,5263,674,0,51,5263,674,4439,618,824,255,3842,579,965,233,47,66,47,66,0,51,918,229
BX17,East Tremont,13944,1230,6145,901,5778,893,3603,776,45,81,3558,761,3022,722,536,236,2175,393,367,142,48,71,43,70,5,45,319,134,7799,629,6974,588,3720,411,0,45,3720,411,2957,393,763,237,3254,437,825,211,63,85,63,85,0,45,762,196
BX22,North Riverdale-Fieldston-Riverdale,1780,396,686,197,600,187,393,142,0,38,393,142,344,129,49,53,207,99,86,80,0,38,0,38,0,38,86,80,1094,255,1009,245,822,218,0,38,822,218,767,218,55,57,187,85,85,74,0,38,0,38,0,38,85,74
BX26,Highbridge,11350,962,4873,599,4643,583,2993,451,0,42,2993,451,2622,415,371,153,1650,361,230,97,29,47,29,47,0,42,201,93,6477,608,5865,581,3744,434,0,42,3744,434,3182,412,562,209,2121,397,612,159,7,40,7,40,0,42,605,159
BX27,Hunts Point,7821,717,3673,472,3257,462,1964,371,0,38,1964,371,1696,342,268,117,1293,276,416,130,23,40,23,40,0,38,393,128,4148,411,3620,394,2270,339,21,49,2249,339,1619,262,630,221,1350,263,528,147,15,44,15,44,0,38,513,144
BX28,Van Cortlandt Village,17341,1364,7405,835,6856,822,5679,722,0,43,5679,722,5005,680,674,197,1177,289,549,164,113,102,113,102,0,43,436,148,9936,871,8957,819,6087,644,0,43,6087,644,5057,574,1030,273,2870,473,979,252,78,81,78,81,0,43,901,246
BX29,Spuyten Duyvil-Kingsbridge,4830,639,2424,443,2193,422,1685,353,0,38,1685,353,1537,341,148,105,508,219,231,105,26,42,26,42,0,38,205,102,2406,352,2178,346,1425,284,0,38,1425,284,1316,281,109,87,753,224,228,100,12,40,12,40,0,38,216,99
BX30,Kingsbridge Heights,12993,1185,5951,774,5645,760,4332,672,0,38,4332,672,3582,634,750,250,1313,303,306,126,36,57,12,40,24,56,270,116,7042,714,6320,690,4607,550,0,38,4607,550,3699,488,908,289,1713,388,722,183,14,41,14,41,0,38,708,181
BX31,Allerton-Pelham Gardens,4423,661,1795,332,1623,311,1174,255,0,42,1174,255,921,215,253,120,449,156,172,84,0,42,0,42,0,42,172,84,2628,417,2249,369,1662,319,0,42,1662,319,1351,272,311,151,587,155,379,147,54,71,22,53,32,63,325,122
BX33,Longwood,8759,988,3922,642,3723,635,2676,552,0,36,2676,552,2455,542,221,104,1047,277,199,90,21,41,21,41,0,36,178,85,4837,524,4064,493,2142,336,0,36,2142,336,1886,329,256,109,1922,366,773,203,19,44,19,44,0,36,754,201
BX34,Melrose South-Mott Haven North,10491,1130,4141,652,3847,640,2838,559,0,42,2838,559,2259,520,579,222,1009,266,294,121,30,57,30,57,0,42,264,112,6350,702,5508,624,3095,475,0,42,3095,475,2693,432,402,163,2413,370,842,232,0,42,0,42,0,42,842,232
BX35,Morrisania-Melrose,11396,1110,4836,618,4509,599,3079,523,0,40,3079,523,2513,499,566,196,1430,301,327,143,42,50,42,50,0,40,285,139,6560,663,5893,608,3526,425,0,40,3526,425,3057,395,469,180,2367,388,667,204,60,100,60,100,0,40,607,179
BX36,University Heights-Morris Heights,19186,1348,9130,875,8472,848,6525,736,0,51,6525,736,5432,705,1093,283,1947,391,658,196,247,118,219,114,28,64,411,156,10056,772,9490,753,6239,612,0,51,6239,612,5067,538,1172,253,3251,432,566,162,11,53,11,53,0,51,555,161
BX37,Van Nest-Morris Park-Westchester Square,8377,870,3794,552,3573,539,2637,425,0,42,2637,425,2265,407,372,142,936,273,221,118,89,83,89,83,0,42,132,92,4583,536,4136,504,3067,444,0,42,3067,444,2658,381,409,208,1069,252,447,167,79,71,79,71,0,42,368,153
BX39,Mott Haven-Port Morris,11085,1018,5562,670,5218,641,3513,519,5,50,3508,519,3082,499,426,159,1705,354,344,138,50,67,50,67,0,50,294,131,5523,549,4910,523,2578,360,0,50,2578,360,2277,350,301,118,2332,349,613,169,53,70,53,70,0,50,560,159
BX40,Fordham South,8512,1100,3575,653,3542,650,2544,536,0,32,2544,536,2197,513,347,156,998,303,33,46,0,32,0,32,0,32,33,46,4937,668,4589,647,3080,539,0,32,3080,539,2334,429,746,217,1509,315,348,145,53,67,53,67,0,32,295,133
BX41,Mount Hope,18509,1349,8591,854,7989,832,6058,754,0,51,6058,754,4926,663,1132,281,1931,341,602,170,120,89,120,89,0,51,482,154,9918,774,9094,745,5652,547,0,51,5652,547,4742,493,910,221,3442,479,824,192,121,98,121,98,0,51,703,176
BX43,Norwood,11912,1427,5403,765,5032,704,4127,679,0,41,4127,679,3605,647,522,206,905,264,371,193,40,73,40,73,0,41,331,185,6509,862,5866,842,3781,589,0,41,3781,589,3176,514,605,205,2085,528,643,200,42,73,42,73,0,41,601,189
BX44,Williamsbridge-Olinville,5904,724,2624,441,2485,430,1822,359,0,54,1822,359,1572,333,250,122,663,182,139,85,23,63,0,54,23,63,116,78,3280,434,3037,400,1938,310,0,54,1938,310,1554,263,384,160,1099,248,243,124,22,62,22,62,0,54,221,107
BX46,Parkchester,5006,642,2234,359,1978,349,1627,308,0,36,1627,308,1487,300,140,92,351,167,256,121,0,36,0,36,0,36,256,121,2772,435,2574,417,1673,374,0,36,1673,374,1488,332,185,135,901,275,198,126,27,52,27,52,0,36,171,122
BX49,Pelham Parkway,5998,789,2797,520,2583,513,2129,486,0,38,2129,486,2111,484,18,48,454,178,214,115,0,38,0,38,0,38,214,115,3201,448,2857,410,1780,312,0,38,1780,312,1614,308,166,97,1077,301,344,155,28,58,28,58,0,38,316,149
BX52,Schuylerville-Throgs Neck-Edgewater Park,7760,985,3367,529,3159,519,2517,487,0,52,2517,487,2302,455,215,139,642,206,208,126,33,61,33,61,0,52,175,120,4393,629,3975,579,3059,501,0,52,3059,501,2656,424,403,240,916,267,418,200,30,76,0,52,30,76,388,179
BX55,Soundview-Bruckner,9988,1141,5185,754,4677,731,3711,660,0,40,3711,660,3494,651,217,119,966,253,508,192,114,92,114,92,0,40,394,155,4803,568,4361,530,2200,379,0,40,2200,379,1862,344,338,140,2161,340,442,147,48,47,48,47,0,40,394,142
BX59,Westchester-Unionport,8999,936,4373,600,4232,590,3430,550,0,36,3430,550,2938,464,492,228,802,245,141,85,10,38,10,38,0,36,131,84,4626,536,4348,533,2428,383,0,36,2428,383,2091,317,337,195,1920,385,278,132,35,53,35,53,0,36,243,124
BX62,Woodlawn-Wakefield,3311,569,1537,337,1315,295,1013,274,0,48,1013,274,842,251,171,97,302,117,222,123,138,106,138,106,0,48,84,78,1774,324,1661,315,1124,244,0,48,1124,244,993,229,131,94,537,178,113,76,0,48,0,48,0,48,113,76
BX63,West Concourse,12994,1253,6279,781,6085,753,4812,700,0,42,4812,700,4218,658,594,225,1273,316,194,108,35,57,35,57,0,42,159,103,6715,710,6346,693,4192,565,61,97,4131,548,3471,486,660,205,2154,379,369,136,42,64,42,64,0,42,327,128
BX75,Crotona Park East,7611,693,3309,428,2866,409,2034,359,0,29,2034,359,1691,327,343,130,832,209,443,138,21,36,21,36,0,29,422,136,4302,438,3874,412,2399,316,0,29,2399,316,1991,294,408,146,1475,280,428,147,29,37,29,37,0,29,399,145
BX98,Rikers Island,2191,217,2042,226,2023,227,0,17,0,17,0,17,0,17,0,17,2023,227,19,20,0,17,0,17,0,17,19,20,149,71,149,71,0,17,0,17,0,17,0,17,0,17,149,71,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,337,153,106,73,106,73,83,70,0,32,83,70,74,69,9,34,23,37,0,32,0,32,0,32,0,32,0,32,231,123,222,122,126,82,0,32,126,82,104,69,22,40,96,72,9,33,0,32,0,32,0,32,9,33
MN01,Marble Hill-Inwood,17999,1856,8873,1396,8330,1377,6768,1277,0,41,6768,1277,5612,1214,1156,355,1562,375,543,209,54,57,54,57,0,41,489,207,9126,924,7815,852,5408,691,0,41,5408,691,4109,546,1299,379,2407,447,1311,316,111,82,102,81,9,39,1200,316
MN03,Central Harlem North-Polo Grounds,5811,888,2445,497,2372,489,1599,379,22,67,1577,378,1231,318,346,185,773,285,73,106,10,61,10,61,0,59,63,105,3366,592,3049,529,1828,353,0,59,1828,353,1554,332,274,133,1221,342,317,160,0,59,0,59,0,59,317,160
MN04,Hamilton Heights,6284,1114,2852,642,2688,640,2043,580,0,46,2043,580,1879,567,164,109,645,220,164,100,39,54,11,46,28,51,125,91,3432,679,2868,609,1847,482,0,46,1847,482,1588,453,259,136,1021,328,564,201,28,63,28,63,0,46,536,196
MN06,Manhattanville,5506,958,2661,575,2401,495,1465,400,0,34,1465,400,1210,368,255,118,936,269,260,168,7,33,7,33,0,34,253,167,2845,517,2409,473,1299,337,0,34,1299,337,1131,313,168,103,1110,307,436,146,3,33,3,33,0,34,433,146
MN09,Morningside Heights,4314,911,1857,482,1646,462,804,245,0,45,804,245,687,219,117,105,842,413,211,149,26,59,26,59,0,45,185,142,2457,527,2199,507,844,232,0,45,844,232,786,209,58,72,1355,445,258,125,0,45,0,45,0,45,258,125
MN11,Central Harlem South,3381,605,1285,317,1250,315,785,233,0,45,785,233,745,228,40,55,465,185,35,52,0,45,0,45,0,45,35,52,2096,403,1872,365,1083,245,0,45,1083,245,1019,243,64,53,789,231,224,115,0,45,0,45,0,45,224,115
MN12,Upper West Side,3448,752,1405,365,1289,349,1019,302,0,68,1019,302,870,280,149,122,270,155,116,90,36,77,36,77,0,68,80,82,2043,491,1625,423,1073,308,0,68,1073,308,948,293,125,100,552,237,418,169,44,76,44,76,0,68,374,165
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2035,544,954,308,911,306,743,280,0,54,743,280,660,272,83,83,168,124,43,62,16,58,16,58,0,54,27,58,1081,361,860,290,528,221,0,54,528,221,446,190,82,119,332,169,221,139,0,54,0,54,0,54,221,139
MN14,Lincoln Square,685,347,242,147,226,144,201,141,0,48,201,141,201,141,0,48,25,54,16,51,0,48,0,48,0,48,16,51,443,253,342,217,170,105,0,48,170,105,136,88,34,73,172,201,101,84,0,48,0,48,0,48,101,84
MN15,Clinton,2368,651,1278,458,1118,438,881,400,0,43,881,400,729,363,152,94,237,153,160,137,24,57,24,57,0,43,136,132,1090,360,840,280,566,233,0,43,566,233,487,216,79,93,274,135,250,156,127,128,119,128,8,42,123,93
MN17,Midtown-Midtown South,510,228,332,152,245,139,185,125,0,51,185,125,166,122,19,54,60,77,87,77,0,51,0,51,0,51,87,77,178,122,119,114,66,102,0,51,66,102,66,102,0,51,53,72,59,67,8,51,8,51,0,51,51,64
