area_id,area_name,b05003g001,b05003g001_moe,b05003g002,b05003g002_moe,b05003g003,b05003g003_moe,b05003g004,b05003g004_moe,b05003g005,b05003g005_moe,b05003g006,b05003g006_moe,b05003g007,b05003g007_moe,b05003g008,b05003g008_moe,b05003g009,b05003g009_moe,b05003g010,b05003g010_moe,b05003g011,b05003g011_moe,b05003g012,b05003g012_moe,b05003g013,b05003g013_moe,b05003g014,b05003g014_moe,b05003g015,b05003g015_moe,b05003g016,b05003g016_moe,b05003g017,b05003g017_moe,b05003g018,b05003g018_moe,b05003g019,b05003g019_moe,b05003g020,b05003g020_moe,b05003g021,b05003g021_moe,b05003g022,b05003g022_moe,b05003g023,b05003g023_moe
BK32,Sunset Park West,1581,402,994,265,280,142,270,141,10,51,0,49,10,51,714,218,355,148,359,167,148,95,211,145,587,193,217,126,217,126,0,49,0,49,0,49,370,122,204,88,166,91,91,73,75,69
BK33,Carroll Gardens-Columbia Street-Red Hook,1626,452,718,240,419,207,419,207,0,45,0,45,0,45,299,116,273,112,26,49,26,49,0,45,908,306,386,175,386,175,0,45,0,45,0,45,522,206,437,193,85,58,10,46,75,57
BK34,Sunset Park East,1094,321,532,215,221,112,215,111,6,57,0,59,6,57,311,168,120,74,191,159,96,96,95,122,562,177,172,93,152,88,20,65,20,65,0,59,390,143,231,105,159,96,82,72,77,78
BK35,Stuyvesant Heights,1203,360,595,210,206,116,206,116,0,51,0,51,0,51,389,152,255,125,134,98,83,88,51,67,608,201,259,127,239,124,20,58,0,51,20,58,349,127,280,114,69,70,47,67,22,55
BK37,Park Slope-Gowanus,2862,430,1466,293,712,199,673,196,39,72,28,70,11,59,754,198,663,188,91,79,35,61,56,76,1396,269,629,175,571,169,58,76,46,75,12,59,767,183,642,172,125,71,75,64,50,60
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,1471,292,730,179,320,114,320,114,0,42,0,42,0,42,410,131,303,108,107,84,68,77,39,50,741,198,176,103,176,103,0,42,0,42,0,42,565,161,494,152,71,59,71,59,0,42
BK40,Windsor Terrace,721,236,308,136,136,74,136,74,0,32,0,32,0,32,172,104,117,93,55,55,34,44,21,45,413,154,217,90,217,90,0,32,0,32,0,32,196,115,170,102,26,39,20,40,6,31
BK41,Kensington-Ocean Parkway,950,303,480,168,214,98,195,96,19,42,0,40,19,42,266,119,160,94,106,74,43,51,63,65,470,165,186,84,163,82,23,42,0,40,23,42,284,134,155,108,129,77,52,51,77,64
BK42,Flatbush,2374,565,1087,311,466,194,382,176,84,88,36,81,48,77,621,199,241,139,380,150,234,123,146,107,1287,326,471,186,427,179,44,82,0,68,44,82,816,221,329,141,487,179,223,114,264,129
BK43,Midwood,656,238,323,124,59,57,59,57,0,51,0,51,0,51,264,112,108,82,156,88,83,67,73,68,333,143,79,92,69,92,10,51,0,51,10,51,254,116,88,71,166,98,100,72,66,67
BK44,Madison,310,142,168,95,67,60,61,61,6,46,0,46,6,46,101,68,56,56,45,51,21,49,24,49,142,91,78,82,78,82,0,46,0,46,0,46,64,56,20,51,44,52,10,47,34,49
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,745,243,426,160,227,108,227,108,0,55,0,55,0,55,199,99,120,82,79,76,42,63,37,69,319,135,138,82,138,82,0,55,0,55,0,55,181,113,98,84,83,93,55,80,28,73
BK46,Ocean Parkway South,131,82,43,44,19,37,15,38,4,34,0,36,4,34,24,40,10,37,14,39,10,38,4,35,88,72,41,50,36,51,5,35,0,36,5,35,47,44,43,44,4,34,0,36,4,34
BK50,Canarsie,676,229,370,165,105,99,105,99,0,70,0,70,0,70,265,147,164,105,101,104,67,87,34,75,306,125,52,86,52,86,0,70,0,70,0,70,254,107,145,93,109,84,90,82,19,71
BK58,Flatlands,1041,320,465,154,132,87,120,86,12,64,0,62,12,64,333,127,77,80,256,114,194,99,62,71,576,202,203,104,169,97,34,72,0,62,34,72,373,142,149,95,224,110,85,69,139,102
BK60,Prospect Lefferts Gardens-Wingate,1377,466,613,269,265,131,246,128,19,64,0,58,19,64,348,215,130,91,218,201,82,96,136,186,764,265,291,132,271,128,20,65,0,58,20,65,473,205,352,159,121,108,90,88,31,66
BK61,Crown Heights North,1929,384,925,271,367,159,367,159,0,67,0,67,0,67,558,219,392,178,166,141,35,74,131,116,1004,224,206,111,197,110,9,66,3,66,6,67,798,200,601,173,197,101,103,76,94,92
BK63,Crown Heights South,295,177,132,103,74,96,74,96,0,40,0,40,0,40,58,51,28,42,30,48,13,43,17,45,163,96,81,82,81,82,0,40,0,40,0,40,82,57,74,56,8,40,8,40,0,40
BK64,Prospect Heights,780,218,324,113,158,82,158,82,0,32,0,32,0,32,166,83,141,71,25,37,25,37,0,32,456,162,244,120,244,120,0,32,0,32,0,32,212,87,183,81,29,39,29,39,0,32
BK68,Fort Greene,1306,319,552,155,179,87,179,87,0,38,0,38,0,38,373,127,297,118,76,56,53,49,23,45,754,234,279,130,279,130,0,38,0,38,0,38,475,166,445,164,30,49,0,38,30,49
BK69,Clinton Hill,1550,373,893,282,201,107,187,104,14,43,0,40,14,43,692,225,511,198,181,114,79,70,102,96,657,179,195,113,195,113,0,40,0,40,0,40,462,130,373,121,89,58,46,53,43,46
BK72,Williamsburg,320,189,186,135,117,98,117,98,0,36,0,36,0,36,69,61,58,60,11,37,0,36,11,37,134,85,33,45,28,44,5,35,5,35,0,36,101,77,26,38,75,74,33,56,42,58
BK73,North Side-South Side,1337,368,568,192,133,77,132,77,1,47,0,48,1,47,435,179,308,135,127,99,43,60,84,79,769,237,224,111,224,111,0,48,0,48,0,48,545,183,366,152,179,107,104,88,75,61
BK75,Bedford,1419,350,674,212,306,140,267,134,39,69,0,56,39,69,368,138,180,95,188,112,66,70,122,104,745,208,268,123,221,116,47,69,0,56,47,69,477,152,292,125,185,99,62,64,123,94
BK76,Greenpoint,684,238,232,122,67,68,67,68,0,42,0,42,0,42,165,110,160,111,5,41,5,41,0,42,452,171,98,79,98,79,0,42,0,42,0,42,354,143,267,123,87,69,54,67,33,46
BK77,Bushwick North,1515,418,812,247,223,116,204,113,19,60,0,54,19,60,589,196,332,152,257,108,101,65,156,84,703,214,178,112,135,99,43,71,0,54,43,71,525,171,199,98,326,147,103,70,223,130
BK78,Bushwick South,2204,556,1126,334,411,179,411,179,0,56,0,56,0,56,715,245,522,219,193,119,89,93,104,85,1078,306,284,146,284,146,0,56,0,56,0,56,794,234,436,171,358,159,223,123,135,93
BK79,Ocean Hill,344,160,208,133,22,52,22,52,0,38,0,38,0,38,186,129,154,121,32,45,17,41,15,43,136,64,29,43,29,43,0,38,0,38,0,38,107,59,42,42,65,54,42,49,23,43
BK81,Brownsville,885,293,418,161,216,131,197,128,19,57,0,51,19,57,202,93,97,75,105,70,65,56,40,64,467,172,160,124,160,124,0,51,0,51,0,51,307,122,227,106,80,68,69,66,11,53
BK82,East New York,1270,364,574,201,305,170,305,170,0,65,0,65,0,65,269,117,184,108,85,73,66,71,19,66,696,217,230,138,218,137,12,66,0,65,12,66,466,170,313,146,153,90,110,86,43,74
BK83,Cypress Hills-City Line,712,219,304,123,46,57,25,55,21,49,21,49,0,49,258,105,104,65,154,85,97,73,57,57,408,131,72,63,68,63,4,49,4,49,0,49,336,112,129,79,207,87,118,73,89,61
BK85,East New York (Pennsylvania Ave),365,196,257,136,120,99,96,96,24,42,0,36,24,42,137,87,23,43,114,83,30,52,84,72,108,86,24,39,17,39,7,36,0,36,7,36,84,69,6,36,78,69,53,65,25,39
BK88,Borough Park,381,196,274,158,23,69,23,69,0,68,0,68,0,68,251,145,181,128,70,78,60,77,10,69,107,81,26,71,26,71,0,68,0,68,0,68,81,79,57,78,24,69,11,69,13,68
BK90,East Williamsburg,585,187,265,114,60,64,60,64,0,40,0,40,0,40,205,94,154,85,51,54,25,47,26,45,320,111,70,69,70,69,0,40,0,40,0,40,250,90,188,80,62,50,17,41,45,47
BK91,East Flatbush-Farragut,925,264,366,133,68,66,68,66,0,54,0,54,0,54,298,118,125,84,173,96,139,77,34,58,559,180,144,99,144,99,0,54,0,54,0,54,415,146,165,77,250,129,175,102,75,71
BK93,Starrett City,271,165,122,111,31,40,31,40,0,24,0,24,0,24,91,94,59,80,32,42,14,29,18,34,149,99,42,62,42,62,0,24,0,24,0,24,107,80,14,29,93,76,64,61,29,37
BK95,Erasmus,645,284,295,160,88,56,77,56,11,36,0,36,11,36,207,136,12,39,195,135,61,62,134,97,350,169,53,51,53,51,0,36,0,36,0,36,297,152,183,127,114,75,83,61,31,38
BK96,Rugby-Remsen Village,563,218,251,139,71,77,71,77,0,54,0,54,0,54,180,96,68,66,112,82,65,62,47,74,312,140,97,106,97,106,0,54,0,54,0,54,215,106,90,75,125,73,112,72,13,54
BK99,park-cemetery-etc-Brooklyn,35,55,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,35,55,0,40,0,40,0,40,0,40,0,40,35,55,20,49,15,44,8,40,7,40
BX01,Claremont-Bathgate,757,246,250,102,79,60,79,60,0,40,0,40,0,40,171,89,111,83,60,48,60,48,0,40,507,179,218,115,218,115,0,40,0,40,0,40,289,137,219,128,70,51,58,48,12,40
BX03,Eastchester-Edenwald-Baychester,827,358,492,249,170,140,170,140,0,40,0,40,0,40,322,177,224,139,98,75,81,72,17,45,335,156,178,112,178,112,0,40,0,40,0,40,157,90,74,58,83,73,45,51,38,62
BX05,Bedford Park-Fordham North,1458,391,698,223,253,123,253,123,0,50,0,50,0,50,445,171,321,156,124,68,66,54,58,67,760,241,344,145,313,141,31,61,25,63,6,48,416,151,213,116,203,94,109,64,94,64
BX06,Belmont,844,379,409,184,75,76,75,76,0,34,0,34,0,34,334,167,142,87,192,158,20,43,172,155,435,250,32,43,32,43,0,34,0,34,0,34,403,247,262,146,141,130,108,126,33,45
BX07,Bronxdale,1484,427,632,223,325,164,325,164,0,38,0,38,0,38,307,137,217,112,90,85,73,81,17,38,852,274,246,117,246,117,0,38,0,38,0,38,606,218,519,212,87,66,68,61,19,42
BX08,West Farms-Bronx River,2668,774,1182,321,416,170,416,170,0,40,0,40,0,40,766,254,319,145,447,193,152,98,295,154,1486,529,542,292,452,290,90,83,0,40,90,83,944,320,430,198,514,249,150,86,364,231
BX09,Soundview-Castle Hill-Clason Point-Harding Park,1444,497,843,371,328,272,328,272,0,50,0,50,0,50,515,233,291,162,224,138,134,86,90,102,601,199,112,66,112,66,0,50,0,50,0,50,489,171,380,150,109,88,79,82,30,59
BX10,Pelham Bay-Country Club-City Island,581,346,351,216,143,135,143,135,0,34,0,34,0,34,208,154,198,146,10,43,10,43,0,34,230,203,158,175,158,175,0,34,0,34,0,34,72,60,62,56,10,42,10,42,0,34
BX13,Co-op City,1532,886,606,357,129,117,129,117,0,33,0,33,0,33,477,337,409,323,68,86,68,86,0,33,926,558,176,191,176,191,0,33,0,33,0,33,750,517,670,507,80,86,61,80,19,28
BX14,East Concourse-Concourse Village,1491,505,777,293,351,192,351,192,0,51,0,51,0,51,426,165,260,138,166,96,74,65,92,87,714,270,158,112,158,112,0,51,0,51,0,51,556,207,317,157,239,117,95,67,144,102
BX17,East Tremont,1537,459,747,264,301,146,240,119,61,78,0,45,61,78,446,198,340,180,106,94,67,65,39,62,790,244,324,160,286,135,38,71,0,45,38,71,466,159,327,138,139,79,90,68,49,54
BX22,North Riverdale-Fieldston-Riverdale,548,193,284,123,174,100,174,100,0,38,0,38,0,38,110,76,100,74,10,39,10,39,0,38,264,99,100,75,100,75,0,38,0,38,0,38,164,76,134,72,30,44,30,44,0,38
BX26,Highbridge,636,229,316,119,111,71,111,71,0,42,0,42,0,42,205,97,126,82,79,52,63,50,16,40,320,143,113,113,113,113,0,42,0,42,0,42,207,89,43,44,164,85,58,52,106,73
BX27,Hunts Point,1369,430,549,176,220,95,220,95,0,38,0,38,0,38,329,120,251,107,78,54,27,37,51,51,820,302,228,116,223,117,5,37,5,37,0,38,592,262,446,245,146,71,100,62,46,44
BX28,Van Cortlandt Village,2345,540,1065,299,537,229,537,229,0,43,0,43,0,43,528,168,357,143,171,79,101,56,70,68,1280,377,462,236,453,236,9,44,0,43,9,44,818,259,507,207,311,123,181,103,130,80
BX29,Spuyten Duyvil-Kingsbridge,1304,397,634,215,231,126,203,118,28,58,0,38,28,58,403,168,267,147,136,92,61,59,75,69,670,247,287,140,247,125,40,72,40,72,0,38,383,170,272,151,111,82,111,82,0,38
BX30,Kingsbridge Heights,1226,428,442,158,141,86,141,86,0,38,0,38,0,38,301,122,201,109,100,61,48,49,52,48,784,326,144,89,112,81,32,48,14,42,18,45,640,286,333,244,307,148,125,101,182,109
BX31,Allerton-Pelham Gardens,1123,367,616,234,462,202,462,202,0,42,0,42,0,42,154,88,140,87,14,41,14,41,0,42,507,186,253,146,253,146,0,42,0,42,0,42,254,102,187,86,67,53,54,49,13,45
BX33,Longwood,792,252,310,128,142,92,142,92,0,36,0,36,0,36,168,82,115,68,53,44,53,44,0,36,482,172,179,88,179,88,0,36,0,36,0,36,303,127,98,74,205,92,131,63,74,55
BX34,Melrose South-Mott Haven North,855,326,278,124,97,62,97,62,0,42,0,42,0,42,181,102,96,77,85,72,37,57,48,60,577,251,160,91,160,91,0,42,0,42,0,42,417,198,279,160,138,87,102,78,36,57
BX35,Morrisania-Melrose,1620,443,735,221,286,150,270,149,16,41,0,40,16,41,449,153,273,118,176,93,103,80,73,61,885,262,255,119,255,119,0,40,0,40,0,40,630,185,461,157,169,88,74,62,95,54
BX36,University Heights-Morris Heights,2391,616,1105,323,640,247,640,247,0,51,0,51,0,51,465,150,292,125,173,90,84,72,89,69,1286,408,493,219,437,184,56,103,0,51,56,103,793,282,391,150,402,242,120,97,282,185
BX37,Van Nest-Morris Park-Westchester Square,1129,294,594,176,237,113,237,113,0,42,0,42,0,42,357,133,184,94,173,86,101,66,72,59,535,158,185,89,179,91,6,43,6,43,0,42,350,115,216,94,134,74,44,46,90,67
BX39,Mott Haven-Port Morris,1033,312,496,173,220,122,215,122,5,49,5,49,0,50,276,109,190,96,86,67,21,50,65,63,537,184,160,85,153,84,7,50,7,50,0,50,377,148,221,129,156,76,82,57,74,54
BX40,Fordham South,893,362,408,168,325,136,325,136,0,32,0,32,0,32,83,70,62,57,21,50,21,50,0,32,485,239,234,173,234,173,0,32,0,32,0,32,251,167,200,157,51,64,19,42,32,58
BX41,Mount Hope,1657,402,913,264,441,155,437,154,4,50,0,51,4,50,472,170,217,134,255,106,145,72,110,80,744,232,293,156,250,144,43,61,32,61,11,51,451,142,183,80,268,111,165,90,103,68
BX43,Norwood,1886,508,796,288,390,163,348,160,42,52,6,40,36,52,406,223,167,115,239,165,150,152,89,73,1090,301,356,142,327,145,29,49,12,44,17,46,734,228,469,170,265,129,128,96,137,84
BX44,Williamsbridge-Olinville,1542,452,652,211,380,160,380,160,0,54,0,54,0,54,272,105,143,83,129,80,112,79,17,54,890,330,511,245,511,245,0,54,0,54,0,54,379,153,302,136,77,64,68,63,9,54
BX46,Parkchester,1386,513,714,317,283,185,283,185,0,36,0,36,0,36,431,184,221,121,210,123,162,113,48,51,672,244,191,105,191,105,0,36,0,36,0,36,481,165,332,137,149,92,87,64,62,76
BX49,Pelham Parkway,642,220,399,160,186,115,186,115,0,38,0,38,0,38,213,114,91,63,122,89,62,60,60,76,243,130,101,77,101,77,0,38,0,38,0,38,142,77,85,63,57,54,46,52,11,40
BX52,Schuylerville-Throgs Neck-Edgewater Park,1463,398,677,230,353,160,353,160,0,52,0,52,0,52,324,152,198,103,126,120,92,113,34,64,786,230,300,117,275,109,25,64,0,52,25,64,486,167,414,157,72,68,17,53,55,66
BX55,Soundview-Bruckner,2948,745,1273,379,414,180,352,161,62,75,55,75,7,40,859,304,393,187,466,218,143,109,323,195,1675,440,662,266,574,245,88,85,41,73,47,59,1013,263,582,201,431,156,177,87,254,138
BX59,Westchester-Unionport,1379,381,601,202,202,104,192,103,10,38,0,36,10,38,399,167,337,160,62,55,18,33,44,55,778,303,379,184,338,182,41,66,36,66,5,35,399,180,237,111,162,155,103,79,59,92
BX62,Woodlawn-Wakefield,643,307,394,221,135,107,123,106,12,50,0,48,12,50,259,149,70,67,189,133,97,71,92,88,249,119,53,79,53,79,0,48,0,48,0,48,196,100,71,61,125,85,104,81,21,52
BX63,West Concourse,1139,357,565,201,196,145,196,145,0,42,0,42,0,42,369,142,148,85,221,109,106,84,115,80,574,209,123,84,123,84,0,42,0,42,0,42,451,174,232,130,219,96,129,72,90,69
BX75,Crotona Park East,585,257,310,157,155,96,146,94,9,30,0,29,9,30,155,103,118,100,37,39,22,33,15,35,275,138,124,106,124,106,0,29,0,29,0,29,151,87,102,81,49,36,21,28,28,35
BX98,Rikers Island,200,77,200,77,13,30,13,30,0,17,0,17,0,17,187,75,127,70,60,43,7,13,53,41,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,64,57,34,39,19,32,19,32,0,32,0,32,0,32,15,37,0,32,15,37,15,37,0,32,30,40,0,32,0,32,0,32,0,32,0,32,30,40,15,34,15,36,15,36,0,32
MN01,Marble Hill-Inwood,2508,537,1332,344,292,139,292,139,0,41,0,41,0,41,1040,310,566,250,474,188,314,153,160,100,1176,288,274,123,253,117,21,50,21,50,0,41,902,232,300,131,602,193,328,132,274,140
MN03,Central Harlem North-Polo Grounds,4251,761,2072,481,821,260,717,227,104,100,0,59,104,100,1251,344,715,233,536,261,136,92,400,250,2179,408,597,196,593,195,4,59,4,59,0,59,1582,317,852,218,730,228,399,147,331,162
MN04,Hamilton Heights,8355,1444,4310,883,1185,341,1089,316,96,91,22,54,74,86,3125,710,1153,378,1972,569,612,242,1360,463,4045,765,1115,323,982,304,133,107,35,67,98,96,2930,562,911,271,2019,476,1166,346,853,282
MN06,Manhattanville,2705,770,1463,416,367,168,325,152,42,75,0,34,42,75,1096,362,285,137,811,337,218,102,593,330,1242,436,301,214,301,214,0,34,0,34,0,34,941,281,331,148,610,232,241,121,369,192
MN09,Morningside Heights,2413,480,1066,289,324,151,310,145,14,48,0,45,14,48,742,227,578,209,164,89,47,60,117,79,1347,337,323,181,323,181,0,45,0,45,0,45,1024,262,656,205,368,169,273,136,95,75
MN11,Central Harlem South,1599,408,734,234,193,100,178,100,15,45,0,45,15,45,541,194,488,187,53,58,30,52,23,49,865,256,272,107,272,107,0,45,0,45,0,45,593,207,335,124,258,164,85,62,173,126
MN12,Upper West Side,4811,803,2260,469,915,283,852,275,63,87,11,68,52,87,1345,333,948,283,397,196,113,105,284,177,2551,488,1160,370,1141,369,19,73,0,68,19,73,1391,295,1011,251,380,161,175,115,205,124
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,3281,739,1561,487,464,229,464,229,0,54,0,54,0,54,1097,417,903,405,194,107,107,87,87,82,1720,435,743,333,743,333,0,54,0,54,0,54,977,264,744,227,233,133,171,128,62,63
MN14,Lincoln Square,1990,649,1155,535,698,496,698,496,0,48,0,48,0,48,457,213,402,204,55,69,34,63,21,56,835,262,197,144,197,144,0,48,0,48,0,48,638,223,246,131,392,184,191,128,201,146
MN15,Clinton,1512,483,748,270,212,139,212,139,0,43,0,43,0,43,536,193,348,156,188,109,93,78,95,77,764,330,152,208,55,79,97,142,0,43,97,142,612,218,378,180,234,122,155,109,79,81
MN17,Midtown-Midtown South,789,217,338,154,51,57,51,57,0,51,0,51,0,51,287,150,200,140,87,77,60,71,27,59,451,153,49,61,49,61,0,51,0,51,0,51,402,150,268,128,134,84,84,75,50,63
MN19,Turtle Bay-East Midtown,845,237,364,165,42,54,42,54,0,48,0,48,0,48,322,162,239,151,83,76,75,76,8,48,481,155,94,78,83,77,11,50,11,50,0,48,387,134,277,118,110,78,33,58,77,68
MN20,Murray Hill-Kips Bay,1003,334,503,213,56,85,56,85,0,42,0,42,0,42,447,187,305,148,142,96,142,96,0,42,500,195,131,86,131,86,0,42,0,42,0,42,369,174,333,168,36,55,12,44,24,54
MN21,Gramercy,608,252,298,150,71,71,71,71,0,34,0,34,0,34,227,133,160,100,67,84,67,84,0,34,310,147,83,65,83,65,0,34,0,34,0,34,227,134,206,132,21,34,13,36,8,32
MN22,East Village,1219,305,740,232,194,112,194,112,0,40,0,40,0,40,546,197,460,174,86,96,12,41,74,96,479,154,78,64,78,64,0,40,0,40,0,40,401,143,312,116,89,68,38,52,51,54
MN23,West Village,1907,453,956,322,318,190,318,190,0,56,0,56,0,56,638,222,566,204,72,104,22,59,50,102,951,294,315,177,315,177,0,56,0,56,0,56,636,225,545,212,91,85,84,84,7,55
MN24,SoHo-TriBeCa-Civic Center-Little Italy,1328,409,732,265,272,174,272,174,0,42,0,42,0,42,460,201,338,175,122,96,95,92,27,50,596,243,270,172,270,172,0,42,0,42,0,42,326,145,246,131,80,67,58,64,22,45
MN25,Battery Park City-Lower Manhattan,1146,370,572,220,237,154,237,154,0,42,0,42,0,42,335,151,249,142,86,62,44,53,42,49,574,226,211,146,211,146,0,42,0,42,0,42,363,154,183,107,180,116,50,53,130,109
MN27,Chinatown,1133,380,509,199,103,68,103,68,0,44,0,44,0,44,406,190,350,170,56,60,0,44,56,60,624,243,158,122,158,122,0,44,0,44,0,44,466,190,286,130,180,128,97,79,83,75
MN28,Lower East Side,3303,617,1504,349,257,126,257,126,0,56,0,56,0,56,1247,315,720,248,527,195,213,135,314,151,1799,392,321,148,321,148,0,56,0,56,0,56,1478,320,997,260,481,179,295,127,186,134
MN31,Lenox Hill-Roosevelt Island,1871,478,905,307,452,235,425,232,27,57,12,53,15,57,453,199,354,168,99,96,35,64,64,72,966,279,284,138,258,132,26,56,12,54,14,55,682,253,364,152,318,211,264,198,54,90
MN32,Yorkville,1249,324,422,158,179,94,179,94,0,50,0,50,0,50,243,132,117,79,126,112,97,109,29,57,827,258,213,107,213,107,0,50,0,50,0,50,614,227,439,197,175,119,60,86,115,96
MN33,East Harlem South,1908,493,891,282,151,103,138,97,13,50,0,50,13,50,740,251,479,204,261,154,71,71,190,129,1017,294,159,84,149,82,10,50,0,50,10,50,858,274,582,211,276,135,102,87,174,106
MN34,East Harlem North,2289,722,1101,403,459,266,440,265,19,58,0,50,19,58,642,227,472,199,170,95,69,68,101,81,1188,379,346,181,334,178,12,50,0,50,12,50,842,263,617,204,225,123,139,101,86,86
MN35,Washington Heights North,2487,597,1241,314,392,172,381,172,11,54,0,52,11,54,849,254,408,159,441,173,214,121,227,122,1246,378,346,177,328,175,18,54,0,52,18,54,900,252,436,170,464,179,265,118,199,132
MN36,Washington Heights South,5080,983,2304,511,729,257,636,236,93,84,41,70,52,73,1575,381,678,239,897,289,331,185,566,236,2776,643,793,243,703,235,90,88,25,66,65,81,1983,495,743,232,1240,409,633,190,607,336
MN40,Upper East Side-Carnegie Hill,930,292,371,140,276,128,209,101,67,92,41,85,26,64,95,65,51,57,44,60,29,58,15,55,559,230,321,184,187,103,134,160,0,52,134,160,238,107,172,94,66,69,33,61,33,61
MN50,Stuyvesant Town-Cooper Village,480,228,227,168,0,22,0,22,0,22,0,22,0,22,227,168,169,150,58,61,42,54,16,30,253,136,89,89,89,89,0,22,0,22,0,22,164,90,124,80,40,41,26,32,14,27
MN99,park-cemetery-etc-Manhattan,33,46,28,45,0,32,0,32,0,32,0,32,0,32,28,45,28,45,0,32,0,32,0,32,5,31,0,32,0,32,0,32,0,32,0,32,5,31,5,31,0,32,0,32,0,32
QN01,South Jamaica,1594,417,668,223,314,150,292,147,22,52,15,52,7,46,354,128,163,91,191,95,129,77,62,61,926,248,294,129,278,126,16,51,0,46,16,51,632,183,226,114,406,147,235,94,171,95
QN02,Springfield Gardens North,129,91,42,50,9,32,9,32,0,31,0,31,0,31,33,47,33,47,0,31,0,31,0,31,87,72,34,54,34,54,0,31,0,31,0,31,53,54,53,54,0,31,0,31,0,31
QN03,Springfield Gardens South-Brookville,609,302,295,196,131,111,131,111,0,29,0,29,0,29,164,112,103,99,61,58,21,31,40,51,314,156,68,57,68,57,0,29,0,29,0,29,246,135,189,117,57,57,22,37,35,51
QN05,Rosedale,469,218,182,104,79,83,79,83,0,35,0,35,0,35,103,68,72,65,31,39,20,36,11,35,287,140,82,67,82,67,0,35,0,35,0,35,205,108,100,79,105,72,105,72,0,35
QN06,Jamaica Estates-Holliswood,1088,327,485,184,144,104,128,95,16,42,16,42,0,36,341,122,151,83,190,97,152,87,38,56,603,194,173,109,173,109,0,36,0,36,0,36,430,150,158,93,272,130,169,105,103,81
