area_id,area_name,c21001b001,c21001b001_moe,c21001b002,c21001b002_moe,c21001b003,c21001b003_moe,c21001b004,c21001b004_moe,c21001b005,c21001b005_moe,c21001b006,c21001b006_moe,c21001b007,c21001b007_moe,c21001b008,c21001b008_moe,c21001b009,c21001b009_moe,c21001b010,c21001b010_moe,c21001b011,c21001b011_moe,c21001b012,c21001b012_moe,c21001b013,c21001b013_moe,c21001b014,c21001b014_moe,c21001b015,c21001b015_moe
BK46,Ocean Parkway South,125,69,35,42,33,41,0,36,33,41,2,34,0,36,2,34,90,58,71,57,0,36,71,57,19,35,0,36,19,35
BK50,Canarsie,53363,1555,22741,944,20957,900,968,219,19989,895,1784,266,153,89,1631,253,30622,995,27283,933,128,99,27155,934,3339,348,0,70,3339,348
BK58,Flatlands,39469,1340,17027,833,15032,809,430,146,14602,814,1995,252,175,88,1820,241,22442,838,18948,772,162,90,18786,772,3494,314,8,63,3486,314
BK60,Prospect Lefferts Gardens-Wingate,43230,1726,18364,1064,15493,929,815,264,14678,865,2871,375,314,130,2557,360,24866,1111,20270,994,173,116,20097,979,4596,453,0,58,4596,453
BK61,Crown Heights North,58533,1680,24015,1115,20621,1072,1079,246,19542,1073,3394,368,664,180,2730,333,34518,1185,28093,1133,162,101,27931,1126,6425,461,25,68,6400,459
BK63,Crown Heights South,21153,1049,9064,706,7864,685,294,117,7570,671,1200,202,262,93,938,192,12089,682,9805,638,40,52,9765,636,2284,259,0,40,2284,259
BK64,Prospect Heights,5012,630,2282,436,1970,406,143,108,1827,369,312,122,34,40,278,121,2730,351,2123,314,0,32,2123,314,607,169,0,32,607,169
BK68,Fort Greene,9482,741,3546,459,3133,425,218,102,2915,413,413,134,118,54,295,126,5936,460,4671,425,67,61,4604,424,1265,191,0,38,1265,191
BK69,Clinton Hill,12631,873,5650,580,4634,538,381,133,4253,514,1016,198,303,119,713,170,6981,547,5471,483,52,65,5419,481,1510,206,0,40,1510,206
BK72,Williamsburg,717,192,305,142,231,136,6,36,225,135,74,69,7,37,67,68,412,126,254,105,0,36,254,105,158,86,0,36,158,86
BK73,North Side-South Side,2072,447,897,273,850,270,14,49,836,269,47,53,16,49,31,51,1175,283,1052,266,0,48,1052,266,123,69,0,48,123,69
BK75,Bedford,28957,1298,12542,811,10957,769,522,147,10435,761,1585,254,392,126,1193,226,16415,821,13854,772,74,75,13780,769,2561,290,0,56,2561,290
BK76,Greenpoint,264,115,178,102,178,102,8,43,170,102,0,42,0,42,0,42,86,63,79,63,0,42,79,63,7,41,0,42,7,41
BK77,Bushwick North,5789,769,2714,443,2567,442,161,89,2406,436,147,73,24,56,123,71,3075,444,2721,430,14,56,2707,430,354,112,0,54,354,112
BK78,Bushwick South,16823,1119,6725,632,5773,608,282,123,5491,589,952,183,209,105,743,161,10098,732,8570,693,58,72,8512,689,1528,226,23,59,1505,227
BK79,Ocean Hill,18503,966,7662,612,6560,587,596,182,5964,551,1102,199,103,60,999,193,10841,614,9282,592,119,83,9163,575,1559,215,0,38,1559,215
BK81,Brownsville,32290,1158,11547,751,10150,720,314,125,9836,711,1397,241,272,105,1125,221,20743,843,17420,807,86,79,17334,805,3323,306,23,52,3300,306
BK82,East New York,45725,1547,18083,938,15915,885,668,174,15247,872,2168,296,315,112,1853,277,27642,1023,23597,990,141,100,23456,988,4045,374,22,73,4023,373
BK83,Cypress Hills-City Line,9395,945,4245,522,3893,492,86,68,3807,492,352,118,50,61,302,111,5150,568,4696,548,37,64,4659,546,454,114,0,49,454,114
BK85,East New York (Pennsylvania Ave),14824,825,6029,513,5511,505,181,95,5330,487,518,129,60,46,458,121,8795,547,7894,523,45,46,7849,523,901,146,0,36,901,146
BK88,Borough Park,713,213,357,144,307,140,37,75,270,135,50,74,18,68,32,73,356,126,271,118,0,68,271,118,85,80,0,68,85,80
BK90,East Williamsburg,2644,406,915,272,738,256,86,72,652,253,177,75,71,56,106,63,1729,303,1137,263,0,40,1137,263,592,142,0,40,592,142
BK91,East Flatbush-Farragut,38227,1323,16352,837,13862,808,554,161,13308,798,2490,286,249,89,2241,277,21875,819,17932,804,82,77,17850,804,3943,334,11,57,3932,334
BK93,Starrett City,4630,606,1152,321,939,311,34,45,905,315,213,98,91,64,122,70,3478,440,2755,418,0,24,2755,418,723,195,0,24,723,195
BK95,Erasmus,19789,1006,8312,617,7269,601,146,81,7123,594,1043,181,112,68,931,170,11477,690,9712,639,25,44,9687,641,1765,240,0,36,1765,240
BK96,Rugby-Remsen Village,40593,1344,17105,852,14412,793,648,181,13764,778,2693,318,341,106,2352,306,23488,908,19436,867,156,89,19280,872,4052,392,10,52,4042,392
BK99,park-cemetery-etc-Brooklyn,58,79,39,58,39,58,0,40,39,58,0,40,0,40,0,40,19,48,19,48,0,40,19,48,0,40,0,40,0,40
BX01,Claremont-Bathgate,10285,820,4266,521,3907,524,131,77,3776,520,359,171,62,66,297,164,6019,572,5219,502,0,40,5219,502,800,200,0,40,800,200
BX03,Eastchester-Edenwald-Baychester,19628,1216,8191,755,7034,760,401,155,6633,766,1157,223,284,124,873,203,11437,764,9809,727,116,84,9693,717,1628,253,0,40,1628,253
BX05,Bedford Park-Fordham North,8421,867,3988,535,3642,517,157,99,3485,513,346,150,30,52,316,144,4433,518,4038,503,69,84,3969,507,395,150,16,54,379,149
BX06,Belmont,3893,494,1696,293,1568,287,74,63,1494,282,128,75,13,36,115,75,2197,347,1957,302,0,34,1957,302,240,127,0,34,240,127
BX07,Bronxdale,8353,675,3628,462,3309,444,225,113,3084,442,319,122,39,44,280,114,4725,426,3956,378,46,56,3910,377,769,195,0,38,769,195
BX08,West Farms-Bronx River,8022,837,3720,490,3500,486,257,129,3243,471,220,105,53,55,167,97,4302,533,3661,512,0,40,3661,512,641,178,0,40,641,178
BX09,Soundview-Castle Hill-Clason Point-Harding Park,16082,1002,6389,616,5508,604,512,185,4996,570,881,168,292,106,589,145,9693,673,7725,600,114,88,7611,600,1968,291,0,50,1968,291
BX10,Pelham Bay-Country Club-City Island,578,228,161,96,156,96,29,47,127,90,5,33,0,34,5,33,417,196,316,178,0,34,316,178,101,90,0,34,101,90
BX13,Co-op City,22992,1335,9479,879,7429,819,616,254,6813,744,2050,381,731,200,1319,346,13513,906,9944,890,32,39,9912,889,3569,391,0,33,3569,391
BX14,East Concourse-Concourse Village,19877,1155,9244,763,8006,723,457,178,7549,693,1238,240,441,145,797,195,10633,765,8496,722,39,64,8457,723,2137,296,0,51,2137,296
BX17,East Tremont,9670,781,3912,529,3592,516,166,95,3426,507,320,99,97,63,223,86,5758,522,5134,496,20,52,5114,498,624,159,0,45,624,159
BX22,North Riverdale-Fieldston-Riverdale,1947,351,948,242,713,215,5,37,708,215,235,114,87,54,148,102,999,194,665,155,0,38,665,155,334,126,0,38,334,126
BX26,Highbridge,10338,828,4875,532,4479,522,322,142,4157,509,396,133,63,66,333,124,5463,527,4805,507,46,56,4759,512,658,163,0,42,658,163
BX27,Hunts Point,4888,541,2299,309,2180,303,127,78,2053,292,119,56,51,42,68,50,2589,348,2379,331,15,40,2364,330,210,81,0,38,210,81
BX28,Van Cortlandt Village,8642,776,3602,460,3348,449,168,102,3180,429,254,102,14,43,240,100,5040,519,4306,496,0,43,4306,496,734,211,0,43,734,211
BX29,Spuyten Duyvil-Kingsbridge,2169,356,877,196,775,187,41,56,734,189,102,57,25,35,77,50,1292,227,971,202,0,38,971,202,321,99,0,38,321,99
BX30,Kingsbridge Heights,5439,760,2193,477,1870,471,215,97,1655,459,323,110,110,72,213,88,3246,444,2682,371,80,119,2602,352,564,185,0,38,564,185
BX31,Allerton-Pelham Gardens,9027,819,4184,524,3595,493,181,94,3414,486,589,169,103,64,486,164,4843,494,3748,431,13,44,3735,431,1095,208,0,42,1095,208
BX33,Longwood,5113,598,2051,375,1857,358,40,46,1817,357,194,88,59,55,135,73,3062,386,2587,349,44,56,2543,342,475,146,0,36,475,146
BX34,Melrose South-Mott Haven North,9262,915,3485,460,3218,453,180,111,3038,461,267,112,50,55,217,104,5777,653,5200,611,21,47,5179,611,577,170,0,42,577,170
BX35,Morrisania-Melrose,11419,859,5170,548,4648,529,197,106,4451,526,522,139,75,55,447,136,6249,540,5379,526,43,53,5336,523,870,172,0,40,870,172
BX36,University Heights-Morris Heights,14008,993,6227,694,5654,683,384,142,5270,664,573,152,151,80,422,134,7781,630,6832,592,111,117,6721,576,949,195,0,51,949,195
BX37,Van Nest-Morris Park-Westchester Square,2396,515,1413,328,1357,330,140,103,1217,328,56,49,9,44,47,47,983,266,898,241,62,60,836,235,85,65,0,42,85,65
BX39,Mott Haven-Port Morris,12486,988,5294,600,4773,575,319,149,4454,538,521,133,71,60,450,127,7192,634,6086,617,46,61,6040,617,1106,200,0,50,1106,200
BX40,Fordham South,6387,782,2644,504,2465,493,226,154,2239,474,179,98,78,74,101,70,3743,486,3356,459,71,74,3285,457,387,155,0,32,387,155
BX41,Mount Hope,12135,886,5791,589,5458,582,259,107,5199,571,333,108,48,60,285,103,6344,523,5659,499,19,50,5640,501,685,147,0,51,685,147
BX43,Norwood,6954,834,2812,446,2463,409,133,83,2330,400,349,141,20,38,329,139,4142,559,3685,548,44,62,3641,546,457,155,10,42,447,155
BX44,Williamsbridge-Olinville,33445,1387,14167,841,12472,803,717,169,11755,781,1695,246,363,116,1332,215,19278,860,16046,803,143,80,15903,799,3232,321,10,55,3222,321
BX46,Parkchester,11863,964,5456,598,4782,561,555,219,4227,552,674,207,104,59,570,198,6407,602,5281,509,42,46,5239,507,1126,263,18,42,1108,261
BX49,Pelham Parkway,2581,394,1085,250,944,228,50,67,894,212,141,91,10,39,131,89,1496,263,1303,243,0,38,1303,243,193,100,0,38,193,100
BX52,Schuylerville-Throgs Neck-Edgewater Park,3666,621,1837,353,1586,344,44,63,1542,342,251,108,131,90,120,82,1829,355,1586,334,0,52,1586,334,243,99,0,52,243,99
BX55,Soundview-Bruckner,7563,751,3264,425,2866,417,131,85,2735,410,398,117,118,64,280,103,4299,487,3706,468,10,42,3696,467,593,142,0,40,593,142
BX59,Westchester-Unionport,3567,564,1501,307,1354,302,146,85,1208,289,147,74,21,39,126,77,2066,385,1742,367,0,36,1742,367,324,138,0,36,324,138
BX62,Woodlawn-Wakefield,22215,1116,9233,651,8196,639,425,153,7771,621,1037,186,153,70,884,178,12982,745,10946,676,110,83,10836,679,2036,286,0,48,2036,286
BX63,West Concourse,8062,838,3498,455,3313,446,140,87,3173,436,185,87,30,45,155,84,4564,543,4053,496,0,42,4053,496,511,150,0,42,511,150
BX75,Crotona Park East,3824,474,1659,285,1489,279,57,49,1432,276,170,68,69,46,101,61,2165,312,1864,296,0,29,1864,296,301,110,0,29,301,110
BX98,Rikers Island,5290,481,4715,454,4681,461,97,53,4584,460,34,34,0,17,34,34,575,266,575,266,0,17,575,266,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,293,98,127,63,104,57,0,32,104,57,23,32,12,34,11,30,166,70,161,69,0,32,161,69,5,30,0,32,5,30
MN01,Marble Hill-Inwood,4753,621,1741,356,1561,343,75,91,1486,333,180,92,24,40,156,89,3012,444,2548,428,38,66,2510,413,464,127,0,41,464,127
MN03,Central Harlem North-Polo Grounds,42053,1576,18763,1071,16194,1036,1074,289,15120,1015,2569,373,962,224,1607,308,23290,1068,18463,1008,246,138,18217,1011,4827,435,35,70,4792,434
MN04,Hamilton Heights,17381,1195,7924,781,6737,744,407,181,6330,715,1187,254,442,164,745,204,9457,875,7592,838,102,89,7490,839,1865,268,16,49,1849,267
MN06,Manhattanville,6731,683,3017,402,2715,385,168,93,2547,380,302,109,40,46,262,102,3714,489,3046,440,0,34,3046,440,668,212,0,34,668,212
MN09,Morningside Heights,7133,820,3001,535,2589,486,106,72,2483,486,412,179,104,88,308,161,4132,485,2924,470,28,61,2896,466,1208,265,0,45,1208,265
MN11,Central Harlem South,21682,1157,9436,798,8299,781,395,135,7904,781,1137,227,306,118,831,195,12246,781,10518,742,57,78,10461,738,1728,280,0,45,1728,280
MN12,Upper West Side,12965,1144,5499,806,4111,739,258,166,3853,696,1388,279,578,189,810,213,7466,758,5194,706,31,76,5163,701,2272,387,52,88,2220,380
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,3570,544,1596,349,1444,340,5,52,1439,340,152,83,71,63,81,72,1974,384,1677,347,0,54,1677,347,297,179,0,54,297,179
MN14,Lincoln Square,2193,500,814,313,655,303,15,49,640,304,159,101,71,77,88,73,1379,427,960,389,0,48,960,389,419,160,0,48,419,160
MN15,Clinton,2960,485,1593,359,1322,328,149,114,1173,307,271,147,98,106,173,113,1367,297,1064,281,0,43,1064,281,303,133,0,43,303,133
MN17,Midtown-Midtown South,1225,270,710,222,610,214,69,62,541,211,100,83,22,54,78,80,515,164,416,140,11,55,405,140,99,77,0,51,99,77
MN19,Turtle Bay-East Midtown,1015,299,555,220,424,201,0,48,424,201,131,99,0,48,131,99,460,175,394,164,14,50,380,165,66,77,0,48,66,77
MN20,Murray Hill-Kips Bay,1918,545,1033,355,925,340,14,51,911,344,108,79,11,45,97,78,885,308,763,300,0,42,763,300,122,96,12,43,110,93
MN21,Gramercy,785,264,402,213,398,213,0,34,398,213,4,31,0,34,4,31,383,147,333,140,0,34,333,140,50,50,0,34,50,50
MN22,East Village,2289,522,1278,285,1117,269,111,97,1006,252,161,79,75,66,86,56,1011,357,915,346,19,43,896,345,96,66,0,40,96,66
MN23,West Village,1287,290,510,160,457,150,0,56,457,150,53,76,11,57,42,73,777,239,618,219,0,56,618,219,159,96,0,56,159,96
MN24,SoHo-TriBeCa-Civic Center-Little Italy,818,244,424,179,416,178,0,42,416,178,8,40,0,42,8,40,394,149,314,130,10,39,304,129,80,71,0,42,80,71
MN25,Battery Park City-Lower Manhattan,1155,342,634,208,633,208,0,42,633,208,1,38,0,42,1,38,521,209,438,199,0,42,438,199,83,64,0,42,83,64
MN27,Chinatown,1785,328,1136,245,1059,234,43,48,1016,231,77,66,33,55,44,55,649,196,563,183,5,42,558,183,86,68,0,44,86,68
MN28,Lower East Side,6229,788,2805,492,2417,476,118,93,2299,468,388,144,182,107,206,104,3424,479,2707,452,47,71,2660,450,717,185,0,56,717,185
MN31,Lenox Hill-Roosevelt Island,2983,524,1363,315,1116,278,17,58,1099,277,247,141,56,76,191,126,1620,358,1255,328,0,53,1255,328,365,136,0,53,365,136
MN32,Yorkville,2424,470,969,317,859,304,54,69,805,297,110,103,16,49,94,102,1455,339,1138,319,2,49,1136,319,317,122,0,50,317,122
MN33,East Harlem South,13297,948,5790,652,5073,612,280,127,4793,606,717,186,204,97,513,160,7507,618,5786,583,24,55,5762,584,1721,235,0,50,1721,235
MN34,East Harlem North,17829,1228,6872,732,5893,699,405,159,5488,671,979,242,380,168,599,187,10957,899,8969,832,18,56,8951,832,1988,274,0,50,1988,274
MN35,Washington Heights North,5225,813,2383,430,2076,419,76,64,2000,421,307,121,14,54,293,115,2842,547,2113,474,61,86,2052,471,729,250,0,52,729,250
MN36,Washington Heights South,14526,1265,7481,904,6488,854,389,150,6099,833,993,229,222,99,771,203,7045,671,5545,641,25,58,5520,642,1500,258,0,56,1500,258
MN40,Upper East Side-Carnegie Hill,704,262,448,182,413,180,17,53,396,178,35,62,35,62,0,52,256,122,241,120,0,52,241,120,15,55,0,52,15,55
MN50,Stuyvesant Town-Cooper Village,733,274,300,150,233,135,14,26,219,132,67,54,38,44,29,37,433,191,265,157,0,22,265,157,168,116,0,22,168,116
MN99,park-cemetery-etc-Manhattan,827,389,662,336,619,314,34,47,585,316,43,52,0,32,43,52,165,122,158,118,0,32,158,118,7,33,0,32,7,33
QN01,South Jamaica,19227,941,8230,599,7011,581,736,189,6275,528,1219,188,207,74,1012,179,10997,621,8653,590,141,88,8512,590,2344,270,25,53,2319,268
QN02,Springfield Gardens North,18972,1077,7592,771,6221,737,297,147,5924,736,1371,286,579,176,792,249,11380,697,8916,668,101,80,8815,670,2464,333,29,53,2435,332
QN03,Springfield Gardens South-Brookville,13097,757,5794,481,5177,482,218,98,4959,474,617,143,148,71,469,131,7303,457,6353,445,34,37,6319,441,950,141,9,28,941,142
QN05,Rosedale,17148,1096,7053,574,6388,563,227,113,6161,556,665,174,76,60,589,167,10095,734,9003,669,80,75,8923,667,1092,218,0,35,1092,218
QN06,Jamaica Estates-Holliswood,5736,615,2303,355,1927,338,201,105,1726,330,376,121,114,68,262,94,3433,429,2578,366,0,36,2578,366,855,216,0,36,855,216
QN07,Hollis,11215,759,4907,493,4241,472,166,82,4075,469,666,137,168,67,498,125,6308,500,5317,479,64,60,5253,480,991,167,4,35,987,168
QN08,St. Albans,35465,1177,15167,752,13274,721,956,184,12318,707,1893,255,740,161,1153,192,20298,799,16309,753,274,109,16035,748,3989,337,4,58,3985,336
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1759,347,841,202,774,198,54,45,720,191,67,49,7,37,60,48,918,195,786,182,9,40,777,181,132,71,6,34,126,69
QN12,Hammels-Arverne-Edgemere,15313,991,6453,675,5612,621,415,148,5197,614,841,183,227,96,614,164,8860,632,7627,612,166,101,7461,606,1233,213,11,39,1222,213
QN15,Far Rockaway-Bayswater,17538,1230,7191,701,6272,686,598,206,5674,671,919,182,143,76,776,172,10347,823,8763,767,61,67,8702,760,1584,281,27,60,1557,279
QN17,Forest Hills,1898,457,991,287,851,258,44,92,807,249,140,117,16,64,124,116,907,254,791,249,0,64,791,249,116,73,0,64,116,73
QN18,Rego Park,737,219,289,131,265,124,9,30,256,124,24,41,17,42,7,33,448,150,389,144,0,34,389,144,59,52,0,34,59,52
QN19,Glendale,258,118,160,90,150,89,30,46,120,84,10,44,0,43,10,44,98,72,98,72,0,43,98,72,0,43,0,43,0,43
QN20,Ridgewood,1338,308,621,179,621,179,18,56,603,178,0,56,0,56,0,56,717,189,662,176,0,56,662,176,55,66,0,56,55,66
QN21,Middle Village,435,205,258,189,251,188,53,79,198,134,7,52,0,51,7,52,177,83,112,67,0,51,112,67,65,68,0,51,65,68
QN22,Flushing,2644,424,842,209,651,193,47,57,604,189,191,92,51,58,140,87,1802,332,1273,261,0,54,1273,261,529,159,0,54,529,159
QN23,College Point,488,191,176,93,141,92,15,32,126,89,35,34,5,31,30,34,312,117,229,110,7,30,222,109,83,41,0,34,83,41
QN25,Corona,6870,720,2933,452,2553,433,88,77,2465,431,380,137,114,85,266,113,3937,497,3203,468,16,48,3187,467,734,190,0,44,734,190
QN26,North Corona,2485,436,1189,273,966,261,79,64,887,257,223,81,52,49,171,77,1296,235,893,208,0,45,893,208,403,113,0,45,403,113
QN27,East Elmhurst,5057,542,2313,315,1802,288,130,81,1672,278,511,125,162,70,349,108,2744,341,1837,286,62,62,1775,279,907,161,22,47,885,158
QN28,Jackson Heights,2360,489,1109,287,951,278,49,81,902,263,158,91,68,86,90,72,1251,301,1040,276,0,66,1040,276,211,107,0,66,211,107
QN29,Elmhurst,1348,337,782,245,662,234,34,73,628,230,120,92,33,64,87,89,566,173,391,140,14,62,377,139,175,94,0,60,175,94
QN30,Maspeth,301,109,134,75,127,74,6,42,121,73,7,46,0,45,7,46,167,89,131,81,15,49,116,78,36,52,0,45,36,52
QN31,Hunters Point-Sunnyside-West Maspeth,1320,277,788,206,770,205,110,105,660,183,18,58,0,56,18,58,532,159,464,154,5,56,459,154,68,65,0,56,68,65
QN33,Cambria Heights,15396,731,6902,482,5700,471,534,140,5166,460,1202,175,410,94,792,158,8494,482,6370,462,76,66,6294,459,2124,216,0,43,2124,216
QN34,Queens Village,23332,1184,10614,689,9287,658,478,147,8809,663,1327,201,274,85,1053,187,12718,730,10471,661,55,79,10416,660,2247,270,0,56,2247,270
QN35,Briarwood-Jamaica Hills,3882,596,1791,362,1649,342,153,94,1496,322,142,82,25,47,117,81,2091,372,1790,356,15,50,1775,355,301,99,0,47,301,99
QN37,Kew Gardens Hills,2642,431,1189,272,936,231,45,70,891,224,253,117,99,71,154,103,1453,285,1171,230,24,57,1147,229,282,132,0,40,282,132
QN38,Pomonok-Flushing Heights-Hillcrest,2838,431,1172,264,985,234,62,90,923,223,187,110,73,52,114,99,1666,339,1347,279,2,36,1345,279,319,153,9,37,310,153
QN41,Fresh Meadows-Utopia,733,270,203,105,187,100,0,27,187,100,16,36,16,36,0,27,530,252,392,205,0,27,392,205,138,106,0,27,138,106
QN42,Oakland Gardens,532,220,191,107,174,104,4,28,170,104,17,37,0,34,17,37,341,157,292,142,0,34,292,142,49,54,0,34,49,54
QN43,Bellerose,1336,417,666,247,641,245,17,36,624,244,25,38,3,32,22,40,670,224,633,212,6,34,627,211,37,42,0,34,37,42
QN44,Glen Oaks-Floral Park-New Hyde Park,501,204,102,60,81,59,0,32,81,59,21,30,5,29,16,31,399,193,296,185,0,32,296,185,103,61,0,32,103,61
QN45,Douglas Manor-Douglaston-Little Neck,551,409,216,156,216,156,0,34,216,156,0,34,0,34,0,34,335,290,307,289,0,34,307,289,28,34,0,34,28,34
QN46,Bayside-Bayside Hills,1026,261,450,135,371,132,12,47,359,132,79,59,40,57,39,52,576,156,482,152,0,51,482,152,94,59,0,51,94,59
QN47,Ft. Totten-Bay Terrace-Clearview,262,194,88,79,87,79,24,42,63,75,1,29,0,34,1,29,174,130,115,121,0,34,115,121,59,54,0,34,59,54
QN48,Auburndale,195,111,86,65,69,60,3,30,66,59,17,34,2,30,15,36,109,68,87,53,0,32,87,53,22,38,0,32,22,38
QN49,Whitestone,128,96,63,55,44,53,40,56,4,31,19,40,9,40,10,40,65,65,37,52,0,38,37,52,28,54,0,38,28,54
QN50,Elmhurst-Maspeth,144,88,48,51,38,49,0,34,38,49,10,37,10,37,0,34,96,62,57,51,0,34,57,51,39,48,0,34,39,48
QN51,Murray Hill,813,229,348,148,327,146,1,48,326,146,21,51,4,47,17,51,465,157,312,128,0,50,312,128,153,101,8,49,145,97
QN52,East Flushing,544,249,249,106,222,105,2,40,220,105,27,40,1,40,26,42,295,178,248,171,14,45,234,170,47,52,0,42,47,52
QN53,Woodhaven,2930,559,1342,295,1268,285,103,80,1165,274,74,66,6,53,68,65,1588,322,1476,308,13,56,1463,306,112,71,0,54,112,71
QN54,Richmond Hill,5084,718,2363,395,2226,389,108,91,2118,379,137,73,17,58,120,72,2721,397,2492,374,22,58,2470,372,229,102,0,60,229,102
QN55,South Ozone Park,14991,1110,6612,564,5877,531,290,98,5587,529,735,149,152,90,583,136,8379,718,7332,680,32,67,7300,679,1047,176,0,62,1047,176
QN56,Ozone Park,1202,471,493,205,478,203,62,69,416,193,15,37,15,37,0,36,709,299,649,296,0,36,649,296,60,60,0,36,60,60
QN57,Lindenwood-Howard Beach,544,250,236,149,191,130,0,34,191,130,45,81,45,81,0,34,308,150,232,127,0,34,232,127,76,78,0,34,76,78
QN60,Kew Gardens,1513,339,707,186,689,185,22,38,667,183,18,35,5,33,13,33,806,204,708,192,10,35,698,192,98,69,0,34,98,69
QN61,Jamaica,8755,813,3878,449,3440,424,332,135,3108,408,438,137,69,68,369,128,4877,514,3945,461,23,50,3922,459,932,192,6,50,926,192
QN62,Queensboro Hill,298,153,196,103,196,103,31,55,165,91,0,29,0,29,0,29,102,65,96,64,0,29,96,64,6,29,0,29,6,29
QN63,Woodside,838,289,256,122,246,120,18,51,228,119,10,47,5,49,5,48,582,217,426,194,10,51,416,194,156,104,0,50,156,104
QN66,Laurelton,18444,804,7590,442,6104,411,610,160,5494,391,1486,205,469,119,1017,183,10854,549,8713,512,69,45,8644,510,2141,234,12,43,2129,234
