area_id,area_name,b13002g001,b13002g001_moe,b13002g002,b13002g002_moe,b13002g003,b13002g003_moe,b13002g004,b13002g004_moe,b13002g005,b13002g005_moe,b13002g006,b13002g006_moe,b13002g007,b13002g007_moe
MN06,Manhattanville,707,225,52,67,52,67,0,34,655,215,203,101,452,193
MN09,Morningside Heights,759,216,15,48,15,48,0,45,744,215,145,90,599,194
MN11,Central Harlem South,440,165,0,45,0,45,0,45,440,165,122,98,318,136
MN12,Upper West Side,1053,260,31,83,31,83,0,68,1022,256,220,108,802,235
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,761,219,53,76,53,76,0,54,708,212,174,103,534,189
MN14,Lincoln Square,453,189,0,48,0,48,0,48,453,189,108,91,345,171
MN15,Clinton,259,140,0,43,0,43,0,43,259,140,62,70,197,124
MN17,Midtown-Midtown South,366,148,0,51,0,51,0,51,366,148,115,84,251,133
MN19,Turtle Bay-East Midtown,332,124,0,48,0,48,0,48,332,124,72,71,260,112
MN20,Murray Hill-Kips Bay,239,114,0,42,0,42,0,42,239,114,49,61,190,103
MN21,Gramercy,195,127,0,34,0,34,0,34,195,127,14,37,181,125
MN22,East Village,368,138,0,40,0,40,0,40,368,138,66,59,302,116
MN23,West Village,574,222,23,60,23,60,0,56,551,221,16,57,535,218
MN24,SoHo-TriBeCa-Civic Center-Little Italy,321,159,0,42,0,42,0,42,321,159,66,55,255,154
MN25,Battery Park City-Lower Manhattan,282,137,16,46,16,46,0,42,266,135,159,118,107,73
MN27,Chinatown,326,135,7,42,7,42,0,44,319,135,88,78,231,115
MN28,Lower East Side,1020,265,34,69,34,69,0,56,986,261,224,101,762,219
MN31,Lenox Hill-Roosevelt Island,573,226,0,53,0,53,0,53,573,226,174,114,399,186
MN32,Yorkville,379,165,0,50,0,50,0,50,379,165,25,51,354,162
MN33,East Harlem South,595,211,77,84,33,70,44,69,518,196,161,107,357,155
MN34,East Harlem North,546,227,182,160,7,50,175,160,364,154,66,59,298,134
MN35,Washington Heights North,691,222,10,50,6,51,4,51,681,221,101,77,580,201
MN36,Washington Heights South,1373,418,31,72,0,56,31,72,1342,407,434,166,908,319
MN40,Upper East Side-Carnegie Hill,188,96,0,52,0,52,0,52,188,96,62,65,126,87
