area_id,area_name,b01002i001,b01002i001_moe,b01002i002,b01002i002_moe,b01002i003,b01002i003_moe
MN50,Stuyvesant Town-Cooper Village,74,14,76,23,75,18
MN99,park-cemetery-etc-Manhattan,42,5,42,6,45,17
QN01,South Jamaica,355,28,305,46,400,56
QN02,Springfield Gardens North,82,31,99,41,65,26
QN03,Springfield Gardens South-Brookville,118,25,97,45,121,29
QN05,Rosedale,215,60,207,96,213,94
QN06,Jamaica Estates-Holliswood,344,47,301,103,344,56
QN07,Hollis,266,58,265,35,318,102
QN08,St. Albans,625,87,673,102,654,119
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,249,103,252,68,228,130
QN12,Hammels-Arverne-Edgemere,261,33,246,43,271,41
QN15,Far Rockaway-Bayswater,230,29,228,27,227,54
QN17,Forest Hills,914,99,823,119,978,99
QN18,Rego Park,299,33,296,80,313,36
QN19,Glendale,402,22,374,42,407,42
QN20,Ridgewood,541,23,526,39,549,29
QN21,Middle Village,549,53,500,84,554,79
QN22,Flushing,438,46,407,41,494,50
QN23,College Point,202,15,189,21,210,33
QN25,Corona,333,17,332,24,343,27
QN26,North Corona,262,8,267,9,259,10
QN27,East Elmhurst,239,13,244,20,242,25
QN28,Jackson Heights,669,20,636,28,703,26
QN29,Elmhurst,577,35,542,33,594,42
QN30,Maspeth,482,44,516,57,426,60
QN31,Hunters Point-Sunnyside-West Maspeth,616,45,594,48,627,51
QN33,Cambria Heights,235,77,265,105,252,91
QN34,Queens Village,684,61,628,82,702,62
QN35,Briarwood-Jamaica Hills,395,58,418,34,390,57
QN37,Kew Gardens Hills,350,32,344,62,347,32
QN38,Pomonok-Flushing Heights-Hillcrest,227,45,219,34,247,50
QN41,Fresh Meadows-Utopia,164,38,156,33,149,40
QN42,Oakland Gardens,236,46,195,44,221,47
QN43,Bellerose,228,26,238,52,222,48
QN44,Glen Oaks-Floral Park-New Hyde Park,198,51,153,82,222,29
QN45,Douglas Manor-Douglaston-Little Neck,221,54,156,91,272,47
QN46,Bayside-Bayside Hills,622,58,626,82,645,89
QN47,Ft. Totten-Bay Terrace-Clearview,183,36,163,50,189,63
QN48,Auburndale,212,44,250,54,193,48
QN49,Whitestone,277,30,268,55,297,45
QN50,Elmhurst-Maspeth,195,18,200,19,199,23
QN51,Murray Hill,374,65,386,66,414,59
QN52,East Flushing,416,41,425,73,405,86
QN53,Woodhaven,614,28,560,49,645,33
QN54,Richmond Hill,786,47,765,69,810,58
QN55,South Ozone Park,906,49,919,70,872,85
QN56,Ozone Park,198,17,202,20,221,27
QN57,Lindenwood-Howard Beach,128,28,136,25,130,47
QN60,Kew Gardens,238,29,258,31,232,32
QN61,Jamaica,472,34,447,40,504,54
QN62,Queensboro Hill,176,23,172,29,179,40
QN63,Woodside,409,33,379,47,447,48
QN66,Laurelton,287,117,270,86,365,135
QN68,Queensbridge-Ravenswood-Long Island City,254,22,241,30,247,38
QN70,Astoria,825,50,778,62,887,77
QN71,Old Astoria,249,19,236,33,266,24
QN72,Steinway,532,57,488,67,595,74
QN76,Baisley Park,416,70,416,90,495,100
QN99,park-cemetery-etc-Queens,30,33,29,21,49,38
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,188,39,162,47,222,63
SI05,New Springville-Bloomfield-Travis,223,29,203,35,233,57
SI07,Westerleigh,242,30,206,58,257,47
SI08,Grymes Hill-Clifton-Fox Hills,117,12,102,25,113,19
SI11,Charleston-Richmond Valley-Tottenville,111,16,126,37,108,40
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,209,19,196,20,236,35
SI14,Grasmere-Arrochar-Ft. Wadsworth,177,38,171,80,204,33
SI22,West New Brighton-New Brighton-St. George,307,31,296,51,321,31
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,240,45,181,51,261,53
SI25,Oakwood-Oakwood Beach,172,37,167,28,185,47
SI28,Port Richmond,114,11,118,34,110,22
SI32,Rossville-Woodrow,82,43,74,37,106,26
SI35,New Brighton-Silver Lake,120,23,136,53,113,18
SI36,Old Town-Dongan Hills-South Beach,152,25,143,25,179,50
SI37,Stapleton-Rosebank,241,24,253,43,236,38
SI45,New Dorp-Midland Beach,157,17,123,36,171,42
SI48,Arden Heights,127,20,114,52,125,29
SI54,Great Kills,242,62,185,97,275,58
