area_id,area_name,c21001i001,c21001i001_moe,c21001i002,c21001i002_moe,c21001i003,c21001i003_moe,c21001i004,c21001i004_moe,c21001i005,c21001i005_moe,c21001i006,c21001i006_moe,c21001i007,c21001i007_moe,c21001i008,c21001i008_moe,c21001i009,c21001i009_moe,c21001i010,c21001i010_moe,c21001i011,c21001i011_moe,c21001i012,c21001i012_moe,c21001i013,c21001i013_moe,c21001i014,c21001i014_moe,c21001i015,c21001i015_moe
BK44,Madison,1846,457,832,237,795,235,22,56,773,232,37,49,18,47,19,48,1014,310,939,285,0,46,939,285,75,67,0,46,75,67
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3015,572,1340,361,1314,356,171,95,1143,345,26,56,9,56,17,55,1675,350,1527,323,0,55,1527,323,148,92,0,55,148,92
BK46,Ocean Parkway South,1317,456,699,283,667,279,31,46,636,276,32,59,0,36,32,59,618,216,538,206,0,36,538,206,80,62,0,36,80,62
BK50,Canarsie,5506,730,2520,433,2224,416,250,142,1974,408,296,121,60,82,236,107,2986,414,2605,388,11,71,2594,387,381,122,0,70,381,122
BK58,Flatlands,3909,566,1784,318,1544,291,142,86,1402,280,240,93,52,66,188,93,2125,321,1821,298,20,65,1801,295,304,118,0,62,304,118
BK60,Prospect Lefferts Gardens-Wingate,5182,767,2000,413,1652,376,37,68,1615,371,348,146,26,65,322,140,3182,524,2666,512,0,58,2666,512,516,155,0,58,516,155
BK61,Crown Heights North,9020,1021,4289,674,3925,656,177,111,3748,648,364,141,26,71,338,139,4731,580,4177,547,36,74,4141,545,554,157,0,67,554,157
BK63,Crown Heights South,2406,446,1200,272,1076,270,13,43,1063,269,124,75,15,47,109,71,1206,245,1018,218,0,40,1018,218,188,81,0,40,188,81
BK64,Prospect Heights,1956,403,894,219,790,213,18,34,772,213,104,66,11,30,93,67,1062,266,882,237,0,32,882,237,180,88,0,32,180,88
BK68,Fort Greene,3970,538,1877,406,1642,393,34,43,1608,392,235,86,45,45,190,86,2093,327,1710,312,0,38,1710,312,383,117,0,38,383,117
BK69,Clinton Hill,4547,573,2431,392,2205,385,77,66,2128,388,226,102,11,44,215,100,2116,323,1880,311,0,40,1880,311,236,99,0,40,236,99
BK72,Williamsburg,2778,455,1256,284,994,256,78,70,916,242,262,117,35,51,227,110,1522,270,1149,241,0,36,1149,241,373,125,0,36,373,125
BK73,North Side-South Side,13247,892,5896,595,5032,566,164,96,4868,564,864,184,102,78,762,172,7351,570,6148,555,0,48,6148,555,1203,227,0,48,1203,227
BK75,Bedford,9603,992,4313,651,3909,633,92,78,3817,627,404,126,81,71,323,112,5290,561,4685,541,20,60,4665,540,605,147,0,56,605,147
BK76,Greenpoint,4113,559,1949,332,1814,320,64,69,1750,313,135,67,0,42,135,67,2164,358,1990,345,5,40,1985,345,174,88,0,42,174,88
BK77,Bushwick North,33130,1506,16996,1043,16020,1043,290,127,15730,1042,976,186,84,68,892,182,16134,822,14676,812,30,61,14646,811,1458,220,0,54,1458,220
BK78,Bushwick South,30449,1548,14156,971,12899,954,423,163,12476,938,1257,215,111,71,1146,207,16293,882,14000,848,53,72,13947,846,2293,265,0,56,2293,265
BK79,Ocean Hill,3953,561,2009,341,1821,330,176,91,1645,311,188,94,11,40,177,92,1944,317,1724,303,25,46,1699,303,220,83,0,38,220,83
BK81,Brownsville,6836,808,2205,418,1909,394,17,55,1892,394,296,142,21,56,275,139,4631,563,4010,560,0,51,4010,560,621,162,0,51,621,162
BK82,East New York,17618,1229,7920,744,7082,709,152,94,6930,706,838,183,102,76,736,174,9698,721,8319,673,36,75,8283,672,1379,238,0,65,1379,238
BK83,Cypress Hills-City Line,20415,1272,9565,773,8914,737,156,99,8758,722,651,156,82,74,569,143,10850,694,9728,629,14,52,9714,630,1122,198,0,49,1122,198
BK85,East New York (Pennsylvania Ave),5352,685,2257,415,1999,372,58,53,1941,370,258,105,22,49,236,100,3095,409,2767,392,0,36,2767,392,328,101,0,36,328,101
BK88,Borough Park,8326,1012,4824,709,4540,696,84,96,4456,694,284,121,18,70,266,120,3502,450,3217,448,0,68,3217,448,285,114,0,68,285,114
BK90,East Williamsburg,8727,792,3826,489,3149,473,247,127,2902,471,677,166,173,89,504,151,4901,510,3866,486,11,42,3855,486,1035,193,0,40,1035,193
BK91,East Flatbush-Farragut,2491,470,1185,271,1045,257,84,89,961,232,140,78,32,59,108,73,1306,272,1085,252,0,54,1085,252,221,99,0,54,221,99
BK93,Starrett City,1737,526,473,232,397,221,0,24,397,221,76,53,58,46,18,33,1264,452,924,428,0,24,924,428,340,156,0,24,340,156
BK95,Erasmus,1904,436,901,244,843,239,43,49,800,233,58,41,41,41,17,35,1003,245,924,241,0,36,924,241,79,54,0,36,79,54
BK96,Rugby-Remsen Village,1772,421,846,263,717,244,59,66,658,235,129,95,12,56,117,94,926,254,837,234,0,54,837,234,89,73,0,54,89,73
BK99,park-cemetery-etc-Brooklyn,74,70,43,52,43,52,0,40,43,52,0,40,0,40,0,40,31,49,31,49,0,40,31,49,0,40,0,40,0,40
BX01,Claremont-Bathgate,11380,846,4609,535,4228,514,151,91,4077,501,381,137,46,45,335,133,6771,556,6152,541,0,40,6152,541,619,167,0,40,619,167
BX03,Eastchester-Edenwald-Baychester,6123,783,2676,487,2378,443,191,97,2187,437,298,159,31,44,267,155,3447,421,3099,404,24,55,3075,403,348,131,0,40,348,131
BX05,Bedford Park-Fordham North,24824,1408,11362,1086,10686,1075,500,194,10186,1065,676,173,40,57,636,170,13462,794,12125,775,0,50,12125,775,1337,236,0,50,1337,236
BX06,Belmont,10366,949,4708,640,4446,615,129,69,4317,612,262,113,6,33,256,112,5658,524,5152,519,0,34,5152,519,506,153,0,34,506,153
BX07,Bronxdale,12630,1005,6026,828,5442,827,315,127,5127,823,584,157,124,77,460,143,6604,540,5493,517,0,38,5493,517,1111,200,0,38,1111,200
BX08,West Farms-Bronx River,17052,1182,7956,816,7136,793,313,138,6823,797,820,192,193,104,627,174,9096,663,7887,645,25,46,7862,646,1209,218,0,40,1209,218
BX09,Soundview-Castle Hill-Clason Point-Harding Park,24262,1365,10269,858,8751,800,638,229,8113,766,1518,275,286,121,1232,250,13993,886,11628,876,64,69,11564,878,2365,318,0,50,2365,318
BX10,Pelham Bay-Country Club-City Island,6252,824,3043,523,2778,511,373,169,2405,503,265,128,17,37,248,125,3209,504,2664,454,0,34,2664,454,545,173,0,34,545,173
BX13,Co-op City,10057,1158,4576,719,3753,702,504,226,3249,677,823,240,181,126,642,193,5481,717,4406,765,0,33,4406,765,1075,260,15,35,1060,259
BX14,East Concourse-Concourse Village,25927,1573,12088,1078,10790,1054,375,157,10415,1042,1298,272,115,93,1183,262,13839,894,12147,826,0,51,12147,826,1692,302,0,51,1692,302
BX17,East Tremont,19650,1171,8174,878,7345,866,207,117,7138,853,829,182,109,74,720,173,11476,629,9686,592,0,45,9686,592,1790,236,0,45,1790,236
BX22,North Riverdale-Fieldston-Riverdale,3526,434,1533,264,1331,251,90,76,1241,243,202,92,56,50,146,85,1993,272,1777,260,0,38,1777,260,216,92,0,38,216,92
BX26,Highbridge,15898,983,6926,644,6448,618,222,113,6226,614,478,136,64,54,414,133,8972,644,7865,594,0,42,7865,594,1107,212,0,42,1107,212
BX27,Hunts Point,14262,799,6763,539,5898,534,243,115,5655,525,865,166,107,73,758,157,7499,503,6376,508,0,38,6376,508,1123,173,0,38,1123,173
BX28,Van Cortlandt Village,23149,1340,10122,858,9299,852,389,150,8910,841,823,189,79,54,744,184,13027,904,11486,820,89,74,11397,817,1541,276,0,43,1541,276
BX29,Spuyten Duyvil-Kingsbridge,8133,638,3842,474,3340,450,250,136,3090,418,502,145,80,65,422,137,4291,389,3716,383,33,56,3683,385,575,138,0,38,575,138
BX30,Kingsbridge Heights,15598,1057,6978,741,6513,733,254,121,6259,733,465,143,58,55,407,150,8620,642,7472,627,0,38,7472,627,1148,195,0,38,1148,195
BX31,Allerton-Pelham Gardens,6791,732,2878,411,2552,391,186,92,2366,381,326,105,36,40,290,97,3913,462,3238,394,4,41,3234,394,675,165,0,42,675,165
BX33,Longwood,12655,939,5505,645,5048,638,138,73,4910,640,457,126,36,43,421,122,7150,519,5909,495,10,37,5899,495,1241,231,0,36,1241,231
BX34,Melrose South-Mott Haven North,18574,1112,7442,745,6702,721,239,120,6463,720,740,180,84,68,656,174,11132,761,9344,711,0,42,9344,711,1788,261,12,42,1776,263
BX35,Morrisania-Melrose,15742,1051,6704,651,6149,634,156,80,5993,633,555,167,83,74,472,143,9038,643,7912,584,68,71,7844,588,1126,232,7,38,1119,232
BX36,University Heights-Morris Heights,25126,1285,11882,892,10935,862,368,153,10567,854,947,223,75,76,872,217,13244,755,12193,734,50,61,12143,735,1051,209,0,51,1051,209
BX37,Van Nest-Morris Park-Westchester Square,10874,846,4919,564,4473,544,257,112,4216,535,446,139,149,94,297,108,5955,525,5325,501,10,43,5315,501,630,176,0,42,630,176
BX39,Mott Haven-Port Morris,26238,1237,12530,959,11246,931,352,163,10894,905,1284,240,230,107,1054,222,13708,671,11578,642,18,57,11560,641,2130,249,0,50,2130,249
BX40,Fordham South,11222,1003,4744,689,4567,677,121,86,4446,676,177,106,0,32,177,106,6478,600,5822,590,15,42,5807,591,656,191,0,32,656,191
BX41,Mount Hope,25175,1293,11770,895,10669,883,309,139,10360,867,1101,202,95,67,1006,198,13405,719,12053,695,0,51,12053,695,1352,224,0,51,1352,224
BX43,Norwood,16011,1306,7182,750,6488,687,117,84,6371,682,694,222,25,44,669,220,8829,769,7867,746,22,52,7845,746,962,217,0,41,962,217
BX44,Williamsbridge-Olinville,8897,796,3898,504,3438,482,182,99,3256,468,460,129,71,69,389,122,4999,465,4326,430,15,57,4311,430,673,159,0,54,673,159
BX46,Parkchester,7966,642,3659,406,3128,396,209,108,2919,377,531,165,29,44,502,161,4307,440,3762,417,80,87,3682,425,545,161,0,36,545,161
BX49,Pelham Parkway,8259,810,3708,559,3371,549,129,96,3242,533,337,135,37,47,300,131,4551,479,4037,442,14,40,4023,443,514,165,0,38,514,165
BX52,Schuylerville-Throgs Neck-Edgewater Park,12536,1014,5463,611,4996,595,407,168,4589,577,467,162,89,72,378,147,7073,628,6226,595,30,64,6196,595,847,213,5,52,842,213
BX55,Soundview-Bruckner,16471,1122,8313,811,7192,775,181,94,7011,763,1121,251,143,71,978,244,8158,551,7114,525,0,40,7114,525,1044,184,0,40,1044,184
BX59,Westchester-Unionport,11950,929,5480,598,5163,586,264,131,4899,587,317,111,68,55,249,100,6470,596,5703,582,7,38,5696,582,767,189,0,36,767,189
BX62,Woodlawn-Wakefield,5151,716,2432,411,2090,368,90,66,2000,366,342,135,49,54,293,132,2719,469,2326,409,29,65,2297,408,393,145,0,48,393,145
BX63,West Concourse,19141,1181,8914,813,8363,794,186,118,8177,782,551,158,48,62,503,150,10227,672,9316,668,16,45,9300,668,911,188,0,42,911,188
BX75,Crotona Park East,9429,671,4129,457,3514,445,127,75,3387,442,615,143,73,66,542,147,5300,420,4613,402,17,41,4596,401,687,166,0,29,687,166
BX98,Rikers Island,3150,265,2928,287,2909,291,28,26,2881,289,19,20,0,17,19,20,222,88,222,88,0,17,222,88,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,533,169,224,110,200,109,16,39,184,106,24,36,0,32,24,36,309,118,288,116,0,32,288,116,21,37,0,32,21,37
MN01,Marble Hill-Inwood,28813,1798,14103,1401,12817,1388,182,120,12635,1385,1286,277,32,41,1254,271,14710,918,12541,865,40,72,12501,859,2169,346,0,41,2169,346
MN03,Central Harlem North-Polo Grounds,12694,1141,5478,707,5277,692,120,98,5157,690,201,137,0,59,201,137,7216,702,6416,641,5,57,6411,642,800,206,0,59,800,206
MN04,Hamilton Heights,18997,1370,8871,941,8195,913,148,98,8047,904,676,201,80,63,596,194,10126,789,8491,747,25,56,8466,746,1635,260,0,46,1635,260
MN06,Manhattanville,10060,889,4797,576,4110,535,72,61,4038,531,687,191,31,46,656,187,5263,517,4204,492,16,41,4188,493,1059,216,0,34,1059,216
MN09,Morningside Heights,10500,996,4561,673,3809,595,71,61,3738,595,752,252,165,114,587,234,5939,638,4877,614,4,44,4873,614,1062,222,0,45,1062,222
MN11,Central Harlem South,6087,653,2447,384,2296,380,52,63,2244,378,151,77,0,45,151,77,3640,428,3224,398,15,53,3209,396,416,139,0,45,416,139
MN12,Upper West Side,16066,1303,7453,856,6203,775,268,143,5935,769,1250,292,152,100,1098,282,8613,824,6546,769,47,84,6499,772,2067,328,30,76,2037,324
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,9025,901,4612,622,4228,604,170,118,4058,579,384,139,175,91,209,110,4413,538,3648,488,20,61,3628,488,765,197,0,54,765,197
MN14,Lincoln Square,4787,761,2090,494,1810,374,93,111,1717,373,280,239,58,66,222,233,2697,447,2122,397,0,48,2122,397,575,220,0,48,575,220
MN15,Clinton,7407,742,3728,551,3242,531,84,69,3158,526,486,186,84,76,402,176,3679,455,2668,395,9,44,2659,394,1011,245,10,43,1001,245
MN17,Midtown-Midtown South,1944,287,1008,202,824,189,31,57,793,186,184,87,32,60,152,81,936,196,645,173,0,51,645,173,291,99,23,60,268,92
MN19,Turtle Bay-East Midtown,2546,438,1105,247,942,224,13,51,929,224,163,108,20,56,143,103,1441,314,1159,273,0,48,1159,273,282,146,0,48,282,146
MN20,Murray Hill-Kips Bay,4429,892,2362,668,2227,668,66,75,2161,676,135,93,33,59,102,84,2067,414,1653,385,0,42,1653,385,414,166,0,42,414,166
MN21,Gramercy,1544,404,663,205,584,195,59,51,525,188,79,67,22,37,57,62,881,289,806,282,0,34,806,282,75,59,0,34,75,59
MN22,East Village,4708,642,2203,387,1920,367,57,52,1863,363,283,119,18,42,265,117,2505,419,2061,376,10,42,2051,374,444,248,0,40,444,248
MN23,West Village,3583,507,1704,343,1513,329,14,58,1499,328,191,106,27,66,164,100,1879,344,1765,331,0,56,1765,331,114,83,0,56,114,83
MN24,SoHo-TriBeCa-Civic Center-Little Italy,1697,347,789,192,700,181,34,47,666,178,89,80,0,42,89,80,908,224,862,220,0,42,862,220,46,49,0,42,46,49
MN25,Battery Park City-Lower Manhattan,2651,701,1340,389,1285,380,67,67,1218,374,55,87,6,40,49,88,1311,372,1270,370,0,42,1270,370,41,54,0,42,41,54
MN27,Chinatown,4813,623,2455,409,2143,386,83,70,2060,383,312,132,16,45,296,130,2358,352,1825,298,0,44,1825,298,533,175,0,44,533,175
MN28,Lower East Side,22962,1230,10003,791,8017,744,312,140,7705,739,1986,326,333,133,1653,305,12959,832,9864,766,4,52,9860,766,3095,375,0,56,3095,375
MN31,Lenox Hill-Roosevelt Island,4632,781,2253,553,1659,484,59,70,1600,481,594,293,16,55,578,292,2379,403,1985,355,42,69,1943,351,394,155,0,53,394,155
MN32,Yorkville,6179,1000,2366,456,1776,383,89,84,1687,376,590,285,140,111,450,267,3813,787,2858,745,45,87,2813,745,955,282,0,50,955,282
MN33,East Harlem South,20235,1367,9123,921,7944,867,221,124,7723,869,1179,224,233,120,946,205,11112,861,8829,779,9,50,8820,778,2283,308,16,56,2267,306
MN34,East Harlem North,22314,1458,9621,940,8575,922,237,127,8338,909,1046,233,82,69,964,229,12693,877,10342,824,46,77,10296,827,2351,334,0,50,2351,334
MN35,Washington Heights North,35937,1802,15933,1154,13915,1086,402,181,13513,1079,2018,356,117,89,1901,354,20004,1140,16761,1030,37,54,16724,1032,3243,430,0,52,3243,430
MN36,Washington Heights South,50713,2360,24574,1640,21669,1576,495,178,21174,1576,2905,426,218,112,2687,426,26139,1327,21326,1241,89,95,21237,1236,4813,502,0,56,4813,502
MN40,Upper East Side-Carnegie Hill,2314,438,1094,251,919,231,16,56,903,229,175,107,39,59,136,102,1220,266,929,228,0,52,929,228,291,132,0,52,291,132
MN50,Stuyvesant Town-Cooper Village,1178,363,411,210,351,199,35,55,316,193,60,76,12,24,48,75,767,227,745,225,0,22,745,225,22,25,0,22,22,25
MN99,park-cemetery-etc-Manhattan,446,174,417,176,411,175,19,36,392,171,6,31,0,32,6,31,29,39,25,39,0,32,25,39,4,30,0,32,4,30
QN01,South Jamaica,4051,755,1906,425,1817,406,32,48,1785,405,89,79,0,46,89,79,2145,422,1821,337,0,46,1821,337,324,155,0,46,324,155
QN02,Springfield Gardens North,1237,557,638,309,546,296,9,32,537,294,92,81,19,33,73,81,599,306,506,289,0,31,506,289,93,77,0,31,93,77
QN03,Springfield Gardens South-Brookville,1125,297,464,154,395,151,25,35,370,149,69,51,49,46,20,36,661,194,603,190,0,29,603,190,58,54,0,29,58,54
QN05,Rosedale,1283,408,597,235,557,228,56,72,501,222,40,54,21,53,19,36,686,214,547,161,0,35,547,161,139,87,0,35,139,87
QN06,Jamaica Estates-Holliswood,3219,613,1343,301,1233,294,35,45,1198,290,110,73,16,37,94,72,1876,401,1554,326,0,36,1554,326,322,148,0,36,322,148
QN07,Hollis,2035,450,1056,269,1000,268,45,42,955,267,56,46,6,36,50,46,979,240,819,225,0,36,819,225,160,87,0,36,160,87
QN08,St. Albans,2217,419,1067,238,878,208,79,72,799,204,189,104,32,65,157,100,1150,244,1075,239,10,61,1065,238,75,67,0,59,75,67
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,2557,526,1137,281,964,272,8,34,956,272,173,78,48,48,125,70,1420,323,1284,313,33,49,1251,311,136,78,0,36,136,78
QN12,Hammels-Arverne-Edgemere,5906,850,2646,515,2409,488,146,85,2263,481,237,105,20,42,217,104,3260,492,2988,472,0,38,2988,472,272,105,2,37,270,105
QN15,Far Rockaway-Bayswater,8804,1173,4305,715,3865,681,120,105,3745,680,440,164,16,46,424,164,4499,651,4072,595,0,46,4072,595,427,157,6,43,421,159
QN17,Forest Hills,8344,864,3751,497,3318,484,115,104,3203,477,433,150,60,69,373,145,4593,526,3748,489,0,64,3748,489,845,202,6,62,839,201
QN18,Rego Park,3756,476,1442,265,1177,243,38,49,1139,242,265,112,27,42,238,107,2314,342,1940,320,0,34,1940,320,374,128,0,34,374,128
QN19,Glendale,7591,837,3346,429,3133,424,92,53,3041,420,213,92,25,48,188,90,4245,545,3754,482,0,43,3754,482,491,183,0,43,491,183
QN20,Ridgewood,25113,1403,12400,895,11678,863,263,107,11415,862,722,186,77,69,645,177,12713,763,11749,744,40,65,11709,743,964,208,0,56,964,208
QN21,Middle Village,4929,732,2062,352,1897,344,59,72,1838,340,165,85,11,53,154,84,2867,548,2524,458,8,51,2516,458,343,164,0,51,343,164
QN22,Flushing,8492,942,3652,549,3318,548,196,156,3122,539,334,115,31,56,303,110,4840,592,3963,545,0,54,3963,545,877,229,0,54,877,229
QN23,College Point,6448,836,3241,490,3018,485,78,79,2940,489,223,90,16,36,207,88,3207,474,2805,436,12,35,2793,436,402,138,0,34,402,138
QN25,Corona,23552,1650,12614,1120,11890,1119,87,80,11803,1121,724,183,54,54,670,177,10938,821,10019,798,0,44,10019,798,919,230,0,44,919,230
QN26,North Corona,32171,1932,19117,1403,18532,1387,97,78,18435,1379,585,156,15,45,570,154,13054,846,12063,814,0,45,12063,814,991,207,0,45,991,207
QN27,East Elmhurst,10988,941,6097,662,5906,663,118,83,5788,659,191,80,9,35,182,78,4891,490,4556,464,0,34,4556,464,335,108,7,33,328,108
QN28,Jackson Heights,44563,2066,23042,1370,21305,1358,327,155,20978,1346,1737,307,137,89,1600,286,21521,1102,18482,1038,22,72,18460,1038,3039,369,20,70,3019,370
QN29,Elmhurst,29819,1962,16306,1290,15130,1283,194,119,14936,1266,1176,230,38,62,1138,231,13513,983,11486,926,29,65,11457,926,2027,321,0,60,2027,321
QN30,Maspeth,5175,561,2681,332,2483,317,74,65,2409,311,198,84,5,44,193,84,2494,337,2374,325,0,45,2374,325,120,66,0,45,120,66
QN31,Hunters Point-Sunnyside-West Maspeth,16966,1205,8228,810,7478,787,138,88,7340,786,750,191,82,93,668,175,8738,701,7521,678,17,61,7504,677,1217,240,0,56,1217,240
QN33,Cambria Heights,672,190,206,90,188,86,18,47,170,84,18,44,7,43,11,42,466,139,384,127,0,43,384,127,82,55,0,43,82,55
QN34,Queens Village,8280,887,4066,528,3472,480,183,92,3289,471,594,151,78,64,516,143,4214,467,3679,465,31,74,3648,460,535,126,0,56,535,126
QN35,Briarwood-Jamaica Hills,7901,883,3967,562,3709,546,57,71,3652,543,258,108,18,45,240,105,3934,481,3508,464,44,81,3464,458,426,126,0,47,426,126
QN37,Kew Gardens Hills,3785,519,1693,278,1408,248,147,100,1261,241,285,121,51,61,234,112,2092,346,1700,295,11,42,1689,295,392,150,0,40,392,150
QN38,Pomonok-Flushing Heights-Hillcrest,4970,711,2338,405,2100,386,144,114,1956,367,238,119,39,46,199,114,2632,419,2345,397,3,34,2342,397,287,127,0,37,287,127
QN41,Fresh Meadows-Utopia,1778,461,648,223,573,193,16,33,557,193,75,70,57,71,18,28,1130,323,968,298,0,27,968,298,162,95,0,27,162,95
QN42,Oakland Gardens,1569,364,734,205,632,180,58,68,574,171,102,68,0,34,102,68,835,229,700,207,0,34,700,207,135,72,0,34,135,72
QN43,Bellerose,2940,612,1284,284,1137,267,158,100,979,245,147,66,24,35,123,63,1656,431,1403,367,9,35,1394,367,253,109,0,34,253,109
QN44,Glen Oaks-Floral Park-New Hyde Park,1405,355,532,200,477,193,57,84,420,173,55,47,14,35,41,42,873,242,672,221,0,32,672,221,201,92,0,32,201,92
QN45,Douglas Manor-Douglaston-Little Neck,2203,503,1091,309,948,296,64,55,884,290,143,80,17,41,126,74,1112,276,908,246,0,34,908,246,204,86,6,33,198,85
QN46,Bayside-Bayside Hills,4691,662,2175,380,1896,351,59,62,1837,346,279,100,32,52,247,97,2516,401,2127,346,0,51,2127,346,389,136,0,51,389,136
QN47,Ft. Totten-Bay Terrace-Clearview,1661,675,697,292,686,293,143,204,543,214,11,36,0,34,11,36,964,427,826,423,0,34,826,423,138,75,0,34,138,75
QN48,Auburndale,1922,445,833,230,752,211,100,85,652,196,81,63,11,34,70,62,1089,259,926,217,0,32,926,217,163,87,0,32,163,87
QN49,Whitestone,3263,559,1391,293,1207,271,92,77,1115,255,184,104,6,37,178,104,1872,358,1641,329,11,39,1630,328,231,110,0,38,231,110
QN50,Elmhurst-Maspeth,5172,899,2747,546,2479,535,55,60,2424,532,268,107,7,32,261,107,2425,425,2075,412,0,34,2075,412,350,110,0,34,350,110
QN51,Murray Hill,5741,737,2803,438,2518,432,79,100,2439,432,285,101,65,70,220,91,2938,446,2542,432,0,50,2542,432,396,127,0,50,396,127
QN52,East Flushing,3371,574,1609,322,1444,304,26,41,1418,301,165,76,10,43,155,78,1762,341,1511,310,14,45,1497,310,251,107,0,42,251,107
QN53,Woodhaven,21841,1291,10890,795,10255,787,298,113,9957,790,635,145,105,69,530,135,10951,671,10231,649,27,63,10204,649,720,162,0,54,720,162
QN54,Richmond Hill,16242,1167,8117,722,7367,688,386,175,6981,657,750,167,72,73,678,160,8125,626,7199,569,40,68,7159,567,926,205,5,59,921,205
QN55,South Ozone Park,13515,1298,6846,830,6124,798,214,96,5910,789,722,166,156,101,566,147,6669,686,5759,663,6,62,5753,663,910,194,0,62,910,194
QN56,Ozone Park,6496,860,3136,509,2901,499,184,111,2717,496,235,115,97,90,138,80,3360,463,3003,442,10,35,2993,442,357,144,0,36,357,144
QN57,Lindenwood-Howard Beach,4328,770,1983,406,1707,370,81,89,1626,365,276,140,105,88,171,117,2345,467,2031,409,17,40,2014,408,314,159,0,34,314,159
QN60,Kew Gardens,5383,768,2688,506,2459,503,34,39,2425,502,229,93,5,33,224,93,2695,409,2356,403,0,34,2356,403,339,117,12,38,327,115
