area_id,area_name,b07009001,b07009001_moe,b07009002,b07009002_moe,b07009003,b07009003_moe,b07009004,b07009004_moe,b07009005,b07009005_moe,b07009006,b07009006_moe,b07009007,b07009007_moe,b07009008,b07009008_moe,b07009009,b07009009_moe,b07009010,b07009010_moe,b07009011,b07009011_moe,b07009012,b07009012_moe,b07009013,b07009013_moe,b07009014,b07009014_moe,b07009015,b07009015_moe,b07009016,b07009016_moe,b07009017,b07009017_moe,b07009018,b07009018_moe,b07009019,b07009019_moe,b07009020,b07009020_moe,b07009021,b07009021_moe,b07009022,b07009022_moe,b07009023,b07009023_moe,b07009024,b07009024_moe,b07009025,b07009025_moe,b07009026,b07009026_moe,b07009027,b07009027_moe,b07009028,b07009028_moe,b07009029,b07009029_moe,b07009030,b07009030_moe,b07009031,b07009031_moe,b07009032,b07009032_moe,b07009033,b07009033_moe,b07009034,b07009034_moe,b07009035,b07009035_moe,b07009036,b07009036_moe
BX35,Morrisania-Melrose,21705,954,8402,778,5894,536,5237,528,1539,277,633,166,19678,977,7700,763,5412,516,4603,508,1444,267,519,150,1451,316,515,184,341,127,521,165,31,48,43,60,285,111,86,68,69,59,84,64,0,40,46,51,188,109,49,58,47,65,16,50,51,74,25,44,103,77,52,65,25,42,13,43,13,43,0,40
BX36,University Heights-Morris Heights,31399,1194,11063,892,9474,802,7363,604,2480,373,1019,234,26510,1087,9493,795,8013,736,5991,558,2094,346,919,224,2504,496,825,273,773,246,713,216,115,85,78,66,1332,370,412,186,385,204,417,190,104,78,14,52,470,211,148,114,132,118,128,129,62,72,0,51,583,216,185,117,171,117,114,91,105,98,8,51
BX37,Van Nest-Morris Park-Westchester Square,19338,842,5510,559,5601,516,4338,436,2582,331,1307,247,16799,854,4828,548,5073,499,3572,398,2162,309,1164,228,1612,317,506,177,332,135,450,174,251,110,73,64,515,191,59,67,173,100,166,94,98,85,19,43,166,106,35,54,23,44,76,91,28,50,4,41,246,123,82,69,0,42,74,81,43,55,47,64
BX39,Mott Haven-Port Morris,29781,1165,13379,879,8129,680,5667,507,1995,355,611,179,26954,1209,12033,861,7437,669,5176,502,1759,329,549,173,1807,350,895,242,392,139,318,120,149,115,53,69,679,217,307,155,194,117,163,80,11,51,4,48,187,104,53,71,72,81,10,53,47,58,5,49,154,101,91,92,34,56,0,50,29,55,0,50
BX40,Fordham South,14029,859,6128,681,3429,514,2879,426,1091,310,502,245,12071,866,5323,643,2930,467,2610,414,744,266,464,241,1049,310,453,169,241,121,217,129,125,96,13,37,520,181,217,125,125,95,52,58,120,80,6,33,149,121,39,58,49,60,0,32,61,96,0,32,240,141,96,82,84,91,0,32,41,73,19,44
BX41,Mount Hope,30746,1137,11949,817,7893,654,7293,616,2486,398,1125,256,26626,1084,10428,728,6598,590,6465,569,2167,374,968,228,2106,389,780,217,674,241,455,167,137,85,60,73,1342,393,541,284,399,188,243,121,93,112,66,80,383,199,80,114,93,88,130,92,49,71,31,60,289,145,120,99,129,105,0,51,40,59,0,51
BX43,Norwood,24832,1064,7170,787,7493,694,5269,554,3356,451,1544,297,21888,1087,6166,722,6703,696,4590,538,3131,424,1298,276,1728,406,607,246,613,221,305,134,110,88,93,84,499,190,55,67,132,114,166,88,72,57,74,70,250,147,53,69,27,44,127,117,15,38,28,50,467,261,289,195,18,46,81,84,28,58,51,58
BX44,Williamsbridge-Olinville,38206,1248,8770,658,11021,747,11118,703,5443,508,1854,283,34433,1228,7737,613,9989,725,9988,685,4953,489,1766,277,2748,447,771,234,746,206,821,200,328,144,82,71,532,165,130,80,156,91,214,109,26,58,6,53,188,110,32,60,99,96,41,61,16,55,0,54,305,131,100,77,31,58,54,68,120,106,0,54
BX46,Parkchester,20955,790,3871,526,5088,533,6547,619,3629,496,1820,361,19344,837,3425,503,4676,520,6148,616,3424,501,1671,350,913,256,263,153,275,139,171,86,113,69,91,79,408,199,96,74,110,84,120,89,78,60,4,35,230,118,43,52,25,50,94,70,14,41,54,70,60,55,44,52,2,34,14,39,0,36,0,36
BX49,Pelham Parkway,21391,869,5248,638,5522,606,4477,489,3577,489,2567,382,19058,835,4598,560,5052,573,4118,458,3115,435,2175,362,1383,376,435,233,148,88,315,161,288,159,197,96,235,114,25,46,53,69,20,42,100,75,37,48,282,172,34,54,153,154,7,37,6,37,82,71,433,230,156,163,116,103,17,46,68,85,76,56
