area_id,area_name,b18101i001,b18101i001_moe,b18101i002,b18101i002_moe,b18101i003,b18101i003_moe,b18101i004,b18101i004_moe,b18101i005,b18101i005_moe,b18101i006,b18101i006_moe,b18101i007,b18101i007_moe,b18101i008,b18101i008_moe,b18101i009,b18101i009_moe,b18101i010,b18101i010_moe
MN24,SoHo-TriBeCa-Civic Center-Little Italy,2177,515,491,225,0,42,491,225,1562,331,143,91,1419,324,124,85,63,75,61,57
MN25,Battery Park City-Lower Manhattan,3623,1317,972,680,28,51,944,679,2555,693,5,39,2550,694,96,99,0,42,96,99
MN27,Chinatown,5361,752,1069,296,93,69,976,277,3453,519,547,178,2906,505,839,235,462,179,377,153
MN28,Lower East Side,28743,1594,5855,794,426,221,5429,749,17872,1162,3523,470,14349,1081,5016,487,2601,383,2415,377
MN31,Lenox Hill-Roosevelt Island,5434,934,1156,389,2,50,1154,389,3497,687,385,188,3112,646,781,319,181,106,600,303
MN32,Yorkville,6982,1134,906,335,34,58,872,330,4618,905,483,188,4135,868,1458,491,499,169,959,472
MN33,East Harlem South,26156,1789,6092,809,523,262,5569,753,16694,1259,2351,441,14343,1169,3370,404,1399,235,1971,346
MN34,East Harlem North,31197,2041,8939,1013,271,141,8668,1008,18890,1418,3198,478,15692,1335,3368,435,1598,264,1770,359
MN35,Washington Heights North,46063,2209,10501,950,347,156,10154,934,30625,1677,2383,389,28242,1636,4937,524,1980,325,2957,486
MN36,Washington Heights South,64432,3158,13840,1292,601,233,13239,1250,42876,2262,4604,614,38272,2184,7716,654,3787,527,3929,514
MN40,Upper East Side-Carnegie Hill,2938,595,624,280,34,64,590,263,1848,368,48,74,1800,371,466,205,29,71,437,198
MN50,Stuyvesant Town-Cooper Village,1311,418,133,121,0,22,133,121,1096,354,26,32,1070,351,82,80,0,22,82,80
MN99,park-cemetery-etc-Manhattan,447,170,8,33,0,32,8,33,432,174,159,113,273,128,7,31,4,30,3,30
QN01,South Jamaica,6240,1153,2189,583,158,112,2031,544,3638,661,302,126,3336,625,413,179,288,151,125,86
QN02,Springfield Gardens North,1935,780,715,384,45,62,670,376,1043,543,152,130,891,435,177,118,80,83,97,77
QN03,Springfield Gardens South-Brookville,1551,434,465,202,0,29,465,202,959,281,84,59,875,261,127,91,30,39,97,86
QN05,Rosedale,1678,504,395,159,56,58,339,134,1104,342,89,62,1015,331,179,104,48,46,131,90
QN06,Jamaica Estates-Holliswood,3794,715,610,215,0,36,610,215,2785,554,333,213,2452,548,399,163,138,117,261,116
QN07,Hollis,2598,558,592,197,57,97,535,189,1813,441,129,78,1684,417,193,91,91,62,102,75
QN08,St. Albans,3110,574,961,277,19,58,942,275,1919,375,120,77,1799,368,230,113,38,63,192,110
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,3702,813,1196,393,27,49,1169,395,2220,504,176,94,2044,489,286,116,93,62,193,94
QN12,Hammels-Arverne-Edgemere,8919,1253,3199,697,303,155,2896,695,5324,800,728,253,4596,761,396,155,186,103,210,99
QN15,Far Rockaway-Bayswater,12380,1640,3823,724,131,94,3692,715,7796,1099,902,298,6894,1062,761,242,338,136,423,203
QN17,Forest Hills,10318,1144,2070,493,101,121,1969,442,7041,829,286,152,6755,825,1207,276,348,146,859,235
QN18,Rego Park,4667,643,911,304,0,34,911,304,3117,428,132,79,2985,424,639,187,150,80,489,160
QN19,Glendale,11161,1194,3570,516,43,60,3527,509,6887,785,263,103,6624,769,704,211,236,110,468,181
QN20,Ridgewood,35828,1949,10717,901,266,137,10451,889,23425,1351,1229,252,22196,1357,1686,326,274,118,1412,311
QN21,Middle Village,6505,925,1638,353,42,70,1596,339,4421,661,216,104,4205,649,446,192,105,77,341,181
QN22,Flushing,10803,1350,2446,611,159,155,2287,524,7265,915,607,204,6658,892,1092,261,534,190,558,180
QN23,College Point,8682,1104,2310,456,93,71,2217,443,5790,795,286,157,5504,783,582,184,234,106,348,138
QN25,Corona,32471,2332,8998,1000,374,168,8624,983,21876,1627,1570,339,20306,1585,1597,314,716,214,881,237
QN26,North Corona,43197,2461,11026,943,243,137,10783,944,30595,1894,2006,328,28589,1840,1576,293,721,167,855,229
QN27,East Elmhurst,14728,1274,3758,556,88,64,3670,553,10462,916,548,167,9914,894,508,137,201,92,307,100
QN28,Jackson Heights,56974,2662,12439,1085,298,131,12141,1078,39771,1998,2387,400,37384,1978,4764,531,1589,284,3175,456
QN29,Elmhurst,38186,2467,8374,927,81,83,8293,914,26609,1943,1119,257,25490,1922,3203,440,1259,278,1944,350
QN30,Maspeth,7113,829,1971,367,29,45,1942,364,4854,534,283,118,4571,512,288,113,116,73,172,87
QN31,Hunters Point-Sunnyside-West Maspeth,20932,1570,4218,677,61,66,4157,676,14747,1141,1063,263,13684,1097,1967,314,665,170,1302,268
QN33,Cambria Heights,1026,296,354,146,27,46,327,143,572,176,80,58,492,166,100,60,34,45,66,54
QN34,Queens Village,10733,1133,2486,430,100,88,2386,411,7147,811,605,185,6542,777,1100,218,217,105,883,196
QN35,Briarwood-Jamaica Hills,9767,1108,1978,426,29,48,1949,425,7184,852,527,173,6657,805,605,182,63,59,542,174
QN37,Kew Gardens Hills,4565,616,799,232,11,41,788,232,3104,429,224,105,2880,430,662,228,157,99,505,180
QN38,Pomonok-Flushing Heights-Hillcrest,6700,1005,1730,467,54,74,1676,458,4445,672,322,183,4123,675,525,193,221,128,304,138
QN41,Fresh Meadows-Utopia,2394,569,616,238,71,89,545,225,1541,421,19,29,1522,419,237,121,76,69,161,98
QN42,Oakland Gardens,2117,507,548,231,42,73,506,202,1332,316,99,67,1233,302,237,129,30,42,207,117
QN43,Bellerose,3820,784,930,289,8,34,922,292,2499,526,203,107,2296,510,391,145,169,101,222,97
QN44,Glen Oaks-Floral Park-New Hyde Park,1987,545,595,308,0,32,595,308,1137,326,80,62,1057,317,255,112,138,89,117,73
QN45,Douglas Manor-Douglaston-Little Neck,2788,621,609,198,1,32,608,198,1848,465,51,49,1797,459,331,128,47,52,284,116
QN46,Bayside-Bayside Hills,6056,851,1394,324,89,110,1305,301,4022,592,249,108,3773,563,640,188,216,118,424,152
QN47,Ft. Totten-Bay Terrace-Clearview,2141,812,481,258,0,34,481,258,1512,670,37,51,1475,670,148,82,37,44,111,68
