area_id,area_name,c21007001,c21007001_moe,c21007002,c21007002_moe,c21007003,c21007003_moe,c21007004,c21007004_moe,c21007005,c21007005_moe,c21007006,c21007006_moe,c21007007,c21007007_moe,c21007008,c21007008_moe,c21007009,c21007009_moe,c21007010,c21007010_moe,c21007011,c21007011_moe,c21007012,c21007012_moe,c21007013,c21007013_moe,c21007014,c21007014_moe,c21007015,c21007015_moe,c21007016,c21007016_moe,c21007017,c21007017_moe,c21007018,c21007018_moe,c21007019,c21007019_moe,c21007020,c21007020_moe,c21007021,c21007021_moe,c21007022,c21007022_moe,c21007023,c21007023_moe,c21007024,c21007024_moe,c21007025,c21007025_moe,c21007026,c21007026_moe,c21007027,c21007027_moe,c21007028,c21007028_moe,c21007029,c21007029_moe,c21007030,c21007030_moe,c21007031,c21007031_moe
BK30,Dyker Heights,35641,1083,28612,1115,674,153,41,53,0,51,41,53,633,150,75,61,558,144,27938,1112,3840,638,437,140,3403,596,24098,1138,1069,202,23029,1122,7029,497,995,170,64,61,39,61,25,51,931,166,256,78,675,151,6034,457,834,192,397,138,437,135,5200,434,1506,231,3694,383
BK31,Bay Ridge,66421,1338,54687,1358,1708,272,78,85,44,83,34,68,1630,264,130,78,1500,257,52979,1366,7331,825,1070,271,6261,775,45648,1362,2316,355,43332,1316,11734,582,1285,180,103,70,56,69,47,67,1182,176,379,99,803,155,10449,554,1733,262,833,184,900,192,8716,517,2534,285,6182,456
BK32,Sunset Park West,39660,1238,35355,1225,809,204,62,72,0,49,62,72,747,198,58,63,689,194,34546,1218,7723,790,647,173,7076,766,26823,1259,1323,255,25500,1251,4305,454,223,92,22,51,9,47,13,51,201,90,105,74,96,64,4082,443,1400,290,796,221,604,186,2682,346,1158,217,1524,277
BK33,Carroll Gardens-Columbia Street-Red Hook,31256,985,27477,1001,458,136,13,46,12,48,1,43,445,134,15,48,430,132,27019,999,3366,484,864,241,2502,426,23653,992,968,236,22685,964,3779,392,612,162,110,80,44,64,66,66,502,143,129,74,373,134,3167,359,812,221,449,172,363,137,2355,333,881,224,1474,254
BK34,Sunset Park East,53777,1550,48018,1557,491,162,30,61,12,58,18,61,461,160,40,60,421,156,47527,1560,12952,1003,1109,245,11843,969,34575,1547,1624,266,32951,1532,5759,489,300,100,44,61,35,61,9,59,256,95,104,75,152,74,5459,479,1951,313,878,194,1073,240,3508,412,1349,242,2159,316
BK35,Stuyvesant Heights,47979,1451,41769,1417,1356,263,171,100,60,65,111,89,1185,251,203,113,982,227,40413,1420,9726,848,1556,280,8170,789,30687,1430,2783,402,27904,1340,6210,457,471,134,72,64,42,60,30,56,399,125,175,83,224,102,5739,450,1669,272,832,181,837,213,4070,407,1745,266,2325,320
BK37,Park Slope-Gowanus,59704,1380,53713,1352,625,189,111,100,6,58,105,99,514,168,132,98,382,150,53088,1358,3741,524,471,158,3270,498,49347,1383,1524,295,47823,1386,5991,470,942,191,48,63,34,60,14,60,894,186,254,111,640,152,5049,424,534,167,244,119,290,125,4515,409,1354,237,3161,349
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,28233,987,25230,977,443,132,135,83,63,71,72,57,308,116,44,51,264,110,24787,969,4645,617,1161,257,3484,506,20142,953,1075,247,19067,926,3003,327,251,85,19,43,19,43,0,42,232,82,68,52,164,74,2752,326,829,221,637,208,192,81,1923,251,681,192,1242,196
BK40,Windsor Terrace,18380,684,15810,669,297,108,24,49,0,32,24,49,273,101,10,33,263,101,15513,674,1676,392,247,154,1429,347,13837,663,539,220,13298,650,2570,276,288,94,8,33,8,33,0,32,280,93,123,57,157,69,2282,250,353,123,160,64,193,106,1929,239,714,166,1215,198
BK41,Kensington-Ocean Parkway,26320,952,22710,983,188,98,19,40,12,41,7,40,169,97,9,41,160,95,22522,984,5028,709,691,208,4337,670,17494,1028,1332,287,16162,997,3610,351,261,112,14,35,10,36,4,39,247,108,114,68,133,86,3349,328,925,263,522,206,403,149,2424,291,1139,239,1285,209
BK42,Flatbush,79206,1802,69544,1787,880,220,123,108,18,70,105,107,757,206,55,78,702,201,68664,1799,13181,1166,1715,299,11466,1104,55483,1844,2813,374,52670,1834,9662,564,600,132,88,85,25,69,63,82,512,124,243,98,269,95,9062,550,2146,300,1185,218,961,210,6916,518,2364,320,4552,427
BK43,Midwood,37885,991,31021,1062,200,94,15,54,1,50,14,55,185,92,36,61,149,85,30821,1057,5215,652,683,240,4532,608,25606,1084,1571,285,24035,1081,6864,420,491,105,63,61,30,54,33,55,428,99,162,76,266,74,6373,410,1936,257,1201,194,735,173,4437,377,1698,249,2739,310
BK44,Madison,31646,892,25690,873,315,102,24,51,0,46,24,51,291,99,11,48,280,98,25375,876,2484,442,430,163,2054,397,22891,928,1184,213,21707,921,5956,396,574,110,13,44,2,45,11,45,561,108,283,84,278,80,5382,384,1178,189,748,145,430,142,4204,390,1726,254,2478,305
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,36106,978,29482,995,913,188,52,66,21,60,31,62,861,177,162,96,699,157,28569,993,1879,492,197,90,1682,480,26690,984,1243,221,25447,970,6624,475,908,146,55,63,46,63,9,55,853,144,251,81,602,125,5716,444,489,143,277,103,212,105,5227,439,1708,262,3519,369
BK46,Ocean Parkway South,13951,672,11319,702,134,67,47,47,13,35,34,46,87,56,11,38,76,55,11185,701,1296,303,125,69,1171,287,9889,713,435,134,9454,694,2632,260,243,71,10,37,0,36,10,37,233,70,83,40,150,59,2389,252,487,127,332,112,155,70,1902,245,874,161,1028,172
BK50,Canarsie,64409,1544,56852,1473,1383,263,101,88,32,80,69,80,1282,256,136,97,1146,246,55469,1468,7044,758,960,207,6084,698,48425,1530,2323,313,46102,1495,7557,576,533,134,31,73,31,73,0,70,502,124,173,89,329,104,7024,540,1656,337,918,276,738,181,5368,430,1740,248,3628,362
BK58,Flatlands,53970,1268,45544,1239,894,184,91,75,41,68,50,70,803,178,77,72,726,173,44650,1245,3986,565,503,153,3483,545,40664,1302,1851,277,38813,1288,8426,494,657,128,25,65,19,63,6,62,632,125,295,96,337,95,7769,473,761,163,402,120,359,114,7008,467,2070,255,4938,417
BK60,Prospect Lefferts Gardens-Wingate,53576,1675,45330,1476,1061,339,138,81,52,62,86,77,923,333,28,63,895,332,44269,1399,8449,932,1246,341,7203,848,35820,1491,2001,331,33819,1466,8246,655,375,138,0,58,0,58,0,58,375,138,187,114,188,94,7871,644,1765,361,894,287,871,215,6106,532,1903,292,4203,475
BK61,Crown Heights North,76771,1770,65897,1753,1471,287,282,127,66,81,216,115,1189,263,105,80,1084,258,64426,1739,16243,1199,2392,357,13851,1130,48183,1676,3260,413,44923,1629,10874,623,711,186,109,85,40,71,69,81,602,177,257,133,345,143,10163,598,3179,402,1827,303,1352,246,6984,515,2845,354,4139,403
BK63,Crown Heights South,29883,1040,25866,1067,385,129,40,50,40,50,0,40,345,123,56,57,289,115,25481,1062,5705,788,525,159,5180,759,19776,1097,1160,244,18616,1092,4017,363,272,93,35,47,0,40,35,47,237,89,89,61,148,80,3745,351,869,192,357,116,512,155,2876,326,845,167,2031,287
BK64,Prospect Heights,17454,797,15817,770,251,117,35,41,3,30,32,39,216,110,0,32,216,110,15566,770,1461,327,148,82,1313,311,14105,739,291,122,13814,730,1637,258,127,61,16,32,13,31,3,30,111,58,12,35,99,55,1510,250,348,148,132,70,216,122,1162,233,339,125,823,199
BK68,Fort Greene,20651,828,18204,789,497,153,71,72,18,54,53,61,426,138,28,38,398,136,17707,796,3433,466,831,193,2602,434,14274,766,584,150,13690,770,2447,258,201,71,3,39,0,38,3,39,198,69,81,47,117,58,2246,252,463,117,278,89,185,83,1783,243,744,163,1039,230
BK69,Clinton Hill,28993,1135,25709,1102,541,160,88,69,4,39,84,68,453,149,80,78,373,136,25168,1089,4937,617,471,172,4466,605,20231,1010,686,159,19545,1013,3284,322,389,136,2,38,2,38,0,40,387,136,122,84,265,109,2895,302,393,113,215,85,178,79,2502,294,873,187,1629,258
BK72,Williamsburg,16952,631,14968,665,127,87,4,35,4,35,0,36,123,87,34,62,89,71,14841,663,7804,633,419,148,7385,628,7037,667,384,144,6653,644,1984,237,44,51,0,36,0,36,0,36,44,51,44,51,0,36,1940,229,865,182,604,169,261,113,1075,223,513,164,562,167
BK73,North Side-South Side,36998,1076,33780,1101,378,131,28,49,0,48,28,49,350,131,55,61,295,116,33402,1099,6949,694,867,230,6082,642,26453,1143,988,228,25465,1128,3218,378,240,100,38,53,1,47,37,53,202,97,110,83,92,72,2978,364,1213,262,593,165,620,204,1765,291,595,163,1170,236
BK75,Bedford,48302,1455,43264,1417,737,169,174,89,52,63,122,85,563,152,36,66,527,146,42527,1411,11846,847,1565,284,10281,809,30681,1428,2503,357,28178,1375,5038,443,425,127,101,81,63,68,38,71,324,114,82,73,242,103,4613,426,1336,236,712,174,624,168,3277,368,1274,221,2003,299
BK76,Greenpoint,28184,956,25483,977,380,136,50,60,8,43,42,56,330,129,16,48,314,126,25103,977,2688,479,174,99,2514,463,22415,959,680,155,21735,950,2701,308,202,69,19,43,11,43,8,42,183,66,52,47,131,59,2499,299,687,198,311,119,376,165,1812,257,673,150,1139,211
BK77,Bushwick North,46254,1409,42665,1430,581,179,102,87,21,59,81,77,479,154,62,59,417,145,42084,1414,11999,1049,1063,235,10936,1015,30085,1463,1600,272,28485,1454,3589,350,170,76,33,55,11,54,22,54,137,72,37,56,100,70,3419,349,1135,219,619,154,516,158,2284,313,864,194,1420,237
BK78,Bushwick South,53098,1692,47032,1681,859,215,117,80,52,65,65,71,742,209,92,86,650,184,46173,1659,11358,978,1686,294,9672,912,34815,1723,2559,382,32256,1643,6066,462,320,119,64,70,34,66,30,60,256,109,106,91,150,80,5746,447,2140,308,1152,240,988,225,3606,374,1227,227,2379,306
BK79,Ocean Hill,22533,969,19392,943,887,236,201,113,60,76,141,90,686,196,124,85,562,177,18505,899,4880,559,892,211,3988,514,13625,902,1158,242,12467,856,3141,304,118,62,12,38,12,38,0,38,106,61,58,49,48,49,3023,304,828,177,450,128,378,123,2195,290,1127,221,1068,190
BK81,Brownsville,38427,1205,32970,1203,464,160,66,60,26,56,40,55,398,153,13,54,385,152,32506,1207,11621,1023,1772,360,9849,976,20885,1166,1444,256,19441,1117,5457,391,314,110,21,54,21,54,0,51,293,108,15,53,278,106,5143,386,1768,280,656,157,1112,250,3375,361,1303,245,2072,277
BK82,East New York,64384,1709,55920,1634,977,206,117,90,19,69,98,86,860,196,123,94,737,182,54943,1621,15660,1112,2214,356,13446,1041,39283,1648,2896,391,36387,1609,8464,618,438,129,116,89,17,63,99,90,322,109,141,87,181,87,8026,601,2255,335,1139,262,1116,219,5771,536,2327,354,3444,411
BK83,Cypress Hills-City Line,34023,1298,30683,1244,391,142,21,50,5,49,16,50,370,141,44,62,326,135,30292,1234,7134,754,483,154,6651,729,23158,1292,918,190,22240,1267,3340,338,192,92,22,55,22,55,0,49,170,86,83,65,87,74,3148,321,720,170,194,89,526,144,2428,296,635,155,1793,265
BK85,East New York (Pennsylvania Ave),19890,851,17928,830,263,108,102,72,0,36,102,72,161,84,0,36,161,84,17665,826,5755,641,804,200,4951,593,11910,865,706,171,11204,852,1962,235,82,57,12,39,12,39,0,36,70,55,26,43,44,51,1880,231,553,144,195,92,358,118,1327,206,477,128,850,166
BK88,Borough Park,65476,1616,55716,1637,403,132,0,68,0,68,0,68,403,132,127,99,276,107,55313,1633,15921,1090,1076,242,14845,1052,39392,1629,2062,315,37330,1592,9760,630,399,101,33,70,23,69,10,69,366,97,174,81,192,76,9361,620,1838,344,1203,291,635,177,7523,525,3413,377,4110,385
BK90,East Williamsburg,28927,961,24500,1021,460,158,109,90,35,58,74,80,351,135,93,72,258,119,24040,1023,4646,623,613,188,4033,565,19394,986,982,212,18412,953,4427,426,433,119,62,60,52,58,10,41,371,111,182,76,189,86,3994,405,1175,254,568,162,607,178,2819,340,1206,235,1613,260
BK91,East Flatbush-Farragut,41220,1264,34351,1247,775,191,107,100,0,54,107,100,668,170,83,87,585,154,33576,1238,3233,444,324,112,2909,420,30343,1260,1477,262,28866,1221,6869,450,318,96,21,57,6,53,15,57,297,95,55,58,242,92,6551,441,784,164,309,97,475,135,5767,432,1648,242,4119,391
BK93,Starrett City,10158,595,6889,641,58,55,0,24,0,24,0,24,58,55,26,38,32,46,6831,647,1730,627,291,205,1439,596,5101,568,600,194,4501,556,3269,259,346,179,143,160,26,30,117,159,203,94,129,86,74,50,2923,298,1437,283,985,243,452,164,1486,301,939,252,547,192
BK95,Erasmus,22309,1032,19266,994,201,91,0,36,0,36,0,36,201,91,20,39,181,86,19065,989,3393,523,455,165,2938,485,15672,1054,563,185,15109,1032,3043,338,140,70,9,37,9,37,0,36,131,70,13,38,118,68,2903,328,578,167,148,99,430,137,2325,320,539,167,1786,262
BK96,Rugby-Remsen Village,43544,1393,36413,1277,828,199,151,103,107,99,44,57,677,188,110,83,567,163,35585,1271,5098,644,979,289,4119,545,30487,1283,1577,291,28910,1247,7131,584,377,110,27,56,9,53,18,57,350,107,124,71,226,93,6754,577,1233,265,572,181,661,199,5521,508,1649,321,3872,405
BK99,park-cemetery-etc-Brooklyn,288,147,271,146,0,40,0,40,0,40,0,40,0,40,0,40,0,40,271,146,46,64,46,64,0,40,225,122,41,50,184,114,17,46,0,40,0,40,0,40,0,40,0,40,0,40,0,40,17,46,0,40,0,40,0,40,17,46,17,46,0,40
BX01,Claremont-Bathgate,20569,897,18510,892,246,103,77,67,56,68,21,44,169,87,53,56,116,78,18264,887,7145,757,1895,343,5250,651,11119,907,1461,306,9658,855,2059,225,96,71,30,60,30,60,0,40,66,56,40,46,26,51,1963,231,1059,246,560,160,499,195,904,220,563,189,341,115
BX03,Eastchester-Edenwald-Baychester,26203,1243,22674,1205,771,217,71,72,0,40,71,72,700,211,64,77,636,201,21903,1210,3357,560,695,213,2662,486,18546,1287,1360,327,17186,1246,3529,402,321,127,0,40,0,40,0,40,321,127,139,103,182,88,3208,395,538,173,247,105,291,121,2670,387,1021,212,1649,330
BX05,Bedford Park-Fordham North,37580,1458,33902,1444,719,222,163,116,79,91,84,85,556,196,112,86,444,179,33183,1442,9370,1007,1948,369,7422,906,23813,1543,2166,383,21647,1514,3678,395,120,75,0,50,0,50,0,50,120,75,47,59,73,61,3558,389,1145,251,667,191,478,153,2413,366,1103,239,1310,295
BX06,Belmont,15944,833,13973,838,229,101,70,63,50,61,20,37,159,84,40,41,119,77,13744,828,5885,715,1189,283,4696,691,7859,809,891,207,6968,785,1971,265,126,64,35,41,24,41,11,34,91,55,72,50,19,36,1845,261,763,182,368,135,395,144,1082,240,464,136,618,187
BX07,Bronxdale,25600,1093,21548,1069,591,174,51,51,21,40,30,48,540,170,87,61,453,162,20957,1074,4136,515,1041,267,3095,439,16821,1145,1902,378,14919,1090,4052,339,402,130,78,61,45,57,33,44,324,121,93,78,231,91,3650,323,1008,213,735,189,273,113,2642,307,1640,285,1002,199
BX08,West Farms-Bronx River,25505,1238,22504,1221,622,193,162,102,27,44,135,99,460,165,68,61,392,159,21882,1222,5841,727,973,256,4868,648,16041,1225,1028,239,15013,1226,3001,354,248,113,6,40,6,40,0,40,242,113,84,68,158,94,2753,330,781,192,446,138,335,138,1972,328,643,160,1329,291
BX09,Soundview-Castle Hill-Clason Point-Harding Park,40200,1477,33593,1416,1329,305,127,96,101,92,26,50,1202,293,211,119,991,273,32264,1404,6626,754,1355,290,5271,661,25638,1404,2577,426,23061,1322,6607,468,593,157,51,61,31,55,20,56,542,151,252,110,290,105,6014,462,1477,263,659,186,818,201,4537,444,1527,252,3010,389
BX10,Pelham Bay-Country Club-City Island,21563,1046,16461,1052,1078,256,108,106,0,34,108,106,970,234,130,99,840,206,15383,1073,1407,379,171,96,1236,357,13976,1090,906,247,13070,1039,5102,422,775,177,49,56,40,55,9,35,726,172,343,123,383,126,4327,389,607,165,266,105,341,130,3720,379,1410,284,2310,307
BX13,Co-op City,34876,1324,26661,1473,1131,368,156,132,0,33,156,132,975,333,171,128,804,297,25530,1442,2628,639,497,232,2131,584,22902,1491,2633,579,20269,1372,8215,558,1137,241,33,46,15,34,18,38,1104,236,524,179,580,178,7078,532,918,282,371,136,547,254,6160,532,2132,353,4028,447
BX14,East Concourse-Concourse Village,45229,1559,39297,1501,772,228,86,87,0,51,86,87,686,207,140,99,546,188,38525,1493,11527,1068,2079,382,9448,965,26998,1604,2464,446,24534,1555,5932,482,532,168,58,62,48,60,10,51,474,160,221,124,253,109,5400,474,1882,305,1119,223,763,223,3518,442,1663,307,1855,309
BX17,East Tremont,28299,1190,25185,1173,447,151,176,101,64,62,112,92,271,116,50,51,221,110,24738,1174,9692,890,2531,383,7161,783,15046,1187,1853,313,13193,1126,3114,302,182,82,98,76,37,65,61,58,84,53,37,47,47,49,2932,303,1233,210,757,181,476,153,1699,279,754,159,945,233
BX22,North Riverdale-Fieldston-Riverdale,19032,759,14142,741,424,153,8,38,8,38,0,38,416,153,14,38,402,152,13718,743,843,253,168,152,675,202,12875,719,636,169,12239,710,4890,357,892,174,16,37,0,38,16,37,876,174,239,92,637,156,3998,352,448,168,196,122,252,108,3550,333,1250,248,2300,266
BX26,Highbridge,25581,967,23026,933,604,185,301,136,199,115,102,77,303,134,127,96,176,96,22422,939,7303,765,1859,372,5444,676,15119,1049,1649,351,13470,972,2555,314,140,77,25,44,14,44,11,42,115,74,31,48,84,68,2415,308,1030,213,520,158,510,160,1385,261,702,196,683,176
BX27,Hunts Point,17995,839,15735,865,364,129,40,50,40,50,0,38,324,123,96,74,228,108,15371,871,6215,660,1712,331,4503,539,9156,749,1064,249,8092,735,2260,222,143,76,19,40,9,39,10,39,124,75,41,41,83,70,2117,222,1109,195,546,135,563,150,1008,175,594,137,414,112
BX28,Van Cortlandt Village,36798,1344,32024,1293,819,222,111,85,25,46,86,83,708,203,121,78,587,185,31205,1285,6867,793,981,251,5886,732,24338,1339,1904,361,22434,1307,4774,432,374,101,20,49,0,43,20,49,354,100,80,51,274,94,4400,431,841,201,295,107,546,162,3559,417,1541,314,2018,341
BX29,Spuyten Duyvil-Kingsbridge,23186,812,18170,804,623,181,38,52,32,52,6,38,585,174,57,51,528,169,17547,795,1703,403,422,182,1281,332,15844,778,1008,229,14836,768,5016,402,830,170,11,40,11,40,0,38,819,170,347,117,472,131,4186,356,515,142,307,116,208,87,3671,345,1242,222,2429,278
BX30,Kingsbridge Heights,22701,1120,20106,1145,515,195,164,147,79,120,85,81,351,127,51,50,300,121,19591,1124,5701,779,939,235,4762,729,13890,1208,939,253,12951,1169,2595,294,158,81,15,42,0,38,15,42,143,78,38,44,105,71,2437,292,738,169,475,142,263,115,1699,284,784,203,915,209
BX31,Allerton-Pelham Gardens,23958,1023,19659,998,507,140,67,71,67,71,0,42,440,127,23,43,417,126,19152,996,2447,420,572,185,1875,387,16705,1033,1502,284,15203,940,4299,383,554,133,33,48,15,42,18,48,521,122,238,94,283,88,3745,368,252,96,83,61,169,72,3493,362,1168,212,2325,302
BX33,Longwood,16997,920,14955,930,234,91,74,57,42,49,32,46,160,74,30,42,130,70,14721,933,5222,609,1250,288,3972,506,9499,932,972,252,8527,905,2042,296,89,65,0,36,0,36,0,36,89,65,74,60,15,40,1953,287,835,187,406,126,429,147,1118,235,627,179,491,155
BX34,Melrose South-Mott Haven North,26237,1149,22971,1122,388,145,85,67,48,64,37,47,303,133,0,42,303,133,22583,1129,7603,854,2050,385,5553,754,14980,1173,1875,379,13105,1121,3266,336,146,79,28,44,0,42,28,44,118,76,58,63,60,55,3120,334,982,206,661,174,321,121,2138,341,1069,247,1069,219
BX35,Morrisania-Melrose,26383,1080,23422,1025,407,141,113,74,41,50,72,68,294,122,73,64,221,109,23015,1027,7891,770,1844,334,6047,701,15124,1085,1627,330,13497,1026,2961,343,186,95,39,46,39,46,0,40,147,92,122,90,25,43,2775,332,865,192,436,135,429,140,1910,309,787,186,1123,247
BX36,University Heights-Morris Heights,38514,1377,35099,1354,901,238,216,121,58,73,158,110,685,211,152,94,533,193,34198,1357,11707,1062,2703,400,9004,957,22491,1396,2703,433,19788,1326,3415,371,221,98,41,67,18,58,23,61,180,87,76,70,104,70,3194,360,1002,209,593,151,409,144,2192,327,1009,220,1183,275
BX37,Van Nest-Morris Park-Westchester Square,21722,944,18473,936,604,165,61,51,24,44,37,47,543,161,59,54,484,157,17869,927,3658,541,583,151,3075,522,14211,933,936,209,13275,900,3249,379,421,116,9,42,0,42,9,42,412,116,144,67,268,98,2828,341,534,151,223,96,311,119,2294,317,808,159,1486,281
BX39,Mott Haven-Port Morris,36363,1293,31665,1271,737,188,211,108,152,96,59,78,526,176,191,124,335,150,30928,1250,12143,879,3257,433,8886,766,18785,1266,2807,422,15978,1151,4698,354,292,115,37,54,28,55,9,49,255,112,185,98,70,71,4406,341,1886,269,1386,232,500,142,2520,300,1404,238,1116,227
BX40,Fordham South,17234,1007,15743,1017,396,187,62,73,34,60,28,52,334,177,79,71,255,139,15347,1026,5734,657,1389,284,4345,581,9613,1021,966,253,8647,966,1491,286,92,77,0,32,0,32,0,32,92,77,39,52,53,64,1399,280,496,168,251,111,245,133,903,224,411,157,492,174
BX41,Mount Hope,37020,1312,33479,1314,550,167,144,90,98,79,46,62,406,152,104,78,302,137,32929,1314,10935,921,2382,350,8553,847,21994,1308,2061,329,19933,1263,3541,353,143,77,37,59,12,53,25,57,106,71,64,64,42,57,3398,355,1080,214,580,154,500,150,2318,312,1199,252,1119,227
BX43,Norwood,29099,1369,25919,1306,470,153,82,70,43,60,39,55,388,140,122,76,266,118,25449,1333,6231,753,1267,279,4964,683,19218,1452,1731,333,17487,1350,3180,392,211,85,9,41,0,41,9,41,202,84,15,46,187,83,2969,396,574,172,335,123,239,125,2395,404,900,247,1495,314
BX44,Williamsbridge-Olinville,43853,1406,37566,1342,1045,218,158,88,58,65,100,77,887,205,155,91,732,187,36521,1335,6402,629,1440,242,4962,549,30119,1353,2879,390,27240,1284,6287,449,490,131,101,92,4,53,97,91,389,106,129,64,260,96,5797,432,948,187,420,123,528,153,4849,402,1775,252,3074,329
BX46,Parkchester,23221,863,19832,784,927,262,64,69,31,60,33,44,863,255,123,77,740,239,18905,776,2999,595,503,190,2496,517,15906,857,965,267,14941,863,3389,415,260,92,42,49,29,47,13,39,218,83,77,56,141,68,3129,413,492,192,221,95,271,130,2637,424,715,169,1922,391
BX49,Pelham Parkway,23476,938,19343,938,367,145,43,60,20,49,23,52,324,139,176,134,148,73,18976,929,2595,464,268,114,2327,437,16381,951,1054,245,15327,942,4133,429,381,108,37,44,28,43,9,39,344,105,88,59,256,93,3752,425,821,261,384,176,437,192,2931,330,1004,205,1927,277
BX52,Schuylerville-Throgs Neck-Edgewater Park,34963,1242,28120,1169,1236,273,124,99,42,77,82,77,1112,258,176,100,936,241,26884,1155,3149,531,522,186,2627,499,23735,1190,1844,326,21891,1152,6843,572,1126,213,61,68,39,65,22,56,1065,207,438,154,627,147,5717,525,730,189,299,102,431,164,4987,513,1939,321,3048,399
BX55,Soundview-Bruckner,25448,1130,21998,1109,324,123,65,57,17,39,48,58,259,116,19,47,240,113,21674,1098,6629,765,1070,253,5559,713,15045,1144,931,222,14114,1103,3450,410,280,95,28,41,11,43,17,38,252,92,68,54,184,78,3170,397,951,246,440,139,511,175,2219,327,727,163,1492,282
BX59,Westchester-Unionport,19389,988,17283,986,455,154,72,70,0,36,72,70,383,141,77,80,306,122,16828,990,3293,588,320,123,2973,579,13535,936,896,229,12639,911,2106,284,130,65,0,36,0,36,0,36,130,65,32,38,98,58,1976,275,366,109,180,68,186,88,1610,263,600,162,1010,208
