area_id,area_name,c18120001,c18120001_moe,c18120002,c18120002_moe,c18120003,c18120003_moe,c18120004,c18120004_moe,c18120005,c18120005_moe,c18120006,c18120006_moe,c18120007,c18120007_moe,c18120008,c18120008_moe,c18120009,c18120009_moe,c18120010,c18120010_moe,c18120011,c18120011_moe
MN23,West Village,52305,1669,42349,1321,40015,1320,1157,318,38858,1322,2334,411,26,65,2308,407,9956,1053,838,213,9118,1004
MN24,SoHo-TriBeCa-Civic Center-Little Italy,30267,1333,24456,1146,22949,1068,544,168,22405,1066,1507,340,86,64,1421,336,5811,723,495,174,5316,715
MN25,Battery Park City-Lower Manhattan,30089,1212,25477,1139,24201,1096,358,161,23843,1101,1276,311,12,43,1264,310,4612,643,309,143,4303,622
MN27,Chinatown,31268,1430,23129,1271,21137,1218,306,115,20831,1215,1992,360,129,88,1863,353,8139,749,1578,314,6561,663
MN28,Lower East Side,49097,1580,32944,1405,29264,1324,988,253,28276,1299,3680,528,330,139,3350,512,16153,1068,4579,519,11574,923
MN31,Lenox Hill-Roosevelt Island,56469,1958,47094,1725,44869,1733,1028,283,43841,1711,2225,423,101,74,2124,418,9375,965,1332,353,8043,884
MN32,Yorkville,56312,1698,48298,1632,45091,1644,954,265,44137,1655,3207,625,89,88,3118,617,8014,769,1071,261,6943,707
MN33,East Harlem South,40233,1539,28171,1282,24973,1288,898,207,24075,1291,3198,466,228,118,2970,446,12062,991,2873,451,9189,922
MN34,East Harlem North,38093,1544,24387,1263,21145,1175,1206,268,19939,1186,3242,503,210,99,3032,486,13706,1064,4161,585,9545,877
MN35,Washington Heights North,48212,1720,38048,1566,32490,1418,1002,254,31488,1394,5558,709,254,126,5304,708,10164,842,2179,356,7985,773
MN36,Washington Heights South,62336,2244,46197,2075,39394,1933,1627,312,37767,1916,6803,688,712,226,6091,649,16139,1152,4242,663,11897,993
MN40,Upper East Side-Carnegie Hill,33313,1216,26034,1056,24719,1047,568,169,24151,1052,1315,275,45,64,1270,273,7279,586,531,163,6748,565
MN50,Stuyvesant Town-Cooper Village,16195,984,12997,891,11922,839,142,98,11780,828,1075,332,34,43,1041,328,3198,984,492,227,2706,950
MN99,park-cemetery-etc-Manhattan,1259,487,262,146,114,73,3,30,111,74,148,98,33,56,115,80,997,489,472,309,525,339
QN01,South Jamaica,22681,1073,17402,910,14775,854,564,162,14211,843,2627,424,263,131,2364,397,5279,528,1208,242,4071,475
QN02,Springfield Gardens North,16477,1152,13178,923,11461,854,422,182,11039,815,1717,374,139,94,1578,358,3299,741,1191,421,2108,504
QN03,Springfield Gardens South-Brookville,12961,823,9917,612,8884,573,260,107,8624,579,1033,202,31,55,1002,202,3044,488,714,228,2330,389
QN05,Rosedale,18049,890,14915,780,13790,764,355,153,13435,774,1125,230,20,37,1105,229,3134,472,375,132,2759,450
