area_id,area_name,b01001c001,b01001c001_moe,b01001c002,b01001c002_moe,b01001c003,b01001c003_moe,b01001c004,b01001c004_moe,b01001c005,b01001c005_moe,b01001c006,b01001c006_moe,b01001c007,b01001c007_moe,b01001c008,b01001c008_moe,b01001c009,b01001c009_moe,b01001c010,b01001c010_moe,b01001c011,b01001c011_moe,b01001c012,b01001c012_moe,b01001c013,b01001c013_moe,b01001c014,b01001c014_moe,b01001c015,b01001c015_moe,b01001c016,b01001c016_moe,b01001c017,b01001c017_moe,b01001c018,b01001c018_moe,b01001c019,b01001c019_moe,b01001c020,b01001c020_moe,b01001c021,b01001c021_moe,b01001c022,b01001c022_moe,b01001c023,b01001c023_moe,b01001c024,b01001c024_moe,b01001c025,b01001c025_moe,b01001c026,b01001c026_moe,b01001c027,b01001c027_moe,b01001c028,b01001c028_moe,b01001c029,b01001c029_moe,b01001c030,b01001c030_moe,b01001c031,b01001c031_moe
BK88,Borough Park,25,68,18,69,0,68,0,68,0,68,0,68,0,68,0,68,12,69,0,68,0,68,6,68,0,68,0,68,0,68,0,68,7,67,0,68,7,67,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68,0,68
BK90,East Williamsburg,191,182,73,94,0,40,0,40,23,53,0,40,8,40,0,40,0,40,0,40,0,40,38,60,4,40,0,40,0,40,0,40,118,114,0,40,0,40,0,40,0,40,57,71,0,40,0,40,0,40,23,53,0,40,38,72,0,40,0,40,0,40
BK91,East Flatbush-Farragut,29,59,29,59,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,11,56,18,58,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54,0,54
BK93,Starrett City,110,130,88,102,0,24,21,40,0,24,22,39,0,24,0,24,0,24,24,43,0,24,0,24,21,38,0,24,0,24,0,24,22,40,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,22,40,0,24,0,24,0,24,0,24,0,24
BK95,Erasmus,1,32,1,32,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,1,32,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36
BK96,Rugby-Remsen Village,178,125,95,91,41,83,0,54,0,54,0,54,0,54,10,56,0,54,21,61,11,55,0,54,0,54,12,56,0,54,0,54,83,85,0,54,0,54,0,54,0,54,0,54,0,54,28,68,0,54,11,55,7,54,13,56,0,54,0,54,24,63
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,210,133,94,77,0,40,0,40,13,42,15,43,0,40,35,51,0,40,0,40,0,40,16,45,15,44,0,40,0,40,0,40,116,86,0,40,0,40,28,47,13,42,0,40,0,40,10,41,0,40,21,44,22,42,22,50,0,40,0,40,0,40
BX03,Eastchester-Edenwald-Baychester,157,137,81,85,0,40,12,46,11,42,0,40,0,40,6,40,0,40,0,40,52,66,0,40,0,40,0,40,0,40,0,40,76,71,7,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,7,40,0,40,37,56,25,56,0,40,0,40
BX05,Bedford Park-Fordham North,217,148,83,65,0,50,0,50,5,48,6,48,6,48,25,53,0,50,0,50,11,50,10,51,20,54,0,50,0,50,0,50,134,100,21,59,9,50,0,50,7,45,0,50,23,57,0,50,10,50,10,50,47,54,0,50,7,48,0,50,0,50
BX06,Belmont,110,107,94,102,0,34,0,34,10,33,32,56,0,34,6,33,0,34,0,34,0,34,0,34,34,60,12,37,0,34,0,34,16,34,0,34,0,34,0,34,0,34,0,34,16,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
BX07,Bronxdale,104,129,100,125,0,38,0,38,7,38,0,38,7,38,3,37,0,38,0,38,74,119,9,39,0,38,0,38,0,38,0,38,4,40,2,37,0,38,0,38,0,38,0,38,0,38,0,38,0,38,2,37,0,38,0,38,0,38,0,38,0,38
BX08,West Farms-Bronx River,161,101,72,63,0,40,54,57,0,40,0,40,0,40,18,48,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,89,62,13,42,7,38,10,39,0,40,0,40,18,48,0,40,0,40,12,41,14,43,0,40,0,40,15,43,0,40
BX09,Soundview-Castle Hill-Clason Point-Harding Park,131,98,51,62,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,31,59,16,54,0,50,4,49,0,50,80,83,0,50,0,50,0,50,10,51,8,50,28,57,0,50,10,51,0,50,24,54,0,50,0,50,0,50,0,50
BX10,Pelham Bay-Country Club-City Island,16,39,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,16,39,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,16,39,0,34,0,34,0,34,0,34,0,34
BX13,Co-op City,234,170,99,83,14,33,0,33,54,68,0,33,0,33,0,33,0,33,0,33,15,34,0,33,16,35,0,33,0,33,0,33,135,111,0,33,16,41,27,49,27,52,0,33,0,33,0,33,0,33,65,58,0,33,0,33,0,33,0,33,0,33
BX14,East Concourse-Concourse Village,425,316,223,172,48,67,0,51,7,51,13,56,87,115,42,80,0,51,0,51,19,61,0,51,7,51,0,51,0,51,0,51,202,178,30,61,12,55,39,66,0,51,0,51,48,80,18,61,0,51,47,66,0,51,0,51,8,51,0,51,0,51
BX17,East Tremont,107,71,63,63,0,45,0,45,0,45,0,45,11,47,13,45,11,47,3,44,0,45,25,50,0,45,0,45,0,45,0,45,44,50,7,44,0,45,0,45,0,45,0,45,0,45,7,44,0,45,0,45,4,44,0,45,19,47,0,45,7,44
BX22,North Riverdale-Fieldston-Riverdale,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38
BX26,Highbridge,204,142,94,88,0,42,11,43,12,43,10,42,0,42,17,47,0,42,0,42,0,42,44,63,0,42,0,42,0,42,0,42,110,86,0,42,9,41,21,43,0,42,0,42,0,42,0,42,0,42,8,41,13,47,59,66,0,42,0,42,0,42
