area_id,area_name,b14007d001,b14007d001_moe,b14007d002,b14007d002_moe,b14007d003,b14007d003_moe,b14007d004,b14007d004_moe,b14007d005,b14007d005_moe,b14007d006,b14007d006_moe,b14007d007,b14007d007_moe,b14007d008,b14007d008_moe,b14007d009,b14007d009_moe,b14007d010,b14007d010_moe,b14007d011,b14007d011_moe,b14007d012,b14007d012_moe,b14007d013,b14007d013_moe,b14007d014,b14007d014_moe,b14007d015,b14007d015_moe,b14007d016,b14007d016_moe,b14007d017,b14007d017_moe,b14007d018,b14007d018_moe,b14007d019,b14007d019_moe
BK61,Crown Heights North,2072,523,459,228,0,67,13,68,0,67,6,67,37,79,5,66,0,67,47,81,0,67,0,67,69,89,76,89,0,67,0,67,146,119,60,76,1613,372
BK63,Crown Heights South,577,356,150,137,11,42,11,42,12,43,12,42,11,42,0,40,20,44,12,43,11,42,0,40,0,40,0,40,0,40,0,40,50,69,0,40,427,287
BK64,Prospect Heights,1378,382,212,104,16,36,0,32,0,32,0,32,20,36,30,40,0,32,0,32,0,32,0,32,0,32,0,32,0,32,22,46,97,77,27,40,1166,348
BK68,Fort Greene,2251,407,346,155,38,51,0,38,0,38,8,39,13,41,0,38,9,39,35,46,12,41,0,38,8,40,0,38,33,52,0,38,114,72,76,70,1905,337
BK69,Clinton Hill,1836,378,521,159,0,40,44,54,17,44,12,42,4,39,8,40,0,40,0,40,7,40,5,42,10,41,0,40,0,40,0,40,337,129,77,59,1315,309
BK72,Williamsburg,30,41,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,30,41
BK73,North Side-South Side,2009,356,204,114,0,48,18,47,0,48,7,46,4,50,0,48,0,48,0,48,0,48,11,50,4,50,0,48,23,50,0,48,104,80,33,53,1805,319
BK75,Bedford,1852,476,569,223,28,65,17,58,11,58,10,58,0,56,0,56,54,71,0,56,25,68,55,71,64,78,0,56,31,66,0,56,244,151,30,62,1283,350
BK76,Greenpoint,1540,369,303,182,0,42,0,42,0,42,0,42,0,42,42,61,13,45,37,60,9,43,18,45,27,57,13,42,12,44,10,45,88,77,34,69,1237,245
BK77,Bushwick North,3560,593,730,191,13,54,56,54,28,58,20,53,14,58,35,63,43,63,15,58,57,68,53,63,23,62,37,57,25,64,35,62,227,108,49,59,2830,486
BK78,Bushwick South,1586,381,339,147,7,59,9,55,30,61,0,56,25,63,11,58,7,57,6,58,5,56,8,57,26,62,27,61,0,56,18,59,133,86,27,61,1247,297
BK79,Ocean Hill,171,91,11,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,11,39,0,38,160,90
BK81,Brownsville,551,327,104,88,34,63,0,51,0,51,11,51,0,51,0,51,6,51,0,51,0,51,0,51,9,52,0,51,17,54,0,51,19,55,8,51,447,268
BK82,East New York,1545,426,533,194,46,82,41,83,7,65,29,67,15,64,28,70,38,72,6,64,31,68,40,74,53,73,22,66,0,65,46,73,48,71,83,96,1012,274
BK83,Cypress Hills-City Line,3417,700,1093,299,7,49,13,48,61,63,38,53,29,50,45,59,96,83,79,83,34,59,22,57,71,75,98,77,75,80,140,100,218,79,67,62,2324,471
BK85,East New York (Pennsylvania Ave),240,146,103,80,0,36,0,36,8,36,0,36,15,37,0,36,18,45,7,36,0,36,0,36,16,43,0,36,0,36,11,38,20,45,8,36,137,89
BK88,Borough Park,12417,1213,3460,490,201,112,214,125,82,76,189,97,130,104,121,85,271,141,117,90,177,103,233,121,151,99,175,84,240,114,248,133,800,193,111,88,8957,928
BK90,East Williamsburg,3905,422,1005,223,38,46,41,60,0,40,47,59,18,49,14,43,11,41,64,67,64,56,46,49,49,53,60,57,31,45,38,46,398,171,86,69,2900,327
BK91,East Flatbush-Farragut,457,224,134,113,0,54,36,67,4,53,0,54,5,53,0,54,0,54,10,57,0,54,0,54,0,54,0,54,19,56,22,60,24,57,14,54,323,148
BK93,Starrett City,319,244,66,92,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,0,24,14,30,0,24,37,48,15,33,253,191
BK95,Erasmus,879,678,288,296,0,36,62,104,20,46,0,36,0,36,19,44,0,36,19,44,0,36,0,36,0,36,51,65,0,36,18,44,25,46,74,65,591,398
BK96,Rugby-Remsen Village,921,459,202,135,7,54,21,56,0,54,0,54,6,53,13,55,24,64,13,55,0,54,0,54,0,54,0,54,0,54,24,63,63,79,31,64,719,423
BK99,park-cemetery-etc-Brooklyn,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,42,50,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,42,50
BX03,Eastchester-Edenwald-Baychester,345,292,84,90,0,40,5,39,0,40,34,56,0,40,5,39,0,40,0,40,33,51,0,40,0,40,0,40,0,40,0,40,0,40,7,39,261,248
BX05,Bedford Park-Fordham North,2520,605,623,203,28,56,48,67,0,50,96,76,13,51,32,51,8,50,17,53,27,49,23,61,31,50,14,51,60,70,54,74,172,104,0,50,1897,479
BX06,Belmont,640,224,246,118,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,211,106,35,61,394,194
BX07,Bronxdale,1384,441,392,195,0,38,24,52,10,39,21,42,41,52,30,50,20,40,0,38,0,38,35,55,49,57,39,50,21,41,2,40,91,80,9,39,992,304
BX08,West Farms-Bronx River,946,386,163,104,10,41,28,48,0,40,15,45,8,40,17,45,8,40,15,38,8,40,0,40,0,40,0,40,37,67,0,40,17,41,0,40,783,340
BX09,Soundview-Castle Hill-Clason Point-Harding Park,898,439,324,241,0,50,13,51,0,50,0,50,0,50,29,65,56,70,0,50,0,50,25,62,27,61,0,50,73,83,0,50,94,115,7,49,574,283
BX10,Pelham Bay-Country Club-City Island,871,362,214,132,17,37,0,34,7,34,3,35,0,34,19,42,0,34,17,40,0,34,0,34,0,34,6,33,19,41,0,34,86,64,40,55,657,291
BX13,Co-op City,533,333,168,159,0,33,0,33,0,33,14,41,42,66,0,33,54,67,0,33,14,40,13,39,0,33,0,33,0,33,0,33,31,57,0,33,365,206
BX14,East Concourse-Concourse Village,612,285,195,146,0,51,0,51,10,51,14,54,0,51,31,53,0,51,13,54,22,58,12,53,25,61,0,51,0,51,26,61,23,53,19,56,417,184
BX17,East Tremont,356,294,57,68,5,46,0,45,3,44,0,45,0,45,6,45,0,45,0,45,0,45,0,45,7,47,0,45,0,45,0,45,36,52,0,45,299,267
BX22,North Riverdale-Fieldston-Riverdale,1616,378,317,140,0,38,0,38,0,38,0,38,20,44,21,48,9,42,6,37,11,37,9,39,0,38,20,44,26,54,26,56,146,71,23,42,1299,312
BX26,Highbridge,150,146,7,40,0,42,0,42,0,42,7,40,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,0,42,143,139
BX27,Hunts Point,149,113,16,39,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,7,38,0,38,0,38,0,38,0,38,9,39,0,38,133,102
BX28,Van Cortlandt Village,1729,487,387,202,0,43,0,43,15,43,57,71,7,43,46,77,0,43,9,43,27,46,18,47,13,50,13,45,7,44,1,46,149,93,25,49,1342,351
BX29,Spuyten Duyvil-Kingsbridge,1908,423,405,157,22,41,7,38,7,38,0,38,13,39,0,38,0,38,13,38,0,38,24,52,10,39,33,42,10,40,41,51,100,84,125,87,1503,370
BX30,Kingsbridge Heights,1971,544,502,204,29,43,10,38,24,52,36,50,10,38,49,60,17,39,63,68,12,38,11,38,0,38,23,50,70,80,41,72,44,58,63,76,1469,416
BX31,Allerton-Pelham Gardens,3003,777,966,350,80,64,6,41,30,51,92,63,61,69,62,58,79,62,15,41,63,55,10,43,58,67,57,62,44,64,16,42,185,111,108,91,2037,517
BX33,Longwood,315,260,127,140,36,56,0,36,28,55,0,36,28,55,0,36,0,36,0,36,0,36,0,36,11,38,0,36,13,39,4,35,7,35,0,36,188,158
BX34,Melrose South-Mott Haven North,216,122,59,71,0,42,0,42,0,42,0,42,0,42,0,42,0,42,8,42,0,42,0,42,0,42,0,42,0,42,0,42,51,64,0,42,157,88
BX35,Morrisania-Melrose,213,164,43,54,10,39,0,40,22,40,0,40,11,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,170,141
BX36,University Heights-Morris Heights,288,234,107,93,0,51,35,62,0,51,0,51,0,51,17,53,0,51,0,51,0,51,1,48,0,51,0,51,0,51,19,54,35,58,0,51,181,180
BX37,Van Nest-Morris Park-Westchester Square,2520,427,914,232,57,52,61,55,34,48,2,40,44,56,18,42,57,62,46,53,26,46,70,61,39,56,84,71,24,49,25,44,250,122,77,72,1606,272
BX39,Mott Haven-Port Morris,457,265,76,97,0,50,12,51,11,52,12,52,0,50,0,50,0,50,0,50,0,50,0,50,0,50,0,50,12,51,0,50,29,58,0,50,381,219
BX40,Fordham South,194,210,26,42,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,8,34,18,40,168,208
BX41,Mount Hope,1102,375,197,120,6,49,0,51,3,50,19,54,3,50,18,56,0,51,0,51,34,58,1,50,6,51,0,51,16,55,0,51,77,62,14,54,905,307
BX43,Norwood,3293,690,966,248,66,66,80,62,27,56,32,48,34,54,39,43,14,40,73,46,43,47,91,64,6,40,42,53,16,46,18,44,254,126,131,136,2327,544
BX44,Williamsbridge-Olinville,1015,305,281,129,24,58,0,54,0,54,28,63,7,54,0,54,0,54,17,61,10,55,5,53,12,56,48,59,22,66,0,54,98,106,10,55,734,234
BX46,Parkchester,3574,845,1369,436,68,81,48,64,29,46,200,127,29,43,19,38,80,73,72,63,0,36,57,53,80,62,83,61,63,70,106,91,412,194,23,38,2205,534
BX49,Pelham Parkway,4272,702,1104,229,62,71,11,41,115,67,63,53,103,88,73,73,20,39,33,46,17,46,20,44,26,46,101,78,16,39,7,38,227,105,210,86,3168,557
BX52,Schuylerville-Throgs Neck-Edgewater Park,1086,360,358,183,20,60,8,51,7,51,21,60,4,51,26,56,0,52,13,52,19,59,5,52,39,57,21,57,0,52,8,53,133,96,34,57,728,255
BX55,Soundview-Bruckner,2541,604,788,257,72,67,67,61,14,42,14,39,26,41,32,44,43,48,55,56,28,46,61,60,81,67,44,49,22,48,78,66,78,66,73,76,1753,427
BX59,Westchester-Unionport,3901,750,1435,334,106,70,77,58,47,48,19,39,100,72,47,50,95,66,58,50,33,50,92,60,66,61,108,59,73,62,61,60,359,137,94,66,2466,492
BX62,Woodlawn-Wakefield,1553,496,370,175,28,52,11,48,0,48,32,53,12,48,0,48,10,48,12,48,23,50,7,48,28,51,13,51,21,51,32,61,91,78,50,66,1183,388
BX63,West Concourse,929,378,205,125,23,54,28,53,16,47,0,42,0,42,18,47,0,42,0,42,0,42,19,44,0,42,17,50,0,42,0,42,84,70,0,42,724,293
BX75,Crotona Park East,129,119,80,112,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,8,30,72,111,49,44
BX98,Rikers Island,202,77,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,202,77
BX99,park-cemetery-etc-Bronx,89,74,21,33,0,32,0,32,0,32,0,32,3,30,0,32,3,30,0,32,0,32,0,32,0,32,0,32,8,32,0,32,0,32,7,31,68,61
MN01,Marble Hill-Inwood,724,247,126,81,2,40,12,40,19,47,0,41,0,41,13,44,0,41,0,41,0,41,0,41,0,41,0,41,11,41,0,41,57,63,12,43,598,207
MN03,Central Harlem North-Polo Grounds,2012,523,613,238,53,79,26,60,5,59,20,62,40,66,44,76,0,59,54,74,0,59,59,77,10,57,0,59,11,60,25,64,141,111,125,106,1399,374
MN04,Hamilton Heights,844,261,230,126,0,46,17,50,0,46,0,46,0,46,0,46,17,50,0,46,0,46,0,46,0,46,27,59,0,46,0,46,77,87,92,80,614,211
MN06,Manhattanville,828,345,293,232,3,30,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,38,50,252,228,535,245
MN09,Morningside Heights,7768,971,4307,708,18,52,9,46,0,45,0,45,9,43,9,46,30,52,0,45,21,47,0,45,13,48,20,43,23,54,0,45,1967,503,2188,530,3461,606
MN11,Central Harlem South,1748,410,490,178,18,53,6,45,5,44,38,55,26,50,6,44,33,67,0,45,7,45,42,55,0,45,14,48,0,45,6,45,133,91,156,103,1258,305
MN12,Upper West Side,8558,1010,1783,438,144,128,24,76,17,71,57,93,25,70,37,77,77,80,56,74,47,79,89,101,75,82,0,68,30,69,5,67,319,165,781,321,6775,813
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,8070,823,1684,421,31,62,17,55,63,65,20,53,3,53,18,60,0,54,14,56,34,63,0,54,9,54,43,68,33,58,58,56,819,294,522,227,6386,692
MN14,Lincoln Square,6354,815,1015,233,44,57,11,48,12,49,0,48,38,54,10,48,23,54,52,62,50,53,0,48,32,50,63,56,20,47,106,115,293,125,261,110,5339,758
MN15,Clinton,5697,641,1032,365,37,60,0,43,23,45,0,43,19,47,42,50,0,43,23,52,14,46,0,43,38,53,11,44,41,44,8,43,530,276,246,146,4665,540
MN17,Midtown-Midtown South,4862,511,1083,265,6,51,0,51,0,51,0,51,0,51,0,51,0,51,8,51,0,51,20,59,27,50,0,51,0,51,9,52,636,219,377,166,3779,425
MN19,Turtle Bay-East Midtown,6774,701,784,223,103,98,16,52,28,59,45,67,22,48,47,61,0,48,0,48,31,58,0,48,28,59,0,48,0,48,0,48,250,132,214,103,5990,653
MN20,Murray Hill-Kips Bay,6676,826,1495,360,114,88,8,42,0,42,20,43,0,42,12,42,0,42,26,57,13,45,41,59,76,77,7,42,0,42,85,89,397,190,696,264,5181,715
MN21,Gramercy,2865,470,723,303,32,57,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,12,35,0,34,0,34,597,294,82,56,2142,330
MN22,East Village,6355,872,2120,662,62,74,43,59,17,43,0,40,80,80,0,40,0,40,55,70,0,40,0,40,0,40,0,40,0,40,0,40,1499,624,364,156,4235,543
MN23,West Village,5741,677,1802,403,52,68,13,59,55,85,38,65,14,59,9,56,25,60,0,56,23,58,17,61,12,58,11,57,0,56,0,56,1009,317,524,212,3939,543
MN24,SoHo-TriBeCa-Civic Center-Little Italy,9040,916,1817,434,160,114,77,71,24,54,26,48,166,117,0,42,81,94,38,57,46,81,67,70,138,100,76,65,9,43,32,54,587,206,290,159,7223,738
MN25,Battery Park City-Lower Manhattan,6940,687,1509,318,108,72,30,48,0,42,13,43,110,110,13,44,63,61,0,42,19,50,18,41,0,42,9,42,0,42,27,59,498,186,601,204,5431,597
MN27,Chinatown,29569,1654,5646,662,196,109,446,188,201,119,299,148,367,158,255,110,312,133,245,108,205,109,290,128,174,99,349,132,183,99,239,107,1573,302,312,146,23923,1377
MN28,Lower East Side,19069,1389,3635,486,223,139,166,94,95,114,120,85,217,125,75,72,197,104,124,99,228,128,107,75,214,122,106,68,139,105,138,85,977,267,509,209,15434,1159
MN31,Lenox Hill-Roosevelt Island,8546,964,1607,356,258,132,17,57,33,55,16,57,17,56,14,54,34,59,14,58,14,55,21,59,43,63,38,64,12,54,79,75,239,129,758,265,6939,851
MN32,Yorkville,6958,822,915,290,72,80,8,49,21,50,54,79,9,50,18,56,7,49,22,51,36,74,55,77,0,50,0,50,39,65,0,50,192,112,382,201,6043,760
MN33,East Harlem South,5925,916,1069,363,27,61,11,51,50,89,0,50,22,52,0,50,0,50,21,50,13,51,15,49,22,58,5,47,18,52,64,69,353,126,448,318,4856,797
MN34,East Harlem North,2179,602,691,265,8,49,2,49,23,58,0,50,12,51,36,70,2,48,32,62,59,76,26,61,0,50,10,49,22,55,43,56,253,120,163,113,1488,414
MN35,Washington Heights North,2033,425,590,206,0,52,0,52,0,52,10,51,0,52,47,62,38,52,11,52,0,52,0,52,10,51,26,56,0,52,0,52,312,182,136,79,1443,336
MN36,Washington Heights South,2544,591,782,259,27,67,0,56,0,56,10,55,0,56,0,56,0,56,0,56,0,56,0,56,0,56,17,59,3,55,0,56,247,131,478,245,1762,461
MN40,Upper East Side-Carnegie Hill,3071,564,667,233,92,101,12,55,36,75,60,86,30,57,25,62,38,60,19,58,47,57,36,78,47,61,4,52,11,52,25,58,35,62,150,102,2404,437
MN50,Stuyvesant Town-Cooper Village,3593,923,1208,715,48,63,0,22,21,24,16,32,35,34,11,23,16,30,15,28,0,22,0,22,0,22,0,22,0,22,52,87,660,666,334,214,2385,516
MN99,park-cemetery-etc-Manhattan,6,33,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,6,33
QN01,South Jamaica,2237,634,785,257,7,47,23,50,44,52,43,61,0,46,5,46,31,67,35,60,46,59,9,47,50,63,14,48,34,57,67,66,339,173,38,54,1452,433
QN02,Springfield Gardens North,424,292,86,64,0,31,0,31,0,31,0,31,58,52,14,29,0,31,0,31,0,31,14,29,0,31,0,31,0,31,0,31,0,31,0,31,338,236
QN03,Springfield Gardens South-Brookville,295,229,62,64,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,26,38,0,29,0,29,21,40,15,29,0,29,233,182
QN05,Rosedale,1103,484,271,161,0,35,0,35,9,38,0,35,0,35,0,35,9,36,0,35,14,34,33,60,0,35,0,35,11,37,0,35,146,107,49,60,832,362
QN06,Jamaica Estates-Holliswood,7312,777,2050,396,70,56,78,66,21,37,102,66,151,90,56,47,138,80,138,79,112,80,104,64,113,82,42,50,73,68,106,71,544,173,202,106,5262,561
QN07,Hollis,2637,618,765,208,39,54,64,56,3,35,3,35,57,56,35,49,11,38,0,36,39,54,12,40,51,59,39,53,53,57,94,59,162,91,103,71,1872,476
QN08,St. Albans,752,333,183,130,0,59,0,59,14,61,13,61,36,71,0,59,38,71,6,58,0,59,0,59,0,59,0,59,0,59,21,64,55,89,0,59,569,247
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,469,246,151,159,16,46,0,36,0,36,0,36,0,36,0,36,7,36,0,36,0,36,0,36,0,36,8,36,17,37,0,36,64,100,39,65,318,138
QN12,Hammels-Arverne-Edgemere,966,384,383,178,23,52,10,39,18,42,30,50,36,65,28,47,26,45,0,38,21,48,19,47,0,38,34,50,6,38,38,67,65,63,29,44,583,232
QN15,Far Rockaway-Bayswater,925,506,120,94,19,53,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,0,46,73,80,28,63,805,435
QN17,Forest Hills,19898,1394,4726,623,364,128,189,112,258,172,270,132,105,75,301,145,112,88,185,124,136,99,88,88,212,120,185,142,153,90,248,139,948,268,972,271,15172,1071
QN18,Rego Park,8528,744,2122,340,220,106,118,80,141,93,31,40,24,40,66,68,245,112,44,48,91,57,37,39,72,60,70,57,70,47,72,59,627,207,194,90,6406,575
QN19,Glendale,918,312,302,144,14,47,31,44,10,44,24,44,7,43,10,43,47,54,0,43,38,53,0,43,7,43,22,52,0,43,0,43,43,51,49,63,616,211
QN20,Ridgewood,5416,800,1500,330,90,78,32,65,66,71,112,83,9,57,41,61,0,56,44,59,57,71,70,70,70,68,68,68,146,88,75,69,490,198,130,116,3916,617
QN21,Middle Village,2498,502,561,170,34,55,0,51,14,50,5,50,50,68,24,58,0,51,38,57,24,50,33,56,19,53,53,72,44,63,33,49,162,87,28,58,1937,393
QN22,Flushing,45641,2066,9881,924,642,217,482,192,565,212,358,150,389,146,202,125,323,146,291,124,548,178,340,152,390,140,553,206,539,214,422,154,2906,460,931,275,35760,1690
QN23,College Point,6235,903,1594,323,132,72,100,65,138,92,36,38,58,43,66,50,95,66,47,45,111,75,63,60,39,38,66,52,28,35,46,49,409,142,160,91,4641,695
QN25,Corona,7539,964,1840,387,52,70,34,49,133,81,24,50,174,91,52,50,159,102,67,66,70,61,99,74,70,68,71,73,93,74,42,57,451,172,249,177,5699,757
QN26,North Corona,4457,791,1220,294,90,87,71,67,9,45,86,72,43,64,49,64,14,47,39,56,43,63,27,60,39,56,29,45,100,84,137,93,374,134,70,62,3237,587
QN27,East Elmhurst,1266,432,447,175,60,47,0,34,8,32,39,37,28,40,54,60,40,38,57,58,35,40,0,34,26,36,26,43,9,36,28,38,35,42,2,33,819,294
QN28,Jackson Heights,24835,1933,6771,803,242,136,276,125,288,153,182,99,219,121,226,137,104,84,360,146,238,130,409,159,318,137,300,132,187,115,395,157,2336,432,691,209,18064,1470
QN29,Elmhurst,37743,1875,9803,855,472,155,308,123,394,141,403,145,563,206,267,116,463,156,443,129,376,132,355,119,482,168,339,132,432,132,351,133,3051,536,1104,270,27940,1463
QN30,Maspeth,2932,561,919,206,62,52,69,70,38,46,34,47,56,63,40,50,24,45,71,61,78,59,56,57,33,48,46,48,18,44,47,56,161,81,86,75,2013,410
QN31,Hunters Point-Sunnyside-West Maspeth,15060,1231,3920,526,118,83,215,109,147,105,189,115,68,63,138,89,80,73,133,87,94,91,125,78,168,108,256,142,172,122,125,80,1459,352,433,166,11140,960
QN33,Cambria Heights,379,195,73,77,17,50,0,43,6,43,0,43,0,43,13,47,0,43,10,45,3,42,0,43,0,43,0,43,2,43,11,43,0,43,11,45,306,167
QN34,Queens Village,10208,1044,2503,411,109,75,115,85,44,69,34,68,164,90,153,98,99,77,51,63,107,72,101,70,67,81,130,86,173,98,163,83,847,206,146,74,7705,784
QN35,Briarwood-Jamaica Hills,13252,1253,3482,527,100,81,165,103,199,95,151,93,65,59,74,66,54,53,81,65,120,79,205,106,101,73,121,74,205,105,130,82,1124,262,587,278,9770,937
