area_id,area_name,c21001a001,c21001a001_moe,c21001a002,c21001a002_moe,c21001a003,c21001a003_moe,c21001a004,c21001a004_moe,c21001a005,c21001a005_moe,c21001a006,c21001a006_moe,c21001a007,c21001a007_moe,c21001a008,c21001a008_moe,c21001a009,c21001a009_moe,c21001a010,c21001a010_moe,c21001a011,c21001a011_moe,c21001a012,c21001a012_moe,c21001a013,c21001a013_moe,c21001a014,c21001a014_moe,c21001a015,c21001a015_moe
BK41,Kensington-Ocean Parkway,15127,884,7216,540,6032,529,90,62,5942,524,1184,191,213,87,971,171,7911,510,6366,487,6,40,6360,487,1545,204,0,40,1545,204
BK42,Flatbush,22064,1205,10913,798,9404,767,162,95,9242,760,1509,211,358,105,1151,194,11151,652,8860,631,0,68,8860,631,2291,248,0,68,2291,248
BK43,Midwood,30432,1003,14454,633,11989,626,182,93,11807,628,2465,243,473,102,1992,234,15978,605,12264,589,22,51,12242,588,3714,289,7,51,3707,289
BK44,Madison,23978,880,11312,561,9327,560,236,91,9091,560,1985,215,549,108,1436,197,12666,553,9669,518,10,48,9659,517,2997,259,20,49,2977,258
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,28749,930,13286,570,10928,541,703,159,10225,541,2358,257,865,144,1493,228,15463,605,11942,587,29,58,11913,587,3521,304,36,60,3485,300
BK46,Ocean Parkway South,12317,622,6145,407,5046,410,114,58,4932,408,1099,148,228,68,871,138,6172,348,4817,348,1,35,4816,348,1355,159,6,35,1349,159
BK50,Canarsie,6095,660,2856,407,2011,367,108,91,1903,360,845,151,349,99,496,126,3239,353,1986,294,11,71,1975,293,1253,175,7,71,1246,174
BK58,Flatlands,10943,716,5458,439,4487,416,252,96,4235,407,971,158,418,100,553,133,5485,392,3961,349,5,62,3956,348,1524,192,26,62,1498,192
BK60,Prospect Lefferts Gardens-Wingate,5677,665,2948,412,2715,379,54,63,2661,378,233,120,67,80,166,109,2729,379,2462,355,0,58,2462,355,267,137,0,58,267,137
BK61,Crown Heights North,10471,841,5304,537,5078,531,145,98,4933,513,226,97,32,70,194,94,5167,497,4758,482,10,67,4748,482,409,129,0,67,409,129
BK63,Crown Heights South,6829,702,3675,445,3459,443,28,48,3431,443,216,84,10,39,206,83,3154,357,2976,356,12,42,2964,355,178,77,0,40,178,77
BK64,Prospect Heights,9773,715,4570,407,4426,405,79,52,4347,409,144,63,82,48,62,41,5203,540,4960,542,0,32,4960,542,243,102,0,32,243,102
BK68,Fort Greene,7773,576,3573,397,3303,390,128,75,3175,390,270,85,101,54,169,70,4200,385,3814,375,16,44,3798,377,386,115,0,38,386,115
BK69,Clinton Hill,13020,940,6381,626,6124,619,62,57,6062,613,257,101,41,45,216,97,6639,548,6416,541,0,40,6416,541,223,88,0,40,223,88
BK72,Williamsburg,15344,676,7621,443,7006,437,101,81,6905,429,615,142,23,40,592,140,7723,395,6744,388,0,36,6744,388,979,174,0,36,979,174
BK73,North Side-South Side,29026,1095,14473,763,13442,742,283,119,13159,741,1031,205,214,97,817,190,14553,804,13200,792,0,48,13200,792,1353,235,0,48,1353,235
BK75,Bedford,12437,864,6087,548,5874,543,49,69,5825,538,213,90,42,55,171,84,6350,541,6059,528,20,60,6039,526,291,109,3,55,288,109
BK76,Greenpoint,24251,948,11960,641,11185,632,239,90,10946,629,775,147,202,69,573,134,12291,647,10634,635,48,64,10586,634,1657,234,0,42,1657,234
BK77,Bushwick North,17691,1313,9139,796,8595,784,134,89,8461,780,544,135,146,74,398,118,8552,739,7616,710,0,54,7616,710,936,166,0,54,936,166
BK78,Bushwick South,21742,1479,10400,903,9673,881,247,118,9426,874,727,173,84,67,643,160,11342,870,9828,811,35,69,9793,809,1514,267,0,56,1514,267
BK79,Ocean Hill,934,267,515,177,475,172,62,58,413,166,40,42,4,34,36,41,419,138,352,134,9,39,343,131,67,38,0,38,67,38
BK81,Brownsville,2048,454,693,198,625,191,50,63,575,186,68,71,19,57,49,64,1355,355,1168,336,0,51,1168,336,187,94,0,51,187,94
BK82,East New York,11511,1034,5429,644,4764,602,82,78,4682,599,665,176,72,70,593,170,6082,574,5059,513,0,65,5059,513,1023,220,0,65,1023,220
BK83,Cypress Hills-City Line,16740,1259,7779,740,7223,711,120,86,7103,701,556,143,102,70,454,130,8961,673,7926,615,14,52,7912,616,1035,189,0,49,1035,189
BK85,East New York (Pennsylvania Ave),2217,459,985,271,869,261,0,36,869,261,116,70,22,49,94,61,1232,273,1116,265,0,36,1116,265,116,61,0,36,116,61
BK88,Borough Park,50724,1446,24942,873,21526,873,301,120,21225,866,3416,309,381,100,3035,298,25782,826,20734,789,9,67,20725,790,5048,417,0,68,5048,417
BK90,East Williamsburg,18958,908,8890,620,7904,599,201,109,7703,593,986,185,288,102,698,165,10068,628,8604,602,11,42,8593,602,1464,208,0,40,1464,208
BK91,East Flatbush-Farragut,1163,276,595,160,542,157,73,82,469,146,53,51,23,55,30,48,568,176,402,160,0,54,402,160,166,79,0,54,166,79
BK93,Starrett City,4403,523,1687,313,887,260,10,27,877,260,800,192,255,170,545,140,2716,372,1410,348,0,24,1410,348,1306,234,0,24,1306,234
BK95,Erasmus,763,274,436,163,399,160,18,39,381,156,37,41,28,40,9,37,327,137,288,135,0,36,288,135,39,41,0,36,39,41
BK96,Rugby-Remsen Village,947,276,504,196,395,188,1,52,394,188,109,72,25,54,84,71,443,150,334,138,0,54,334,138,109,77,0,54,109,77
BK99,park-cemetery-etc-Brooklyn,195,120,95,78,95,78,0,40,95,78,0,40,0,40,0,40,100,71,83,68,0,40,83,68,17,46,0,40,17,46
BX01,Claremont-Bathgate,2014,410,895,223,779,206,15,41,764,202,116,70,19,41,97,63,1119,278,866,233,0,40,866,233,253,132,0,40,253,132
BX03,Eastchester-Edenwald-Baychester,2249,525,946,265,767,243,65,57,702,237,179,82,42,46,137,73,1303,323,922,297,0,40,922,297,381,135,0,40,381,135
BX05,Bedford Park-Fordham North,6669,822,2915,482,2435,420,135,89,2300,409,480,173,65,63,415,169,3754,494,2718,440,0,50,2718,440,1036,206,0,50,1036,206
BX06,Belmont,6340,683,2724,384,2432,363,75,52,2357,357,292,109,86,56,206,99,3616,472,2847,434,0,34,2847,434,769,173,27,34,742,172
BX07,Bronxdale,7046,709,3125,397,2322,361,115,61,2207,358,803,171,307,114,496,139,3921,456,2495,398,0,38,2495,398,1426,218,0,38,1426,218
BX08,West Farms-Bronx River,4032,596,1849,361,1611,339,178,111,1433,319,238,90,61,53,177,78,2183,345,1583,316,25,46,1558,312,600,130,0,40,600,130
BX09,Soundview-Castle Hill-Clason Point-Harding Park,7266,921,3350,483,2760,440,330,170,2430,402,590,135,189,80,401,110,3916,548,2842,448,13,51,2829,447,1074,225,0,50,1074,225
BX10,Pelham Bay-Country Club-City Island,15948,986,7376,619,5679,592,704,184,4975,607,1697,256,759,175,938,194,8572,640,5591,595,0,34,5591,595,2981,323,16,39,2965,321
BX13,Co-op City,7220,773,3245,509,2125,423,169,120,1956,419,1120,235,393,150,727,192,3975,482,2275,457,0,33,2275,457,1700,289,11,33,1689,289
BX14,East Concourse-Concourse Village,6266,949,2952,549,2419,496,85,86,2334,489,533,174,75,63,458,165,3314,545,2634,468,0,51,2634,468,680,216,0,51,680,216
BX17,East Tremont,4888,673,1934,354,1549,335,115,89,1434,312,385,118,72,55,313,110,2954,432,2219,381,0,45,2219,381,735,157,0,45,735,157
BX22,North Riverdale-Fieldston-Riverdale,16592,816,7966,533,6241,481,354,144,5887,479,1725,227,867,178,858,161,8626,507,5736,457,16,42,5720,458,2890,287,0,38,2890,287
BX26,Highbridge,3938,613,1877,360,1692,332,121,88,1571,312,185,90,42,49,143,88,2061,353,1612,295,0,42,1612,295,449,162,0,42,449,162
BX27,Hunts Point,5395,632,2659,387,2282,362,78,54,2204,359,377,112,29,43,348,109,2736,355,2203,335,9,38,2194,335,533,120,0,38,533,120
BX28,Van Cortlandt Village,9459,831,4530,516,3504,477,285,129,3219,457,1026,187,385,106,641,162,4929,490,3410,415,77,65,3333,407,1519,241,0,43,1519,241
BX29,Spuyten Duyvil-Kingsbridge,14757,772,6738,477,5003,446,362,118,4641,439,1735,223,789,168,946,183,8019,504,5159,432,21,42,5138,432,2860,297,22,42,2838,297
BX30,Kingsbridge Heights,2891,498,1260,284,856,232,77,54,779,229,404,134,111,84,293,105,1631,306,947,261,0,38,947,261,684,165,14,40,670,163
BX31,Allerton-Pelham Gardens,9672,720,4669,407,3227,367,220,84,3007,361,1442,189,531,131,911,151,5003,486,3279,441,4,40,3275,441,1724,215,10,43,1714,213
BX33,Longwood,2927,500,1252,276,1041,265,62,50,979,261,211,89,14,42,197,85,1675,298,1405,266,23,42,1382,263,270,110,0,36,270,110
BX34,Melrose South-Mott Haven North,5720,876,2620,519,2204,494,31,47,2173,493,416,140,73,64,343,130,3100,489,2409,453,6,39,2403,453,691,174,12,42,679,176
BX35,Morrisania-Melrose,2971,473,1251,250,1147,235,57,54,1090,233,104,68,18,37,86,67,1720,316,1376,275,34,62,1342,276,344,108,0,40,344,108
BX36,University Heights-Morris Heights,4603,663,2033,368,1828,353,151,108,1677,348,205,97,30,60,175,92,2570,428,2230,411,31,59,2199,407,340,131,0,51,340,131
BX37,Van Nest-Morris Park-Westchester Square,9224,770,4384,445,3414,429,281,101,3133,423,970,165,385,110,585,132,4840,477,3370,409,0,42,3370,409,1470,234,11,44,1459,233
BX39,Mott Haven-Port Morris,12246,1082,6007,792,5274,782,262,144,5012,751,733,184,197,106,536,160,6239,541,4981,518,0,50,4981,518,1258,211,0,50,1258,211
BX40,Fordham South,2383,596,1158,388,916,362,57,62,859,361,242,110,0,32,242,110,1225,299,948,269,0,32,948,269,277,122,0,32,277,122
BX41,Mount Hope,5396,715,2613,402,2251,380,108,84,2143,369,362,110,73,62,289,99,2783,404,2367,377,0,51,2367,377,416,114,0,51,416,114
BX43,Norwood,7360,849,3582,512,2925,482,163,94,2762,469,657,156,191,81,466,139,3778,477,3014,417,0,41,3014,417,764,172,12,42,752,171
BX44,Williamsbridge-Olinville,3634,536,1648,305,1118,260,87,69,1031,253,530,139,132,76,398,126,1986,341,1343,305,0,54,1343,305,643,140,15,53,628,139
BX46,Parkchester,2854,417,1342,264,922,221,162,95,760,186,420,148,125,70,295,134,1512,255,1190,240,0,36,1190,240,322,111,1,32,321,111
BX49,Pelham Parkway,11628,832,5315,506,3951,457,161,108,3790,436,1364,237,363,106,1001,220,6313,495,4495,430,14,40,4481,431,1818,277,8,38,1810,275
BX52,Schuylerville-Throgs Neck-Edgewater Park,23132,1217,11484,798,9206,731,847,214,8359,693,2278,340,960,192,1318,267,11648,712,8243,639,42,77,8201,641,3405,331,45,64,3360,328
BX55,Soundview-Bruckner,4335,616,1929,353,1438,319,129,77,1309,296,491,135,155,69,336,118,2406,363,1673,324,0,40,1673,324,733,138,0,40,733,138
BX59,Westchester-Unionport,3766,515,1490,270,1167,234,79,49,1088,233,323,93,98,53,225,76,2276,341,1558,301,0,36,1558,301,718,145,4,34,714,145
BX62,Woodlawn-Wakefield,7806,633,3723,360,2933,350,235,100,2698,342,790,150,411,115,379,111,4083,480,2884,403,0,48,2884,403,1199,196,0,48,1199,196
BX63,West Concourse,5059,768,2285,430,1982,406,30,53,1952,404,303,127,52,63,251,116,2774,450,2232,404,16,45,2216,404,542,157,0,42,542,157
BX75,Crotona Park East,1818,382,911,267,772,258,45,59,727,250,139,84,39,45,100,75,907,180,701,158,0,29,701,158,206,83,0,29,206,83
BX98,Rikers Island,1359,205,1179,202,1176,202,18,19,1158,201,3,6,0,17,3,6,180,79,180,79,0,17,180,79,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,236,108,136,80,104,77,0,32,104,77,32,39,0,32,32,39,100,51,83,48,0,32,83,48,17,35,0,32,17,35
MN01,Marble Hill-Inwood,14607,1183,7246,748,6290,709,123,74,6167,708,956,197,141,68,815,189,7361,666,6320,647,83,86,6237,639,1041,200,0,41,1041,200
MN03,Central Harlem North-Polo Grounds,8380,864,4018,540,3873,530,157,95,3716,529,145,99,34,65,111,91,4362,542,3936,514,24,62,3912,512,426,155,0,59,426,155
MN04,Hamilton Heights,10292,1155,5020,750,4712,729,72,61,4640,728,308,133,89,67,219,119,5272,628,4826,589,0,46,4826,589,446,144,23,56,423,141
MN06,Manhattanville,3827,673,1646,322,1320,302,103,87,1217,293,326,131,17,42,309,129,2181,464,1864,440,0,34,1864,440,317,118,0,34,317,118
MN09,Morningside Heights,27779,1596,12272,883,10943,861,296,125,10647,859,1329,238,491,142,838,190,15507,1221,13483,1202,48,50,13435,1199,2024,289,9,41,2015,288
MN11,Central Harlem South,8859,745,4305,499,4089,471,68,49,4021,469,216,143,36,48,180,121,4554,522,4307,510,15,53,4292,510,247,89,0,45,247,89
MN12,Upper West Side,86901,2135,40776,1413,33589,1371,915,218,32674,1374,7187,540,2445,323,4742,462,46125,1577,36578,1485,94,94,36484,1483,9547,612,36,89,9511,613
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,46886,1478,24781,989,21906,958,461,155,21445,954,2875,330,1079,205,1796,293,22105,1088,18590,1052,69,94,18521,1047,3515,347,15,57,3500,347
MN14,Lincoln Square,41450,1728,20418,1321,16472,1019,539,216,15933,1007,3946,710,1559,312,2387,642,21032,1000,15990,917,0,48,15990,917,5042,538,0,48,5042,538
MN15,Clinton,27899,1220,14578,949,13197,954,295,130,12902,956,1381,272,405,153,976,229,13321,822,11484,795,181,156,11303,790,1837,288,1,40,1836,288
MN17,Midtown-Midtown South,19238,974,9533,666,8078,649,235,129,7843,636,1455,245,553,135,902,226,9705,693,8396,660,19,58,8377,661,1309,227,23,60,1286,224
MN19,Turtle Bay-East Midtown,36017,1454,16088,934,12836,865,353,138,12483,857,3252,372,1502,260,1750,287,19929,982,14780,932,22,57,14758,931,5149,448,32,50,5117,448
MN20,Murray Hill-Kips Bay,34676,1583,15582,1201,13587,1157,169,92,13418,1155,1995,324,936,251,1059,233,19094,1186,16207,1137,51,69,16156,1133,2887,350,12,44,2875,350
MN21,Gramercy,19863,1128,8914,789,7698,754,307,143,7391,750,1216,233,610,173,606,180,10949,768,9374,744,0,34,9374,744,1575,236,0,34,1575,236
MN22,East Village,30414,1447,15095,1145,13838,1119,302,125,13536,1123,1257,240,289,111,968,213,15319,985,13384,963,10,42,13374,963,1935,345,15,40,1920,344
MN23,West Village,52289,1643,24885,1048,20940,969,438,168,20502,966,3945,362,1447,249,2498,319,27404,1211,22964,1166,25,58,22939,1165,4440,407,49,68,4391,407
MN24,SoHo-TriBeCa-Civic Center-Little Italy,24418,1102,12312,800,10862,799,241,122,10621,789,1450,231,389,123,1061,203,12106,744,10691,731,0,42,10691,731,1415,217,0,42,1415,217
MN25,Battery Park City-Lower Manhattan,23102,1206,11508,788,10657,775,315,142,10342,743,851,239,271,127,580,207,11594,863,10788,828,106,106,10682,829,806,191,18,47,788,194
MN27,Chinatown,9001,736,4828,550,4420,545,135,69,4285,542,408,141,107,76,301,123,4173,522,3565,491,1,41,3564,491,608,157,0,44,608,157
MN28,Lower East Side,24971,1187,12280,817,10408,763,396,146,10012,761,1872,299,516,144,1356,276,12691,778,9836,732,4,52,9832,731,2855,324,6,55,2849,324
MN31,Lenox Hill-Roosevelt Island,58065,1903,25548,1274,20478,1222,733,307,19745,1217,5070,516,1869,342,3201,426,32517,1366,25742,1305,14,55,25728,1306,6775,614,14,55,6761,612
MN32,Yorkville,56972,1691,24235,1125,19881,1048,564,184,19317,1039,4354,506,1942,325,2412,443,32737,1336,26802,1307,84,91,26718,1303,5935,575,56,82,5879,571
MN33,East Harlem South,19190,1318,9420,884,8454,858,259,123,8195,833,966,192,275,105,691,166,9770,815,8056,737,9,50,8047,737,1714,267,17,54,1697,265
MN34,East Harlem North,10589,1014,4767,580,4115,545,129,99,3986,539,652,168,67,66,585,161,5822,720,4617,640,8,50,4609,641,1205,252,0,50,1205,252
MN35,Washington Heights North,27334,1454,13147,931,11141,874,411,156,10730,871,2006,279,379,128,1627,260,14187,915,10733,839,37,56,10696,838,3454,387,0,52,3454,387
MN36,Washington Heights South,21381,1589,10831,1016,9608,989,358,158,9250,974,1223,248,293,133,930,225,10550,922,8264,777,82,89,8182,764,2286,418,0,56,2286,418
MN40,Upper East Side-Carnegie Hill,43853,1306,19446,783,13238,692,379,134,12859,680,6208,440,2694,297,3514,367,24407,825,16498,746,22,54,16476,747,7909,503,35,75,7874,499
MN50,Stuyvesant Town-Cooper Village,15000,933,6949,808,6072,806,100,73,5972,798,877,220,540,159,337,141,8051,861,6097,812,44,46,6053,810,1954,262,15,27,1939,263
MN99,park-cemetery-etc-Manhattan,470,147,381,148,366,148,14,32,352,148,15,36,9,33,6,31,89,91,54,60,0,32,54,60,35,52,0,32,35,52
QN01,South Jamaica,911,301,410,155,400,154,4,46,396,154,10,44,1,45,9,44,501,168,428,143,0,46,428,143,73,61,0,46,73,61
QN02,Springfield Gardens North,403,197,171,96,101,74,41,62,60,48,70,84,34,44,36,49,232,140,143,118,0,31,143,118,89,68,0,31,89,68
QN03,Springfield Gardens South-Brookville,680,230,238,94,179,82,0,29,179,82,59,53,53,53,6,29,442,159,379,147,0,29,379,147,63,51,0,29,63,51
QN05,Rosedale,1812,435,783,251,584,225,62,66,522,222,199,87,100,64,99,62,1029,227,638,161,0,35,638,161,391,129,11,37,380,127
QN06,Jamaica Estates-Holliswood,6650,625,3018,321,2227,286,32,37,2195,284,791,163,231,81,560,146,3632,416,2494,379,7,36,2487,379,1138,200,0,36,1138,200
QN07,Hollis,1308,300,594,161,482,149,48,42,434,143,112,54,53,45,59,43,714,199,395,170,0,36,395,170,319,110,0,36,319,110
QN08,St. Albans,1050,254,627,181,412,147,72,76,340,138,215,116,183,119,32,59,423,140,304,113,0,59,304,113,119,81,0,59,119,81
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,20163,910,9701,562,7416,515,417,134,6999,517,2285,251,1137,187,1148,201,10462,564,7777,499,38,46,7739,498,2685,282,35,44,2650,278
QN12,Hammels-Arverne-Edgemere,6516,675,2866,368,2282,339,184,88,2098,326,584,137,243,96,341,107,3650,456,2667,405,11,40,2656,403,983,176,17,38,966,178
QN15,Far Rockaway-Bayswater,13530,1102,6559,695,5127,648,144,102,4983,656,1432,246,274,100,1158,219,6971,565,4763,541,36,68,4727,548,2208,254,20,45,2188,253
QN17,Forest Hills,47093,1409,21628,850,16757,822,542,175,16215,823,4871,386,1275,219,3596,345,25465,892,17931,856,50,85,17881,854,7534,480,12,65,7522,480
QN18,Rego Park,13685,730,6358,491,4967,461,187,85,4780,449,1391,206,390,110,1001,192,7327,468,5275,450,0,34,5275,450,2052,257,47,46,2005,250
QN19,Glendale,22326,993,10128,566,8684,536,364,87,8320,533,1444,193,496,105,948,167,12198,655,9635,626,26,46,9609,625,2563,281,19,45,2544,282
QN20,Ridgewood,42283,1488,20994,988,18776,959,414,125,18362,956,2218,282,430,108,1788,263,21289,841,18044,810,12,58,18032,810,3245,344,22,59,3223,343
QN21,Middle Village,28014,911,13154,574,10461,566,448,111,10013,565,2693,271,799,140,1894,244,14860,593,10852,562,5,50,10847,562,4008,332,12,50,3996,332
QN22,Flushing,11444,976,4963,559,3613,531,118,82,3495,526,1350,226,561,154,789,180,6481,630,3814,517,16,58,3798,516,2667,314,26,62,2641,309
QN23,College Point,9288,785,4575,502,3614,459,321,117,3293,437,961,181,334,95,627,164,4713,431,3406,401,12,35,3394,400,1307,183,14,34,1293,184
QN25,Corona,17755,1503,9313,991,8182,995,108,86,8074,993,1131,261,220,94,911,235,8442,768,7186,732,0,44,7186,732,1256,263,16,45,1240,263
QN26,North Corona,17710,1892,10615,1308,10198,1305,40,47,10158,1304,417,132,55,53,362,127,7095,767,6411,741,0,45,6411,741,684,174,0,45,684,174
QN27,East Elmhurst,3774,736,2111,465,1943,452,43,59,1900,449,168,78,25,40,143,75,1663,356,1452,340,0,34,1452,340,211,90,7,33,204,89
QN28,Jackson Heights,41614,1926,21076,1266,18116,1225,445,157,17671,1220,2960,362,714,178,2246,328,20538,1068,15696,972,59,77,15637,969,4842,436,59,76,4783,434
QN29,Elmhurst,28550,1889,15512,1240,13862,1232,170,115,13692,1211,1650,270,269,100,1381,253,13038,933,10596,873,31,64,10565,874,2442,335,0,60,2442,335
QN30,Maspeth,17762,769,8563,459,7132,439,358,110,6774,439,1431,193,538,106,893,177,9199,481,7399,461,5,44,7394,461,1800,207,0,45,1800,207
QN31,Hunters Point-Sunnyside-West Maspeth,31214,1312,15668,888,13825,863,441,148,13384,860,1843,254,543,147,1300,218,15546,847,12884,810,14,59,12870,809,2662,310,23,59,2639,310
QN33,Cambria Heights,585,186,213,93,187,92,11,46,176,90,26,39,5,42,21,41,372,124,290,110,0,43,290,110,82,55,0,43,82,55
QN34,Queens Village,6906,760,3475,458,2712,407,264,114,2448,394,763,157,237,77,526,140,3431,393,2445,373,4,56,2441,373,986,171,0,56,986,171
QN35,Briarwood-Jamaica Hills,8963,771,4275,450,3255,433,111,70,3144,423,1020,162,414,109,606,143,4688,473,3309,412,0,47,3309,412,1379,226,0,47,1379,226
QN37,Kew Gardens Hills,16009,970,7694,629,6362,613,229,106,6133,609,1332,209,353,101,979,204,8315,598,6523,585,18,42,6505,586,1792,251,0,40,1792,251
QN38,Pomonok-Flushing Heights-Hillcrest,11959,907,5772,537,4515,527,188,100,4327,509,1257,205,595,144,662,158,6187,580,4580,535,0,37,4580,535,1607,253,0,37,1607,253
QN41,Fresh Meadows-Utopia,5349,516,2517,309,1931,283,157,98,1774,274,586,130,210,87,376,120,2832,330,1841,273,0,27,1841,273,991,176,11,29,980,177
QN42,Oakland Gardens,11968,640,5625,395,4148,372,234,105,3914,368,1477,218,665,147,812,171,6343,404,4360,359,39,63,4321,354,1983,219,0,34,1983,219
QN43,Bellerose,9464,664,4753,429,3736,393,469,138,3267,380,1017,199,482,129,535,144,4711,397,3381,361,9,35,3372,361,1330,201,33,38,1297,201
QN44,Glen Oaks-Floral Park-New Hyde Park,11443,799,5041,496,3597,461,327,155,3270,459,1444,204,776,145,668,151,6402,466,3544,471,0,32,3544,471,2858,264,12,32,2846,265
QN45,Douglas Manor-Douglaston-Little Neck,12193,632,5578,366,3960,347,232,98,3728,346,1618,209,826,171,792,157,6615,402,4435,366,9,35,4426,365,2180,221,6,33,2174,221
QN46,Bayside-Bayside Hills,20942,917,9979,564,7885,523,545,141,7340,500,2094,223,793,129,1301,198,10963,544,7960,491,0,51,7960,491,3003,302,41,57,2962,300
QN47,Ft. Totten-Bay Terrace-Clearview,13597,800,6253,479,4341,414,247,111,4094,411,1912,251,1054,207,858,194,7344,484,4227,440,0,34,4227,440,3117,289,13,38,3104,291
QN48,Auburndale,8622,612,4151,334,3068,295,248,110,2820,312,1083,159,457,99,626,129,4471,373,3018,353,0,32,3018,353,1453,169,4,30,1449,169
QN49,Whitestone,20213,849,9551,514,7313,484,470,147,6843,468,2238,259,740,159,1498,220,10662,552,7726,536,23,44,7703,535,2936,287,0,38,2936,287
QN50,Elmhurst-Maspeth,7034,851,3608,520,2950,502,254,110,2696,493,658,139,169,75,489,123,3426,420,2513,404,0,34,2513,404,913,164,0,34,913,164
QN51,Murray Hill,14396,863,6483,484,4736,428,201,89,4535,429,1747,197,728,127,1019,180,7913,579,5357,527,0,50,5357,527,2556,260,5,48,2551,261
QN52,East Flushing,6947,623,3369,366,2645,351,124,60,2521,343,724,136,267,74,457,119,3578,354,2412,316,0,42,2412,316,1166,186,0,42,1166,186
QN53,Woodhaven,16508,1049,7886,622,6515,579,326,103,6189,575,1371,194,624,131,747,144,8622,584,6803,527,43,70,6760,524,1819,227,0,54,1819,227
QN54,Richmond Hill,13803,1028,6914,603,5783,561,397,111,5386,554,1131,177,407,111,724,146,6889,557,5545,502,44,68,5501,498,1344,200,11,59,1333,200
QN55,South Ozone Park,10563,1044,5298,654,4213,622,183,90,4030,610,1085,182,463,136,622,148,5265,539,3703,480,11,63,3692,480,1562,229,39,69,1523,228
