area_id,area_name,b25032f001,b25032f001_moe,b25032f002,b25032f002_moe,b25032f003,b25032f003_moe,b25032f004,b25032f004_moe,b25032f005,b25032f005_moe,b25032f006,b25032f006_moe,b25032f007,b25032f007_moe,b25032f008,b25032f008_moe,b25032f009,b25032f009_moe,b25032f010,b25032f010_moe,b25032f011,b25032f011_moe
QN99,park-cemetery-etc-Queens,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48,0,48
SI01,Annadale-Huguenot-Prince's Bay-Eltingville,33,50,0,34,0,34,24,50,0,34,0,34,0,34,9,35,0,34,0,34,0,34
SI05,New Springville-Bloomfield-Travis,254,129,77,94,45,49,68,75,53,66,11,45,0,43,0,43,0,43,0,43,0,43
SI07,Westerleigh,121,85,29,40,6,35,69,80,14,40,3,35,0,36,0,36,0,36,0,36,0,36
SI08,Grymes Hill-Clifton-Fox Hills,415,181,49,67,40,51,182,147,11,30,20,41,0,28,13,30,100,71,0,28,0,28
SI11,Charleston-Richmond Valley-Tottenville,63,92,52,90,0,32,11,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,1106,247,116,67,432,155,248,135,115,102,21,43,0,38,82,79,92,83,0,38,0,38
SI14,Grasmere-Arrochar-Ft. Wadsworth,123,71,8,27,50,45,43,53,0,27,0,27,0,27,22,32,0,27,0,27,0,27
SI22,West New Brighton-New Brighton-St. George,820,202,52,57,114,80,313,130,135,115,5,39,63,76,46,57,86,82,6,40,0,40
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,141,104,3,34,18,40,75,83,45,68,0,38,0,38,0,38,0,38,0,38,0,38
SI25,Oakwood-Oakwood Beach,132,137,21,39,0,32,0,32,29,51,0,32,0,32,0,32,82,129,0,32,0,32
SI28,Port Richmond,538,177,146,86,20,33,250,143,41,57,0,32,45,58,11,32,25,47,0,32,0,32
SI32,Rossville-Woodrow,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
SI35,New Brighton-Silver Lake,288,142,101,81,10,29,106,102,35,58,0,27,20,37,0,27,16,34,0,27,0,27
SI36,Old Town-Dongan Hills-South Beach,252,134,0,32,69,78,116,98,58,64,0,32,0,32,9,33,0,32,0,32,0,32
SI37,Stapleton-Rosebank,923,237,327,129,69,74,241,156,198,115,28,56,0,38,20,40,40,54,0,38,0,38
SI45,New Dorp-Midland Beach,330,155,60,54,156,117,71,77,43,74,0,29,0,29,0,29,0,29,0,29,0,29
SI48,Arden Heights,106,96,0,29,106,96,0,29,0,29,0,29,0,29,0,29,0,29,0,29,0,29
SI54,Great Kills,79,84,2,42,32,66,25,55,20,50,0,42,0,42,0,42,0,42,0,42,0,42
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
