area_id,area_name,b06004g001,b06004g001_moe,b06004g002,b06004g002_moe,b06004g003,b06004g003_moe,b06004g004,b06004g004_moe,b06004g005,b06004g005_moe
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,331,213,163,123,53,81,3,36,112,93
SI25,Oakwood-Oakwood Beach,297,172,256,170,0,32,18,39,23,45
SI28,Port Richmond,278,139,246,136,0,32,0,32,32,40
SI32,Rossville-Woodrow,148,113,50,61,28,36,0,29,70,78
SI35,New Brighton-Silver Lake,491,284,359,258,45,46,9,28,78,85
SI36,Old Town-Dongan Hills-South Beach,524,263,377,180,61,53,15,31,71,123
SI37,Stapleton-Rosebank,722,238,441,180,81,67,11,40,189,133
SI45,New Dorp-Midland Beach,208,132,140,122,59,63,9,31,0,29
SI48,Arden Heights,105,86,75,73,30,54,0,29,0,29
SI54,Great Kills,315,165,281,160,0,42,0,42,34,49
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17
