area_id,area_name,b06004a001,b06004a001_moe,b06004a002,b06004a002_moe,b06004a003,b06004a003_moe,b06004a004,b06004a004_moe,b06004a005,b06004a005_moe
SI14,Grasmere-Arrochar-Ft. Wadsworth,11627,677,7202,563,954,239,185,94,3286,474
SI22,West New Brighton-New Brighton-St. George,13100,1003,8939,772,1311,222,560,197,2290,525
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,26037,1257,20515,1260,706,180,318,123,4498,657
SI25,Oakwood-Oakwood Beach,20378,972,16662,990,589,164,356,148,2771,525
SI28,Port Richmond,11842,1113,8733,756,532,216,425,172,2152,642
SI32,Rossville-Woodrow,18548,891,16394,943,551,173,34,36,1569,380
SI35,New Brighton-Silver Lake,14146,844,11625,717,730,205,334,159,1457,401
SI36,Old Town-Dongan Hills-South Beach,20378,1080,13759,925,668,203,631,232,5320,733
SI37,Stapleton-Rosebank,13589,986,9023,781,545,140,563,178,3458,597
SI45,New Dorp-Midland Beach,18512,1021,13800,974,653,162,264,114,3795,645
SI48,Arden Heights,22374,990,18847,1041,702,198,296,145,2529,551
SI54,Great Kills,41048,1276,34223,1394,1649,390,478,160,4698,620
SI99,park-cemetery-etc-Staten Island,0,17,0,17,0,17,0,17,0,17
