area_id,area_name,c18130001,c18130001_moe,c18130002,c18130002_moe,c18130003,c18130003_moe,c18130004,c18130004_moe,c18130005,c18130005_moe,c18130006,c18130006_moe,c18130007,c18130007_moe,c18130008,c18130008_moe,c18130009,c18130009_moe,c18130010,c18130010_moe,c18130011,c18130011_moe,c18130012,c18130012_moe,c18130013,c18130013_moe,c18130014,c18130014_moe,c18130015,c18130015_moe,c18130016,c18130016_moe,c18130017,c18130017_moe,c18130018,c18130018_moe,c18130019,c18130019_moe,c18130020,c18130020_moe,c18130021,c18130021_moe,c18130022,c18130022_moe
BK83,Cypress Hills-City Line,47369,1748,13346,923,170,101,25,52,145,99,13176,920,5298,783,7878,699,30683,1244,1450,247,488,154,962,193,29233,1230,6667,730,22566,1277,3340,338,934,185,216,93,718,165,2406,304,526,144,1880,280
BK85,East New York (Pennsylvania Ave),29322,1159,9432,722,423,176,265,155,158,89,9009,695,4766,656,4243,543,17928,830,1510,268,804,200,706,171,16418,836,5053,604,11365,857,1962,235,710,146,207,94,503,130,1252,199,358,118,894,170
BK88,Borough Park,105583,2859,40107,1977,461,128,240,108,221,91,39646,1959,18302,1609,21344,1542,55716,1637,3265,414,1076,242,2189,332,52451,1605,14845,1052,37606,1596,9760,630,4813,502,1226,292,3587,387,4947,422,645,177,4302,393
BK90,East Williamsburg,33131,1146,4204,482,58,54,37,48,21,44,4146,479,1459,328,2687,445,24500,1021,1723,283,648,189,1075,222,22777,989,4107,576,18670,966,4427,426,2008,284,620,173,1388,248,2419,330,617,182,1802,276
BK91,East Flatbush-Farragut,52605,1673,11385,817,254,123,61,85,193,101,11131,808,1849,442,9282,757,34351,1247,1884,291,324,112,1560,271,32467,1216,3016,445,29451,1228,6869,450,2018,259,315,98,1703,247,4851,414,490,141,4361,403
BK93,Starrett City,12813,807,2655,438,153,92,53,56,100,72,2502,433,667,283,1835,422,6889,641,917,287,291,205,626,199,5972,668,1439,596,4533,553,3269,259,2079,315,1011,247,1068,263,1190,248,569,213,621,193
BK95,Erasmus,29616,1500,7307,772,86,53,19,38,67,52,7221,762,1759,419,5462,729,19266,994,1038,242,455,165,583,188,18228,970,2938,485,15290,1039,3043,338,709,185,157,100,552,167,2334,295,430,137,1904,278
BK96,Rugby-Remsen Village,55952,1868,12408,947,249,113,121,87,128,85,12159,937,2270,490,9889,812,36413,1277,2773,434,1086,306,1687,298,33640,1210,4163,548,29477,1245,7131,584,2354,406,581,182,1773,327,4777,440,679,200,4098,408
BK99,park-cemetery-etc-Brooklyn,416,260,128,145,0,40,0,40,0,40,128,145,116,145,12,40,271,146,87,72,46,64,41,50,184,114,0,40,184,114,17,46,17,46,0,40,17,46,0,40,0,40,0,40
BX01,Claremont-Bathgate,30188,1345,9619,849,740,210,567,202,173,88,8879,831,5211,766,3668,556,18510,892,3465,445,1951,348,1514,313,15045,866,5271,651,9774,857,2059,225,1193,206,590,167,603,191,866,229,499,195,367,130
BX03,Eastchester-Edenwald-Baychester,36207,1791,10004,966,270,110,71,62,199,98,9734,955,2734,632,7000,848,22674,1205,2119,386,695,213,1424,341,20555,1199,2733,496,17822,1249,3529,402,1407,256,247,105,1160,235,2122,341,291,121,1831,336
