area_id,area_name,b05010001,b05010001_moe,b05010002,b05010002_moe,b05010003,b05010003_moe,b05010004,b05010004_moe,b05010005,b05010005_moe,b05010006,b05010006_moe,b05010007,b05010007_moe,b05010008,b05010008_moe,b05010009,b05010009_moe,b05010010,b05010010_moe,b05010011,b05010011_moe,b05010012,b05010012_moe,b05010013,b05010013_moe,b05010014,b05010014_moe,b05010015,b05010015_moe,b05010016,b05010016_moe,b05010017,b05010017_moe,b05010018,b05010018_moe,b05010019,b05010019_moe,b05010020,b05010020_moe,b05010021,b05010021_moe,b05010022,b05010022_moe,b05010023,b05010023_moe,b05010024,b05010024_moe,b05010025,b05010025_moe
QN31,Hunters Point-Sunnyside-West Maspeth,8799,810,1236,331,682,227,37,75,547,206,98,103,554,273,34,61,520,271,2373,479,1572,380,247,176,1305,339,20,62,801,318,279,222,522,232,5190,655,3779,583,1164,389,1845,381,770,255,1411,354,534,195,877,297
QN33,Cambria Heights,3256,333,224,129,28,48,12,44,16,48,0,43,196,118,91,90,105,88,189,93,55,61,28,52,27,53,0,43,134,80,41,52,93,74,2843,336,1903,302,584,189,1022,227,297,139,940,210,501,136,439,168
QN34,Queens Village,11249,751,1752,412,639,244,38,71,588,240,13,59,1113,344,613,301,500,195,1871,391,1049,312,75,100,920,296,54,68,822,243,436,200,386,145,7626,665,5611,599,1329,335,3438,455,844,318,2015,338,1073,263,942,236
QN35,Briarwood-Jamaica Hills,6487,634,996,353,694,326,33,52,600,322,61,77,302,172,102,110,200,139,1499,367,1160,338,129,96,971,328,60,67,339,169,138,112,201,132,3992,544,3196,481,199,110,2426,391,571,262,796,244,262,150,534,192
QN37,Kew Gardens Hills,8649,1020,1393,509,1024,453,195,165,810,421,19,49,369,241,103,108,266,221,1881,723,1798,725,190,132,1383,685,225,182,83,71,55,69,28,44,5375,753,4761,741,3027,679,1195,354,539,202,614,222,374,178,240,169
QN38,Pomonok-Flushing Heights-Hillcrest,6951,652,1626,470,724,378,39,70,641,377,44,72,902,359,591,349,311,262,1162,380,797,302,66,77,551,220,180,201,365,217,282,200,83,82,4163,558,3206,469,1119,335,1786,407,301,153,957,316,500,248,457,202
QN41,Fresh Meadows-Utopia,4083,589,518,305,329,267,0,27,329,267,0,27,189,150,19,37,170,148,1048,529,1003,526,120,97,883,520,0,27,45,55,0,27,45,55,2517,349,2148,365,325,148,1506,344,317,151,369,176,153,102,216,139
QN42,Oakland Gardens,5767,555,737,273,652,260,6,33,578,262,68,90,85,98,0,34,85,98,689,228,557,226,44,60,498,228,15,38,132,92,68,68,64,65,4341,542,3694,489,1111,297,2283,413,300,146,647,285,260,177,387,229
QN43,Bellerose,5835,597,504,318,456,316,0,34,440,315,16,40,48,47,17,37,31,45,830,270,661,257,115,131,526,224,20,44,169,108,97,88,72,71,4501,565,3796,510,1083,250,2134,459,579,213,705,274,492,234,213,146
QN44,Glen Oaks-Floral Park-New Hyde Park,3585,451,252,274,66,77,0,32,60,77,6,29,186,266,56,68,130,209,394,156,288,143,14,37,261,140,13,35,106,81,58,73,48,56,2939,382,2442,354,1051,269,1200,287,191,107,497,244,258,118,239,213
QN45,Douglas Manor-Douglaston-Little Neck,4969,485,359,233,161,140,15,40,146,138,0,34,198,189,101,165,97,99,589,245,488,212,19,42,448,208,21,46,101,114,4,31,97,114,4021,420,3676,419,1512,306,1620,360,544,204,345,168,86,66,259,157
QN46,Bayside-Bayside Hills,8593,620,529,205,331,171,26,57,281,167,24,55,198,125,45,65,153,118,1311,350,983,311,221,149,740,277,22,61,328,163,105,106,223,146,6753,577,5787,532,2387,406,2571,391,829,211,966,278,551,214,415,183
QN47,Ft. Totten-Bay Terrace-Clearview,3509,520,204,188,191,187,39,70,152,175,0,34,13,38,13,38,0,34,520,272,401,247,124,106,243,220,34,65,119,124,104,123,15,39,2785,482,2331,462,987,253,937,362,407,208,454,240,341,221,113,89
QN48,Auburndale,3854,391,394,149,295,128,24,50,208,119,63,90,99,81,25,47,74,73,600,193,469,178,43,64,329,160,97,76,131,80,54,50,77,66,2860,358,2410,341,439,180,1213,256,758,256,450,178,167,115,283,140
QN49,Whitestone,6825,685,376,173,284,172,57,77,161,141,66,86,92,109,42,55,50,75,922,328,867,328,90,86,470,233,307,220,55,59,55,59,0,38,5527,647,4647,578,2779,508,983,258,885,332,880,315,559,259,321,200
QN50,Elmhurst-Maspeth,4113,495,757,253,597,231,85,104,474,205,38,59,160,116,0,34,160,116,1268,335,758,253,0,34,700,248,58,60,510,230,65,63,445,226,2088,388,1781,363,151,86,1375,321,255,160,307,163,148,138,159,92
QN51,Murray Hill,8429,707,1169,396,494,233,0,50,494,233,0,50,675,292,0,50,675,292,2028,453,1498,391,80,101,1206,353,212,167,530,244,151,121,379,218,5232,600,4480,559,1424,309,2330,466,726,236,752,241,460,201,292,134
QN52,East Flushing,4537,424,519,214,219,154,15,44,166,140,38,72,300,158,30,52,270,154,1099,281,896,263,136,170,719,198,41,63,203,103,42,65,161,90,2919,370,2528,354,433,172,1740,298,355,156,391,127,136,83,255,103
QN53,Woodhaven,15031,961,3068,603,1173,390,233,248,814,267,126,102,1895,480,756,339,1139,354,3978,620,2596,483,272,149,2014,429,310,195,1382,418,800,366,582,214,7985,697,5660,608,1604,380,3176,454,880,289,2325,422,1330,346,995,247
QN54,Richmond Hill,15324,880,3001,527,1345,307,33,72,1143,282,169,122,1656,422,673,252,983,353,4390,607,2980,544,295,226,2372,473,313,179,1410,308,317,158,1093,281,7933,666,6084,596,963,254,4248,516,873,255,1849,355,570,208,1279,288
QN55,South Ozone Park,17119,1077,2985,569,1439,380,46,97,1313,365,80,100,1546,443,416,206,1130,397,4619,685,3050,569,100,99,2605,547,345,205,1569,402,621,279,948,292,9515,822,6825,718,743,229,5308,656,774,269,2690,448,1065,304,1625,333
QN56,Ozone Park,5231,601,1008,315,521,255,185,182,307,178,29,46,487,201,185,127,302,169,913,358,676,316,29,56,633,312,14,39,237,144,40,57,197,138,3310,492,2427,455,850,229,897,247,680,296,883,321,557,268,326,199
QN57,Lindenwood-Howard Beach,5209,657,661,293,381,226,188,158,193,181,0,34,280,168,113,95,167,139,933,452,760,429,269,275,259,179,232,286,173,158,159,158,14,36,3615,572,3075,565,2447,537,352,202,276,158,540,258,398,231,142,122
QN60,Kew Gardens,3611,487,605,256,280,215,109,180,171,108,0,34,325,155,26,61,299,159,572,219,405,198,58,99,334,174,13,39,167,96,33,48,134,98,2434,442,1920,404,644,160,888,310,388,249,514,224,308,149,206,160
QN61,Jamaica,11420,833,3778,623,2168,469,85,133,2031,451,52,74,1610,465,295,195,1315,427,3670,572,2395,476,157,144,2050,443,188,144,1275,358,233,109,1042,335,3972,522,2772,471,271,178,2273,414,228,162,1200,281,439,171,761,234
QN62,Queensboro Hill,4464,533,647,248,592,243,0,29,569,242,23,45,55,51,7,29,48,47,1484,415,1135,374,0,29,1135,374,0,29,349,172,104,93,245,147,2333,423,2005,400,237,153,1528,354,240,141,328,146,81,65,247,138
QN63,Woodside,7818,796,1204,458,815,423,0,50,744,416,71,90,389,172,66,76,323,161,2572,627,1843,542,0,50,1743,530,100,125,729,321,233,164,496,274,4042,581,2938,475,462,216,2052,418,424,197,1104,312,628,276,476,185
QN66,Laurelton,5124,520,478,210,75,105,75,105,0,40,0,40,403,203,363,201,40,47,668,256,202,145,101,123,59,71,42,62,466,209,171,98,295,183,3978,480,2169,397,696,250,1119,285,354,139,1809,347,939,244,870,266
