area_id,area_name,b01002g001,b01002g001_moe,b01002g002,b01002g002_moe,b01002g003,b01002g003_moe
QN49,Whitestone,66,84,151,81,51,59
QN50,Elmhurst-Maspeth,74,36,89,73,78,85
QN51,Murray Hill,162,59,186,130,209,84
QN52,East Flushing,123,68,86,86,166,74
QN53,Woodhaven,470,99,408,68,536,113
QN54,Richmond Hill,644,110,623,123,763,112
QN55,South Ozone Park,811,87,772,119,740,135
QN56,Ozone Park,172,71,173,94,158,113
QN57,Lindenwood-Howard Beach,89,19,54,38,87,13
QN60,Kew Gardens,116,54,102,61,134,70
QN61,Jamaica,430,83,423,91,571,149
QN62,Queensboro Hill,104,31,117,37,90,32
QN63,Woodside,193,131,203,126,242,151
QN66,Laurelton,161,93,89,43,205,100
QN68,Queensbridge-Ravenswood-Long Island City,69,61,60,59,73,54
QN70,Astoria,474,92,542,144,476,129
QN71,Old Astoria,172,82,116,87,169,95
QN72,Steinway,174,51,168,62,153,64
QN76,Baisley Park,234,84,187,191,271,96
SI05,New Springville-Bloomfield-Travis,59,71,56,101,65,81
SI07,Westerleigh,90,46,72,89,78,58
SI08,Grymes Hill-Clifton-Fox Hills,61,42,45,72,42,69
SI11,Charleston-Richmond Valley-Tottenville,52,56,51,40,66,121
SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,113,38,150,42,102,17
SI14,Grasmere-Arrochar-Ft. Wadsworth,16,26,15,1,24,41
SI22,West New Brighton-New Brighton-St. George,263,61,257,102,252,75
SI24,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,36,4,17,25,38,9
SI25,Oakwood-Oakwood Beach,20,35,30,30,19,58
SI28,Port Richmond,21,40,42,6,9,1
SI32,Rossville-Woodrow,30,27,31,45,22,27
SI35,New Brighton-Silver Lake,103,38,122,125,76,38
SI36,Old Town-Dongan Hills-South Beach,100,19,119,70,75,38
SI37,Stapleton-Rosebank,137,107,87,119,153,109
SI54,Great Kills,42,57,60,89,62,40
