area_id,area_name,c02003001,c02003001_moe,c02003002,c02003002_moe,c02003003,c02003003_moe,c02003004,c02003004_moe,c02003005,c02003005_moe,c02003006,c02003006_moe,c02003007,c02003007_moe,c02003008,c02003008_moe,c02003009,c02003009_moe,c02003010,c02003010_moe,c02003011,c02003011_moe,c02003012,c02003012_moe,c02003013,c02003013_moe,c02003014,c02003014_moe,c02003015,c02003015_moe,c02003016,c02003016_moe,c02003017,c02003017_moe,c02003018,c02003018_moe,c02003019,c02003019_moe
BK30,Dyker Heights,45216,1499,44790,1498,26407,1163,505,231,94,127,16739,1425,21,59,1024,421,426,203,122,79,304,189,406,199,58,92,0,51,214,171,0,51,134,81,20,53,0,51
BK31,Bay Ridge,83821,1989,81933,2002,63389,1932,1769,483,419,259,11661,1109,88,154,4607,887,1888,497,352,140,1536,481,1714,473,280,198,52,77,884,397,70,106,428,161,166,139,8,65
BK32,Sunset Park West,54932,1698,53351,1734,24381,1601,2766,463,817,432,8749,1029,0,49,16638,1548,1581,402,648,255,933,308,1568,401,338,200,79,82,389,209,32,60,730,265,13,50,0,49
BK33,Carroll Gardens-Columbia Street-Red Hook,39422,1320,37796,1354,25764,1093,4793,639,12,45,2348,571,0,45,4879,899,1626,452,729,371,897,242,1603,451,329,159,47,59,457,180,16,45,754,371,23,46,0,45
BK34,Sunset Park East,71460,2069,70366,2089,21965,1499,1955,541,974,472,35196,1808,56,95,10220,1323,1094,321,389,200,705,242,971,293,118,84,135,114,206,153,0,59,512,218,123,111,0,59
BK35,Stuyvesant Heights,64331,2086,63128,2067,7778,1084,48310,2031,101,84,1880,547,10,52,5049,888,1203,360,373,187,830,307,1074,343,253,165,119,173,41,59,271,166,390,188,129,112,0,51
BK37,Park Slope-Gowanus,72864,1877,70002,1854,53183,1714,5138,830,406,201,4678,634,0,58,6597,1087,2862,430,679,231,2183,354,2712,428,362,140,194,111,1244,279,25,64,887,259,150,96,0,58
BK38,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,35373,1285,33902,1270,18073,935,8643,812,64,72,3016,478,0,42,4106,745,1471,292,587,214,884,208,1401,287,232,102,65,57,427,151,27,45,650,222,39,50,31,48
BK40,Windsor Terrace,22571,968,21850,967,16664,940,1490,475,165,114,2208,511,0,32,1323,506,721,236,204,131,517,202,709,234,120,95,80,77,280,155,0,32,229,136,12,33,0,32
BK41,Kensington-Ocean Parkway,36199,1490,35249,1481,20243,1340,2904,669,101,116,8825,1194,0,40,3176,945,950,303,155,119,795,280,950,303,166,105,167,162,357,194,0,40,260,145,0,40,0,40
BK42,Flatbush,105094,2591,102720,2633,28856,1755,53608,2184,284,201,8834,1076,99,99,11039,1664,2374,565,608,258,1766,493,2172,537,725,280,84,122,540,338,106,113,717,271,202,153,0,68
BK43,Midwood,51514,1626,50858,1635,41195,1575,2654,554,36,62,5166,804,0,51,1807,633,656,238,82,68,574,232,624,232,134,111,114,134,214,121,5,50,157,121,32,58,0,51
BK44,Madison,40001,1278,39691,1281,30103,1274,402,223,74,80,8472,942,0,46,640,326,310,142,38,59,272,128,295,141,51,68,60,72,92,86,0,46,92,90,15,50,0,46
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,48351,1473,47606,1472,37825,1385,5983,931,16,68,2298,602,231,320,1253,526,745,243,291,183,454,177,716,241,162,113,64,82,189,119,0,55,301,183,29,65,0,55
BK46,Ocean Parkway South,19541,1096,19410,1096,17438,1068,169,98,111,105,761,283,0,36,931,436,131,82,10,37,121,81,131,82,38,44,45,67,28,45,0,36,20,39,0,36,0,36
BK50,Canarsie,86160,2076,85484,2073,6774,761,72470,2113,149,169,2323,558,0,70,3768,829,676,229,172,107,504,214,600,207,190,140,28,83,25,72,87,116,270,128,76,100,0,70
BK58,Flatlands,70872,1716,69831,1722,14783,1003,51069,1740,114,109,1905,466,0,62,1960,581,1041,320,314,163,727,282,886,289,58,71,4,65,127,116,87,113,610,249,155,143,0,62
BK60,Prospect Lefferts Gardens-Wingate,69397,2189,68020,2232,8055,1105,54533,2243,173,146,1508,438,0,58,3751,921,1377,466,264,205,1113,420,1323,461,361,169,216,212,274,281,131,142,341,213,54,73,0,58
BK61,Crown Heights North,100130,2390,98201,2397,12433,1077,76884,2304,157,139,2128,533,236,330,6363,1117,1929,384,477,204,1452,336,1648,336,369,159,71,88,296,160,143,93,769,253,281,186,0,67
BK63,Crown Heights South,41243,1615,40948,1613,11237,1188,27257,1454,76,113,577,356,0,40,1801,540,295,177,25,45,270,175,267,174,137,154,0,40,24,54,73,79,33,46,28,47,0,40
BK64,Prospect Heights,20449,952,19669,957,11159,862,5824,725,31,37,1435,408,0,32,1220,408,780,218,87,74,693,205,659,199,273,139,0,32,181,100,20,35,185,107,121,71,0,32
BK68,Fort Greene,26982,1086,25676,1071,9095,746,11844,885,37,50,2283,415,0,38,2417,521,1306,319,294,144,1012,291,1289,319,400,228,5,37,364,147,143,87,377,164,17,40,0,38
BK69,Clinton Hill,36413,1446,34863,1455,15020,1112,15204,1099,58,51,1911,412,32,62,2638,587,1550,373,228,125,1322,342,1314,334,488,251,53,50,335,144,139,87,299,138,236,151,0,40
BK72,Williamsburg,32828,1532,32508,1546,30366,1574,913,189,5,35,30,41,0,36,1194,447,320,189,158,153,162,115,320,189,45,59,73,92,4,35,0,36,198,159,0,36,0,36
BK73,North Side-South Side,46070,1505,44733,1513,36143,1523,2605,567,126,112,2048,361,88,149,3723,826,1337,368,266,181,1071,328,1165,323,226,162,50,63,589,198,0,48,300,182,163,166,9,49
BK75,Bedford,70095,2012,68676,2008,22449,1277,37726,1730,256,182,1890,487,0,56,6355,962,1419,350,464,202,955,286,1346,346,251,145,35,79,225,125,107,89,728,282,73,71,0,56
BK76,Greenpoint,31522,1172,30838,1153,26941,1152,304,119,301,165,1577,397,0,42,1715,432,684,238,166,121,518,204,663,236,129,122,80,90,150,82,0,42,304,162,21,52,0,42
BK77,Bushwick North,61817,1931,60302,1927,22177,1766,7838,1127,126,112,3645,616,0,54,26516,1976,1515,418,806,279,709,303,1479,415,364,242,70,72,150,131,66,119,829,281,36,53,0,54
BK78,Bushwick South,71247,2234,69043,2265,27651,1958,22571,1582,538,265,1602,382,11,58,16670,1750,2204,556,1077,374,1127,386,2123,543,561,250,176,176,35,65,226,182,1125,375,73,94,8,57
BK79,Ocean Hill,31831,1395,31487,1401,1387,434,25768,1340,104,116,183,102,21,50,4024,820,344,160,84,66,260,143,318,154,51,53,89,109,45,77,31,42,102,69,26,44,0,38
BK81,Brownsville,55412,1834,54527,1806,3212,780,45867,1689,180,137,633,374,15,56,4620,830,885,293,479,230,406,184,812,286,130,140,16,54,0,51,180,104,486,230,73,77,0,51
BK82,East New York,91956,2430,90686,2412,16326,1486,65258,2318,171,125,1625,449,276,380,7030,1061,1270,364,629,267,641,255,1220,356,305,209,78,98,3,64,99,95,735,277,50,72,0,65
BK83,Cypress Hills-City Line,47526,1747,46814,1750,23808,1757,13207,1319,90,90,3483,707,0,49,6226,936,712,219,386,142,326,165,663,216,86,95,45,61,90,107,0,49,442,154,49,58,0,49
BK85,East New York (Pennsylvania Ave),29854,1189,29489,1193,3381,717,21770,1242,66,90,240,146,29,47,4003,820,365,196,310,189,55,65,365,196,44,61,0,36,0,36,11,40,310,189,0,36,0,36
BK88,Borough Park,106203,2868,105822,2867,85730,2846,901,289,25,68,12991,1270,0,68,6175,1175,381,196,121,108,260,180,381,196,70,83,41,81,146,169,0,68,124,107,0,68,0,68
BK90,East Williamsburg,33155,1146,32570,1138,20732,1081,3455,576,191,182,3951,430,0,40,4241,703,585,187,196,125,389,143,520,183,157,100,80,79,85,61,0,40,198,125,65,62,0,40
BK91,East Flatbush-Farragut,52657,1676,51732,1680,1586,429,48539,1752,29,59,516,265,8,54,1054,413,925,264,314,193,611,180,876,254,192,101,54,82,50,69,65,62,515,223,49,66,0,54
BK93,Starrett City,12822,808,12551,808,5022,683,6231,847,110,130,319,244,0,24,869,603,271,165,118,124,153,109,249,161,83,82,0,24,0,24,18,34,148,133,10,25,12,26
BK95,Erasmus,29933,1512,29288,1504,1131,482,26096,1355,1,32,899,708,0,36,1161,551,645,284,131,99,514,259,613,279,35,52,98,118,8,37,44,61,428,236,32,58,0,36
BK96,Rugby-Remsen Village,56277,1862,55714,1859,1153,381,52145,1813,178,125,965,495,0,54,1273,474,563,218,154,126,409,179,540,214,151,141,0,54,46,73,66,79,277,146,0,54,23,64
BK99,park-cemetery-etc-Brooklyn,416,260,381,258,286,230,95,130,0,40,0,40,0,40,0,40,35,55,0,40,35,55,35,55,20,49,0,40,15,44,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,30715,1353,29958,1377,2663,555,14602,1208,210,133,42,50,0,40,12441,1274,757,246,439,188,318,138,686,217,107,73,0,40,10,39,64,58,505,200,31,53,40,73
BX03,Eastchester-Edenwald-Baychester,36676,1816,35849,1806,2721,644,26778,1810,157,137,372,320,0,40,5821,1118,827,358,400,224,427,283,773,348,148,160,76,90,0,40,17,44,532,299,44,62,10,41
BX05,Bedford Park-Fordham North,52591,1963,51133,1963,8638,1133,11210,1186,217,148,2535,608,16,55,28517,1938,1458,391,980,314,478,221,1361,361,169,118,100,111,75,78,11,51,1006,317,97,142,0,50
BX06,Belmont,25783,1376,24939,1376,7599,847,5558,759,110,107,642,224,0,34,11030,1386,844,379,447,218,397,331,834,379,338,340,15,38,16,40,0,34,465,219,10,38,0,34
BX07,Bronxdale,33728,1361,32244,1377,8431,896,11051,971,104,129,1445,468,0,38,11213,1218,1484,427,777,292,707,290,1395,404,271,149,207,148,6,37,57,74,854,302,89,109,0,38
BX08,West Farms-Bronx River,35325,1713,32657,1740,5145,790,10975,1207,161,101,981,398,0,40,15395,1638,2668,774,1694,617,974,480,2495,748,608,431,0,40,0,40,22,44,1865,632,157,146,16,44
BX09,Soundview-Castle Hill-Clason Point-Harding Park,53800,1873,52356,1829,8785,1067,20748,1322,131,98,898,439,0,50,21794,1870,1444,497,822,386,622,300,1400,495,242,127,66,90,31,59,79,83,982,461,44,54,0,50
BX10,Pelham Bay-Country Club-City Island,26139,1309,25558,1267,18673,1185,680,256,16,39,905,381,0,34,5284,944,581,346,401,237,180,229,572,346,78,87,0,34,84,217,0,34,410,236,9,35,0,34
BX13,Co-op City,44304,1775,42772,1774,8010,934,28450,1741,234,170,533,333,0,33,5545,1087,1532,886,1201,860,331,207,1464,884,144,157,0,33,60,92,59,62,1201,860,68,65,0,33
BX14,East Concourse-Concourse Village,63504,2156,62013,2168,8385,1279,27358,1745,425,316,644,288,0,51,25201,2132,1491,505,931,447,560,208,1355,482,211,124,27,64,23,61,74,81,1020,454,136,127,0,51
BX17,East Tremont,41871,1638,40334,1624,6583,1037,14010,1165,107,71,356,294,0,45,19278,1616,1537,459,982,349,555,303,1302,380,162,136,93,105,0,45,24,50,1023,350,235,236,0,45
BX22,North Riverdale-Fieldston-Riverdale,26839,1179,26291,1149,19933,1085,2204,406,0,38,1643,380,0,38,2511,616,548,193,214,124,334,135,499,175,42,45,70,61,130,86,11,38,246,132,28,41,21,47
BX26,Highbridge,37065,1398,36429,1402,5464,862,14834,1204,204,142,158,153,0,42,15769,1323,636,229,453,204,183,107,612,227,75,79,27,57,0,42,27,57,483,207,24,54,0,42
BX27,Hunts Point,27562,1217,26193,1202,7299,886,7759,895,54,54,149,113,12,38,10920,994,1369,430,652,231,717,325,1270,432,256,148,244,276,67,87,40,66,663,232,72,67,27,55
BX28,Van Cortlandt Village,49715,1796,47370,1749,11673,1121,11424,1070,241,146,1776,500,27,61,22229,1619,2345,540,1145,385,1200,408,2015,502,589,315,59,79,121,106,79,73,1167,386,330,218,0,43
BX29,Spuyten Duyvil-Kingsbridge,29848,1070,28544,1031,17626,979,2565,440,118,113,1964,434,0,38,6271,825,1304,397,698,253,606,308,1257,394,388,288,13,41,139,100,10,40,707,255,47,49,0,38
BX30,Kingsbridge Heights,30599,1417,29373,1415,3344,612,6914,986,152,123,1999,554,0,38,16964,1385,1226,428,941,395,285,137,1184,415,152,85,0,38,0,38,51,76,981,401,42,59,0,38
BX31,Allerton-Pelham Gardens,33404,1410,32281,1401,11740,979,11344,1053,89,119,3115,802,0,42,5993,927,1123,367,559,300,564,205,1067,355,202,104,40,51,134,129,101,85,590,302,56,67,0,42
BX33,Longwood,25542,1331,24750,1352,4114,730,8060,919,54,63,323,262,21,36,12178,1424,792,252,467,170,325,176,753,245,147,103,0,36,21,46,73,118,512,183,39,40,0,36
BX34,Melrose South-Mott Haven North,39020,1719,38165,1734,7846,1200,14752,1444,549,383,216,122,0,42,14802,1616,855,326,600,287,255,124,855,326,166,104,19,47,23,52,5,40,642,293,0,42,0,42
BX35,Morrisania-Melrose,37872,1483,36252,1488,4171,718,15729,1195,158,89,230,170,35,65,15929,1504,1620,443,849,267,771,328,1516,429,285,160,66,106,0,40,110,101,1055,343,53,59,51,88
BX36,University Heights-Morris Heights,53944,1852,51553,1831,6643,978,18872,1321,215,183,321,257,48,71,25454,1723,2391,616,1893,586,498,199,2348,615,238,122,98,139,8,51,72,73,1932,589,43,60,0,51
BX37,Van Nest-Morris Park-Westchester Square,30098,1267,28969,1275,10876,965,3115,658,108,87,2682,438,7,41,12181,1225,1129,294,556,206,573,201,1090,294,162,120,28,59,183,126,25,47,692,222,39,60,0,42
BX39,Mott Haven-Port Morris,52132,1641,51099,1659,16636,1422,18550,1406,262,141,572,366,10,49,15069,1336,1033,312,572,208,461,224,992,305,213,164,95,135,11,51,45,62,628,217,41,64,0,50
BX40,Fordham South,26336,1333,25443,1367,3050,732,9302,1129,179,151,194,210,36,67,12682,1496,893,362,620,278,273,241,861,359,55,76,0,32,41,44,145,221,620,278,32,63,0,32
BX41,Mount Hope,52237,1746,50580,1765,7101,930,16927,1234,399,264,1159,381,40,83,24954,1736,1657,402,1028,324,629,216,1547,389,310,172,34,72,89,80,39,54,1075,327,110,94,0,51
BX43,Norwood,41217,2028,39331,2064,9133,1126,9530,1131,284,174,3570,727,0,41,16814,2144,1886,508,611,228,1275,468,1509,448,403,322,57,84,204,161,92,101,753,251,377,261,0,41
BX44,Williamsbridge-Olinville,61503,1942,59961,1931,4304,674,45664,1889,349,264,1038,313,32,69,8574,1051,1542,452,831,312,711,327,1479,445,364,260,22,62,30,69,139,143,924,318,54,70,9,54
BX46,Parkchester,30376,1130,28990,1209,3536,517,15025,1222,125,94,3776,873,0,36,6528,875,1386,513,510,212,876,489,1294,488,536,423,84,126,22,47,93,83,559,212,92,101,0,36
BX49,Pelham Parkway,30191,1246,29549,1273,14174,1086,3125,499,85,97,4552,771,0,38,7613,1015,642,220,217,119,425,191,578,197,240,153,32,54,53,53,11,40,242,122,64,80,0,38
BX52,Schuylerville-Throgs Neck-Edgewater Park,46104,1678,44641,1687,27274,1503,5330,1034,246,209,1091,361,0,52,10700,1388,1463,398,1006,312,457,200,1392,360,264,131,8,53,67,102,41,82,1012,312,71,97,0,52
BX55,Soundview-Bruckner,35886,1415,32938,1514,5343,826,10734,1107,500,405,2661,611,0,40,13700,1455,2948,745,1933,573,1015,502,2931,744,394,229,1,38,361,379,101,140,2074,602,17,43,0,40
BX59,Westchester-Unionport,27483,1487,26104,1471,4536,652,5255,975,117,100,3992,770,0,36,12204,1229,1379,381,963,379,416,179,1287,395,156,90,13,39,75,71,29,51,1014,381,61,68,31,59
BX62,Woodlawn-Wakefield,45805,1679,45162,1662,9431,836,29599,1499,119,107,1589,504,0,48,4424,773,643,307,381,281,262,126,596,299,70,69,0,48,57,57,7,49,462,291,47,76,0,48
BX63,West Concourse,39680,1572,38541,1595,6997,1183,11943,1200,483,288,946,394,0,42,18172,1783,1139,357,531,220,608,263,1040,340,264,171,116,163,51,60,41,61,568,231,99,103,0,42
BX75,Crotona Park East,20352,1088,19767,1080,2464,508,5619,703,227,178,129,119,24,48,11304,1044,585,257,414,195,171,171,537,248,123,161,0,29,0,29,0,29,414,195,48,66,0,29
BX98,Rikers Island,9741,583,9541,586,1421,195,5706,511,7,13,202,77,0,17,2205,219,200,77,144,64,56,48,200,77,6,11,7,15,11,21,0,17,176,73,0,17,0,17
BX99,park-cemetery-etc-Bronx,1377,246,1313,242,293,131,438,141,0,32,89,74,0,32,493,207,64,57,22,34,42,55,52,54,30,52,0,32,0,32,0,32,22,34,12,34,0,32
MN01,Marble Hill-Inwood,50358,1983,47850,1991,17310,1487,6407,898,204,123,737,252,18,48,23174,2230,2508,537,828,291,1680,458,2383,530,1276,450,56,51,161,105,1,37,889,295,125,76,0,41
MN03,Central Harlem North-Polo Grounds,78193,2303,73942,2290,10012,1088,53918,2164,284,143,2097,550,224,236,7407,1126,4251,761,709,271,3542,726,3903,730,1977,598,107,86,334,206,556,271,929,295,150,127,198,188
MN04,Hamilton Heights,51527,1975,43172,1954,12216,1382,21968,1507,241,185,844,261,23,56,7880,1443,8355,1444,731,371,7624,1383,7857,1422,6636,1352,11,47,109,81,238,139,863,389,355,204,143,189
MN06,Manhattanville,23845,1222,21140,1376,4486,752,8816,974,12,36,856,355,0,34,6970,1206,2705,770,524,323,2181,660,2553,745,1643,596,108,85,82,76,191,213,529,323,152,157,0,34
MN09,Morningside Heights,54326,2152,51913,2088,30773,1732,8339,1010,29,53,7845,975,0,45,4927,973,2413,480,506,219,1907,434,2191,459,460,178,223,164,763,274,64,110,681,256,195,127,27,61
MN11,Central Harlem South,46694,1676,45095,1682,10227,893,28198,1542,159,177,1809,436,0,45,4702,846,1599,408,436,208,1163,335,1233,329,323,139,46,53,185,101,110,93,569,251,256,157,110,178
MN12,Upper West Side,135718,2955,130907,2962,101748,2763,15405,1362,735,355,8779,1048,0,68,4240,923,4811,803,1023,414,3788,693,4310,742,897,332,436,194,1686,458,109,107,1182,440,468,241,33,74
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,69299,1829,66018,1726,50798,1630,3972,618,459,275,8240,835,0,54,2549,741,3281,739,653,325,2628,671,2625,601,371,167,226,154,1047,399,178,190,803,346,656,433,0,54
MN14,Lincoln Square,60205,2232,58215,2208,48136,2158,2530,653,44,60,6573,878,10,49,922,527,1990,649,299,306,1691,575,1948,648,411,269,137,115,1003,499,52,80,345,312,42,60,0,48
MN15,Clinton,42931,1452,41419,1387,29503,1326,3337,556,149,114,5841,655,0,43,2589,717,1512,483,488,344,1024,340,1379,473,292,160,165,205,335,150,43,63,544,348,129,120,4,41
MN17,Midtown-Midtown South,28228,1132,27439,1094,20563,1060,1301,280,99,78,4941,528,16,55,519,229,789,217,151,88,638,204,760,217,141,137,19,53,400,153,36,55,164,89,29,52,0,51
MN19,Turtle Bay-East Midtown,48393,1663,47548,1643,39094,1660,1093,308,105,138,6894,712,0,48,362,155,845,237,120,93,725,211,810,234,139,106,68,69,375,174,12,49,216,120,35,58,0,48
MN20,Murray Hill-Kips Bay,49515,1954,48512,1968,37479,1751,2178,661,15,46,6845,852,0,42,1995,783,1003,334,172,116,831,303,921,292,130,113,116,92,332,130,156,165,187,119,82,105,0,42
MN21,Gramercy,26075,1255,25467,1234,21094,1176,827,266,97,102,2865,470,11,35,573,252,608,252,11,37,597,251,608,252,167,189,34,39,382,157,0,34,25,43,0,34,0,34
MN22,East Village,43755,1955,42536,1947,31859,1517,2719,675,88,115,6419,879,30,63,1421,406,1219,305,126,94,1093,288,1105,291,209,125,83,70,522,168,43,67,248,179,114,85,0,40
MN23,West Village,67185,1974,65278,1972,56904,1906,1301,291,130,130,5815,683,0,56,1128,472,1907,453,198,122,1709,438,1769,442,344,179,71,60,1106,370,0,56,248,149,138,124,0,56
MN24,SoHo-TriBeCa-Civic Center-Little Italy,40059,1639,38731,1549,27666,1297,892,276,0,42,9343,962,19,50,811,356,1328,409,238,188,1090,354,1290,403,206,141,55,55,726,307,14,44,289,196,38,54,0,42
MN25,Battery Park City-Lower Manhattan,37506,1603,36360,1591,26482,1491,1208,351,41,48,7133,725,0,42,1496,1125,1146,370,67,66,1079,363,1128,369,113,102,114,140,659,289,39,72,203,139,18,44,0,42
MN27,Chinatown,46550,1800,45417,1783,9695,825,2049,402,266,231,30032,1727,0,44,3375,763,1133,380,231,223,902,298,955,341,293,160,36,58,331,192,23,50,272,227,167,174,11,43
MN28,Lower East Side,74243,2045,70940,2038,28874,1535,7840,1100,318,188,19324,1404,13,56,14571,1637,3303,617,1274,405,2029,462,2805,576,644,289,274,182,458,228,101,95,1328,406,409,228,89,99
MN31,Lenox Hill-Roosevelt Island,81378,2539,79507,2533,66070,2402,3721,805,59,110,8736,993,32,71,889,375,1871,478,125,89,1746,471,1777,470,533,344,49,74,846,290,142,141,207,116,76,73,18,59
MN32,Yorkville,77676,2051,76427,2058,64865,2040,2669,513,30,56,7066,833,207,188,1590,566,1249,324,228,143,1021,293,1249,324,248,146,78,80,596,220,3,48,324,172,0,50,0,50
MN33,East Harlem South,59794,1924,57886,1904,22500,1601,18032,1313,130,108,6026,935,21,53,11177,1433,1908,493,928,368,980,304,1785,472,326,150,87,88,337,182,26,49,1009,378,123,134,0,50
MN34,East Harlem North,60465,2205,58176,2213,12810,1283,23988,1687,251,168,2239,595,26,62,18862,1886,2289,722,993,402,1296,587,2211,719,619,510,117,117,49,57,263,207,1163,441,78,77,0,50
MN35,Washington Heights North,71085,2182,68598,2209,32365,1819,5899,923,94,76,2067,428,112,188,28061,2349,2487,597,1515,541,972,264,2332,586,423,162,69,76,240,162,62,73,1538,543,147,105,8,49
MN36,Washington Heights South,89551,2966,84471,2966,25493,2044,16426,1423,746,424,2558,595,42,86,39206,2967,5080,983,2425,724,2655,644,4541,905,1342,485,239,163,310,185,160,122,2490,726,539,303,0,56
MN40,Upper East Side-Carnegie Hill,58834,1763,57904,1728,53480,1698,796,293,214,175,3150,578,0,52,264,178,930,292,57,67,873,286,907,284,99,106,109,92,627,249,0,52,72,70,23,62,0,52
MN50,Stuyvesant Town-Cooper Village,21864,1099,21384,1122,16173,1052,1076,401,13,24,3593,923,0,22,529,330,480,228,56,69,424,208,433,219,108,134,52,54,187,119,16,29,70,75,47,59,0,22
MN99,park-cemetery-etc-Manhattan,1483,509,1450,502,470,147,838,384,0,32,6,33,0,32,136,122,33,46,0,32,33,46,30,46,17,36,7,33,0,32,6,33,0,32,3,30,0,32
QN01,South Jamaica,36864,1578,35270,1560,1395,474,25838,1380,327,319,2336,673,24,58,5350,1037,1594,417,855,308,739,280,1538,409,193,191,11,48,6,46,147,107,1181,375,56,64,0,46
QN02,Springfield Gardens North,26959,1574,26830,1570,472,220,24626,1547,12,32,454,304,23,44,1243,771,129,91,34,54,95,79,129,91,39,50,26,48,0,31,30,35,34,54,0,31,0,31
QN03,Springfield Gardens South-Brookville,19901,1141,19292,1123,966,357,17588,1047,1,24,295,229,0,29,442,205,609,302,82,67,527,292,481,253,143,103,30,52,0,29,169,199,139,90,128,117,0,29
QN05,Rosedale,28201,1384,27732,1413,2094,502,24162,1612,35,49,1113,487,0,35,328,188,469,218,81,67,388,206,452,215,139,100,68,93,35,51,0,35,210,160,17,38,0,35
QN06,Jamaica Estates-Holliswood,25067,965,23979,994,7761,768,6706,763,215,190,7569,813,0,36,1728,475,1088,327,485,258,603,220,929,311,90,74,13,40,185,127,50,56,591,279,159,126,0,36
QN07,Hollis,21520,1019,20262,1026,1484,341,13879,970,100,97,2777,700,102,164,1920,512,1258,370,322,201,936,326,1062,346,161,144,178,156,0,36,30,42,693,287,196,144,0,36
QN08,St. Albans,51098,1594,50150,1593,1444,391,45889,1580,174,156,760,335,154,196,1729,489,948,243,275,150,673,198,887,239,168,118,26,64,22,60,188,111,483,186,61,69,0,59
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,29543,1239,29194,1232,25498,1264,2502,593,8,37,469,246,0,36,717,366,349,194,67,63,282,176,263,138,94,94,52,48,16,37,34,51,67,63,86,140,0,36
QN12,Hammels-Arverne-Edgemere,35500,1605,34698,1601,8545,1142,22095,1492,153,165,966,384,0,38,2939,729,802,302,149,92,653,278,705,275,190,110,147,192,19,42,112,101,237,131,97,77,0,38
QN15,Far Rockaway-Bayswater,50294,2160,48741,2164,19970,1684,23680,1807,148,130,957,513,0,46,3986,1117,1553,450,611,233,942,379,1430,441,521,302,7,40,40,76,68,66,794,270,123,91,0,46
QN17,Forest Hills,84694,1933,82613,1964,55688,1860,2267,593,139,156,20655,1451,18,68,3846,802,2081,427,500,214,1581,370,1989,408,326,180,211,190,692,204,48,80,712,240,92,87,0,64
QN18,Rego Park,27500,916,26713,910,16064,964,846,281,53,53,8787,775,0,34,963,281,787,288,66,66,721,281,729,277,59,58,145,138,248,199,15,37,262,132,58,64,0,34
QN19,Glendale,31750,1288,31083,1285,28191,1345,348,169,118,81,946,321,9,45,1471,496,667,244,283,174,384,172,617,238,113,103,90,103,99,85,9,44,306,178,50,64,0,43
QN20,Ridgewood,70166,1904,68588,1922,54960,1997,1787,439,190,146,5559,826,0,56,6092,1011,1578,483,658,394,920,270,1400,460,462,200,32,64,146,106,8,55,752,402,178,116,0,56
QN21,Middle Village,39062,1263,38634,1257,34229,1201,500,219,20,58,2643,529,0,51,1242,547,428,292,86,71,342,286,404,290,104,95,6,51,185,269,3,50,106,76,13,54,11,52
