area_id,area_name,b14007g001,b14007g001_moe,b14007g002,b14007g002_moe,b14007g003,b14007g003_moe,b14007g004,b14007g004_moe,b14007g005,b14007g005_moe,b14007g006,b14007g006_moe,b14007g007,b14007g007_moe,b14007g008,b14007g008_moe,b14007g009,b14007g009_moe,b14007g010,b14007g010_moe,b14007g011,b14007g011_moe,b14007g012,b14007g012_moe,b14007g013,b14007g013_moe,b14007g014,b14007g014_moe,b14007g015,b14007g015_moe,b14007g016,b14007g016_moe,b14007g017,b14007g017_moe,b14007g018,b14007g018_moe,b14007g019,b14007g019_moe
BX35,Morrisania-Melrose,1562,422,672,240,42,61,32,45,72,61,12,41,45,68,16,46,65,59,2,40,31,53,16,44,53,52,6,39,69,62,58,60,98,66,55,62,890,239
BX36,University Heights-Morris Heights,2193,555,1059,337,132,115,73,73,79,78,71,84,0,51,15,53,65,70,68,83,77,79,19,57,73,82,87,73,44,64,68,78,144,123,44,59,1134,318
BX37,Van Nest-Morris Park-Westchester Square,956,259,315,128,16,42,0,42,26,51,0,42,29,52,15,41,20,51,18,43,0,42,25,46,15,42,20,45,6,41,8,40,105,72,12,45,641,179
BX39,Mott Haven-Port Morris,987,304,446,205,15,50,23,54,34,58,42,54,0,50,11,50,26,52,67,70,9,48,21,55,34,55,6,50,12,52,73,68,73,65,0,50,541,177
BX40,Fordham South,727,329,413,198,0,32,44,58,53,58,37,50,35,48,19,41,20,42,32,55,0,32,42,55,0,32,31,47,0,32,70,67,30,35,0,32,314,184
BX41,Mount Hope,1465,353,602,191,40,55,5,51,35,57,38,61,66,62,47,66,6,51,25,58,71,70,4,49,26,61,44,60,71,57,22,52,74,70,28,52,863,238
BX43,Norwood,1751,487,736,232,55,61,48,54,23,45,42,55,15,45,182,113,52,64,25,54,4,38,47,49,17,42,51,65,0,41,11,42,143,111,21,48,1015,333
BX44,Williamsbridge-Olinville,1355,410,826,310,164,129,11,55,52,67,53,73,32,66,15,55,71,77,32,65,80,80,60,80,45,64,15,58,38,66,61,73,84,81,13,57,529,163
BX46,Parkchester,1341,507,459,275,162,165,46,72,0,36,42,54,4,35,10,36,0,36,18,39,56,81,0,36,56,54,9,37,0,36,0,36,49,54,7,34,882,291
BX49,Pelham Parkway,518,182,237,121,54,63,20,47,5,38,15,46,0,38,0,38,17,46,0,38,0,38,52,71,0,38,0,38,0,38,0,38,70,61,4,37,281,131
BX52,Schuylerville-Throgs Neck-Edgewater Park,1391,382,745,262,43,56,23,57,49,66,28,54,31,70,52,52,62,62,63,71,30,69,57,84,28,60,10,57,58,68,27,67,184,120,0,52,646,195
BX55,Soundview-Bruckner,2733,699,1077,369,22,52,68,65,0,40,76,66,19,48,100,74,39,82,101,80,120,89,77,64,78,68,42,54,68,66,22,46,234,165,11,41,1656,474
BX59,Westchester-Unionport,1253,359,469,178,37,50,5,36,15,39,30,48,35,55,62,69,18,40,53,64,19,36,5,35,4,35,26,51,64,70,45,48,51,57,0,36,784,253
BX62,Woodlawn-Wakefield,620,305,159,100,26,61,20,56,8,48,24,55,0,48,13,49,0,48,0,48,0,48,1,47,23,51,12,50,0,48,3,48,29,55,0,48,461,251
BX63,West Concourse,1027,331,353,165,10,44,10,42,3,41,0,42,3,39,3,39,42,53,67,100,0,42,0,42,24,41,0,42,34,50,10,42,99,78,48,63,674,223
BX75,Crotona Park East,540,254,250,178,21,43,10,31,40,68,10,31,9,30,8,30,16,36,28,43,8,30,56,58,28,43,0,29,0,29,0,29,0,29,16,30,290,151
BX98,Rikers Island,200,77,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,200,77
BX99,park-cemetery-etc-Bronx,64,57,38,42,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,7,33,0,32,0,32,4,30,0,32,15,37,0,32,12,34,26,39
MN01,Marble Hill-Inwood,2421,533,663,220,44,52,0,41,23,53,38,58,0,41,42,57,132,110,48,53,60,76,17,40,33,52,13,42,14,44,27,47,57,64,115,84,1758,412
MN03,Central Harlem North-Polo Grounds,3935,726,1452,373,120,96,55,91,47,82,75,81,69,94,93,76,48,77,83,82,58,87,53,76,83,85,134,119,106,90,151,108,209,119,68,79,2483,520
MN04,Hamilton Heights,7958,1370,2296,510,116,94,127,93,169,121,147,107,84,89,82,86,158,117,62,63,159,119,162,137,148,111,170,116,74,79,131,93,307,162,200,129,5662,1041
MN06,Manhattanville,2584,725,727,327,36,55,13,36,67,56,70,61,15,41,36,59,58,60,118,117,26,40,0,34,27,41,38,49,42,53,81,76,100,78,0,34,1857,543
MN09,Morningside Heights,2182,433,1264,302,4,44,0,45,24,50,36,54,0,45,74,71,16,49,21,52,56,73,40,61,25,60,14,43,25,50,126,149,600,174,203,87,918,271
MN11,Central Harlem South,1518,402,631,234,31,54,4,44,0,45,6,44,56,59,34,49,32,50,26,51,55,65,34,44,41,57,16,43,22,48,45,59,204,159,25,54,887,249
MN12,Upper West Side,4290,717,1927,521,297,169,47,76,63,83,138,134,102,105,208,185,114,111,159,145,47,86,19,73,33,75,55,87,92,86,121,128,132,124,300,177,2363,474
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2707,603,1037,316,104,87,160,172,61,97,89,97,17,57,54,80,16,53,0,54,15,51,11,55,0,54,31,73,87,97,29,61,287,143,76,76,1670,453
MN14,Lincoln Square,1650,527,656,352,203,223,22,58,30,49,13,50,41,72,0,48,34,66,21,57,0,48,95,150,30,63,12,50,44,84,0,48,93,76,18,48,994,344
MN15,Clinton,1474,481,534,261,0,43,48,79,33,56,0,43,83,81,60,79,0,43,19,50,53,79,0,43,0,43,0,43,46,65,0,43,111,101,81,65,940,286
MN17,Midtown-Midtown South,735,210,252,129,11,53,10,52,0,51,0,51,12,53,0,51,0,51,10,52,0,51,0,51,0,51,0,51,0,51,8,49,156,117,45,59,483,171
MN19,Turtle Bay-East Midtown,815,233,189,102,61,76,6,48,11,50,0,48,0,48,5,46,7,48,0,48,5,47,0,48,11,49,0,48,0,48,0,48,31,58,52,71,626,199
MN20,Murray Hill-Kips Bay,953,330,378,180,31,57,0,42,13,46,0,42,0,42,25,52,16,47,0,42,43,64,0,42,0,42,0,42,9,43,0,42,188,142,53,64,575,223
MN21,Gramercy,556,243,242,117,43,48,0,34,20,42,11,35,0,34,0,34,26,52,0,34,0,34,0,34,0,34,2,30,0,34,0,34,77,74,63,66,314,199
MN22,East Village,1150,300,418,163,55,74,47,55,23,53,0,40,0,40,0,40,0,40,6,39,0,40,29,52,14,43,0,40,29,52,0,40,171,87,44,51,732,221
MN23,West Village,1716,411,726,248,150,105,74,75,21,57,83,80,5,57,0,56,0,56,32,61,9,54,56,97,0,56,0,56,0,56,0,56,204,131,92,88,990,296
MN24,SoHo-TriBeCa-Civic Center-Little Italy,1115,329,566,244,76,83,47,68,28,51,0,42,24,45,8,40,38,50,12,45,0,42,0,42,80,94,0,42,8,42,58,101,142,116,45,51,549,200
MN25,Battery Park City-Lower Manhattan,887,319,279,168,0,42,17,47,0,42,0,42,0,42,0,42,0,42,0,42,9,40,89,104,0,42,0,42,0,42,36,66,105,95,23,44,608,244
MN27,Chinatown,1068,365,281,145,51,65,0,44,0,44,6,42,46,59,0,44,0,44,44,55,0,44,14,50,0,44,4,43,0,44,32,51,70,65,14,46,787,314
MN28,Lower East Side,3142,593,724,230,25,60,37,61,0,56,34,65,15,59,0,56,22,63,61,66,0,56,23,57,46,72,55,73,39,62,113,99,164,107,90,79,2418,471
MN31,Lenox Hill-Roosevelt Island,1515,437,589,234,131,120,34,61,82,98,18,57,0,53,0,53,0,53,0,53,14,58,0,53,27,57,12,53,0,53,47,62,172,102,52,60,926,301
MN32,Yorkville,1106,301,346,151,60,68,0,50,27,55,8,51,39,59,0,50,9,52,42,61,17,54,18,53,0,50,19,57,0,50,10,51,22,60,75,86,760,244
MN33,East Harlem South,1818,484,621,226,72,86,0,50,20,51,0,50,44,59,0,50,29,56,0,50,11,53,0,50,0,50,30,58,14,54,78,66,176,128,147,111,1197,386
MN34,East Harlem North,2095,641,810,400,28,60,0,50,78,78,40,63,17,53,82,104,50,69,70,89,12,50,41,69,6,49,105,126,8,49,130,126,143,111,0,50,1285,355
MN35,Washington Heights North,2401,572,869,299,115,89,61,82,37,58,13,54,34,72,70,80,38,64,24,54,65,74,59,71,26,56,10,51,77,73,14,54,187,112,39,62,1532,363
MN36,Washington Heights South,4799,950,1503,369,171,143,45,74,82,66,78,93,90,89,87,79,49,66,116,85,3,56,94,90,132,90,37,66,34,69,91,71,237,138,157,97,3296,731
MN40,Upper East Side-Carnegie Hill,895,284,566,232,96,72,37,63,42,70,25,56,0,52,0,52,0,52,128,117,55,92,57,63,57,61,23,55,28,56,0,52,18,58,0,52,329,122
MN50,Stuyvesant Town-Cooper Village,450,221,139,103,0,22,13,28,0,22,0,22,0,22,46,75,0,22,0,22,0,22,0,22,0,22,0,22,0,22,0,22,12,26,68,59,311,178
MN99,park-cemetery-etc-Manhattan,33,46,5,31,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,0,32,5,31,28,45
QN01,South Jamaica,1521,405,620,223,13,44,5,45,70,65,0,46,49,48,77,54,66,63,44,63,46,59,52,66,3,46,0,46,48,70,36,50,99,72,12,48,901,269
QN02,Springfield Gardens North,120,81,34,54,0,31,0,31,0,31,0,31,0,31,34,54,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,86,67
QN03,Springfield Gardens South-Brookville,552,289,157,118,22,36,10,31,0,29,7,29,43,50,0,29,45,52,0,29,13,35,1,31,1,24,0,29,0,29,0,29,15,43,0,29,395,195
QN05,Rosedale,438,213,131,124,0,35,0,35,0,35,0,35,0,35,0,35,0,35,0,35,9,35,22,46,20,44,0,35,24,40,22,47,22,38,12,38,307,148
QN06,Jamaica Estates-Holliswood,1062,325,411,194,56,73,31,59,17,43,18,43,15,42,0,36,31,47,0,36,57,57,13,40,21,39,0,36,32,48,0,36,97,92,23,43,651,209
QN07,Hollis,1186,358,456,215,23,50,58,77,64,77,0,36,0,36,37,55,38,55,24,51,26,41,0,36,9,37,13,35,25,43,48,51,82,55,9,37,730,230
QN08,St. Albans,891,233,254,116,46,73,3,58,0,59,5,58,0,59,0,59,0,59,28,71,7,59,8,59,0,59,9,57,28,63,18,61,95,72,7,59,637,186
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,320,164,117,101,28,56,0,36,0,36,0,36,27,54,24,50,0,36,0,36,0,36,0,36,0,36,1,32,0,36,2,32,35,53,0,36,203,116
QN12,Hammels-Arverne-Edgemere,660,245,182,109,9,40,48,58,0,38,11,39,0,38,9,39,7,38,11,39,11,39,3,37,15,43,29,45,10,37,0,38,10,39,9,39,478,183
QN15,Far Rockaway-Bayswater,1498,434,529,238,77,66,14,48,76,81,0,46,33,50,23,54,16,50,15,48,16,53,47,69,14,48,16,53,31,64,26,48,97,77,28,51,969,271
QN17,Forest Hills,1960,420,696,213,85,91,60,73,48,77,45,78,46,72,45,77,18,68,31,67,5,63,12,65,13,63,20,67,51,79,48,74,114,93,55,73,1264,312
QN18,Rego Park,675,264,259,163,0,34,10,36,22,47,9,36,0,34,17,36,10,36,10,36,0,34,62,96,0,34,23,48,33,49,0,34,63,64,0,34,416,147
QN19,Glendale,618,225,317,144,44,58,28,47,19,47,0,43,34,58,12,43,11,45,22,54,0,43,0,43,11,45,43,51,11,45,26,49,56,59,0,43,301,131
QN20,Ridgewood,1514,456,596,243,76,71,33,62,30,58,17,58,18,61,23,58,42,61,41,65,18,57,10,56,13,57,40,71,65,79,0,56,160,148,10,58,918,272
QN21,Middle Village,397,285,127,89,0,51,0,51,30,61,0,51,0,51,22,56,0,51,0,51,0,51,0,51,0,51,0,51,0,51,19,57,45,69,11,52,270,271
QN22,Flushing,2267,719,897,411,15,57,52,72,67,118,41,71,52,87,54,99,46,88,14,52,52,88,63,86,0,54,63,82,58,81,20,54,265,161,35,63,1370,454
QN23,College Point,429,223,202,139,0,34,0,34,6,33,33,44,0,34,0,34,0,34,18,41,0,34,25,38,14,37,19,34,7,31,17,40,20,44,43,72,227,108
QN25,Corona,1166,503,470,264,93,111,11,45,0,44,116,120,57,72,0,44,26,57,14,48,0,44,0,44,10,45,0,44,9,45,32,57,87,89,15,49,696,293
QN26,North Corona,1087,458,365,182,0,45,0,45,19,45,0,45,75,110,21,46,0,45,16,49,23,48,17,49,65,76,17,44,0,45,20,43,92,75,0,45,722,314
QN27,East Elmhurst,689,326,146,107,0,34,28,49,0,34,0,34,23,49,9,35,0,34,0,34,21,46,0,34,0,34,0,34,20,33,28,48,10,32,7,34,543,234
QN28,Jackson Heights,3554,816,1058,311,99,92,43,75,30,71,38,88,55,81,54,80,0,66,42,78,0,66,69,86,54,82,27,70,101,107,36,78,375,156,35,71,2496,663
QN29,Elmhurst,1393,397,363,164,42,79,0,60,15,60,36,72,0,60,0,60,0,60,0,60,27,66,0,60,65,76,50,75,7,58,14,62,107,86,0,60,1030,317
QN30,Maspeth,320,180,99,66,31,49,0,45,11,46,0,45,0,45,1,43,5,44,0,45,18,47,7,44,0,45,0,45,0,45,0,45,26,49,0,45,221,156
QN31,Hunters Point-Sunnyside-West Maspeth,1632,463,518,210,69,80,70,97,0,56,0,56,32,63,38,68,32,67,62,86,13,59,10,58,0,56,0,56,30,61,0,56,141,99,21,61,1114,329
QN33,Cambria Heights,210,101,75,52,3,42,3,42,11,46,5,42,13,41,3,42,0,43,6,43,0,43,4,42,0,43,16,46,0,43,0,43,11,42,0,43,135,87
QN34,Queens Village,3560,725,1116,296,78,81,15,57,34,65,98,75,60,67,13,59,48,72,87,74,51,74,37,66,4,56,64,60,36,65,131,91,335,156,25,58,2444,532
QN35,Briarwood-Jamaica Hills,1837,484,722,267,57,74,15,46,38,64,22,50,27,49,18,50,31,51,45,65,11,48,29,48,0,47,37,64,48,65,66,85,213,153,65,78,1115,331
QN37,Kew Gardens Hills,1088,332,268,134,41,54,14,44,0,40,32,49,20,42,0,40,23,44,0,40,0,40,0,40,15,45,0,40,5,39,11,43,63,73,44,52,820,262
