area_id,area_name,c23002i001,c23002i001_moe,c23002i002,c23002i002_moe,c23002i003,c23002i003_moe,c23002i004,c23002i004_moe,c23002i005,c23002i005_moe,c23002i006,c23002i006_moe,c23002i007,c23002i007_moe,c23002i008,c23002i008_moe,c23002i009,c23002i009_moe,c23002i010,c23002i010_moe,c23002i011,c23002i011_moe,c23002i012,c23002i012_moe,c23002i013,c23002i013_moe,c23002i014,c23002i014_moe,c23002i015,c23002i015_moe,c23002i016,c23002i016_moe,c23002i017,c23002i017_moe,c23002i018,c23002i018_moe,c23002i019,c23002i019_moe,c23002i020,c23002i020_moe,c23002i021,c23002i021_moe,c23002i022,c23002i022_moe,c23002i023,c23002i023_moe,c23002i024,c23002i024_moe,c23002i025,c23002i025_moe,c23002i026,c23002i026_moe,c23002i027,c23002i027_moe
BK42,Flatbush,15258,1392,7390,837,7079,829,5975,767,32,77,5943,767,5393,730,550,200,1104,296,311,126,105,97,105,97,0,68,206,104,7868,764,7144,749,4290,537,0,68,4290,537,3866,506,424,137,2854,457,724,187,92,80,92,80,0,68,632,179
BK43,Midwood,2548,543,1477,393,1423,390,1064,351,0,51,1064,351,951,300,113,98,359,159,54,60,7,51,7,51,0,51,47,59,1071,305,921,285,598,216,0,51,598,216,506,189,92,84,323,156,150,77,7,51,7,51,0,51,143,78
BK44,Madison,1912,465,862,243,825,241,727,221,12,49,715,221,578,183,137,110,98,69,37,49,6,46,6,46,0,46,31,49,1050,313,975,288,666,220,0,46,666,220,609,216,57,59,309,135,75,67,0,46,0,46,0,46,75,67
BK45,Georgetown-Marine Park-Bergen Beach-Mill Basin,3223,633,1478,422,1452,416,1097,280,0,55,1097,280,1010,269,87,88,355,199,26,56,4,54,4,54,0,55,22,57,1745,361,1597,336,938,221,0,55,938,221,823,211,115,88,659,193,148,92,58,82,58,82,0,55,90,68
BK46,Ocean Parkway South,1351,468,733,302,701,298,661,294,0,36,661,294,574,266,87,78,40,49,32,59,0,36,0,36,0,36,32,59,618,216,538,206,309,154,0,36,309,154,224,107,85,77,229,112,80,62,0,36,0,36,0,36,80,62
BK50,Canarsie,5722,761,2671,454,2375,435,1533,329,0,70,1533,329,1439,321,94,90,842,234,296,121,25,74,25,74,0,70,271,118,3051,425,2670,400,1590,295,0,70,1590,295,1391,269,199,128,1080,245,381,122,63,82,55,81,8,70,318,113
BK58,Flatlands,4068,590,1855,325,1615,299,1295,272,0,62,1295,272,1170,253,125,93,320,120,240,93,28,65,28,65,0,62,212,91,2213,341,1909,320,1353,258,0,62,1353,258,1283,255,70,64,556,163,304,118,36,73,36,73,0,62,268,111
BK60,Prospect Lefferts Gardens-Wingate,5360,779,2024,420,1676,382,1206,311,0,58,1206,311,1025,289,181,127,470,202,348,146,94,105,94,105,0,58,254,109,3336,547,2820,527,1847,409,0,58,1847,409,1529,359,318,181,973,287,516,155,14,58,14,58,0,58,502,154
BK61,Crown Heights North,9249,1043,4408,681,4044,663,2599,564,11,68,2588,563,2207,506,381,156,1445,331,364,141,140,112,140,112,0,67,224,108,4841,596,4287,564,2443,389,0,67,2443,389,2081,348,362,181,1844,350,554,157,25,70,25,70,0,67,529,154
BK63,Crown Heights South,2472,450,1243,274,1119,271,771,233,14,44,757,232,604,171,153,121,348,159,124,75,29,57,29,57,0,40,95,61,1229,251,1041,225,660,183,0,40,660,183,569,176,91,73,381,147,188,81,21,43,21,43,0,40,167,77
BK64,Prospect Heights,1990,408,908,219,804,214,596,172,0,32,596,172,576,172,20,32,208,134,104,66,8,32,8,32,0,32,96,66,1082,271,902,242,786,232,0,32,786,232,721,220,65,57,116,78,180,88,30,37,30,37,0,32,150,83
BK68,Fort Greene,4146,561,2002,418,1767,405,1305,374,0,38,1305,374,1067,351,238,129,462,147,235,86,14,42,14,42,0,38,221,84,2144,340,1761,324,1018,238,0,38,1018,238,915,233,103,82,743,202,383,117,57,65,57,65,0,38,326,105
BK69,Clinton Hill,4648,583,2457,396,2231,389,1894,361,0,40,1894,361,1753,357,141,95,337,123,226,102,39,55,39,55,0,40,187,94,2191,341,1955,330,1140,240,0,40,1140,240,979,220,161,98,815,214,236,99,0,40,0,40,0,40,236,99
BK72,Williamsburg,2957,472,1353,296,1091,271,783,223,0,36,783,223,652,191,131,127,308,123,262,117,17,42,0,36,17,42,245,113,1604,290,1231,263,633,156,0,36,633,156,633,156,0,36,598,216,373,125,0,36,0,36,0,36,373,125
BK73,North Side-South Side,13671,927,6126,606,5262,577,3455,461,27,63,3428,462,3116,437,312,126,1807,337,864,184,54,62,54,62,0,48,810,180,7545,577,6342,562,3928,475,0,48,3928,475,3554,447,374,160,2414,372,1203,227,44,53,44,53,0,48,1159,224
BK75,Bedford,10137,1032,4582,671,4178,653,3110,582,0,56,3110,582,2707,559,403,157,1068,254,404,126,58,63,42,62,16,55,346,117,5555,592,4950,574,2780,356,0,56,2780,356,2421,336,359,138,2170,370,605,147,45,65,45,65,0,56,560,143
BK76,Greenpoint,4250,583,2045,350,1910,340,1360,266,10,43,1350,265,1224,254,126,83,550,228,135,67,38,50,38,50,0,42,97,59,2205,362,2031,350,1477,275,0,42,1477,275,1461,273,16,43,554,193,174,88,29,60,1,41,28,60,145,75
BK77,Bushwick North,34975,1550,18066,1084,17090,1084,12745,945,42,70,12703,945,11638,938,1065,249,4345,510,976,186,135,81,131,81,4,52,841,174,16909,838,15451,827,8508,623,0,54,8508,623,7495,579,1013,241,6943,609,1458,220,112,79,112,79,0,54,1346,216
BK78,Bushwick South,32016,1613,15107,1000,13850,987,9809,834,0,56,9809,834,8590,802,1219,278,4041,554,1257,215,74,76,47,63,27,70,1183,206,16909,920,14616,891,8830,677,0,56,8830,677,7271,581,1559,330,5786,570,2293,265,90,81,61,71,29,66,2203,273
BK79,Ocean Hill,4143,594,2078,360,1890,349,1296,273,0,38,1296,273,1148,254,148,96,594,181,188,94,27,48,27,48,0,38,161,91,2065,337,1845,324,1132,249,0,38,1132,249,1056,246,76,62,713,195,220,83,52,60,52,60,0,38,168,68
BK81,Brownsville,7359,880,2611,478,2315,456,963,259,0,51,963,259,677,215,286,131,1352,339,296,142,57,68,57,68,0,51,239,133,4748,570,4127,570,2203,391,0,51,2203,391,1837,341,366,172,1924,412,621,162,4,50,4,50,0,51,617,162
BK82,East New York,18654,1288,8441,764,7603,731,5108,595,5,65,5103,595,4273,559,830,212,2495,385,838,183,151,94,151,94,0,65,687,160,10213,754,8834,710,4787,516,0,65,4787,516,4071,472,716,211,4047,473,1379,238,159,86,154,86,5,64,1220,229
BK83,Cypress Hills-City Line,21640,1343,10115,814,9464,778,6940,639,38,64,6902,639,6356,616,546,164,2524,403,651,156,93,68,93,68,0,49,558,148,11525,733,10403,667,5730,506,0,49,5730,506,5332,480,398,134,4673,497,1122,198,88,74,88,74,0,49,1034,195
BK85,East New York (Pennsylvania Ave),5822,743,2575,451,2317,414,1481,316,28,43,1453,314,1301,305,152,88,836,211,258,105,47,54,25,51,22,41,211,94,3247,429,2919,411,1718,299,15,40,1703,299,1507,280,196,97,1201,243,328,101,8,36,8,36,0,36,320,98
BK88,Borough Park,8582,1043,5033,735,4749,723,3886,653,11,68,3875,653,3691,644,184,110,863,233,284,121,38,76,38,76,0,68,246,115,3549,460,3264,457,1908,339,0,68,1908,339,1763,328,145,103,1356,293,285,114,0,68,0,68,0,68,285,114
BK90,East Williamsburg,9077,818,3990,504,3313,488,2597,448,16,45,2581,449,2312,423,269,124,716,197,677,166,48,61,20,43,28,59,629,168,5087,544,4052,517,2411,366,0,40,2411,366,2103,336,308,138,1641,373,1035,193,114,83,114,83,0,40,921,180
BK91,East Flatbush-Farragut,2593,480,1220,276,1080,262,693,183,0,54,693,183,623,175,70,72,387,154,140,78,28,57,28,57,0,54,112,74,1373,276,1152,257,671,177,0,54,671,177,540,158,131,80,481,165,221,99,16,54,16,54,0,54,205,98
BK93,Starrett City,1961,565,697,301,621,300,277,153,0,24,277,153,176,120,101,77,344,228,76,53,0,24,0,24,0,24,76,53,1264,452,924,428,663,273,0,24,663,273,636,270,27,33,261,225,340,156,0,24,0,24,0,24,340,156
BK95,Erasmus,1961,453,932,247,874,242,723,220,0,36,723,220,680,218,43,55,151,80,58,41,0,36,0,36,0,36,58,41,1029,255,950,252,598,161,0,36,598,161,537,150,61,53,352,148,79,54,0,36,0,36,0,36,79,54
BK96,Rugby-Remsen Village,1843,435,872,266,743,248,601,235,0,54,601,235,530,225,71,72,142,81,129,95,12,56,12,56,0,54,117,94,971,275,882,257,502,164,0,54,502,164,430,153,72,75,380,190,89,73,0,54,0,54,0,54,89,73
BK99,park-cemetery-etc-Brooklyn,86,74,43,52,43,52,43,52,0,40,43,52,43,52,0,40,0,40,0,40,0,40,0,40,0,40,0,40,43,54,43,54,32,50,0,40,32,50,32,50,0,40,11,40,0,40,0,40,0,40,0,40,0,40
BX01,Claremont-Bathgate,12362,918,5256,574,4875,548,2616,421,0,40,2616,421,2133,366,483,178,2259,381,381,137,6,39,6,39,0,40,375,136,7106,591,6487,577,3462,395,0,40,3462,395,2600,360,862,274,3025,399,619,167,32,55,32,55,0,40,587,168
BX03,Eastchester-Edenwald-Baychester,6541,789,2846,508,2548,470,1662,377,0,40,1662,377,1171,277,491,203,886,261,298,159,74,56,74,56,0,40,224,152,3695,424,3347,409,1998,318,0,40,1998,318,1800,314,198,130,1349,298,348,131,24,47,24,47,0,40,324,129
BX05,Bedford Park-Fordham North,25897,1462,11965,1118,11289,1109,8512,915,0,50,8512,915,7428,874,1084,286,2777,518,676,173,119,86,119,86,0,50,557,161,13932,826,12595,809,7500,657,0,50,7500,657,6726,609,774,223,5095,573,1337,236,7,48,7,48,0,50,1330,237
BX06,Belmont,10829,999,4930,648,4668,625,3416,559,0,34,3416,559,3163,545,253,101,1252,278,262,113,22,41,22,41,0,34,240,108,5899,565,5393,561,2830,419,0,34,2830,419,2371,411,459,146,2563,385,506,153,13,38,13,38,0,34,493,152
BX07,Bronxdale,13359,1071,6421,847,5837,847,4128,775,0,38,4128,775,3540,768,588,210,1709,321,584,157,75,66,67,65,8,39,509,150,6938,583,5827,555,3686,453,0,38,3686,453,3190,434,496,162,2141,330,1111,200,102,65,102,65,0,38,1009,196
BX08,West Farms-Bronx River,17772,1208,8238,823,7418,801,5708,753,0,40,5708,753,5117,714,591,212,1710,336,820,192,101,74,62,57,39,62,719,184,9534,703,8325,690,5109,534,0,40,5109,534,4432,479,677,244,3216,450,1209,218,25,44,25,44,0,40,1184,217
BX09,Soundview-Castle Hill-Clason Point-Harding Park,25546,1449,10986,887,9468,832,5869,567,0,50,5869,567,5374,553,495,154,3599,572,1518,275,135,85,135,85,0,50,1383,265,14560,913,12195,908,7164,645,0,50,7164,645,6712,577,452,197,5031,628,2365,318,138,90,138,90,0,50,2227,305
BX10,Pelham Bay-Country Club-City Island,6537,858,3181,525,2916,513,2428,456,0,34,2428,456,2186,455,242,122,488,238,265,128,94,80,94,80,0,34,171,96,3356,529,2811,477,2304,434,0,34,2304,434,2138,408,166,110,507,174,545,173,17,40,17,40,0,34,528,171
BX13,Co-op City,10465,1187,4797,732,3974,719,2704,604,23,45,2681,605,2379,533,302,172,1270,346,823,240,122,85,122,85,0,33,701,226,5668,739,4593,783,2902,556,15,34,2887,557,2629,487,258,195,1691,414,1075,260,78,82,78,82,0,33,997,269
BX14,East Concourse-Concourse Village,27689,1651,12891,1130,11593,1103,8278,942,65,87,8213,939,6952,886,1261,318,3315,486,1298,272,138,100,138,100,0,51,1160,256,14798,940,13106,891,7548,732,0,51,7548,732,6405,659,1143,300,5558,667,1692,302,90,71,90,71,0,51,1602,296
BX17,East Tremont,21028,1254,9011,960,8182,951,5322,839,45,81,5277,827,4444,778,833,270,2860,437,829,182,104,79,86,77,18,47,725,174,12017,652,10227,618,5614,482,0,45,5614,482,4456,457,1158,270,4613,494,1790,236,152,98,152,98,0,45,1638,234
BX22,North Riverdale-Fieldston-Riverdale,3690,458,1560,265,1358,252,999,214,0,38,999,214,947,206,52,53,359,131,202,92,47,50,31,45,16,44,155,85,2130,296,1914,286,1486,255,0,38,1486,255,1314,241,172,85,428,117,216,92,16,44,16,44,0,38,200,88
BX26,Highbridge,16796,1030,7338,656,6860,631,4388,504,0,42,4388,504,3699,457,689,234,2472,406,478,136,29,47,29,47,0,42,449,135,9458,693,8351,646,5139,475,0,42,5139,475,4311,453,828,242,3212,472,1107,212,7,40,7,40,0,42,1100,212
BX27,Hunts Point,14979,816,7137,562,6272,559,3864,446,0,38,3864,446,3297,413,567,157,2408,358,865,166,89,62,80,62,9,39,776,156,7842,506,6719,507,4128,474,21,49,4107,474,3156,357,951,258,2591,335,1123,173,33,45,15,44,18,39,1090,171
BX28,Van Cortlandt Village,24129,1380,10410,878,9587,871,7710,763,8,42,7702,764,6838,722,864,233,1877,350,823,189,170,113,169,113,1,42,653,169,13719,936,12178,853,8053,686,0,43,8053,686,6748,613,1305,313,4125,547,1541,276,136,93,125,89,11,48,1405,259
BX29,Spuyten Duyvil-Kingsbridge,8300,648,3953,488,3451,465,2718,390,0,38,2718,390,2508,382,210,114,733,241,502,145,47,45,47,45,0,38,455,142,4347,395,3772,389,2557,317,0,38,2557,317,2373,309,184,100,1215,269,575,138,55,51,55,51,0,38,520,128
BX30,Kingsbridge Heights,16190,1104,7235,759,6770,753,5132,663,0,38,5132,663,4237,630,895,266,1638,329,465,143,37,44,37,44,0,38,428,140,8955,681,7807,668,5544,564,0,38,5544,564,4478,507,1066,301,2263,407,1148,195,48,55,48,55,0,38,1100,192
BX31,Allerton-Pelham Gardens,7159,767,3028,429,2702,409,1813,304,0,42,1813,304,1510,273,303,119,889,244,326,105,16,42,16,42,0,42,310,104,4131,489,3456,429,2534,367,9,42,2525,367,2126,313,399,161,922,194,675,165,57,71,25,52,32,63,618,144
BX33,Longwood,13216,979,5815,668,5358,659,3735,568,0,36,3735,568,3378,552,357,135,1623,332,457,126,47,44,47,44,0,36,410,123,7401,537,6160,513,3184,348,0,36,3184,348,2764,348,420,126,2976,398,1241,231,51,50,51,50,0,36,1190,227
BX34,Melrose South-Mott Haven North,19258,1148,7730,754,6990,731,4904,656,44,63,4860,653,3739,604,1121,288,2086,362,740,180,53,63,53,63,0,42,687,172,11528,793,9740,740,5739,646,0,42,5739,646,4997,605,742,224,4001,439,1788,261,49,61,49,61,0,42,1739,259
BX35,Morrisania-Melrose,16668,1099,7034,660,6479,643,4271,554,0,40,4271,554,3410,527,861,240,2208,366,555,167,68,58,68,58,0,40,487,159,9634,697,8508,640,5082,451,0,40,5082,451,4253,420,829,223,3426,439,1126,232,89,102,89,102,0,40,1037,210
BX36,University Heights-Morris Heights,26442,1343,12297,907,11350,879,8615,763,30,69,8585,762,7068,749,1517,320,2735,440,947,223,332,135,273,128,59,69,615,176,14145,818,13094,804,8355,673,0,51,8355,673,6592,579,1763,316,4739,522,1051,209,31,54,31,54,0,51,1020,207
BX37,Van Nest-Morris Park-Westchester Square,11532,890,5328,612,4882,594,3623,477,0,42,3623,477,3087,455,536,161,1259,300,446,139,112,79,112,79,0,42,334,124,6204,536,5574,516,3894,443,0,42,3894,443,3419,393,475,212,1680,283,630,176,100,73,100,73,0,42,530,161
BX39,Mott Haven-Port Morris,27805,1308,13444,984,12160,956,8135,789,17,51,8118,789,7104,760,1014,238,4025,495,1284,240,157,85,148,85,9,49,1127,224,14361,720,12231,696,6451,523,0,50,6451,523,5604,486,847,206,5780,504,2130,249,104,74,104,74,0,50,2026,245
BX40,Fordham South,12147,1080,5212,720,5035,710,3535,606,0,32,3535,606,2895,557,640,219,1500,344,177,106,19,41,0,32,19,41,158,102,6935,651,6279,640,4089,522,0,32,4089,522,3109,437,980,248,2190,371,656,191,66,69,66,69,0,32,590,180
BX41,Mount Hope,26707,1343,12485,911,11384,901,8431,789,0,51,8431,789,6854,696,1577,324,2953,416,1101,202,175,89,175,89,0,51,926,191,14222,763,12870,738,7779,576,0,51,7779,576,6560,537,1219,237,5091,531,1352,224,144,98,144,98,0,51,1208,221
BX43,Norwood,16704,1333,7689,782,6995,712,5573,675,13,44,5560,675,4825,653,735,219,1422,310,694,222,72,79,57,76,15,46,622,214,9015,780,8053,761,5396,591,0,41,5396,591,4595,530,801,228,2657,530,962,217,42,73,42,73,0,41,920,209
BX44,Williamsbridge-Olinville,9324,815,4080,516,3620,494,2567,404,0,54,2567,404,2267,381,300,122,1053,232,460,129,90,72,59,64,31,63,370,119,5244,490,4571,458,2857,355,0,54,2857,355,2343,308,514,172,1714,297,673,159,36,64,36,64,0,54,637,152
BX46,Parkchester,8307,679,3789,415,3258,402,2651,351,0,36,2651,351,2339,332,312,125,607,207,531,165,77,69,43,47,34,62,454,155,4518,470,3973,450,2689,407,0,36,2689,407,2412,362,277,156,1284,297,545,161,63,59,63,59,0,36,482,158
BX49,Pelham Parkway,8582,831,3864,568,3527,559,2848,517,0,38,2848,517,2652,508,196,107,679,201,337,135,0,38,0,38,0,38,337,135,4718,493,4204,457,2492,338,0,38,2492,338,2255,334,237,104,1712,336,514,165,72,68,72,68,0,38,442,154
BX52,Schuylerville-Throgs Neck-Edgewater Park,13277,1054,5864,627,5397,611,4130,571,9,55,4121,570,3755,547,366,157,1267,261,467,162,89,68,89,68,0,52,378,153,7413,653,6566,628,4765,538,0,52,4765,538,4239,467,526,250,1801,349,847,213,77,86,47,64,30,76,770,193
BX55,Soundview-Bruckner,17168,1147,8704,825,7583,787,5725,721,0,40,5725,721,5226,714,499,167,1858,327,1121,251,219,122,161,104,58,73,902,207,8464,564,7420,540,4103,441,0,40,4103,441,3323,388,780,194,3317,388,1044,184,89,62,89,62,0,40,955,178
BX59,Westchester-Unionport,12751,992,5845,605,5528,594,4245,542,0,36,4245,542,3575,456,670,237,1283,283,317,111,29,40,29,40,0,36,288,107,6906,646,6139,638,3521,489,0,36,3521,489,2995,421,526,219,2618,435,767,189,58,56,58,56,0,36,709,182
BX62,Woodlawn-Wakefield,5435,736,2506,417,2164,373,1720,347,0,48,1720,347,1429,311,291,149,444,139,342,135,140,105,140,105,0,48,202,97,2929,493,2536,435,1673,314,0,48,1673,314,1497,305,176,91,863,232,393,145,55,63,55,63,0,48,338,138
BX63,West Concourse,20146,1232,9249,836,8698,816,6576,738,0,42,6576,738,5698,684,878,264,2122,388,551,158,120,76,120,76,0,42,431,144,10897,732,9986,724,6359,632,61,97,6298,621,5443,571,855,255,3627,465,911,188,52,64,52,64,0,42,859,179
BX75,Crotona Park East,9903,703,4392,469,3777,457,2571,400,0,29,2571,400,2211,372,360,137,1206,238,615,143,21,36,21,36,0,29,594,141,5511,446,4824,427,2907,327,0,29,2907,327,2425,302,482,157,1917,299,687,166,48,46,48,46,0,29,639,161
BX98,Rikers Island,3290,259,3068,281,3049,283,0,17,0,17,0,17,0,17,0,17,3049,283,19,20,0,17,0,17,0,17,19,20,222,88,222,88,0,17,0,17,0,17,0,17,0,17,222,88,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,542,169,228,111,204,109,170,100,0,32,170,100,141,88,29,45,34,40,24,36,0,32,0,32,0,32,24,36,314,118,293,116,175,82,0,32,175,82,149,69,26,40,118,75,21,37,12,34,12,34,0,32,9,33
MN01,Marble Hill-Inwood,29866,1826,14610,1430,13324,1419,10763,1337,0,41,10763,1337,9057,1302,1706,409,2561,442,1286,277,194,118,179,116,15,43,1092,265,15256,926,13087,879,9118,776,0,41,9118,776,7374,660,1744,416,3969,496,2169,346,178,104,169,104,9,39,1991,341
MN03,Central Harlem North-Polo Grounds,13595,1230,6087,755,5886,740,3871,588,30,66,3841,586,2936,477,905,299,2015,425,201,137,44,73,44,73,0,59,157,128,7508,754,6708,696,4131,510,0,59,4131,510,3456,446,675,201,2577,472,800,206,18,63,18,63,0,59,782,204
MN04,Hamilton Heights,19745,1434,9218,960,8542,931,6196,832,46,65,6150,828,5285,760,865,281,2346,455,676,201,105,76,46,63,59,56,571,191,10527,821,8892,779,5509,618,0,46,5509,618,4890,576,619,195,3383,510,1635,260,44,62,44,62,0,46,1591,262
MN06,Manhattanville,10474,908,5108,593,4421,553,2808,450,0,34,2808,450,2346,442,462,161,1613,325,687,191,40,46,40,46,0,34,647,192,5366,520,4307,497,2380,361,0,34,2380,361,2140,348,240,129,1927,350,1059,216,39,47,39,47,0,34,1020,214
MN09,Morningside Heights,10730,994,4657,670,3905,595,2131,403,0,45,2131,403,1899,389,232,125,1774,490,752,252,82,67,82,67,0,45,670,246,6073,645,5011,622,2382,441,0,45,2382,441,2182,393,200,131,2629,567,1062,222,19,45,13,47,6,43,1043,221
MN11,Central Harlem South,6373,689,2604,410,2453,407,1619,297,0,45,1619,297,1493,287,126,76,834,225,151,77,15,48,15,48,0,45,136,76,3769,448,3353,420,1951,297,0,45,1951,297,1800,293,151,73,1402,297,416,139,32,55,32,55,0,45,384,138
MN12,Upper West Side,16513,1356,7690,868,6440,789,4649,659,25,77,4624,657,4022,620,602,248,1791,459,1250,292,120,101,120,101,0,68,1130,288,8823,862,6756,809,4299,567,0,68,4299,567,3843,516,456,217,2457,545,2067,328,218,119,189,112,29,79,1849,318
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,9080,909,4621,622,4237,604,3359,509,0,54,3359,509,3014,465,345,170,878,248,384,139,62,82,53,81,9,54,322,123,4459,546,3694,498,2505,419,0,54,2505,419,2248,397,257,159,1189,282,765,197,100,92,100,92,0,54,665,186
