area_id,area_name,b13002i001,b13002i001_moe,b13002i002,b13002i002_moe,b13002i003,b13002i003_moe,b13002i004,b13002i004_moe,b13002i005,b13002i005_moe,b13002i006,b13002i006_moe,b13002i007,b13002i007_moe
QN05,Rosedale,427,160,0,35,0,35,0,35,427,160,217,98,210,110
QN06,Jamaica Estates-Holliswood,1047,295,54,55,42,53,12,38,993,296,339,121,654,240
QN07,Hollis,656,210,0,36,0,36,0,36,656,210,201,88,455,186
QN08,St. Albans,928,225,18,60,6,58,12,61,910,219,403,123,507,174
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1123,313,113,93,113,93,0,36,1010,304,424,169,586,210
QN12,Hammels-Arverne-Edgemere,2686,493,207,124,82,68,125,109,2479,472,894,212,1585,397
QN15,Far Rockaway-Bayswater,3333,568,267,154,191,134,76,82,3066,538,1428,307,1638,410
QN17,Forest Hills,2774,466,79,80,60,75,19,70,2695,461,1228,290,1467,323
QN18,Rego Park,1595,285,87,66,53,50,34,55,1508,278,499,148,1009,236
QN19,Glendale,3243,433,136,84,53,61,83,70,3107,429,1302,230,1805,352
QN20,Ridgewood,10412,731,546,175,321,133,225,120,9866,712,3926,424,5940,576
QN21,Middle Village,2141,431,12,52,12,52,0,51,2129,430,911,199,1218,339
QN22,Flushing,3175,571,173,132,157,130,16,56,3002,556,1290,295,1712,405
QN23,College Point,2503,443,111,81,55,59,56,61,2392,444,1176,260,1216,308
QN25,Corona,8737,801,641,215,300,137,341,158,8096,772,3292,425,4804,659
QN26,North Corona,11211,821,982,253,449,168,533,184,10229,778,4449,461,5780,644
QN27,East Elmhurst,3948,444,210,99,124,69,86,78,3738,426,1643,263,2095,321
QN28,Jackson Heights,14811,987,808,241,553,187,255,146,14003,980,5776,555,8227,779
QN29,Elmhurst,9985,954,397,159,202,108,195,114,9588,934,3363,442,6225,786
QN30,Maspeth,2126,318,184,116,90,72,94,100,1942,297,810,168,1132,240
QN31,Hunters Point-Sunnyside-West Maspeth,6052,616,243,114,144,94,99,88,5809,612,2260,361,3549,486
QN33,Cambria Heights,311,120,10,45,10,45,0,43,301,119,141,85,160,91
QN34,Queens Village,3021,399,102,78,94,78,8,56,2919,395,1239,221,1680,275
QN35,Briarwood-Jamaica Hills,2933,390,136,96,104,86,32,55,2797,387,1208,246,1589,318
QN37,Kew Gardens Hills,1330,265,124,81,59,64,65,69,1206,268,531,155,675,232
QN38,Pomonok-Flushing Heights-Hillcrest,1903,421,129,123,14,39,115,121,1774,394,641,217,1133,333
QN41,Fresh Meadows-Utopia,852,245,70,77,24,50,46,60,782,245,265,119,517,223
QN42,Oakland Gardens,559,181,0,34,0,34,0,34,559,181,275,120,284,135
QN43,Bellerose,1156,297,70,65,42,56,28,44,1086,290,423,146,663,226
QN44,Glen Oaks-Floral Park-New Hyde Park,570,227,52,75,52,75,0,32,518,215,227,97,291,165
