area_id,area_name,c21001g001,c21001g001_moe,c21001g002,c21001g002_moe,c21001g003,c21001g003_moe,c21001g004,c21001g004_moe,c21001g005,c21001g005_moe,c21001g006,c21001g006_moe,c21001g007,c21001g007_moe,c21001g008,c21001g008_moe,c21001g009,c21001g009_moe,c21001g010,c21001g010_moe,c21001g011,c21001g011_moe,c21001g012,c21001g012_moe,c21001g013,c21001g013_moe,c21001g014,c21001g014_moe,c21001g015,c21001g015_moe
BX27,Hunts Point,921,340,329,120,297,111,13,41,284,107,32,39,0,38,32,39,592,262,560,258,0,38,560,258,32,42,0,38,32,42
BX28,Van Cortlandt Village,1346,341,528,168,468,159,34,48,434,152,60,57,20,43,40,52,818,259,752,256,0,43,752,256,66,57,0,43,66,57
BX29,Spuyten Duyvil-Kingsbridge,786,268,403,168,353,159,66,86,287,138,50,55,17,38,33,46,383,170,352,164,0,38,352,164,31,45,0,38,31,45
BX30,Kingsbridge Heights,941,350,301,122,291,121,9,39,282,121,10,37,0,38,10,37,640,286,565,282,0,38,565,282,75,51,0,38,75,51
BX31,Allerton-Pelham Gardens,408,141,154,88,154,88,25,56,129,80,0,42,0,42,0,42,254,102,222,96,0,42,222,96,32,41,0,42,32,41
BX33,Longwood,471,181,168,82,156,79,0,36,156,79,12,37,0,36,12,37,303,127,250,113,0,36,250,113,53,49,0,36,53,49
BX34,Melrose South-Mott Haven North,598,259,181,102,168,101,9,41,159,101,13,43,0,42,13,43,417,198,360,183,0,42,360,183,57,59,0,42,57,59
BX35,Morrisania-Melrose,1068,282,438,152,408,149,23,44,385,142,30,44,0,40,30,44,630,185,582,176,0,40,582,176,48,46,0,40,48,46
BX36,University Heights-Morris Heights,1258,355,465,150,435,146,0,51,435,146,30,56,0,51,30,56,793,282,729,279,0,51,729,279,64,54,0,51,64,54
BX37,Van Nest-Morris Park-Westchester Square,707,211,357,133,357,133,0,42,357,133,0,42,0,42,0,42,350,115,317,116,0,42,317,116,33,45,0,42,33,45
BX39,Mott Haven-Port Morris,653,207,276,109,250,102,25,63,225,94,26,55,15,53,11,51,377,148,307,128,0,50,307,128,70,56,0,50,70,56
BX40,Fordham South,334,210,83,70,83,70,0,32,83,70,0,32,0,32,0,32,251,167,251,167,0,32,251,167,0,32,0,32,0,32
BX41,Mount Hope,923,249,472,170,371,153,0,51,371,153,101,77,0,51,101,77,451,142,343,120,0,51,343,120,108,87,0,51,108,87
BX43,Norwood,1140,408,406,223,325,179,12,43,313,178,81,67,5,37,76,69,734,228,687,208,0,41,687,208,47,56,0,41,47,56
BX44,Williamsbridge-Olinville,651,204,272,105,213,96,8,54,205,95,59,66,0,54,59,66,379,153,365,152,0,54,365,152,14,53,0,54,14,53
BX46,Parkchester,912,293,431,184,353,147,0,36,353,147,78,94,12,37,66,94,481,165,382,153,56,81,326,131,99,59,0,36,99,59
BX49,Pelham Parkway,355,144,213,114,206,113,10,39,196,113,7,38,0,38,7,38,142,77,135,76,0,38,135,76,7,38,0,38,7,38
BX52,Schuylerville-Throgs Neck-Edgewater Park,810,245,324,152,284,145,25,62,259,124,40,62,4,52,36,62,486,167,480,167,10,54,470,160,6,52,0,52,6,52
BX55,Soundview-Bruckner,1872,482,859,304,721,275,0,40,721,275,138,106,0,40,138,106,1013,263,938,261,0,40,938,261,75,53,0,40,75,53
BX59,Westchester-Unionport,798,246,399,167,394,167,23,40,371,165,5,33,0,36,5,33,399,180,360,177,0,36,360,177,39,49,0,36,39,49
BX62,Woodlawn-Wakefield,455,229,259,149,254,149,0,48,254,149,5,47,0,48,5,47,196,100,178,98,0,48,178,98,18,48,0,48,18,48
BX63,West Concourse,820,261,369,142,313,133,0,42,313,133,56,58,0,42,56,58,451,174,428,169,0,42,428,169,23,46,0,42,23,46
BX75,Crotona Park East,306,152,155,103,140,101,0,29,140,101,15,35,0,29,15,35,151,87,151,87,0,29,151,87,0,29,0,29,0,29
BX98,Rikers Island,187,75,187,75,187,75,0,17,187,75,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17,0,17
BX99,park-cemetery-etc-Bronx,45,55,15,37,15,37,0,32,15,37,0,32,0,32,0,32,30,40,30,40,0,32,30,40,0,32,0,32,0,32
MN01,Marble Hill-Inwood,1942,445,1040,310,904,301,12,42,892,300,136,93,0,41,136,93,902,232,730,210,0,41,730,210,172,84,0,41,172,84
MN03,Central Harlem North-Polo Grounds,2833,548,1251,344,1176,336,92,91,1084,331,75,94,56,92,19,61,1582,317,1479,310,0,59,1479,310,103,81,0,59,103,81
MN04,Hamilton Heights,6030,1068,3100,710,2910,686,20,53,2890,686,190,124,0,46,190,124,2930,562,2396,504,25,56,2371,496,534,180,0,46,534,180
MN06,Manhattanville,2037,575,1096,362,972,329,22,47,950,328,124,86,19,42,105,82,941,281,798,243,0,34,798,243,143,90,17,39,126,86
MN09,Morningside Heights,1766,360,742,227,702,222,15,48,687,221,40,53,0,45,40,53,1024,262,878,235,0,45,878,235,146,97,0,45,146,97
MN11,Central Harlem South,1134,312,541,194,517,191,4,43,513,190,24,49,10,46,14,48,593,207,527,200,0,45,527,200,66,57,0,45,66,57
MN12,Upper West Side,2736,496,1345,333,1102,302,17,71,1085,302,243,136,73,87,170,122,1391,295,1125,272,30,80,1095,267,266,128,0,68,266,128
MN13,Hudson Yards-Chelsea-Flat Iron-Union Square,2074,536,1097,417,1061,415,0,54,1061,415,36,69,0,54,36,69,977,264,893,250,0,54,893,250,84,89,0,54,84,89
MN14,Lincoln Square,1095,354,457,213,412,205,28,52,384,203,45,76,45,76,0,48,638,223,541,210,0,48,541,210,97,93,0,48,97,93
MN15,Clinton,1148,316,536,193,498,185,51,63,447,179,38,65,0,43,38,65,612,218,443,178,0,43,443,178,169,137,10,43,159,137
MN17,Midtown-Midtown South,689,205,287,150,262,145,0,51,262,145,25,63,0,51,25,63,402,150,393,149,0,51,393,149,9,51,0,51,9,51
MN19,Turtle Bay-East Midtown,709,213,322,162,267,153,15,52,252,151,55,72,55,72,0,48,387,134,354,128,0,48,354,128,33,58,0,48,33,58
MN20,Murray Hill-Kips Bay,816,297,447,187,424,180,0,42,424,180,23,45,7,41,16,46,369,174,349,170,0,42,349,170,20,45,0,42,20,45
MN21,Gramercy,454,230,227,133,217,132,30,52,187,124,10,34,10,34,0,34,227,134,207,129,0,34,207,129,20,41,0,34,20,41
MN22,East Village,947,247,546,197,546,197,31,61,515,185,0,40,0,40,0,40,401,143,386,141,0,40,386,141,15,42,0,40,15,42
MN23,West Village,1274,327,638,222,612,221,0,56,612,221,26,57,0,56,26,57,636,225,619,223,0,56,619,223,17,62,0,56,17,62
MN24,SoHo-TriBeCa-Civic Center-Little Italy,786,251,460,201,422,197,13,45,409,196,38,48,0,42,38,48,326,145,297,142,0,42,297,142,29,50,0,42,29,50
MN25,Battery Park City-Lower Manhattan,698,239,335,151,296,139,15,45,281,137,39,72,0,42,39,72,363,154,340,152,0,42,340,152,23,46,0,42,23,46
MN27,Chinatown,872,331,406,190,346,179,0,44,346,179,60,60,20,52,40,52,466,190,408,161,0,44,408,161,58,70,0,44,58,70
MN28,Lower East Side,2682,500,1204,310,1077,293,38,69,1039,289,127,97,14,58,113,86,1478,320,1117,257,0,56,1117,257,361,168,0,56,361,168
MN31,Lenox Hill-Roosevelt Island,1135,338,453,199,425,195,0,53,425,195,28,66,0,53,28,66,682,253,664,251,0,53,664,251,18,59,0,53,18,59
MN32,Yorkville,857,270,243,132,243,132,0,50,243,132,0,50,0,50,0,50,614,227,458,195,0,50,458,195,156,113,0,50,156,113
MN33,East Harlem South,1598,444,740,251,670,244,18,52,652,241,70,61,6,49,64,61,858,274,714,258,0,50,714,258,144,95,0,50,144,95
MN34,East Harlem North,1484,446,642,227,547,215,33,59,514,212,95,78,0,50,95,78,842,263,683,242,0,50,683,242,159,94,0,50,159,94
MN35,Washington Heights North,1749,414,849,254,695,224,35,63,660,221,154,98,0,52,154,98,900,252,808,244,0,52,808,244,92,76,0,52,92,76
MN36,Washington Heights South,3558,721,1575,381,1365,371,103,102,1262,349,210,102,29,55,181,101,1983,495,1718,438,0,56,1718,438,265,121,0,56,265,121
MN40,Upper East Side-Carnegie Hill,333,123,95,65,82,63,0,52,82,63,13,55,0,52,13,55,238,107,207,100,0,52,207,100,31,59,0,52,31,59
MN50,Stuyvesant Town-Cooper Village,391,198,227,168,227,168,0,22,227,168,0,22,0,22,0,22,164,90,138,85,0,22,138,85,26,34,0,22,26,34
MN99,park-cemetery-etc-Manhattan,33,46,28,45,28,45,0,32,28,45,0,32,0,32,0,32,5,31,5,31,0,32,5,31,0,32,0,32,0,32
QN01,South Jamaica,986,274,354,128,325,120,26,51,299,115,29,53,0,46,29,53,632,183,552,167,0,46,552,167,80,57,0,46,80,57
QN02,Springfield Gardens North,86,67,33,47,33,47,7,29,26,48,0,31,0,31,0,31,53,54,27,49,0,31,27,49,26,38,0,31,26,38
QN03,Springfield Gardens South-Brookville,410,200,164,112,145,108,28,40,117,97,19,34,8,29,11,34,246,135,176,113,0,29,176,113,70,60,0,29,70,60
QN05,Rosedale,308,136,103,68,94,67,0,35,94,67,9,30,0,35,9,30,205,108,180,102,0,35,180,102,25,42,0,35,25,42
QN06,Jamaica Estates-Holliswood,771,241,341,122,298,111,26,44,272,106,43,58,0,36,43,58,430,150,281,126,0,36,281,126,149,89,0,36,149,89
QN07,Hollis,779,228,336,127,311,124,0,36,311,124,25,38,11,36,14,36,443,146,363,130,0,36,363,130,80,56,0,36,80,56
QN08,St. Albans,747,214,356,122,282,105,47,67,235,96,74,67,48,64,26,61,391,134,279,123,0,59,279,123,112,69,0,59,112,69
QN10,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,238,124,78,61,73,60,1,34,72,61,5,36,5,36,0,36,160,88,119,84,0,36,119,84,41,39,0,36,41,39
