area_id,area_name,b08016001,b08016001_moe,b08016002,b08016002_moe,b08016003,b08016003_moe,b08016004,b08016004_moe,b08016005,b08016005_moe,b08016006,b08016006_moe,b08016007,b08016007_moe,b08016008,b08016008_moe,b08016009,b08016009_moe,b08016010,b08016010_moe,b08016011,b08016011_moe,b08016012,b08016012_moe,b08016013,b08016013_moe,b08016014,b08016014_moe,b08016015,b08016015_moe,b08016016,b08016016_moe,b08016017,b08016017_moe,b08016018,b08016018_moe,b08016019,b08016019_moe,b08016020,b08016020_moe,b08016021,b08016021_moe,b08016022,b08016022_moe,b08016023,b08016023_moe
QN29,Elmhurst,40386,1673,40386,1673,40016,1669,37979,1653,2037,356,323,123,54,66,269,119,36,71,36,71,0,60,11,61,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60,0,60
QN30,Maspeth,13194,657,13194,657,13055,657,12231,648,824,173,130,78,74,71,56,52,0,45,0,45,0,45,9,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45,0,45
QN31,Hunters Point-Sunnyside-West Maspeth,33498,1240,33498,1240,33149,1241,31390,1223,1759,320,284,142,199,129,85,86,37,66,19,62,18,61,28,71,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56
QN33,Cambria Heights,9653,552,9653,552,9556,546,7862,475,1694,293,97,79,22,44,75,71,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43,0,43
QN34,Queens Village,27804,1042,27804,1042,27660,1045,21954,962,5706,505,107,84,52,66,55,76,0,56,0,56,0,56,37,70,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56,0,56
QN35,Briarwood-Jamaica Hills,18499,859,18499,859,18350,856,16561,837,1789,356,92,67,12,44,80,67,0,47,0,47,0,47,57,80,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47,0,47
QN37,Kew Gardens Hills,15520,803,15520,803,15470,800,13690,793,1780,271,40,51,14,45,26,45,10,41,0,40,10,41,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40,0,40
QN38,Pomonok-Flushing Heights-Hillcrest,13521,792,13521,792,13340,785,11819,771,1521,319,160,119,67,65,93,105,21,40,0,37,21,40,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37
QN41,Fresh Meadows-Utopia,7860,612,7860,612,7814,601,6841,570,973,246,46,55,41,56,5,26,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27
QN42,Oakland Gardens,13086,626,13086,626,12846,636,10355,615,2491,369,172,135,51,68,121,102,0,34,0,34,0,34,68,108,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34,0,34
