GEOID10,TRBL_10,TRBL_STR_10,TRACT_10,BLOCK_10,BG,TRBG_10,WATER,URBAN_VILLAGE_NUMBER,URBAN_VILLAGE_NAME,URBAN_VILLAGE_TYPE,CRA_NO,CRA_NAME,NEIGHBORHOODS_INCLUDED,NEIGHBORHOOD_DISTRICT_NUMBER,NEIGHBORHOOD_DISTRICT_NAME
530330056005031,5600.5031,5600.5031,5600,5031,5,5600.5,0,0,Outside Villages,Outside Villages,12.1,Magnolia,"Magnolia, Discovery Park, Briarcliff, Lawton Park",12,Magnolia/Queen Anne
530330030001005,3000.1005,3000.1005,3000,1005,1,3000.1,0,0,Outside Villages,Outside Villages,10.2,Whittier Heights,"Whittier Heights, Loyal Heights, Crown Hill",10,Ballard
530330070005002,7000.5002,7000.5002,7000,5002,5,7000.5,0,412,Uptown,Urban Center,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330046001018,4600.1018,4600.1018,4600,1018,1,4600.1,0,0,Outside Villages,Outside Villages,9.4,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",9,Northwest
530330089001030,8900.103,8900.1030,8900,1030,1,8900.1,0,0,Outside Villages,Outside Villages,5.1,Madrona/Leschi,"Madrona, Leschi, Harrison/Denny-Blaine",5,Central
530330049005022,4900.5022,4900.5022,4900,5022,5,4900.5,0,0,Outside Villages,Outside Villages,11.1,Fremont,"Fremont, Wallingford, Northlake",11,Lake Union
530330009002016,900.2016,900.2016,900,2016,2,900.2,0,0,Outside Villages,Outside Villages,8.3,Cedar Park/Meadowbrook,"Cedar Park, Lake City, Meadowbrook, Matthews Beach",8,North
530330104024012,10402.4012,10402.4012,10402,4012,4,10402.4,0,0,Outside Villages,Outside Villages,3.5,Beacon Hill,Beacon Hill,3,Greater Duwamish
530330073002012,7300.2012,7300.2012,7300,2012,2,7300.2,0,414.1,Capitol Hill,Urban Center Village,11.3,Cascade/Eastlake,"South Lake Union, Eastlake, Cascade, Denny Triangle",11,Lake Union
530330042002026,4200.2026,4200.2026,4200,2026,2,4200.2,0,0,Outside Villages,Outside Villages,7.3,Ravenna/Bryant,"Ravenna, Bryant, Roosevelt, View Ridge, Hawthorne Hills, Windermere, University District",7,Northeast
530330118006008,11800.6008,11800.6008,11800,6008,6,11800.6,0,0,Outside Villages,Outside Villages,4.1,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330047004014,4700.4014,4700.4014,4700,4014,4,4700.4,0,303,Ballard,Hub Urban Village,10.4,Ballard,"Ballard, West Woodland, Adams",10,Ballard
530330080013024,8001.3024,8001.3024,8001,3024,3,8001.3,0,413.1,Belltown,Urban Center Village,13.1,Belltown,"Belltown, Denny Regrade",13,Downtown
530330101001014,10100.1014,10100.1014,10100,1014,1,10100.1,0,0,Outside Villages,Outside Villages,4.2,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330093003077,9300.3077,9300.3077,9300,3077,3,9300.3,0,502,Greater Duwamish,Manufacturing Industrial,3.3,Duwamish/SODO,"Duwamish, SODO, Pioneer Square",3,Greater Duwamish
530330059001005,5900.1005,5900.1005,5900,1005,1,5900.1,0,501,Ballard-Interbay-Northend,Manufacturing Industrial,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330031001015,3100.1015,3100.1015,3100,1015,1,3100.1,0,0,Outside Villages,Outside Villages,10.3,Sunset Hill/Loyal Heights,"Sunset Hill, Golden Gardens, Loyal Heights, Shilshole",10,Ballard
530330058014001,5801.4001,5801.4001,5801,4001,4,5801.4,0,501,Ballard-Interbay-Northend,Manufacturing Industrial,12.2,Interbay,Interbay,12,Magnolia/Queen Anne
530330050003015,5000.3015,5000.3015,5000,3015,3,5000.3,0,203,Wallingford,Residential Urban Village,11.2,Wallingford,"Wallingford, Meridian, Northlake, University District",11,Lake Union
530330087002013,8700.2013,8700.2013,8700,2013,2,8700.2,0,109,23rd & Union-Jackson,Residential Urban Village,5.3,Central Area/Squire Park,"Central Area, Mann, Minor, Squire Park",5,Central
530330028002006,2800.2006,2800.2006,2800,2006,2,2800.2,0,0,Outside Villages,Outside Villages,9.3,Greenwood/Phinney Ridge,"Greenwood, Phinney Ridge, Woodland Park, Crown Hill",9,Northwest
530330116005017,11600.5017,11600.5017,11600,5017,5,11600.5,0,0,Outside Villages,Outside Villages,1.2,Fauntleroy/Seaview,"Fauntleroy, Gatewood, Morgan Junction, Lincoln Park, Seaview, Fairmount Park",1,Southwest
530330058014062,5801.4062,5801.4062,5801,4062,4,5801.4,0,0,Outside Villages,Outside Villages,12.2,Interbay,Interbay,12,Magnolia/Queen Anne
530330071002002,7100.2002,7100.2002,7100,2002,2,7100.2,0,412,Uptown,Urban Center,12.3,Queen Anne,"Queen Anne, Lower Queen Anne, Uptown, Seattle Center, Westlake",12,Magnolia/Queen Anne
530330099004002,9900.4002,9900.4002,9900,4002,4,9900.4,1,502,Greater Duwamish,Manufacturing Industrial,2.1,North Delridge,"North Delridge, Pigeon Point, Avalon, Luna Park, Harbor Island",2,Delridge Neighborhoods
530330101001025,10100.1025,10100.1025,10100,1025,1,10100.1,0,0,Outside Villages,Outside Villages,4.2,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330119003007,11900.3007,11900.3007,11900,3007,3,11900.3,0,0,Outside Villages,Outside Villages,4.1,Rainier Beach,"Rainier Beach, Rainier View, Lake Ridge, Dunlap",4,Southeast
530330049002018,4900.2018,4900.2018,4900,2018,2,4900.2,0,302,Fremont,Hub Urban Village,11.1,Fremont,"Fremont, Wallingford, Northlake",11,Lake Union
530330041002033,4100.2033,4100.2033,4100,2033,2,4100.2,0,0,Outside Villages,Outside Villages,7.5,Laurelhurst/Sand Point,"Laurelhurst, Windermere, Sand Point, Hawthorne Hills, Magnuson Park",7,Northeast
530330075003008,7500.3008,7500.3008,7500,3008,3,7500.3,0,414.1,Capitol Hill,Urban Center Village,6.2,Capitol Hill,"Capitol Hill, Pike/Pine, Broadway, First Hill",6,East
530330013001001,1300.1001,1300.1001,1300,1001,1,1300.1,0,301,Northgate,Urban Center,9.2,Licton Springs,Licton Springs,9,Northwest
530330101002014,10100.2014,10100.2014,10100,2014,2,10100.2,0,111,Columbia City,Residential Urban Village,4.2,Columbia City,"Columbia City, Brighton, Mt. Baker, Lakewood, Genesee, Hillman City",4,Southeast
530330076002010,7600.201,7600.2010,7600,2010,2,7600.2,0,131,Madison-Miller,Residential Urban Village,6.4,Miller Park,"Madison-Miller, Miller Park, Capitol Hill, Stevens",6,East
530330095002008,9500.2008,9500.2008,9500,2008,2,9500.2,0,0,Outside Villages,Outside Villages,4.4,Mt. Baker/North Rainier,"Mt. Baker, North Rainier, Atlantic",4,Southeast
530330036001018,3600.1018,3600.1018,3600,1018,1,3600.1,0,202,Roosevelt,Residential Urban Village,9.4,Green Lake,"Green Lake, Meridian, Roosevelt, Woodland Park",9,Northwest
530330107012011,10701.2011,10701.2011,10701,2011,2,10701.2,0,0,Outside Villages,Outside Villages,2.2,High Point,"High Point, Delridge",2,Delridge Neighborhoods
530330005003007,500.3007,500.3007,500,3007,3,500.3,0,0,Outside Villages,Outside Villages,9.1,Broadview/Bitter Lake,"Broadview, Bitter Lake",9,Northwest
