area_id,area_name,b25074001,b25074001_moe,b25074002,b25074002_moe,b25074003,b25074003_moe,b25074004,b25074004_moe,b25074005,b25074005_moe,b25074006,b25074006_moe,b25074007,b25074007_moe,b25074008,b25074008_moe,b25074009,b25074009_moe,b25074010,b25074010_moe,b25074011,b25074011_moe,b25074012,b25074012_moe,b25074013,b25074013_moe,b25074014,b25074014_moe,b25074015,b25074015_moe,b25074016,b25074016_moe,b25074017,b25074017_moe,b25074018,b25074018_moe,b25074019,b25074019_moe,b25074020,b25074020_moe,b25074021,b25074021_moe,b25074022,b25074022_moe,b25074023,b25074023_moe,b25074024,b25074024_moe,b25074025,b25074025_moe,b25074026,b25074026_moe,b25074027,b25074027_moe,b25074028,b25074028_moe,b25074029,b25074029_moe,b25074030,b25074030_moe,b25074031,b25074031_moe,b25074032,b25074032_moe,b25074033,b25074033_moe,b25074034,b25074034_moe,b25074035,b25074035_moe,b25074036,b25074036_moe,b25074037,b25074037_moe,b25074038,b25074038_moe,b25074039,b25074039_moe,b25074040,b25074040_moe,b25074041,b25074041_moe,b25074042,b25074042_moe,b25074043,b25074043_moe,b25074044,b25074044_moe,b25074045,b25074045_moe,b25074046,b25074046_moe,b25074047,b25074047_moe,b25074048,b25074048_moe,b25074049,b25074049_moe,b25074050,b25074050_moe
31,Lower West Side,8969,386,1116,208,0,42,19,49,23,46,43,67,861,186,170,89,1769,270,18,44,97,81,97,88,98,83,1428,239,31,55,2257,292,105,69,184,91,387,135,407,135,1128,230,46,55,1687,248,440,134,583,164,290,111,185,79,97,61,92,67,1205,233,902,209,182,92,44,52,40,52,7,41,30,51,447,133,383,124,55,58,0,42,9,42,0,42,0,42,488,140,462,136,14,44,0,42,0,42,0,42,12,44
32,Loop,8300,652,1272,349,37,48,0,30,0,30,58,98,612,239,565,260,689,329,14,36,15,35,16,37,34,45,431,234,179,228,596,192,69,73,0,30,0,30,0,30,478,170,49,51,749,214,89,32,23,36,65,69,46,53,490,199,36,46,1309,311,100,83,242,139,263,142,246,105,389,193,69,78,1121,392,206,119,131,93,465,303,211,210,75,82,33,43,2564,462,1779,404,309,139,288,176,109,96,59,77,20,35
33,Near South Side,5806,473,1118,344,29,39,5,23,235,190,25,33,651,266,173,164,585,185,85,80,0,24,44,66,47,36,359,139,50,81,887,307,68,61,0,24,8,25,81,62,644,270,86,110,661,281,33,34,126,122,10,23,127,175,351,197,14,26,587,211,87,69,58,78,58,40,156,119,228,121,0,24,702,232,171,107,237,140,118,92,78,63,89,78,9,25,1266,343,813,298,340,179,68,67,0,24,0,24,45,77
34,Armour Square,3475,227,985,171,76,49,61,44,116,56,73,54,444,138,215,100,1000,182,171,82,100,75,225,93,92,65,380,138,32,31,513,154,76,56,19,30,69,68,108,71,215,98,26,35,368,114,110,73,79,51,19,25,47,45,80,55,33,35,300,108,137,65,51,47,28,38,0,27,49,59,35,49,205,115,65,47,35,46,14,30,25,47,0,27,66,87,104,68,100,67,0,27,0,27,0,27,0,27,4,26
35,Douglas,7148,281,1887,235,35,42,60,51,202,97,65,42,1001,175,524,147,1187,196,158,64,73,47,217,80,88,59,651,166,0,35,1244,211,117,73,39,44,112,69,235,95,737,161,4,34,944,188,26,38,186,95,242,115,254,97,236,93,0,35,1115,218,463,146,399,121,183,80,52,55,18,37,0,35,437,140,358,125,42,46,37,67,0,35,0,35,0,35,334,117,334,117,0,35,0,35,0,35,0,35,0,35
36,Oakland,2131,173,680,149,33,38,52,62,88,51,27,28,429,116,51,34,559,124,30,30,52,42,67,66,129,58,275,90,6,18,442,129,6,18,21,40,42,37,90,59,274,111,9,21,195,87,30,27,38,34,61,49,62,51,4,17,0,19,156,66,52,46,28,27,76,46,0,19,0,19,0,19,45,44,45,44,0,19,0,19,0,19,0,19,0,19,54,40,38,38,16,22,0,19,0,19,0,19,0,19
37,Fuller Park,768,111,315,89,0,16,21,37,28,27,18,22,175,69,73,62,238,85,9,17,52,40,6,14,5,13,166,78,0,16,75,58,4,13,0,16,20,34,0,16,51,51,0,16,83,53,0,16,0,16,21,21,27,43,26,26,9,17,19,17,5,14,3,12,0,16,7,16,0,16,4,13,29,26,21,26,4,13,0,16,0,16,0,16,4,13,9,19,9,19,0,16,0,16,0,16,0,16,0,16
38,Grand Boulevard,7111,330,1890,250,9,41,93,65,135,71,143,78,1252,209,258,107,1615,219,115,66,111,61,214,82,151,70,1019,198,5,42,1404,226,168,99,78,68,210,97,197,77,728,165,23,55,785,170,157,79,127,88,176,88,172,101,142,88,11,45,756,175,250,112,238,100,101,63,59,57,91,85,17,48,331,107,214,85,69,66,30,48,0,43,18,50,0,43,330,116,253,101,65,71,0,43,0,43,0,43,12,46
39,Kenwood,6261,340,1330,233,10,33,32,39,58,42,9,33,998,210,223,95,1377,256,58,57,50,42,131,73,88,68,1026,225,24,36,1081,206,66,57,90,62,182,86,147,83,583,150,13,35,919,180,129,72,150,76,188,83,118,64,318,122,16,37,737,192,232,113,196,98,162,94,61,73,76,85,10,33,418,149,241,119,126,87,38,40,13,34,0,31,0,31,399,107,391,106,8,32,0,31,0,31,0,31,0,31
40,Washington Park,3309,216,1145,181,28,40,2,26,83,58,47,36,812,169,173,76,687,156,23,34,6,26,33,36,43,43,570,150,12,31,642,148,108,79,26,32,55,47,80,52,373,112,0,27,377,104,64,51,114,62,68,48,61,43,70,56,0,27,269,97,108,65,85,57,29,33,39,41,0,27,8,28,150,69,122,64,9,29,19,39,0,27,0,27,0,27,39,40,39,40,0,27,0,27,0,27,0,27,0,27
