area_id,area_name,b06008001,b06008001_moe,b06008002,b06008002_moe,b06008003,b06008003_moe,b06008004,b06008004_moe,b06008005,b06008005_moe,b06008006,b06008006_moe,b06008007,b06008007_moe,b06008008,b06008008_moe,b06008009,b06008009_moe,b06008010,b06008010_moe,b06008011,b06008011_moe,b06008012,b06008012_moe,b06008013,b06008013_moe,b06008014,b06008014_moe,b06008015,b06008015_moe,b06008016,b06008016_moe,b06008017,b06008017_moe,b06008018,b06008018_moe,b06008019,b06008019_moe,b06008020,b06008020_moe,b06008021,b06008021_moe,b06008022,b06008022_moe,b06008023,b06008023_moe,b06008024,b06008024_moe,b06008025,b06008025_moe,b06008026,b06008026_moe,b06008027,b06008027_moe,b06008028,b06008028_moe,b06008029,b06008029_moe,b06008030,b06008030_moe
11,Jefferson Park,21805,961,7185,701,11053,726,1806,294,332,148,1429,236,12108,874,4837,553,5301,582,1065,227,130,105,775,170,1930,402,550,224,1065,270,142,72,74,72,99,53,356,133,94,77,162,87,67,61,0,29,33,39,7411,874,1704,415,4525,582,532,171,128,103,522,154
12,Forest Glen,14823,500,3824,436,9068,464,830,185,76,59,1025,197,9639,612,3188,410,5251,441,549,160,51,46,600,152,1697,265,290,128,1135,203,70,49,25,47,177,104,164,91,28,50,136,78,0,29,0,29,0,29,3323,395,318,136,2546,342,211,95,0,29,248,97
13,North Park,15254,777,5271,620,7047,567,1620,287,266,129,1050,220,6057,654,3138,475,1765,283,688,232,27,37,439,135,2074,326,591,187,1114,236,248,112,6,27,115,70,238,103,125,75,78,55,35,54,0,27,0,27,6885,766,1417,421,4090,534,649,187,233,125,496,165
14,Albany Park,42619,1577,18071,1132,18508,1138,3175,463,960,263,1905,350,12237,859,6634,678,3881,510,1167,269,118,78,437,143,5499,527,2377,387,2344,350,531,185,65,68,182,88,1211,413,527,230,244,108,266,181,82,87,92,120,23672,1574,8533,978,12039,1010,1211,272,695,231,1194,280
15,Portage Park,51400,1395,18604,1061,23821,1124,4569,537,1163,274,3243,374,25254,1280,12442,936,9038,754,2003,350,414,176,1357,228,4415,523,1585,330,2092,352,336,123,41,71,361,129,1742,427,546,249,649,253,303,166,92,93,152,101,19989,1286,4031,590,12042,974,1927,341,616,197,1373,263
16,Irving Park,44952,1531,17301,1159,20285,1185,4010,493,1186,259,2170,318,19699,1131,9690,816,7003,659,1725,298,372,151,909,199,6485,547,2160,328,3173,405,838,242,87,76,227,85,1268,275,385,144,627,217,151,83,73,77,32,59,17500,1334,5066,778,9482,921,1296,278,654,201,1002,226
17,Dunning,35878,1019,11403,747,18336,822,2809,377,428,120,2902,323,17803,986,7564,664,7063,576,1567,264,152,80,1457,222,2237,314,468,134,1277,238,143,90,82,60,267,89,1062,279,294,165,574,200,81,72,13,45,100,63,14776,1034,3077,491,9422,790,1018,250,181,78,1078,219
18,Montclare,9852,627,3315,425,4669,496,741,179,239,113,888,187,4386,543,2009,349,1593,340,387,136,102,68,295,98,762,206,250,103,320,146,13,22,32,53,147,76,414,161,89,73,114,64,87,62,6,18,118,94,4290,559,967,279,2642,430,254,100,99,73,328,124
19,Belmont Cragin,58320,1903,24344,1436,24672,1255,4696,510,2028,344,2580,321,21439,1334,13411,1074,5049,613,1495,295,690,199,794,176,3513,509,1247,309,1534,302,440,151,113,102,179,86,4205,556,1079,283,2096,380,635,195,76,76,319,113,29163,1598,8607,981,15993,1057,2126,368,1149,277,1288,255
20,Hermosa,19170,972,8379,738,7694,700,1786,385,547,186,764,211,7178,640,4960,550,1411,295,596,169,129,101,82,56,722,222,196,113,349,142,123,81,19,39,35,35,2662,518,819,278,1157,269,243,111,150,93,293,150,8608,923,2404,484,4777,603,824,270,249,131,354,144
21,Avondale,33396,1507,15661,1178,13567,1007,2051,343,734,198,1383,268,12756,920,8169,753,3218,477,782,201,178,111,409,141,3095,400,1509,292,1143,249,295,113,48,49,100,76,1327,361,388,201,620,215,168,107,23,49,128,95,16218,1410,5595,960,8586,864,806,233,485,158,746,213
22,Logan Square,61331,1568,32027,1332,21990,1127,4563,461,984,223,1767,275,25841,1194,17049,1032,5998,546,1916,298,290,119,588,168,15563,791,8856,674,5351,445,1111,224,89,81,156,109,4358,508,1412,289,1763,339,685,184,126,86,372,134,15569,1172,4710,612,8878,854,851,231,479,158,651,168
23,Humboldt Park,41049,1588,21964,1320,11890,955,3620,456,1663,330,1912,316,21169,1295,15003,1124,3693,553,1401,256,626,200,446,156,7017,662,2350,385,2002,355,1124,271,573,198,968,227,3808,521,1363,350,1350,319,646,216,156,98,293,121,9055,935,3248,593,4845,613,449,145,308,129,205,109
24,West Town,72661,1631,40030,1443,23974,1120,5313,487,1007,222,2337,311,31461,1319,20423,1124,7896,627,2132,308,393,147,617,158,24533,1024,14462,889,7930,606,1520,244,152,113,469,142,3559,488,1244,273,1112,299,750,200,130,94,323,114,13108,952,3901,539,7036,637,911,207,332,128,928,196
25,Austin,76778,2003,43303,1711,18610,1058,7293,579,2466,352,5106,479,52478,1859,36613,1587,9288,821,3912,465,1417,273,1248,248,19589,1031,5370,610,6579,598,2972,373,997,228,3671,411,803,233,205,122,400,172,148,103,15,65,35,64,3908,709,1115,335,2343,457,261,136,37,72,152,99
26,West Garfield Park,13790,900,8953,736,2139,380,1025,204,644,172,1029,181,10191,819,7524,680,1362,298,647,165,360,147,298,116,3487,379,1373,281,727,181,378,109,278,98,731,146,64,81,51,79,13,39,0,35,0,35,0,35,48,46,5,35,37,45,0,35,6,33,0,35
27,East Garfield Park,15365,956,9710,843,2669,400,1438,238,547,129,1001,182,11750,935,8518,801,1609,326,891,195,261,91,471,148,3131,341,929,205,897,202,496,134,286,100,523,117,50,47,38,47,9,39,0,38,0,38,3,37,434,177,225,129,154,92,51,63,0,38,4,38
28,Near West Side,47484,1395,26667,1260,14020,864,3999,405,1029,204,1769,242,24198,1190,15234,1061,5695,545,1999,321,520,150,750,182,14423,804,7174,681,4537,461,1492,227,346,119,874,173,596,194,398,157,115,78,56,64,12,54,15,53,8267,744,3861,541,3673,508,452,147,151,87,130,88
29,North Lawndale,26212,1275,16489,1069,4398,500,2228,303,1024,217,2073,279,18988,1153,14026,993,2518,388,1303,236,669,179,472,147,6301,541,2078,325,1454,284,873,187,355,126,1541,230,41,49,11,42,23,45,7,43,0,43,0,43,882,279,374,139,403,138,45,67,0,43,60,67
30,South Lawndale,54121,1718,29335,1307,18989,1066,2188,339,1635,300,1974,291,20456,1081,16676,982,2428,385,607,147,381,137,364,145,3382,491,1940,391,787,229,257,98,97,78,301,105,557,185,337,162,107,72,99,76,0,48,14,50,29726,1347,10382,923,15667,954,1225,273,1157,257,1295,247
31,Lower West Side,28610,1272,14995,1029,9514,781,2040,307,967,225,1094,211,9812,737,7090,674,1518,285,707,166,239,98,258,91,3399,426,2174,371,572,162,286,107,119,72,248,115,517,187,335,156,102,84,53,60,27,50,0,42,14882,1045,5396,705,7322,677,994,234,582,177,588,165
32,Loop,24874,1328,13012,1143,8992,911,2048,411,200,134,622,170,9231,788,5112,626,2703,458,1067,296,98,102,251,83,10147,1033,5473,788,3628,673,780,270,42,51,224,117,358,169,279,160,48,48,31,45,0,30,0,30,5138,690,2148,461,2613,517,170,106,60,79,147,111
33,Near South Side,17941,974,7881,824,6409,734,2197,394,337,200,1117,278,7576,714,4029,615,1959,335,918,248,277,196,393,150,6396,918,2739,708,2324,527,952,311,22,26,359,123,125,78,92,73,14,26,19,29,0,24,0,24,3844,657,1021,351,2112,464,308,131,38,36,365,261
34,Armour Square,11819,647,4052,478,5628,590,723,212,238,102,1178,225,3621,450,2319,385,846,215,249,93,41,33,166,73,1120,234,366,131,388,157,162,81,32,35,172,83,187,124,76,83,65,73,0,27,0,27,46,59,6891,602,1291,327,4329,539,312,174,165,93,794,189
35,Douglas,16450,769,9098,699,2985,402,2445,295,802,190,1120,184,8420,585,4768,453,1271,267,1358,229,627,171,396,114,4689,422,2213,315,846,210,873,169,97,56,660,143,223,132,154,91,13,41,21,40,35,65,0,35,3118,558,1963,466,855,211,193,96,43,49,64,56
36,Oakland,4666,380,2293,327,1145,254,665,169,212,82,351,112,3225,336,1870,296,715,222,364,114,152,72,124,73,1075,187,328,96,249,89,283,126,24,27,191,85,35,39,0,19,17,31,18,28,0,19,0,19,331,154,95,83,164,92,0,19,36,34,36,43
37,Fuller Park,2290,369,1205,271,456,164,229,78,180,70,220,69,1599,356,1045,270,278,132,99,44,114,59,63,38,557,123,123,61,145,78,66,37,66,48,157,62,9,19,9,19,0,16,0,16,0,16,0,16,125,79,28,45,33,37,64,63,0,16,0,16
38,Grand Boulevard,17898,836,9637,704,3436,500,2311,304,968,192,1546,222,12631,734,7976,651,2080,391,1421,252,629,157,525,130,4615,418,1470,242,1121,235,764,147,311,102,949,176,108,64,44,54,0,43,64,55,0,43,0,43,544,169,147,81,235,130,62,51,28,49,72,70
39,Kenwood,15085,734,7462,569,4236,518,1902,258,559,157,926,190,8401,676,4868,487,1815,331,1052,202,291,104,375,134,4391,424,1698,315,1291,255,705,157,205,97,492,119,181,116,58,69,76,68,42,69,0,31,5,30,2112,352,838,232,1054,269,103,80,63,68,54,44
40,Washington Park,8077,584,5223,524,1010,245,841,157,376,111,627,143,6319,556,4641,521,650,178,610,131,186,88,232,92,1607,208,532,139,308,119,212,78,174,76,381,108,38,46,8,25,20,44,10,30,0,27,0,27,113,69,42,44,32,37,9,29,16,28,14,27
41,Hyde Park,23533,1036,12626,964,7095,522,2424,321,456,155,932,182,9016,611,5003,476,1951,287,1339,252,286,133,437,125,9720,726,5511,633,2895,338,803,187,90,64,421,129,412,150,225,90,74,60,99,107,14,43,0,38,4385,471,1887,306,2175,340,183,72,66,68,74,53
42,Woodlawn,19613,909,10847,806,3573,506,2702,332,1089,208,1402,226,13015,868,8393,753,1870,377,1515,253,746,176,491,140,5362,450,1956,281,1190,232,1032,203,304,114,880,184,105,72,72,66,26,44,0,36,7,36,0,36,1131,251,426,129,487,163,155,98,32,53,31,48
43,South Shore,38616,1516,21060,1234,6803,759,5080,511,2308,377,3365,407,27563,1444,17622,1162,3905,562,3050,397,1430,302,1556,297,9443,682,2922,441,2208,375,1807,297,806,239,1700,280,153,98,57,76,29,57,49,65,13,45,5,43,1457,413,459,183,661,303,174,108,59,64,104,83
44,Chatham,26425,1174,13134,880,5760,635,3314,428,1550,283,2667,346,19671,1176,11287,859,3682,528,2528,401,1102,240,1072,250,6302,545,1639,297,1957,347,739,188,372,137,1595,268,199,147,117,127,30,55,16,43,36,68,0,37,253,131,91,73,91,73,31,41,40,53,0,37
45,Avalon Park,8143,558,3688,470,2175,347,1002,236,439,163,839,204,5766,557,3337,448,1181,245,685,191,326,149,237,119,2195,272,313,119,871,199,306,118,113,70,592,174,13,24,13,24,0,19,0,19,0,19,0,19,169,92,25,31,123,74,11,21,0,19,10,22
46,South Chicago,22509,1160,11305,948,6254,723,2277,339,827,234,1846,299,14144,1008,8844,855,2865,465,1314,250,498,169,623,164,4696,474,1403,295,1511,345,731,197,134,83,917,212,262,148,109,118,148,94,5,37,0,37,0,37,3407,598,949,348,1730,352,227,106,195,121,306,118
47,Burnside,2652,368,1317,300,679,177,322,100,139,95,195,76,1932,403,1208,317,396,172,153,79,134,94,41,37,610,151,66,69,251,100,134,76,5,10,154,72,10,18,10,18,0,11,0,11,0,11,0,11,100,88,33,52,32,45,35,37,0,11,0,11
48,Calumet Heights,11891,587,4433,579,4082,473,1638,289,386,160,1352,223,7580,604,3914,542,2052,355,967,238,272,136,375,136,3604,361,390,143,1616,307,551,160,114,78,933,210,51,65,0,27,0,27,51,65,0,27,0,27,656,263,129,146,414,178,69,60,0,27,44,47
49,Roseland,36871,1212,17702,985,9373,763,4753,448,1673,300,3370,355,25700,1149,15095,878,5419,643,2760,338,1149,249,1277,276,10374,674,2384,367,3610,469,1917,306,452,160,2011,246,90,69,33,49,39,52,0,41,0,41,18,49,707,213,190,98,305,129,76,72,72,67,64,56
50,Pullman,5773,392,2897,339,1305,249,756,180,251,114,564,121,3967,359,2372,291,751,209,487,146,199,107,158,62,1533,208,451,143,407,123,258,95,40,34,377,112,27,34,10,22,13,25,4,25,0,19,0,19,246,135,64,85,134,89,7,18,12,22,29,29
51,South Deering,12771,711,5910,633,4287,482,1435,240,405,133,734,165,7921,676,4887,556,1778,365,843,205,221,97,192,82,2574,342,500,188,1148,232,487,168,97,81,342,113,59,66,9,28,25,40,0,25,25,45,0,25,2217,413,514,223,1336,304,105,57,62,48,200,88
52,East Side,17092,863,6704,700,7583,584,1248,232,490,151,1067,194,8316,671,4412,538,2479,349,711,178,183,85,531,146,1351,247,482,147,578,170,76,59,20,30,195,80,307,162,59,63,167,100,36,58,0,29,45,53,7118,756,1751,506,4359,488,425,138,287,122,296,110
