area_id,area_name,b09002001,b09002001_moe,b09002002,b09002002_moe,b09002003,b09002003_moe,b09002004,b09002004_moe,b09002005,b09002005_moe,b09002006,b09002006_moe,b09002007,b09002007_moe,b09002008,b09002008_moe,b09002009,b09002009_moe,b09002010,b09002010_moe,b09002011,b09002011_moe,b09002012,b09002012_moe,b09002013,b09002013_moe,b09002014,b09002014_moe,b09002015,b09002015_moe,b09002016,b09002016_moe,b09002017,b09002017_moe,b09002018,b09002018_moe,b09002019,b09002019_moe,b09002020,b09002020_moe
59,McKinley Park,3969,524,2920,482,371,139,420,147,172,83,992,241,965,214,1049,312,308,178,93,76,29,40,34,54,110,101,42,47,741,266,72,56,42,41,70,58,227,121,330,143
60,Bridgeport,6337,661,3830,490,604,167,333,111,161,82,1300,240,1432,280,2507,500,845,301,132,80,18,43,23,42,256,113,416,170,1662,417,133,79,173,95,151,73,530,208,675,210
61,New City,11205,936,6513,733,980,227,870,194,297,122,2368,352,1998,336,4692,685,944,297,225,105,121,83,78,73,290,156,230,121,3748,643,530,208,449,143,180,99,1220,259,1369,297
62,West Elsdon,4580,640,3115,599,415,132,153,71,194,97,1265,281,1088,301,1465,414,654,306,181,130,66,65,42,43,177,116,188,140,811,315,52,58,132,114,61,60,247,110,319,159
63,Gage Park,10491,810,7692,816,970,237,764,190,448,155,2438,394,3072,442,2799,552,649,237,160,103,39,48,25,47,284,136,141,83,2150,522,387,178,88,92,140,93,705,217,830,237
64,Clearing,5149,512,3200,516,472,180,366,144,133,68,1177,297,1052,237,1949,472,946,375,233,140,141,126,72,78,404,220,96,73,1003,307,224,151,59,72,38,45,287,131,395,149
65,West Lawn,8958,746,7021,724,901,262,571,162,381,160,2487,353,2681,400,1937,458,518,246,184,133,56,68,84,72,118,91,76,96,1419,405,207,121,133,84,13,36,483,192,583,211
66,Chicago Lawn,13550,1136,6379,770,747,237,530,178,314,130,2153,376,2635,427,7171,969,1191,362,299,156,158,92,87,73,231,115,416,174,5980,911,783,232,840,240,210,101,2028,390,2119,435
67,West Englewood,6356,722,1475,377,213,121,148,105,71,66,413,143,630,177,4881,665,504,194,49,58,160,92,45,61,159,94,91,79,4377,635,325,132,320,138,164,76,1319,287,2249,364
68,Englewood,5938,729,611,220,76,68,36,58,48,53,233,117,218,108,5327,721,387,250,33,51,81,90,19,47,129,103,125,116,4940,702,551,171,483,168,186,93,1535,315,2185,398
69,Greater Grand Crossing,6405,731,794,263,141,111,65,60,46,58,267,136,275,132,5611,702,512,220,68,72,81,73,0,38,72,70,291,165,5099,676,487,148,528,160,256,112,1706,319,2122,390
70,Ashburn,9782,869,6913,824,920,243,463,168,241,137,2342,367,2947,470,2869,626,537,284,102,93,33,53,90,91,192,113,120,100,2332,576,119,118,329,179,67,71,934,314,883,258
71,Auburn Gresham,9382,937,2017,493,150,92,96,70,67,61,724,224,980,313,7365,844,505,304,121,171,10,47,18,52,120,89,236,138,6860,843,814,255,824,237,303,110,2288,416,2631,453
72,Beverly,5152,372,4387,360,574,147,537,124,327,88,1570,219,1379,235,765,259,214,133,0,29,0,29,36,61,97,79,81,59,551,225,105,87,26,36,0,29,123,75,297,140
73,Washington Heights,3721,546,1247,335,133,87,165,92,93,69,280,126,576,187,2474,494,158,142,111,130,0,33,0,33,30,54,17,34,2316,475,148,98,135,77,101,85,816,219,1116,323
74,Mount Greenwood,4506,429,4003,417,592,166,484,166,136,72,1399,228,1392,285,503,236,244,186,0,25,14,31,0,25,113,95,117,108,259,146,15,31,36,48,0,25,157,113,51,43
75,Morgan Park,4500,593,2732,409,330,139,230,102,195,105,1117,243,860,215,1768,491,150,118,57,82,0,31,0,31,55,82,38,49,1618,479,38,40,91,64,83,66,536,186,870,386
76,O'Hare,2463,712,2094,709,910,261,336,195,64,67,553,333,231,124,369,232,93,144,0,38,0,38,46,78,47,78,0,38,276,189,45,61,27,54,0,38,104,100,100,144
77,Edgewater,6116,722,4044,588,1282,311,541,159,149,91,1160,302,912,249,2072,507,441,259,67,93,138,154,44,86,83,91,109,95,1631,444,290,138,175,150,10,48,486,210,670,284
