Detailed Occupation by Median Earnings for the Full-time, Year-round Civilian Employed Male Population
------------------------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Male Population 16 Years and Over With Earnings

B24122358  Sheet metal workers
B24122359  Structural iron and steel workers
B24122360  Helpers, construction trades
B24122361  Construction and building inspectors
B24122362  Elevator installers and repairers
B24122363  Fence erectors
B24122364  Hazardous materials removal workers
B24122365  Highway maintenance workers
B24122366  Rail-track laying and maintenance equipment operators
B24122367  Septic tank servicers and sewer pipe cleaners
B24122368  Miscellaneous construction and related workers, including solar photovoltaic installers
B24122369  Derrick, rotary drill, and service unit operators, oil, gas, and mining
B24122370  Earth drillers, except oil and gas
B24122371  Explosives workers, ordnance handling experts, and blasters
B24122372  Mining machine operators
B24122373  Roof bolters, mining
B24122374  Roustabouts, oil and gas
B24122375  Helpers--extraction workers
B24122376  Other extraction workers
B24122377  First-line supervisors of mechanics, installers, and repairers
B24122378  Computer, automated teller, and office machine repairers
B24122379  Radio and telecommunications equipment installers and repairers
B24122380  Avionics technicians
B24122381  Electric motor, power tool, and related repairers
B24122382  Electrical and electronics installers and repairers, transportation equipment
B24122383  Electrical and electronics repairers, industrial and utility
B24122384  Electronic equipment installers and repairers, motor vehicles
B24122385  Electronic home entertainment equipment installers and repairers
B24122386  Security and fire alarm systems installers
B24122387  Aircraft mechanics and service technicians
B24122388  Automotive body and related repairers
B24122389  Automotive glass installers and repairers
B24122390  Automotive service technicians and mechanics
B24122391  Bus and truck mechanics and diesel engine specialists
B24122392  Heavy vehicle and mobile equipment service technicians and mechanics
B24122393  Small engine mechanics
B24122394  Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers
B24122395  Control and valve installers and repairers
B24122396  Heating, air conditioning, and refrigeration mechanics and installers
B24122397  Home appliance repairers
B24122398  Industrial and refractory machinery mechanics
B24122399  Maintenance and repair workers, general
B24122400  Maintenance workers, machinery
B24122401  Millwrights
B24122402  Electrical power-line installers and repairers
B24122403  Telecommunications line installers and repairers
B24122404  Precision instrument and equipment repairers
B24122405  Coin, vending, and amusement machine servicers and repairers
B24122406  Commercial divers
B24122407  Locksmiths and safe repairers
B24122408  Manufactured building and mobile home installers
B24122409  Riggers
B24122410  Signal and track switch repairers
B24122411  Helpers--installation, maintenance, and repair workers
B24122412  Other installation, maintenance, and repair workers, including wind turbine service technicians
B24122413  First-line supervisors of production and operating workers
B24122414  Aircraft structure, surfaces, rigging, and systems assemblers
B24122415  Electrical, electronics, and electromechanical assemblers
B24122416  Engine and other machine assemblers
B24122417  Structural metal fabricators and fitters
B24122418  Miscellaneous assemblers and fabricators
B24122419  Bakers
B24122420  Butchers and other meat, poultry, and fish processing workers
B24122421  Food and tobacco roasting, baking, and drying machine operators and tenders
B24122423  Food cooking machine operators and tenders
B24122424  Food processing workers, all other
B24122425  Computer control programmers and operators
B24122426  Extruding and drawing machine setters, operators, and tenders, metal and plastic
B24122427  Forging machine setters, operators, and tenders, metal and plastic
