area_id,area_name,c27001b001,c27001b001_moe,c27001b002,c27001b002_moe,c27001b003,c27001b003_moe,c27001b004,c27001b004_moe,c27001b005,c27001b005_moe,c27001b006,c27001b006_moe,c27001b007,c27001b007_moe,c27001b008,c27001b008_moe,c27001b009,c27001b009_moe,c27001b010,c27001b010_moe
30,South Lawndale,1997,425,286,153,283,153,3,47,1300,300,850,223,450,146,411,129,411,129,0,48
31,Lower West Side,1229,324,206,126,202,126,4,41,844,242,638,200,206,98,179,110,179,110,0,42
32,Loop,2883,693,179,178,179,178,0,30,2447,643,2202,641,245,111,257,110,247,111,10,33
33,Near South Side,5519,754,723,278,717,278,6,23,3930,605,3308,515,622,233,866,184,866,184,0,24
34,Armour Square,1717,325,336,181,306,179,30,41,956,265,369,114,587,209,425,96,425,96,0,27
35,Douglas,13217,740,2654,344,2538,334,116,91,8330,563,6419,495,1911,326,2233,210,2233,210,0,35
36,Oakland,5845,498,1757,247,1694,247,63,48,3453,354,2546,305,907,256,635,121,622,116,13,25
37,Fuller Park,2678,523,734,319,685,317,49,47,1493,306,1013,266,480,125,451,98,445,98,6,14
38,Grand Boulevard,21082,1115,5682,672,5321,680,361,191,12694,726,9399,595,3295,459,2706,243,2696,242,10,44
39,Kenwood,12807,873,2943,477,2795,461,148,102,8059,624,6369,570,1690,311,1805,222,1800,222,5,31
40,Washington Park,10931,822,3691,474,3498,480,193,114,6247,525,4526,450,1721,296,993,184,979,183,14,33
41,Hyde Park,8927,710,1315,322,1244,318,71,87,6198,519,5079,490,1119,244,1414,196,1365,195,49,58
42,Woodlawn,21385,1273,5686,723,5410,720,276,153,13033,810,9323,642,3710,462,2666,290,2559,285,107,99
43,South Shore,44766,2031,10662,1085,9874,1066,788,297,28879,1360,20214,1132,8665,861,5225,423,5192,423,33,55
44,Chatham,32535,1610,8115,907,7636,883,479,214,19369,1062,14179,885,5190,690,5051,383,4934,379,117,109
45,Avalon Park,9324,755,1901,353,1803,341,98,111,5598,525,4102,453,1496,393,1825,198,1789,200,36,37
46,South Chicago,21552,1529,5907,786,5775,780,132,91,12807,999,9630,752,3177,531,2838,292,2773,285,65,66
47,Burnside,3488,687,1048,411,994,413,54,55,1990,330,1279,235,711,284,450,70,450,70,0,11
48,Calumet Heights,13632,806,2833,431,2714,427,119,82,7667,530,6035,458,1632,372,3132,229,3132,229,0,27
49,Roseland,43527,1646,10569,869,10223,865,346,141,25662,1087,18005,889,7657,730,7296,372,7253,370,43,58
50,Pullman,6179,549,1564,346,1549,347,15,29,3662,335,2761,286,901,225,953,147,953,147,0,19
51,South Deering,10123,824,2621,520,2530,510,91,75,6108,528,4161,465,1947,414,1394,197,1300,168,94,118
52,East Side,746,377,388,276,331,266,57,85,341,143,246,111,95,94,17,31,17,31,0,29
53,West Pullman,28937,1623,8352,968,7971,949,381,259,16724,1030,12109,768,4615,697,3861,324,3851,324,10,38
54,Riverdale,6678,731,3001,456,2705,482,296,241,3192,385,2281,326,911,266,485,109,485,109,0,16
55,Hegewisch,1097,616,380,272,341,248,39,65,700,464,416,341,284,205,17,28,17,28,0,19
56,Garfield Ridge,2219,532,617,328,552,321,65,69,1218,280,928,265,290,151,384,73,384,73,0,42
57,Archer Heights,212,219,74,116,74,116,0,27,138,143,126,142,12,31,0,27,0,27,0,27
58,Brighton Park,573,297,262,172,249,167,13,60,307,150,225,125,82,68,4,43,4,43,0,43
59,McKinley Park,506,284,163,132,149,131,14,30,343,183,166,113,177,130,0,25,0,25,0,25
60,Bridgeport,645,200,168,106,137,109,31,49,412,142,301,114,111,85,65,64,65,64,0,37
61,New City,12790,1386,4337,683,4028,659,309,185,7590,933,4694,530,2896,573,863,182,814,172,49,68
62,West Elsdon,513,298,112,81,112,81,0,27,401,282,280,185,121,106,0,27,0,27,0,27
63,Gage Park,1821,417,504,205,342,164,162,130,1147,265,598,196,549,182,170,91,170,91,0,41
64,Clearing,151,121,16,34,16,34,0,31,119,109,96,85,23,38,16,37,16,37,0,31
65,West Lawn,1057,317,245,153,220,151,25,42,622,174,503,173,119,73,190,105,189,106,1,30
66,Chicago Lawn,29440,1853,9555,1098,9035,1075,520,222,17838,1079,12675,927,5163,654,2047,292,2029,292,18,50
67,West Englewood,33570,1572,9474,854,8814,837,660,214,19923,1040,12146,762,7777,689,4173,319,4113,313,60,64
68,Englewood,28056,1521,8590,835,8049,824,541,214,16089,984,10941,735,5148,580,3377,334,3306,333,71,59
69,Greater Grand Crossing,31712,1513,9076,859,8548,828,528,211,18616,953,12862,775,5754,628,4020,309,3982,308,38,51
70,Ashburn,21886,1550,5727,857,5578,859,149,104,14647,991,12383,897,2264,483,1512,229,1512,229,0,41
71,Auburn Gresham,48872,1886,13240,1046,12445,1037,795,236,28341,1258,19541,1015,8800,724,7291,451,7168,465,123,98
72,Beverly,7422,731,1894,339,1832,334,62,86,4534,498,3981,424,553,261,994,202,994,202,0,29
73,Washington Heights,25328,1142,5572,586,5225,598,347,185,14603,805,10825,734,3778,557,5153,308,5130,310,23,39
74,Mount Greenwood,937,317,215,166,204,165,11,31,678,216,602,217,76,52,44,56,44,56,0,25
75,Morgan Park,14462,1065,3443,613,3295,599,148,107,8744,693,7008,656,1736,399,2275,208,2265,210,10,33
76,O'Hare,200,125,0,38,0,38,0,38,200,125,185,117,15,43,0,38,0,38,0,38
77,Edgewater,7988,889,973,347,785,291,188,196,6218,730,3641,537,2577,496,797,209,694,192,103,109
