area_id,area_name,b11002b001,b11002b001_moe,b11002b002,b11002b002_moe,b11002b003,b11002b003_moe,b11002b004,b11002b004_moe,b11002b005,b11002b005_moe,b11002b006,b11002b006_moe,b11002b007,b11002b007_moe,b11002b008,b11002b008_moe,b11002b009,b11002b009_moe,b11002b010,b11002b010_moe,b11002b011,b11002b011_moe,b11002b012,b11002b012_moe
21,Avondale,1352,540,1110,524,856,470,856,470,0,38,0,38,0,38,0,38,254,238,254,238,0,38,242,134
22,Logan Square,4972,889,3917,870,1574,568,1574,568,0,57,217,170,208,168,9,56,2126,658,2076,643,50,81,1055,262
23,Humboldt Park,23489,1815,20644,1855,5387,1060,5310,1055,77,79,2165,812,2005,739,160,111,13092,1649,12762,1618,330,147,2845,471
24,West Town,7167,1036,5447,1019,1581,569,1581,569,0,62,492,285,432,262,60,72,3374,816,3309,816,65,80,1720,327
25,Austin,84268,2683,73845,2915,21619,1905,21222,1869,397,210,7078,1187,6371,1040,707,251,45148,2772,43286,2657,1862,380,10423,754
26,West Garfield Park,18581,1306,16730,1366,2775,632,2761,630,14,47,1891,698,1690,611,201,112,12064,1254,11480,1211,584,153,1851,252
27,East Garfield Park,19788,1360,17186,1404,3714,727,3680,721,34,45,1718,549,1480,472,238,131,11754,1325,11234,1281,520,197,2602,338
28,Near West Side,15657,1135,11182,1179,2353,511,2353,511,0,52,1353,622,1214,569,139,128,7476,949,7394,930,82,76,4475,417
29,North Lawndale,33031,1820,29675,1893,6089,969,6056,963,33,52,2243,634,1996,572,247,104,21343,1734,20368,1655,975,269,3356,390
30,South Lawndale,2021,462,1463,421,532,341,532,341,0,48,143,132,127,118,16,50,788,257,777,254,11,51,558,203
31,Lower West Side,1175,363,606,297,144,130,144,130,0,42,70,111,56,91,14,45,392,251,377,246,15,46,569,186
32,Loop,2481,656,903,461,577,408,577,408,0,30,0,30,0,30,0,30,326,230,326,230,0,30,1578,555
33,Near South Side,5487,750,2870,709,1092,445,1092,445,0,24,534,358,534,358,0,24,1244,609,1117,493,127,152,2617,367
34,Armour Square,1721,326,1161,342,137,114,137,114,0,27,64,76,64,76,0,27,960,337,954,336,6,26,560,120
35,Douglas,13007,727,8115,779,2016,441,1983,432,33,44,704,283,670,265,34,49,5395,657,5286,640,109,70,4892,382
36,Oakland,5768,516,4614,571,1338,444,1326,442,12,25,209,145,209,145,0,19,3067,536,3022,529,45,48,1154,172
37,Fuller Park,2666,526,2052,541,467,287,467,287,0,16,206,147,206,147,0,16,1379,499,1346,496,33,29,614,117
38,Grand Boulevard,20685,1105,15141,1146,3720,688,3671,687,49,87,978,366,968,365,10,44,10443,1112,9895,1039,548,239,5544,475
39,Kenwood,12927,901,8741,948,3018,636,3008,635,10,33,644,286,579,248,65,90,5079,753,4875,721,204,87,4186,374
40,Washington Park,10893,821,9036,879,1408,450,1408,450,0,27,812,285,712,253,100,64,6816,839,6617,811,199,82,1857,238
41,Hyde Park,8709,721,4896,715,2177,526,2164,524,13,42,305,213,237,162,68,68,2414,521,2340,503,74,66,3813,411
42,Woodlawn,21370,1273,15850,1350,3942,843,3917,842,25,52,1129,421,1005,361,124,86,10779,1146,10571,1111,208,97,5520,514
43,South Shore,44726,2047,31992,2182,8745,1178,8698,1164,47,76,3328,743,2900,644,428,180,19919,1942,19087,1862,832,270,12734,788
44,Chatham,32581,1630,25463,1734,8436,1114,8381,1106,55,84,2174,562,2026,526,148,86,14853,1577,14566,1555,287,133,7118,574
45,Avalon Park,9308,761,7677,812,3213,614,3182,602,31,39,914,378,784,311,130,97,3550,707,3387,643,163,119,1631,297
46,South Chicago,21803,1541,18232,1613,6134,1135,6120,1135,14,41,1732,602,1689,584,43,52,10366,1387,10124,1361,242,125,3571,431
47,Burnside,3466,690,3157,726,1174,444,1174,444,0,11,367,164,367,164,0,11,1616,652,1607,657,9,18,309,83
48,Calumet Heights,13508,799,11739,866,5997,905,5980,901,17,36,623,305,596,303,27,39,5119,851,4864,802,255,128,1769,229
49,Roseland,43484,1671,37632,1813,14174,1432,14164,1431,10,41,3022,682,2862,641,160,103,20436,1691,19526,1629,910,230,5852,570
50,Pullman,6206,559,5200,634,1371,415,1338,404,33,39,542,310,515,293,27,34,3287,659,3243,654,44,41,1006,206
51,South Deering,10418,870,9135,958,3533,767,3533,767,0,25,364,256,345,247,19,35,5238,858,5191,852,47,64,1283,235
52,East Side,960,456,829,441,281,251,281,251,0,29,0,29,0,29,0,29,548,368,548,368,0,29,131,127
53,West Pullman,28758,1700,25506,1785,8698,1392,8635,1389,63,77,2275,584,2119,535,156,101,14533,1454,14090,1400,443,184,3252,618
54,Riverdale,6637,728,5959,745,578,369,578,369,0,16,697,357,648,327,49,54,4684,799,4603,780,81,64,678,193
55,Hegewisch,1136,655,1000,645,0,19,0,19,0,19,474,514,474,514,0,19,526,427,526,427,0,19,136,132
56,Garfield Ridge,2328,559,2018,559,992,404,992,404,0,42,57,76,57,76,0,42,969,477,953,477,16,43,310,176
57,Archer Heights,210,219,199,218,122,191,122,191,0,27,0,27,0,27,0,27,77,128,77,128,0,27,11,31
58,Brighton Park,664,402,625,400,115,183,115,183,0,43,106,108,106,108,0,43,404,346,273,213,131,156,39,60
59,McKinley Park,430,277,420,276,50,79,50,79,0,25,105,142,78,102,27,47,265,228,245,221,20,37,10,27
60,Bridgeport,641,221,516,229,315,184,315,184,0,37,0,37,0,37,0,37,201,129,194,127,7,37,125,71
61,New City,12936,1425,11212,1209,2665,671,2665,671,0,47,1323,408,1127,348,196,130,7224,1098,6877,1067,347,138,1724,865
62,West Elsdon,435,288,423,288,122,175,122,175,0,27,0,27,0,27,0,27,301,234,301,234,0,27,12,26
63,Gage Park,1863,395,1454,393,371,237,371,237,0,41,122,131,116,129,6,41,961,391,929,376,32,53,409,159
64,Clearing,140,130,132,130,67,88,67,88,0,31,0,31,0,31,0,31,65,100,44,71,21,43,8,32
65,West Lawn,1111,331,814,336,382,231,338,211,44,64,25,51,25,51,0,34,407,260,407,260,0,34,297,113
66,Chicago Lawn,29294,1859,25880,1905,7445,1173,7359,1152,86,105,2291,717,2099,674,192,113,16144,1692,15553,1639,591,203,3414,475
67,West Englewood,33687,1599,30579,1685,8373,1057,8283,1042,90,79,2872,612,2633,569,239,113,19334,1550,18615,1500,719,210,3108,380
68,Englewood,28080,1527,24007,1583,4503,741,4426,725,77,84,1965,651,1868,623,97,85,17539,1498,16879,1425,660,229,4073,423
69,Greater Grand Crossing,31555,1511,25434,1668,5096,810,5062,803,34,49,2681,718,2431,641,250,126,17657,1547,17130,1498,527,169,6121,519
70,Ashburn,21997,1543,20372,1642,12019,1557,11951,1550,68,71,1025,452,920,400,105,84,7328,1352,6963,1285,365,171,1625,360
71,Auburn Gresham,48991,1888,42325,2042,12475,1461,12422,1451,53,74,3462,851,3214,806,248,139,26388,1970,25410,1893,978,275,6666,557
72,Beverly,7558,752,6670,785,4417,821,4417,821,0,29,363,217,363,217,0,29,1890,516,1824,502,66,79,888,181
73,Washington Heights,25493,1164,21981,1255,8823,1088,8758,1083,65,68,2219,645,2031,585,188,112,10939,1080,10651,1040,288,144,3512,418
74,Mount Greenwood,797,304,420,290,139,156,139,156,0,25,123,187,123,187,0,25,158,175,134,140,24,44,377,167
75,Morgan Park,14554,1079,12670,1149,5850,908,5831,904,19,39,757,498,745,494,12,34,6063,1078,5820,1046,243,105,1884,309
76,O'Hare,249,159,64,81,27,57,27,57,0,38,0,38,0,38,0,38,37,69,37,69,0,38,185,142
77,Edgewater,7367,889,3587,779,2067,659,2067,659,0,48,448,170,448,170,0,48,1072,431,1021,408,51,74,3780,541
