area_id,area_name,c27016001,c27016001_moe,c27016002,c27016002_moe,c27016003,c27016003_moe,c27016004,c27016004_moe,c27016005,c27016005_moe,c27016006,c27016006_moe,c27016007,c27016007_moe,c27016008,c27016008_moe,c27016009,c27016009_moe,c27016010,c27016010_moe,c27016011,c27016011_moe,c27016012,c27016012_moe,c27016013,c27016013_moe,c27016014,c27016014_moe,c27016015,c27016015_moe,c27016016,c27016016_moe,c27016017,c27016017_moe,c27016018,c27016018_moe,c27016019,c27016019_moe,c27016020,c27016020_moe,c27016021,c27016021_moe,c27016022,c27016022_moe,c27016023,c27016023_moe,c27016024,c27016024_moe,c27016025,c27016025_moe,c27016026,c27016026_moe,c27016027,c27016027_moe,c27016028,c27016028_moe,c27016029,c27016029_moe,c27016030,c27016030_moe,c27016031,c27016031_moe,c27016032,c27016032_moe,c27016033,c27016033_moe,c27016034,c27016034_moe,c27016035,c27016035_moe,c27016036,c27016036_moe,c27016037,c27016037_moe,c27016038,c27016038_moe,c27016039,c27016039_moe,c27016040,c27016040_moe,c27016041,c27016041_moe
66,Chicago Lawn,54520,2190,24103,2298,10550,1335,10029,1305,521,258,12346,1172,6477,778,5869,817,1207,238,1125,226,82,78,9528,1466,3301,676,3104,647,197,139,5611,860,2989,522,2622,624,616,172,603,171,13,51,14909,1625,3891,655,3724,650,167,107,9745,1063,6749,769,2996,624,1273,241,1189,231,84,88,5980,931,685,209,655,205,30,55,4840,782,3931,658,909,333,455,128,455,128,0,49
67,West Englewood,35088,1605,18846,1496,6653,818,6232,799,421,181,10773,890,6034,600,4739,571,1420,205,1417,205,3,48,6026,965,1466,364,1348,346,118,89,3524,621,2102,419,1422,338,1036,201,1003,196,33,60,6889,907,1281,346,1147,329,134,102,4265,607,2795,452,1470,302,1343,213,1319,209,24,52,3327,592,425,216,420,215,5,49,2355,462,1862,370,493,189,547,155,547,155,0,48
68,Englewood,28547,1507,17135,1454,6356,794,6028,776,328,178,9166,839,5805,601,3361,479,1613,237,1550,231,63,57,3563,665,771,242,669,229,102,81,2136,444,1445,339,691,215,656,167,656,167,0,36,5614,909,1194,367,1127,355,67,78,3622,635,2642,483,980,280,798,213,790,213,8,37,2235,511,276,162,257,159,19,46,1594,385,1351,337,243,140,365,138,347,135,18,45
69,Greater Grand Crossing,32395,1520,14082,1381,5451,798,5111,755,340,181,7502,732,4677,568,2825,402,1129,203,1121,202,8,38,4243,680,1069,299,994,294,75,77,2434,446,1466,293,968,306,740,170,719,169,21,49,8287,992,1639,413,1578,379,61,82,5223,636,3741,501,1482,347,1425,240,1425,240,0,38,5783,859,904,275,848,267,56,82,4077,612,3392,529,685,212,802,175,793,173,9,39
70,Ashburn,42262,1618,7587,1180,3059,637,2850,626,209,117,4012,615,2141,425,1871,418,516,174,492,168,24,55,5179,1200,1478,440,1478,440,0,41,3069,808,1967,665,1102,348,632,199,632,199,0,41,14260,1472,4208,671,4120,679,88,84,8579,969,6643,790,1936,537,1473,257,1473,257,0,41,15236,1469,2690,613,2642,614,48,65,11119,1026,9992,858,1127,386,1427,243,1427,243,0,41
71,Auburn Gresham,49344,1876,19911,1637,7583,909,7139,902,444,186,10452,913,6513,670,3939,507,1876,271,1857,270,19,47,7173,1109,1371,375,1315,370,56,74,4487,783,2775,557,1712,409,1315,242,1304,240,11,49,14809,1499,3003,554,2710,533,293,149,9001,989,6439,727,2562,493,2805,378,2760,377,45,78,7451,952,1167,324,1167,324,0,46,4887,678,4153,568,734,235,1397,283,1336,281,61,73
72,Beverly,21211,810,1552,432,517,268,517,268,0,29,744,210,517,174,227,123,291,131,279,131,12,34,1396,534,345,181,291,160,54,86,794,338,552,211,242,219,257,107,257,107,0,29,4740,694,1263,295,1263,295,0,29,2604,417,2346,395,258,100,873,207,873,207,0,29,13523,848,3683,391,3649,385,34,38,8490,568,8290,543,200,125,1350,177,1350,177,0,29
73,Washington Heights,25707,1148,6598,1072,2037,478,1825,455,212,165,3607,646,2080,439,1527,403,954,212,938,210,16,39,4150,829,984,353,963,357,21,42,2061,511,1456,378,605,217,1105,280,1105,280,0,33,8431,1111,1712,454,1639,442,73,70,4958,715,3693,563,1265,367,1761,281,1761,281,0,33,6528,767,826,223,794,204,32,61,4262,561,3779,526,483,159,1440,261,1433,260,7,33
74,Mount Greenwood,17942,773,657,273,93,87,93,87,0,25,312,135,146,91,166,105,252,134,252,134,0,25,889,297,210,156,199,155,11,28,457,161,346,147,111,75,222,93,222,93,0,25,4229,691,1319,343,1297,340,22,41,2299,403,2173,387,126,72,611,151,611,151,0,25,12167,873,3011,418,2981,413,30,60,8095,562,7856,548,239,107,1061,199,1061,199,0,25
75,Morgan Park,22280,1060,4870,854,1523,484,1418,473,105,98,2572,500,1538,356,1034,313,775,174,775,174,0,31,1774,529,396,224,396,224,0,31,955,335,662,264,293,172,423,118,423,118,0,31,6053,902,1512,399,1505,399,7,32,3353,581,2841,492,512,220,1188,223,1147,210,41,56,9583,973,1926,362,1895,352,31,55,6548,683,6057,650,491,175,1109,198,1109,198,0,31
76,O'Hare,13676,1093,3646,1157,1173,707,1077,685,96,120,2146,543,1135,435,1011,314,327,160,327,160,0,38,1058,399,193,137,167,130,26,56,641,257,300,150,341,160,224,108,213,106,11,40,4511,935,820,321,786,319,34,63,3195,687,2050,532,1145,390,496,153,487,149,9,40,4461,755,373,172,373,172,0,38,3541,625,3015,508,526,294,547,340,505,330,42,67
77,Edgewater,52988,1678,14271,1304,2209,526,1896,482,313,217,10103,990,5482,676,4621,749,1959,288,1905,284,54,68,4668,711,614,257,469,220,145,144,3279,513,1802,351,1477,374,775,205,721,199,54,67,14153,1218,1636,434,1525,421,111,117,10748,907,7975,740,2773,563,1769,332,1642,309,127,113,19896,1315,2043,408,2014,406,29,58,15998,1042,14814,1015,1184,363,1855,293,1846,291,9,51
