area_id,area_name,c23023001,c23023001_moe,c23023002,c23023002_moe,c23023003,c23023003_moe,c23023004,c23023004_moe,c23023005,c23023005_moe,c23023006,c23023006_moe,c23023007,c23023007_moe,c23023008,c23023008_moe,c23023009,c23023009_moe,c23023010,c23023010_moe,c23023011,c23023011_moe,c23023012,c23023012_moe,c23023013,c23023013_moe,c23023014,c23023014_moe,c23023015,c23023015_moe,c23023016,c23023016_moe,c23023017,c23023017_moe,c23023018,c23023018_moe,c23023019,c23023019_moe,c23023020,c23023020_moe,c23023021,c23023021_moe,c23023022,c23023022_moe,c23023023,c23023023_moe
23,Humboldt Park,36051,1529,16654,983,2655,422,563,170,280,126,283,123,2092,374,13999,921,9224,758,6525,623,2699,436,4775,558,19397,945,2984,392,812,195,479,147,333,123,2172,330,16413,906,9017,658,5365,514,3652,441,7396,708
24,West Town,66970,1591,34441,1178,1902,311,841,196,426,139,415,135,1061,233,32539,1156,28757,1004,21746,846,7011,589,3782,535,32529,1029,1937,307,663,169,353,131,310,121,1274,261,30592,1022,25607,902,17176,793,8431,601,4985,532
25,Austin,64182,1852,29306,1209,4361,496,858,206,377,144,481,156,3503,450,24945,1137,14242,846,9543,681,4699,515,10703,837,34876,1195,5528,513,1861,314,1070,228,791,212,3667,431,29348,1098,19834,897,12517,724,7317,655,9514,694
26,West Garfield Park,11781,845,5467,524,1156,248,185,99,52,49,133,86,971,226,4311,459,2299,351,1352,259,947,215,2012,306,6314,511,1059,196,180,77,105,67,75,47,879,183,5255,478,2932,341,1880,266,1052,209,2323,337
27,East Garfield Park,13102,886,5368,580,780,184,125,67,60,51,65,56,655,169,4588,557,2451,322,1550,245,901,203,2137,436,7734,521,1199,200,296,119,114,63,182,108,903,170,6535,510,3840,353,2557,311,1283,239,2695,395
28,Near West Side,43409,1367,21658,1007,1477,317,544,189,186,107,358,151,933,231,20181,948,16636,790,11748,627,4888,499,3545,527,21751,883,1753,284,751,177,366,130,385,128,1002,216,19998,850,16360,772,10439,601,5921,584,3638,416
29,North Lawndale,22395,1232,9601,780,1696,288,281,109,72,64,209,93,1415,270,7905,689,3957,467,2463,359,1494,285,3948,472,12794,784,1735,261,328,107,184,84,144,77,1407,245,11059,756,6019,475,3900,385,2119,298,5040,549
30,South Lawndale,48942,1655,29187,1219,1834,329,827,189,443,140,384,132,1007,242,27353,1184,17408,977,10491,762,6917,617,9945,671,19755,924,1656,282,530,162,193,95,337,127,1126,236,18099,914,9826,679,4922,462,4904,526,8273,613
31,Lower West Side,25576,1251,14353,908,738,186,352,114,201,93,151,70,386,162,13615,878,11579,796,7089,665,4490,496,2036,343,11223,656,675,170,352,133,171,82,181,109,323,108,10548,638,7366,542,3505,409,3861,423,3182,393
32,Loop,22828,1320,11508,1026,660,212,233,101,110,74,123,75,427,192,10848,1036,9827,1044,6894,713,2933,746,1021,254,11320,844,239,112,107,62,58,48,49,44,132,94,11081,838,8715,678,4992,490,3723,543,2366,502
33,Near South Side,15950,967,7544,722,541,260,187,114,154,109,33,29,354,230,7003,684,6435,676,5086,600,1349,335,568,253,8406,543,379,147,135,80,12,31,123,76,244,125,8027,543,6960,534,5146,476,1814,375,1067,300
34,Armour Square,8760,668,4347,432,147,71,111,65,94,63,17,30,36,36,4200,427,3037,379,1697,326,1340,277,1163,263,4413,432,285,162,94,78,42,51,52,55,191,108,4128,396,3020,346,1459,257,1561,278,1108,203
35,Douglas,13534,722,6113,490,858,186,336,125,209,105,127,78,522,141,5255,467,3561,413,1797,248,1764,301,1694,289,7421,490,970,202,438,130,211,86,227,102,532,155,6451,468,4956,419,2533,295,2423,356,1495,254
36,Oakland,3863,360,1313,238,248,111,74,65,35,55,39,33,174,96,1065,199,805,172,460,111,345,126,260,103,2550,251,391,114,88,57,41,47,47,43,303,112,2159,263,1486,188,860,175,626,163,673,240
37,Fuller Park,1797,369,842,236,166,67,31,30,0,16,31,30,135,61,676,236,394,147,153,72,241,138,282,117,955,229,170,69,14,15,4,13,10,13,156,65,785,221,455,146,216,104,239,125,330,110
38,Grand Boulevard,14516,772,6156,492,962,200,272,112,143,83,129,80,690,168,5194,462,3645,373,2269,273,1376,255,1549,287,8360,504,1129,213,516,148,250,93,266,118,613,156,7231,468,5667,395,3268,311,2399,306,1564,265
39,Kenwood,12055,674,5405,474,681,197,197,122,52,49,145,116,484,160,4724,461,3579,378,2156,318,1423,271,1145,254,6650,489,583,153,249,99,139,84,110,59,334,119,6067,470,4474,393,2652,299,1822,310,1593,324
40,Washington Park,6801,571,2646,363,636,167,145,71,57,44,88,59,491,135,2010,315,1268,244,605,165,663,167,742,180,4155,378,672,147,254,90,125,61,129,72,418,126,3483,352,2320,293,1186,182,1134,238,1163,240
41,Hyde Park,19980,1025,9520,748,526,146,251,100,133,65,118,79,275,108,8994,752,7222,604,3611,352,3611,510,1772,379,10460,612,722,186,473,145,157,91,316,115,249,127,9738,599,7824,548,3704,340,4120,501,1914,301
42,Woodlawn,16417,862,7184,600,1024,204,374,130,126,75,248,111,650,155,6160,533,4083,465,2119,340,1964,314,2077,325,9233,559,1297,229,372,123,186,101,186,78,925,193,7936,541,5642,437,3077,319,2565,332,2294,352
43,South Shore,32109,1464,13829,877,2194,359,653,200,300,145,353,149,1541,309,11635,841,8144,710,4942,570,3202,451,3491,471,18280,1060,3048,411,1000,239,521,164,479,170,2048,332,15232,1008,11089,693,6640,569,4449,478,4143,620
44,Chatham,20837,1132,8639,720,1298,287,349,144,121,75,228,126,949,256,7341,688,4640,505,2798,368,1842,353,2701,455,12198,839,1912,316,752,202,364,156,388,133,1160,238,10286,794,7155,561,4352,486,2803,385,3131,493
45,Avalon Park,6066,522,2921,396,367,134,15,20,10,24,5,14,352,134,2554,378,1753,305,1250,279,503,148,801,201,3145,294,276,121,99,78,49,46,50,61,177,97,2869,292,2013,278,1256,202,757,219,856,234
46,South Chicago,18151,1081,8150,696,1157,245,322,127,170,88,152,95,835,205,6993,648,4304,452,2838,363,1466,284,2689,452,10001,689,1244,232,362,114,118,73,244,99,882,196,8757,653,5472,517,2768,371,2704,401,3285,441
47,Burnside,2163,359,1012,230,105,62,29,31,0,11,29,31,76,58,907,229,537,185,299,102,238,127,370,167,1151,227,101,58,38,34,26,27,12,19,63,48,1050,223,619,148,202,88,417,172,431,174
48,Calumet Heights,8420,554,3860,374,288,117,36,42,0,27,36,42,252,110,3572,368,2626,314,1589,269,1037,263,946,217,4560,341,678,199,214,127,160,116,54,61,464,151,3882,364,2818,308,1833,259,985,229,1064,215
49,Roseland,28334,1150,13069,749,2026,303,462,142,217,110,245,101,1564,270,11043,707,6658,561,3963,448,2695,385,4385,497,15265,754,2190,311,676,166,311,111,365,120,1514,264,13075,731,8594,610,4783,452,3811,411,4481,486
50,Pullman,4650,361,1884,245,247,88,102,60,19,23,83,59,145,69,1637,247,1145,214,663,160,482,143,492,134,2766,260,322,98,194,76,75,45,119,73,128,62,2444,252,1863,197,1161,182,702,168,581,149
51,South Deering,10572,718,4602,471,658,168,158,96,34,40,124,90,500,156,3944,472,2497,371,1685,321,812,207,1447,316,5970,518,615,159,287,107,147,83,140,80,328,119,5355,547,3713,429,1673,272,2040,366,1642,310
52,East Side,14255,841,7105,531,516,122,196,81,88,59,108,57,320,92,6589,513,5615,491,3472,421,2143,333,974,209,7150,500,420,113,144,79,84,54,60,60,276,87,6730,495,4011,394,2267,297,1744,343,2719,379
53,West Pullman,18915,1073,8253,680,1020,241,242,105,109,68,133,82,778,215,7233,635,4377,480,2666,360,1711,317,2856,435,10662,718,1541,287,339,125,141,76,198,101,1202,262,9121,716,6338,567,3574,418,2764,416,2783,443
54,Riverdale,3563,411,1064,211,173,99,62,59,0,16,62,59,111,86,891,192,407,132,208,89,199,106,484,159,2499,347,371,120,137,82,30,37,107,75,234,103,2128,360,1297,240,555,166,742,178,831,232
55,Hegewisch,6110,688,3112,426,456,178,171,95,95,75,76,57,285,155,2656,331,2180,354,1579,284,601,209,476,136,2998,391,244,103,59,50,36,42,23,30,185,91,2754,368,1855,305,1207,236,648,197,899,226
56,Garfield Ridge,21856,819,11040,573,768,194,305,108,205,89,100,65,463,165,10272,556,8420,467,6060,417,2360,342,1852,303,10816,520,777,180,381,143,176,95,205,118,396,120,10039,518,7511,457,4571,390,2940,350,2528,349
57,Archer Heights,8540,539,4507,341,255,87,172,75,105,58,67,51,83,57,4252,333,3495,317,2097,258,1398,231,757,160,4033,323,183,83,47,35,20,32,27,31,136,74,3850,324,2353,258,1274,198,1079,194,1497,220
58,Brighton Park,28567,1246,15135,816,946,220,405,131,141,68,264,108,541,177,14189,809,11457,680,7295,605,4162,457,2732,386,13432,699,725,170,236,98,125,72,111,75,489,144,12707,679,7418,576,3879,439,3539,394,5289,509
59,McKinley Park,11043,650,5621,389,369,141,146,102,66,71,80,58,223,95,5252,379,4365,346,2626,288,1739,271,887,202,5422,425,396,129,180,82,70,47,110,69,216,106,5026,422,3378,308,1830,230,1548,237,1648,285
60,Bridgeport,23299,1022,12010,640,694,144,298,98,152,72,146,73,396,110,11316,630,9184,539,5815,432,3369,409,2132,340,11289,611,742,168,285,95,98,56,187,77,457,141,10547,615,8231,561,4387,385,3844,427,2316,296
61,New City,27309,1316,13800,965,1321,232,443,144,176,94,267,122,878,179,12479,906,9392,628,5536,460,3856,444,3087,563,13509,717,1331,238,359,134,203,99,156,83,972,204,12178,689,6710,510,3101,339,3609,385,5468,528
62,West Elsdon,12356,685,6232,482,254,102,91,55,45,42,46,42,163,84,5978,476,4837,395,2982,293,1855,315,1141,233,6124,392,219,85,145,69,66,41,79,59,74,50,5905,391,3598,346,1977,281,1621,246,2307,341
63,Gage Park,25684,1266,13276,848,560,151,186,86,43,53,143,78,374,128,12716,833,9913,716,6243,557,3670,491,2803,450,12408,703,617,154,240,94,97,65,143,77,377,126,11791,694,6420,567,3410,384,3010,414,5371,498
64,Clearing,14685,710,7288,457,423,119,256,91,111,55,145,80,167,74,6865,458,6078,441,4183,412,1895,320,787,175,7397,446,523,144,245,96,149,75,96,62,278,113,6874,454,5322,440,3208,359,2114,277,1552,265
65,West Lawn,20978,917,11188,705,665,182,270,118,152,80,118,84,395,139,10523,688,8242,566,5648,497,2594,390,2281,447,9790,574,559,156,192,86,38,42,154,81,367,127,9231,571,5650,494,3410,425,2240,350,3581,442
66,Chicago Lawn,34891,1436,15802,921,1398,272,223,93,105,71,118,73,1175,263,14404,909,10004,740,6222,578,3782,498,4400,560,19089,924,2071,296,589,147,356,116,233,95,1482,248,17018,915,9968,670,5772,506,4196,502,7050,670
67,West Englewood,22339,1134,10245,743,1539,253,271,114,111,75,160,87,1268,231,8706,698,4365,436,1963,291,2402,336,4341,530,12094,679,1732,273,527,144,255,96,272,96,1205,229,10362,632,5673,435,2805,298,2868,340,4689,454
68,Englewood,17782,1041,7526,620,1455,250,241,94,40,51,201,84,1214,233,6071,543,2703,359,1436,277,1267,254,3368,421,10256,698,1547,243,319,100,99,53,220,90,1228,210,8709,650,4776,431,2719,313,2057,289,3933,474
69,Greater Grand Crossing,20736,1001,9131,676,1479,266,383,121,194,88,189,93,1096,234,7652,610,4902,493,2833,375,2069,321,2750,399,11605,699,1667,243,576,154,274,105,302,109,1091,197,9938,693,6520,503,3975,411,2545,323,3418,468
70,Ashburn,28622,1181,14031,769,1169,273,341,138,187,106,154,109,828,222,12862,771,9779,580,6763,484,3016,451,3083,486,14591,694,1003,211,318,116,221,97,97,66,685,191,13588,708,9678,617,6535,534,3143,390,3910,440
71,Auburn Gresham,30819,1332,13145,888,1967,329,425,154,189,119,236,103,1542,275,11178,832,6376,618,3699,444,2677,408,4802,595,17674,873,2351,339,633,162,258,110,375,122,1718,299,15323,864,10418,702,5749,500,4669,546,4905,543
72,Beverly,13249,585,6447,388,340,112,164,80,103,65,61,43,176,83,6107,393,5054,307,3788,272,1266,191,1053,285,6802,391,464,125,224,80,122,59,102,60,240,96,6338,389,4991,321,3124,286,1867,243,1347,210
73,Washington Heights,15666,843,7055,640,872,193,136,70,49,41,87,58,736,188,6183,607,4107,456,2419,351,1688,315,2076,393,8611,582,1194,235,447,133,199,105,248,96,747,196,7417,544,5440,459,3459,347,1981,362,1977,306
74,Mount Greenwood,12071,557,6046,356,299,95,197,78,111,63,86,46,102,55,5747,350,5024,306,3911,239,1113,250,723,184,6025,429,251,112,116,89,52,40,64,83,135,67,5774,429,4401,380,2378,272,2023,295,1373,250
75,Morgan Park,14152,725,6724,577,623,226,149,91,55,52,94,78,474,204,6101,532,4833,503,3549,382,1284,288,1268,292,7428,463,786,199,98,57,47,39,51,47,688,195,6642,456,4950,376,2832,307,2118,312,1692,298
76,O'Hare,9673,681,4925,465,308,176,69,69,69,69,0,38,239,164,4617,472,4171,450,3072,403,1099,307,446,191,4748,425,257,122,220,115,133,99,87,68,37,44,4491,429,3046,371,1727,303,1319,284,1445,320
77,Edgewater,42804,1387,21974,1035,1616,323,452,164,293,141,159,91,1164,279,20358,986,17678,932,12349,799,5329,536,2680,431,20830,966,1575,305,656,200,237,118,419,167,919,241,19255,965,14891,830,8742,665,6149,561,4364,556
