area_id,area_name,b16008001,b16008001_moe,b16008002,b16008002_moe,b16008003,b16008003_moe,b16008004,b16008004_moe,b16008005,b16008005_moe,b16008006,b16008006_moe,b16008007,b16008007_moe,b16008008,b16008008_moe,b16008009,b16008009_moe,b16008010,b16008010_moe,b16008011,b16008011_moe,b16008012,b16008012_moe,b16008013,b16008013_moe,b16008014,b16008014_moe,b16008015,b16008015_moe,b16008016,b16008016_moe,b16008017,b16008017_moe,b16008018,b16008018_moe,b16008019,b16008019_moe,b16008020,b16008020_moe,b16008021,b16008021_moe,b16008022,b16008022_moe,b16008023,b16008023_moe,b16008024,b16008024_moe,b16008025,b16008025_moe,b16008026,b16008026_moe,b16008027,b16008027_moe,b16008028,b16008028_moe,b16008029,b16008029_moe,b16008030,b16008030_moe,b16008031,b16008031_moe,b16008032,b16008032_moe,b16008033,b16008033_moe,b16008034,b16008034_moe,b16008035,b16008035_moe,b16008036,b16008036_moe,b16008037,b16008037_moe,b16008038,b16008038_moe,b16008039,b16008039_moe,b16008040,b16008040_moe,b16008041,b16008041_moe,b16008042,b16008042_moe,b16008043,b16008043_moe,b16008044,b16008044_moe,b16008045,b16008045_moe,b16008046,b16008046_moe,b16008047,b16008047_moe,b16008048,b16008048_moe,b16008049,b16008049_moe,b16008050,b16008050_moe,b16008051,b16008051_moe,b16008052,b16008052_moe,b16008053,b16008053_moe
28,Near West Side,51247,1567,42900,1524,5450,666,4911,655,428,158,302,117,126,115,111,62,92,60,19,54,37450,1282,33190,1217,2058,362,1667,280,391,215,2202,414,1897,368,305,146,8347,752,3160,408,38,64,9,53,0,52,0,52,0,52,29,63,29,63,0,52,3122,398,798,190,547,157,322,116,225,113,1777,319,1406,250,371,149,5187,637,59,58,0,52,17,54,17,54,0,52,42,56,42,56,0,52,5128,633,879,269,304,115,203,100,101,77,3945,556,2222,375,1723,405
29,North Lawndale,33011,1667,32106,1650,9265,886,8958,874,289,148,216,121,73,56,18,51,12,46,6,42,22841,1133,22264,1130,522,156,470,155,52,53,55,51,55,51,0,43,905,280,313,113,8,43,0,43,0,43,0,43,0,43,8,43,8,43,0,43,305,110,18,50,257,106,62,54,195,97,30,47,9,43,21,47,592,217,23,55,0,43,23,55,23,55,0,43,0,43,0,43,0,43,569,216,53,69,490,202,19,44,471,202,26,55,0,43,26,55
30,South Lawndale,64246,2092,33467,1578,12019,965,1386,360,10633,895,8391,806,2242,400,0,48,0,48,0,48,21448,1103,11001,737,10379,846,9154,798,1225,277,68,59,67,59,1,45,30779,1459,6663,580,46,65,0,48,46,65,46,65,0,48,0,48,0,48,0,48,6617,570,108,71,6377,557,1873,317,4504,465,132,94,40,54,92,80,24116,1444,1524,347,15,52,1509,347,799,226,710,249,0,48,0,48,0,48,22592,1304,328,116,22182,1302,2743,411,19439,1223,82,62,49,56,33,52
31,Lower West Side,33635,1543,18183,1094,5458,606,871,239,4541,568,3476,509,1065,252,46,57,46,57,0,42,12725,822,6537,624,5860,612,5160,575,700,201,328,140,315,139,13,40,15452,1087,4240,486,84,89,0,42,84,89,70,88,14,44,0,42,0,42,0,42,4156,464,154,75,3822,456,1246,267,2576,363,180,89,107,67,73,76,11212,1037,735,212,20,49,715,208,413,152,302,138,0,42,0,42,0,42,10477,970,422,233,9935,955,1176,269,8759,883,120,87,49,55,71,73
32,Loop,25310,1356,20158,1341,462,208,262,171,99,115,99,115,0,30,101,84,101,84,0,30,19696,1295,17744,1208,784,290,711,284,73,92,1168,357,903,298,265,209,5152,692,1969,414,0,30,0,30,0,30,0,30,0,30,0,30,0,30,0,30,1969,414,448,241,222,144,139,125,83,75,1299,328,924,255,375,155,3183,581,14,35,14,35,0,30,0,30,0,30,0,30,0,30,0,30,3169,580,640,224,261,211,115,144,146,155,2268,493,1563,416,705,266
33,Near South Side,18927,1005,15021,956,1141,256,890,263,72,79,54,61,18,35,179,122,179,122,0,24,13880,929,12100,826,890,398,818,390,72,61,890,262,823,255,67,68,3906,666,1722,402,8,24,0,24,0,24,0,24,0,24,8,24,8,24,0,24,1714,401,234,115,100,74,87,70,13,28,1380,385,954,344,426,183,2184,540,92,85,38,63,0,24,0,24,0,24,54,62,36,56,18,35,2092,522,296,144,167,131,110,93,57,61,1629,472,1069,368,560,295
34,Armour Square,13167,800,5900,651,1310,358,569,207,36,45,36,45,0,27,705,293,581,281,124,72,4590,499,3238,438,206,147,206,147,0,27,1146,253,969,241,177,88,7267,660,3539,445,59,47,10,29,0,27,0,27,0,27,49,44,35,36,14,33,3480,437,109,69,0,27,0,27,0,27,3371,428,426,163,2945,350,3728,586,447,190,0,27,86,131,86,131,0,27,361,138,9,28,352,137,3281,492,53,58,337,234,153,134,184,123,2891,479,479,222,2412,467
35,Douglas,18116,846,14975,764,2028,319,1951,316,21,48,0,35,21,48,56,68,56,68,0,35,12947,633,12124,639,324,116,268,105,56,59,499,182,400,150,99,80,3141,561,559,177,3,34,3,34,0,35,0,35,0,35,0,35,0,35,0,35,556,178,137,84,21,38,18,38,3,34,398,144,229,114,169,93,2582,538,25,46,5,34,0,35,0,35,0,35,20,47,20,47,0,35,2557,534,172,96,202,167,32,47,170,159,2183,494,1206,374,977,304
36,Oakland,5752,460,5417,430,1343,264,1313,267,26,31,18,29,8,20,4,17,0,19,4,17,4074,315,3955,318,91,59,42,40,49,48,28,34,21,31,7,20,335,155,115,67,4,17,0,19,0,19,0,19,0,19,4,17,0,19,4,17,111,65,32,38,0,19,0,19,0,19,79,56,39,39,40,44,220,106,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,220,106,6,18,46,49,0,19,46,49,168,95,114,80,54,49
37,Fuller Park,2717,483,2558,480,600,248,583,247,17,20,17,20,0,16,0,16,0,16,0,16,1958,312,1955,312,0,16,0,16,0,16,3,13,0,16,3,13,159,102,14,17,0,16,0,16,0,16,0,16,0,16,0,16,0,16,0,16,14,17,0,16,3,13,3,13,0,16,11,19,0,16,11,19,145,102,34,54,0,16,0,16,0,16,0,16,34,54,34,54,0,16,111,78,11,21,67,84,0,16,67,84,33,53,0,16,33,53
38,Grand Boulevard,21209,1018,20616,990,4240,571,4156,568,27,48,21,47,6,44,57,56,41,50,16,49,16376,760,15914,753,347,114,240,89,107,80,115,83,105,81,10,45,593,180,285,105,20,51,20,51,0,43,0,43,0,43,0,43,0,43,0,43,265,99,58,48,81,76,19,43,62,73,126,75,105,68,21,46,308,145,29,56,10,45,0,43,0,43,0,43,19,54,19,54,0,43,279,137,107,67,62,90,0,43,62,90,110,97,53,58,57,86
39,Kenwood,17013,854,14893,847,2519,406,2358,418,76,81,76,81,0,31,85,49,85,49,0,31,12374,681,11750,682,294,151,278,150,16,31,330,137,256,120,74,83,2120,352,767,239,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,767,239,130,62,111,144,27,44,84,140,526,170,444,162,82,60,1353,295,8,33,0,31,8,33,8,33,0,31,0,31,0,31,0,31,1345,295,198,103,148,99,56,63,92,86,999,260,650,196,349,130
40,Washington Park,10154,751,10041,741,2772,391,2698,385,49,47,5,26,44,48,25,44,25,44,0,27,7269,534,7132,534,137,74,96,64,41,45,0,27,0,27,0,27,113,69,61,40,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,61,40,23,29,0,27,0,27,0,27,38,39,29,38,9,28,52,58,0,27,0,27,0,27,0,27,0,27,0,27,0,27,0,27,52,58,7,27,33,51,14,29,19,39,12,36,0,27,12,36
41,Hyde Park,25305,1133,20813,1052,2180,347,1694,312,151,136,142,130,9,39,335,129,312,124,23,51,18633,978,17189,898,531,199,412,164,119,81,913,185,824,177,89,62,4492,496,1580,294,43,57,7,38,10,39,10,39,0,38,26,56,26,56,0,38,1537,277,513,161,105,51,92,50,13,40,919,227,737,177,182,123,2912,415,87,73,0,38,24,53,24,53,0,38,63,60,32,43,31,56,2825,391,444,140,414,201,168,102,246,176,1967,320,1162,232,805,204
42,Woodlawn,22879,1126,21748,1114,4421,564,4241,564,112,73,31,47,81,66,68,56,36,49,32,46,17327,819,16506,813,349,121,242,103,107,62,472,134,445,132,27,44,1131,251,415,141,19,46,19,46,0,36,0,36,0,36,0,36,0,36,0,36,396,131,77,64,70,59,40,51,30,48,249,99,226,96,23,38,716,212,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,716,212,139,85,17,39,16,39,1,35,560,187,414,145,146,104
43,South Shore,44350,1825,42893,1798,7967,879,7575,842,140,94,101,85,39,59,252,249,103,97,149,232,34926,1368,34137,1373,482,178,381,164,101,78,307,122,239,109,68,69,1457,413,630,216,19,51,19,51,0,44,0,44,0,44,0,44,0,44,0,44,611,208,206,114,84,82,21,49,63,78,321,158,305,154,16,47,827,319,0,44,0,44,0,44,0,44,0,44,0,44,0,44,0,44,827,319,127,97,106,110,0,44,106,110,594,291,354,192,240,157
44,Chatham,30975,1500,30722,1504,6010,750,5910,751,48,67,13,37,35,67,52,52,52,52,0,37,24712,1106,24269,1111,204,98,119,70,85,74,239,140,223,138,16,45,253,131,180,124,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,180,124,44,58,0,37,0,37,0,37,136,114,102,107,34,52,73,46,0,37,0,37,0,37,0,37,0,37,0,37,0,37,0,37,73,46,48,43,1,35,1,35,0,37,24,40,24,40,0,37
45,Avalon Park,9262,687,9093,682,1561,281,1470,271,55,45,39,38,16,28,36,43,36,43,0,19,7532,545,7385,545,91,72,75,70,16,27,56,68,56,68,0,19,169,92,58,37,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,58,37,34,32,0,19,0,19,0,19,24,31,15,29,9,21,111,76,0,19,0,19,0,19,0,19,0,19,0,19,0,19,0,19,111,76,18,24,0,19,0,19,0,19,93,76,36,43,57,48
46,South Chicago,27348,1400,23722,1286,5864,625,4546,593,1197,266,1026,252,171,87,121,85,71,68,50,61,17858,996,15426,998,2130,330,1744,303,386,136,302,170,203,124,99,98,3626,651,1098,295,24,53,24,53,0,37,0,37,0,37,0,37,0,37,0,37,1074,275,134,149,605,172,212,110,393,148,335,167,212,142,123,85,2528,579,287,122,0,37,204,102,71,56,133,87,83,76,17,41,66,81,2241,493,76,71,1641,389,346,144,1295,337,524,309,204,109,320,290
47,Burnside,3314,625,3214,622,854,350,854,350,0,11,0,11,0,11,0,11,0,11,0,11,2360,330,2350,333,0,11,0,11,0,11,10,18,10,18,0,11,100,88,57,54,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,57,54,13,24,0,11,0,11,0,11,44,44,29,35,15,30,43,58,0,11,0,11,0,11,0,11,0,11,0,11,0,11,0,11,43,58,33,52,0,11,0,11,0,11,10,21,0,11,10,21
48,Calumet Heights,13758,765,13003,754,2289,351,2006,354,198,185,187,185,11,30,85,94,85,94,0,27,10714,568,10266,542,288,144,247,140,41,45,160,127,141,126,19,36,755,333,381,155,40,49,29,39,0,27,0,27,0,27,11,30,11,30,0,27,341,136,102,81,34,45,14,31,20,39,205,105,114,86,91,80,374,283,59,73,0,27,0,27,0,27,0,27,59,73,43,52,16,32,315,224,51,67,56,59,29,41,27,50,208,194,175,177,33,40
49,Roseland,42815,1529,42108,1531,8473,746,8293,748,126,89,107,85,19,46,54,70,33,61,21,54,33635,1131,33128,1129,405,150,280,118,125,86,102,68,102,68,0,41,707,213,372,151,0,41,0,41,0,41,0,41,0,41,0,41,0,41,0,41,372,151,258,132,12,49,6,42,6,42,102,78,44,51,58,72,335,130,8,43,8,43,0,41,0,41,0,41,0,41,0,41,0,41,327,125,202,100,16,46,16,46,0,41,109,73,82,70,27,48
