area_id,area_name,c27001f001,c27001f001_moe,c27001f002,c27001f002_moe,c27001f003,c27001f003_moe,c27001f004,c27001f004_moe,c27001f005,c27001f005_moe,c27001f006,c27001f006_moe,c27001f007,c27001f007_moe,c27001f008,c27001f008_moe,c27001f009,c27001f009_moe,c27001f010,c27001f010_moe
55,Hegewisch,740,371,252,182,236,177,16,27,433,218,355,195,78,79,55,64,55,64,0,19
56,Garfield Ridge,5109,968,1536,431,1284,368,252,269,3352,669,2435,556,917,320,221,101,210,98,11,45
57,Archer Heights,3997,809,1400,360,1380,358,20,35,2355,468,1298,306,1057,280,242,134,242,134,0,27
58,Brighton Park,11969,1608,4381,764,3686,682,695,371,7284,970,3520,589,3764,712,304,127,287,126,17,44
59,McKinley Park,4310,769,1341,350,1309,351,32,43,2829,481,1683,358,1146,316,140,83,140,83,0,25
60,Bridgeport,4625,885,1598,484,1559,482,39,53,2815,501,1750,364,1065,297,212,122,168,104,44,73
61,New City,8068,1081,2733,513,2453,487,280,123,5071,691,2328,426,2743,491,264,111,240,104,24,59
62,West Elsdon,5692,1074,2108,549,1960,540,148,107,3242,612,1849,406,1393,397,342,166,256,124,86,113
63,Gage Park,14228,1657,4955,782,4187,687,768,409,8834,1071,4286,595,4548,794,439,154,341,141,98,77
64,Clearing,4704,898,1701,456,1582,448,119,90,2919,527,2231,454,688,282,84,105,84,105,0,31
65,West Lawn,17066,1701,5920,799,5403,763,517,426,10575,1114,6492,912,4083,718,571,231,439,174,132,158
66,Chicago Lawn,17457,1666,6942,909,6596,889,346,212,9987,988,4503,623,5484,891,528,183,440,166,88,81
67,West Englewood,425,336,141,134,113,128,28,62,279,222,128,135,151,133,5,49,5,49,0,48
68,Englewood,187,175,82,91,82,91,0,36,99,107,50,58,49,65,6,36,6,36,0,36
69,Greater Grand Crossing,100,79,0,38,0,38,0,38,69,65,24,44,45,61,31,49,31,49,0,38
70,Ashburn,7497,1099,2774,490,2736,491,38,62,4683,754,2894,487,1789,531,40,64,40,64,0,41
71,Auburn Gresham,48,64,5,45,5,45,0,46,43,63,11,47,32,62,0,46,0,46,0,46
72,Beverly,60,54,6,29,6,29,0,29,48,49,47,49,1,27,6,29,6,29,0,29
73,Washington Heights,84,77,19,36,19,36,0,33,52,57,18,36,34,48,13,38,13,38,0,33
74,Mount Greenwood,220,167,113,136,113,136,0,25,107,69,75,53,32,42,0,25,0,25,0,25
75,Morgan Park,128,138,47,70,47,70,0,31,81,78,30,47,51,66,0,31,0,31,0,31
76,O'Hare,576,313,179,116,166,116,13,41,337,185,218,150,119,131,60,75,60,75,0,38
77,Edgewater,2725,771,685,305,629,296,56,85,1931,537,1103,325,828,389,109,93,109,93,0,48
