area_id,area_name,c18108001,c18108001_moe,c18108002,c18108002_moe,c18108003,c18108003_moe,c18108004,c18108004_moe,c18108005,c18108005_moe,c18108006,c18108006_moe,c18108007,c18108007_moe,c18108008,c18108008_moe,c18108009,c18108009_moe,c18108010,c18108010_moe,c18108011,c18108011_moe,c18108012,c18108012_moe,c18108013,c18108013_moe
16,Irving Park,56160,1945,13007,949,563,203,154,102,12290,873,38512,1394,2067,363,1350,307,35095,1321,4641,454,812,197,917,218,2912,356
17,Dunning,41997,1248,7791,583,127,78,67,58,7597,573,27848,954,909,204,807,206,26132,943,6358,355,1105,189,1288,210,3965,336
18,Montclare,12279,836,3016,482,58,51,24,29,2934,481,7578,578,329,143,382,214,6867,530,1685,271,288,103,537,165,860,180
19,Belmont Cragin,77642,2549,23220,1412,822,243,200,113,22198,1348,48696,1731,2770,433,1972,381,43954,1679,5726,491,884,204,1575,249,3267,387
20,Hermosa,25068,1269,7269,672,204,104,82,91,6983,645,15934,875,1017,286,966,256,13951,854,1865,325,427,164,464,158,974,236
21,Avondale,41526,1885,9644,923,116,98,136,121,9392,917,28666,1329,1017,250,646,181,27003,1306,3216,425,364,120,808,199,2044,355
22,Logan Square,73495,1997,14551,1006,269,118,119,91,14163,992,54366,1482,1449,267,1265,234,51652,1471,4578,447,432,111,1011,201,3135,386
23,Humboldt Park,54341,2208,16385,1369,608,246,473,172,15304,1333,33709,1407,2881,443,2594,375,28234,1322,4247,415,808,199,1372,256,2067,316
24,West Town,83695,2001,13062,1018,184,105,215,120,12663,989,65682,1541,1932,343,1773,311,61977,1510,4951,447,652,156,1322,225,2977,378
25,Austin,97389,2742,26416,1527,1082,285,324,136,25010,1481,60552,1772,4237,480,5077,564,51238,1621,10421,561,1734,269,2988,358,5699,458
26,West Garfield Park,19358,1315,6763,756,240,130,40,46,6483,726,10922,794,1157,247,976,194,8789,720,1673,227,276,91,409,112,988,183
27,East Garfield Park,21012,1341,7443,809,290,114,40,55,7113,792,11801,784,1109,214,732,170,9960,722,1768,214,206,73,699,154,863,149
28,Near West Side,53295,1645,8001,812,223,102,17,53,7761,784,41789,1310,1663,308,1451,330,38675,1205,3505,319,538,127,1036,205,1931,264
29,North Lawndale,35623,1845,12346,1068,469,142,154,85,11723,1020,20279,1134,1699,296,1514,272,17066,1059,2998,327,463,123,1008,172,1527,237
30,South Lawndale,62390,2266,19708,1273,384,147,271,137,19053,1240,38985,1496,1535,295,1595,283,35855,1463,3697,421,605,146,920,197,2172,341
31,Lower West Side,36577,1700,9219,825,253,141,46,49,8920,804,24666,1211,674,159,697,187,23295,1171,2692,361,339,121,836,198,1517,283
32,Loop,25786,1427,1529,402,20,39,25,38,1484,401,22231,1311,617,227,124,71,21490,1328,2026,275,294,125,286,149,1446,254
33,Near South Side,20076,1151,2559,372,39,39,0,24,2520,369,15784,957,584,259,296,146,14904,968,1733,316,352,165,485,223,896,248
34,Armour Square,13710,850,2359,429,19,31,0,27,2340,430,8460,656,275,128,157,133,8028,630,2891,345,508,145,604,168,1779,310
35,Douglas,18357,845,3051,364,38,44,9,36,3004,363,12904,684,800,179,715,185,11389,668,2402,220,347,106,674,143,1381,193
36,Oakland,6260,469,1855,235,33,35,42,48,1780,236,3728,336,158,85,481,181,3089,333,677,130,138,70,206,83,333,103
37,Fuller Park,2924,543,841,325,74,54,19,21,748,285,1612,314,137,50,142,59,1333,313,471,99,188,69,149,60,134,50
38,Grand Boulevard,22964,1171,6231,711,110,72,48,50,6073,699,13898,733,1092,222,925,195,11881,717,2835,246,617,141,1009,180,1209,180
39,Kenwood,17937,907,3694,495,44,49,20,44,3630,491,11651,643,671,202,498,154,10482,621,2592,276,435,112,670,198,1487,193
40,Washington Park,11141,835,3759,477,110,88,6,26,3643,466,6380,534,637,183,657,152,5086,464,1002,184,216,86,383,116,403,126
41,Hyde Park,26427,1183,3546,446,11,37,12,41,3523,445,19576,1017,794,201,437,145,18345,1030,3305,277,478,141,856,186,1971,234
42,Woodlawn,24291,1269,5987,734,73,55,101,62,5813,727,15546,817,1269,244,1000,204,13277,737,2758,290,578,131,703,155,1477,226
43,South Shore,46965,2020,11162,1090,234,108,109,91,10819,1071,30237,1348,2308,365,2558,381,25371,1255,5566,430,893,191,1721,280,2952,333
44,Chatham,33244,1627,8279,926,223,104,10,40,8046,917,19852,1063,1756,311,1444,291,16652,983,5113,383,888,214,1253,248,2972,349
45,Avalon Park,9617,760,1916,357,107,70,47,49,1762,329,5834,518,331,137,312,135,5191,487,1867,191,206,89,398,127,1263,174
46,South Chicago,29402,1591,8280,829,333,119,87,66,7860,806,17304,1049,1039,207,1324,275,14941,1003,3818,340,779,184,1040,202,1999,278
47,Burnside,3508,686,1048,411,23,35,89,69,936,374,2010,327,94,59,112,61,1804,317,450,70,84,40,132,77,234,71
48,Calumet Heights,14382,814,3012,422,124,65,72,58,2816,404,8050,546,425,146,541,180,7084,507,3320,224,619,145,574,166,2127,250
49,Roseland,45004,1655,10951,899,249,94,124,75,10578,881,26532,1087,2125,309,1960,299,22447,1048,7521,375,1382,219,2313,274,3826,304
50,Pullman,7262,584,1701,360,83,84,0,19,1618,350,4462,356,268,89,301,100,3893,336,1099,148,134,57,201,69,764,118
51,South Deering,16438,1030,4481,642,79,69,34,39,4368,640,9943,658,756,178,502,156,8685,688,2014,239,453,153,488,138,1073,209
52,East Side,23517,1386,7575,886,30,30,149,132,7396,846,13447,781,547,144,369,107,12531,756,2495,311,377,114,762,186,1356,230
53,West Pullman,30810,1644,8955,989,396,185,67,62,8492,959,17833,1019,1192,252,1333,279,15308,982,4022,330,531,140,1076,224,2415,277
54,Riverdale,6820,725,3007,456,122,80,32,45,2853,475,3306,374,244,113,278,136,2784,376,507,105,188,82,212,103,107,78
55,Hegewisch,10155,927,2922,560,19,33,27,32,2876,554,5808,644,438,165,243,139,5127,532,1425,275,138,71,432,175,855,216
56,Garfield Ridge,33848,1075,7851,574,137,71,32,52,7682,571,20994,788,896,218,629,183,19469,794,5003,335,845,168,1161,202,2997,291
57,Archer Heights,13434,778,4036,434,61,56,57,46,3918,430,8163,524,287,107,150,77,7726,526,1235,197,149,67,232,88,854,180
58,Brighton Park,44098,1805,14577,987,169,115,43,54,14365,980,26768,1158,889,215,766,199,25113,1141,2753,320,548,133,740,169,1465,241
59,McKinley Park,16434,925,4574,530,59,42,14,30,4501,525,10581,612,339,143,426,149,9816,615,1279,178,255,89,385,113,639,132
60,Bridgeport,32423,1332,6899,682,115,82,0,37,6784,662,22266,959,650,147,773,154,20843,947,3258,377,507,130,840,202,1911,281
61,New City,42050,1893,13824,1030,424,134,123,85,13277,992,25724,1259,1191,231,1371,238,23162,1187,2502,294,462,120,628,140,1412,227
62,West Elsdon,18980,1098,5431,688,102,70,56,58,5273,680,11817,641,228,81,235,95,11354,644,1732,241,304,97,409,126,1019,208
63,Gage Park,39492,1743,13080,911,100,56,92,70,12888,910,24181,1207,664,165,487,141,23030,1193,2231,283,341,110,543,144,1347,230
64,Clearing,22716,982,5540,550,30,55,58,51,5452,547,14180,709,583,149,358,121,13239,726,2996,275,485,132,537,138,1974,275
65,West Lawn,32950,1269,10294,760,174,96,83,65,10037,753,19888,878,623,162,582,180,18683,850,2768,328,321,107,711,166,1736,292
66,Chicago Lawn,54793,2225,18700,1340,378,185,109,85,18213,1310,32542,1343,1610,304,1744,303,29188,1321,3551,365,598,143,758,182,2195,304
67,West Englewood,35288,1619,10025,882,395,129,82,64,9548,866,20917,1069,1603,264,1617,280,17697,1015,4346,321,846,141,1197,182,2303,286
68,Englewood,28732,1514,8782,834,223,102,94,69,8465,811,16518,990,1459,242,1426,258,13633,904,3432,336,555,135,1184,206,1693,283
69,Greater Grand Crossing,32491,1521,9159,863,268,131,86,58,8805,840,19236,944,1464,259,1466,248,16306,900,4096,310,715,164,1066,179,2315,266
70,Ashburn,42430,1613,11603,909,127,76,127,81,11349,909,26779,1090,983,211,938,281,24858,1096,4048,262,747,182,1019,208,2282,256
71,Auburn Gresham,49600,1884,13380,1048,390,136,159,91,12831,1012,28827,1254,1935,321,2307,387,24585,1220,7393,453,1068,199,1830,259,4495,389
72,Beverly,21226,812,5823,397,63,48,25,34,5735,395,12632,554,395,106,402,137,11835,547,2771,229,333,92,469,120,1969,240
73,Washington Heights,25828,1156,5680,590,132,73,52,48,5496,583,14888,813,1034,226,954,212,12900,771,5260,302,593,143,1313,253,3354,307
74,Mount Greenwood,18467,761,4649,424,90,66,53,56,4506,414,11672,501,369,124,154,67,11149,500,2146,222,431,123,530,157,1185,187
75,Morgan Park,22372,1070,5425,654,66,47,18,36,5341,650,13452,697,596,173,726,236,12130,647,3495,254,553,147,1044,205,1898,226
76,O'Hare,13676,1093,2559,723,117,103,13,42,2429,731,9523,685,229,108,323,182,8971,713,1594,362,171,101,369,154,1054,340
77,Edgewater,54610,1706,6561,753,122,103,103,102,6336,721,41691,1320,1304,279,1430,336,38957,1303,6358,470,1061,237,1483,249,3814,402
