Detailed Occupation for the Full-time, Year-round Civilian Employed Female Population
-------------------------------------------------------------------------------------
Universe: Full-time, Year-round Civilian Employed Female Population 16 Years and Over

B24126001 Total:
B24126408  Manufactured building and mobile home installers
B24126409  Riggers
B24126410  Signal and track switch repairers
B24126411  Helpers--installation, maintenance, and repair workers
B24126412  Other installation, maintenance, and repair workers, including wind turbine service technicians
B24126413  First-line supervisors of production and operating workers
B24126414  Aircraft structure, surfaces, rigging, and systems assemblers
B24126415  Electrical, electronics, and electromechanical assemblers
B24126416  Engine and other machine assemblers
B24126417  Structural metal fabricators and fitters
B24126418  Miscellaneous assemblers and fabricators
B24126419  Bakers
B24126420  Butchers and other meat, poultry, and fish processing workers
B24126421  Food and tobacco roasting, baking, and drying machine operators and tenders
B24126422  Food batchmakers
B24126423  Food cooking machine operators and tenders
B24126424  Food processing workers, all other
B24126425  Computer control programmers and operators
B24126426  Extruding and drawing machine setters, operators, and tenders, metal and plastic
B24126427  Forging machine setters, operators, and tenders, metal and plastic
B24126428  Rolling machine setters, operators, and tenders, metal and plastic
B24126429  Cutting, punching, and press machine setters, operators, and tenders, metal and plastic
B24126430  Drilling and boring machine tool setters, operators, and tenders, metal and plastic
B24126431  Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic
B24126432  Lathe and turning machine tool setters, operators, and tenders, metal and plastic
B24126433  Milling and planing machine setters, operators, and tenders, metal and plastic
B24126434  Machinists
B24126435  Metal furnace operators, tenders, pourers, and casters
B24126436  Model makers and patternmakers, metal and plastic
B24126437  Molders and molding machine setters, operators, and tenders, metal and plastic
B24126438  Multiple machine tool setters, operators, and tenders, metal and plastic
B24126439  Tool and die makers
B24126440  Welding, soldering, and brazing workers
B24126441  Heat treating equipment setters, operators, and tenders, metal and plastic
B24126442  Layout workers, metal and plastic
B24126443  Plating and coating machine setters, operators, and tenders, metal and plastic
B24126444  Tool grinders, filers, and sharpeners
B24126445  Metal workers and plastic workers, all other
B24126446  Prepress technicians and workers
B24126447  Printing workers, except prepress technicians and workers
B24126448  Laundry and dry-cleaning workers
B24126449  Pressers, textile, garment, and related materials
B24126450  Sewing machine operators
B24126451  Shoe and leather workers and repairers
B24126452  Shoe machine operators and tenders
B24126454  Textile bleaching and dyeing machine operators and tenders
B24126455  Textile cutting machine setters, operators, and tenders
B24126456  Textile knitting and weaving machine setters, operators, and tenders
B24126457  Textile winding, twisting, and drawing out machine setters, operators, and tenders
B24126458  Fabric and apparel patternmakers
B24126459  Upholsterers
B24126460  Miscellaneous textile, apparel, and furnishings workers, including extruding and forming machine setters, operators, and tenders, synthetic and glass fibers
B24126461  Cabinetmakers and bench carpenters
B24126462  Furniture finishers
B24126463  Sawing machine setters, operators, and tenders, wood
B24126464  Woodworking machine setters, operators, and tenders, except sawing
B24126465  Miscellaneous woodworkers, including model makers and patternmakers
B24126466  Power plant operators, distributors, and dispatchers
B24126467  Stationary engineers and boiler operators
B24126468  Water and wastewater treatment plant and system operators
B24126469  Miscellaneous plant and system operators
B24126470  Chemical processing machine setters, operators, and tenders
B24126471  Crushing, grinding, polishing, mixing, and blending workers
B24126472  Cutting workers
B24126473  Extruding, forming, pressing, and compacting machine setters, operators, and tenders
B24126474  Furnace, kiln, oven, drier, and kettle operators and tenders
B24126475  Inspectors, testers, sorters, samplers, and weighers
B24126476  Jewelers and precious stone and metal workers
B24126477  Medical, dental, and ophthalmic laboratory technicians
B24126478  Packaging and filling machine operators and tenders
B24126479  Painting workers
B24126480  Photographic process workers and processing machine operators
B24126481  Semiconductor processors
B24126482  Adhesive bonding machine operators and tenders
B24126483  Cleaning, washing, and metal pickling equipment operators and tenders
B24126484  Cooling and freezing equipment operators and tenders
B24126485  Etchers and engravers
B24126486  Molders, shapers, and casters, except metal and plastic
