area_id,area_name,b03001001,b03001001_moe,b03001002,b03001002_moe,b03001003,b03001003_moe,b03001004,b03001004_moe,b03001005,b03001005_moe,b03001006,b03001006_moe,b03001007,b03001007_moe,b03001008,b03001008_moe,b03001009,b03001009_moe,b03001010,b03001010_moe,b03001011,b03001011_moe,b03001012,b03001012_moe,b03001013,b03001013_moe,b03001014,b03001014_moe,b03001015,b03001015_moe,b03001016,b03001016_moe,b03001017,b03001017_moe,b03001018,b03001018_moe,b03001019,b03001019_moe,b03001020,b03001020_moe,b03001021,b03001021_moe,b03001022,b03001022_moe,b03001023,b03001023_moe,b03001024,b03001024_moe,b03001025,b03001025_moe,b03001026,b03001026_moe,b03001027,b03001027_moe,b03001028,b03001028_moe,b03001029,b03001029_moe,b03001030,b03001030_moe,b03001031,b03001031_moe
57,Archer Heights,13434,778,3502,479,9932,841,9100,873,399,226,24,44,11,32,100,85,0,27,40,61,37,46,0,27,0,27,23,51,0,27,125,95,0,27,0,27,0,27,43,49,82,84,0,27,0,27,0,27,0,27,0,27,173,152,0,27,81,131,0,27,92,79
58,Brighton Park,44148,1807,6945,703,37203,1880,34625,1850,936,309,26,64,59,97,597,286,0,43,275,198,179,154,0,43,0,43,143,138,0,43,641,355,19,42,0,43,57,96,30,55,309,270,0,43,79,97,147,212,0,43,0,43,319,146,27,43,18,50,0,43,274,136
59,McKinley Park,16434,925,6242,618,10192,877,9575,874,389,180,10,21,0,25,33,37,0,25,29,38,4,23,0,25,0,25,0,25,0,25,87,79,0,25,0,25,0,25,19,33,23,40,0,25,45,71,0,25,0,25,0,25,98,84,5,24,0,25,0,25,93,82
60,Bridgeport,32430,1332,23166,1068,9264,1132,8406,1088,365,212,2,35,0,37,175,147,18,44,18,45,6,36,1,35,8,37,124,141,0,37,99,112,0,37,0,37,0,37,70,106,0,37,0,37,29,50,0,37,0,37,0,37,217,175,0,37,26,38,0,37,191,175
61,New City,42107,1897,19594,1535,22513,1401,21140,1406,679,251,88,127,0,47,316,188,23,69,149,139,116,116,0,47,0,47,28,56,0,47,104,103,0,47,0,47,0,47,10,48,36,64,0,47,20,55,0,47,38,76,0,47,186,119,53,72,0,47,0,47,133,106
62,West Elsdon,18980,1098,4169,538,14811,1202,13784,1224,609,297,55,64,29,51,108,125,0,27,22,35,14,32,0,27,0,27,72,122,0,27,51,54,0,27,0,27,0,27,8,26,36,51,0,27,7,25,0,27,0,27,0,27,175,143,29,43,5,26,0,27,141,139
63,Gage Park,39492,1743,4036,583,35456,1841,33619,1882,825,340,10,40,0,41,321,200,0,41,200,182,54,78,0,41,9,41,58,56,0,41,561,337,65,99,0,41,0,41,0,41,383,313,0,41,63,68,19,48,31,63,0,41,120,148,0,41,9,41,0,41,111,148
64,Clearing,22716,982,12256,680,10460,918,8937,898,739,336,0,31,39,56,322,243,0,31,315,243,0,31,0,31,0,31,7,33,0,31,347,203,0,31,10,33,44,70,103,125,137,135,0,31,53,67,0,31,0,31,0,31,76,68,0,31,34,52,0,31,42,54
65,West Lawn,32950,1269,6872,724,26078,1416,24020,1507,833,330,32,60,0,34,247,190,0,34,157,149,73,120,0,34,17,44,0,34,0,34,472,273,0,34,69,91,8,35,251,189,25,41,0,34,9,33,0,34,110,176,0,34,474,358,34,52,22,47,0,34,418,373
66,Chicago Lawn,54807,2224,31926,1813,22881,1558,21473,1555,644,280,32,57,0,49,363,270,0,49,171,208,26,65,0,49,25,63,55,90,86,145,234,177,0,49,0,49,0,49,116,134,62,108,0,49,34,72,0,49,22,59,0,49,135,108,0,49,0,49,0,49,135,108
67,West Englewood,35294,1620,34390,1596,904,417,473,318,238,145,17,54,0,48,150,173,0,48,0,48,150,173,0,48,0,48,0,48,0,48,14,51,0,48,0,48,0,48,0,48,0,48,0,48,14,51,0,48,0,48,0,48,12,48,0,48,2,47,0,48,10,49
68,Englewood,28824,1517,28549,1521,275,180,119,124,104,98,45,80,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,0,36,7,37,0,36,0,36,0,36,7,37
69,Greater Grand Crossing,32873,1529,32422,1522,451,256,305,237,121,91,0,38,0,38,14,40,0,38,7,40,7,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,11,38,0,38,0,38,0,38,11,38
70,Ashburn,42788,1596,29640,1578,13148,1113,12134,1119,406,230,108,114,0,41,295,158,0,41,138,126,92,104,29,46,0,41,8,40,28,56,100,108,0,41,0,41,0,41,45,79,55,77,0,41,0,41,0,41,0,41,0,41,105,131,0,41,0,41,0,41,105,131
71,Auburn Gresham,49634,1882,49150,1873,484,225,233,174,94,84,79,116,11,47,28,61,0,46,28,61,0,46,0,46,0,46,0,46,0,46,27,62,0,46,0,46,0,46,27,62,0,46,0,46,0,46,0,46,0,46,0,46,12,48,0,46,0,46,0,46,12,48
72,Beverly,21226,812,20134,836,1092,308,677,282,149,125,33,45,17,37,72,74,0,29,9,32,52,76,0,29,11,30,0,29,0,29,97,85,0,29,0,29,38,64,59,63,0,29,0,29,0,29,0,29,0,29,0,29,47,56,15,30,32,55,0,29,0,29
73,Washington Heights,26021,1161,25832,1152,189,141,125,133,57,54,0,33,0,33,7,34,0,33,7,34,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33,0,33
74,Mount Greenwood,18475,761,17538,816,937,316,605,225,191,151,20,35,5,22,0,25,0,25,0,25,0,25,0,25,0,25,0,25,0,25,64,120,0,25,0,25,0,25,0,25,0,25,0,25,64,120,0,25,0,25,0,25,52,74,52,74,0,25,0,25,0,25
75,Morgan Park,22681,1102,22162,1082,519,248,335,192,75,114,0,31,0,31,22,39,0,31,0,31,0,31,0,31,22,39,0,31,0,31,12,34,0,31,0,31,12,34,0,31,0,31,0,31,0,31,0,31,0,31,0,31,75,114,8,33,0,31,0,31,67,114
76,O'Hare,13687,1091,11809,1130,1878,603,867,424,712,369,9,39,0,38,70,75,0,38,43,58,11,43,0,38,0,38,16,44,0,38,166,176,31,58,0,38,0,38,100,171,20,47,0,38,15,41,0,38,0,38,0,38,54,77,28,60,0,38,0,38,26,61
77,Edgewater,55333,1717,46314,1478,9019,1226,5519,1121,920,264,311,122,15,56,966,461,80,81,677,424,102,139,0,48,0,48,107,128,0,48,795,351,20,52,6,48,0,48,165,96,280,221,0,48,290,255,31,67,3,47,0,48,493,250,172,102,28,58,0,48,293,228
