area_id,area_name,c27006001,c27006001_moe,c27006002,c27006002_moe,c27006003,c27006003_moe,c27006004,c27006004_moe,c27006005,c27006005_moe,c27006006,c27006006_moe,c27006007,c27006007_moe,c27006008,c27006008_moe,c27006009,c27006009_moe,c27006010,c27006010_moe,c27006011,c27006011_moe,c27006012,c27006012_moe,c27006013,c27006013_moe,c27006014,c27006014_moe,c27006015,c27006015_moe,c27006016,c27006016_moe,c27006017,c27006017_moe,c27006018,c27006018_moe,c27006019,c27006019_moe,c27006020,c27006020_moe,c27006021,c27006021_moe
13,North Park,18562,1003,9003,632,2138,351,9,29,2129,351,5736,479,172,102,5564,487,1129,205,993,212,136,75,9559,628,2113,365,8,27,2105,366,5631,454,207,124,5424,442,1815,236,1730,235,85,48
14,Albany Park,53540,2062,28116,1362,6936,726,115,157,6821,703,19685,1080,348,170,19337,1062,1495,245,1233,220,262,141,25424,1268,6417,703,0,45,6417,703,16785,842,219,113,16566,843,2222,288,1986,270,236,143
15,Portage Park,63461,1849,30498,1107,7573,756,0,47,7573,756,20321,800,519,169,19802,803,2604,315,2427,307,177,99,32963,1270,7061,694,60,72,7001,694,21535,878,558,174,20977,881,4367,374,4109,367,258,111
16,Irving Park,56160,1945,28260,1260,6169,575,23,59,6146,574,19887,989,429,145,19458,991,2204,299,2060,290,144,88,27900,1219,6838,724,56,62,6782,721,18625,787,285,111,18340,783,2437,294,2275,272,162,108
17,Dunning,41997,1248,20862,842,4341,479,20,43,4321,479,14069,638,316,114,13753,638,2452,254,2303,253,149,82,21135,797,3450,393,34,49,3416,389,13779,613,207,100,13572,610,3906,263,3681,251,225,109
18,Montclare,12279,836,5948,502,1553,308,0,23,1553,308,3694,382,63,40,3631,377,701,161,674,157,27,32,6331,508,1463,307,0,23,1463,307,3884,331,100,62,3784,332,984,189,927,186,57,49
19,Belmont Cragin,77642,2549,38310,1533,10985,870,58,92,10927,862,24933,1161,563,204,24370,1145,2392,287,2189,271,203,89,39332,1500,12235,907,38,68,12197,907,23763,930,524,157,23239,921,3334,349,2979,315,355,141
20,Hermosa,25068,1269,12326,816,3635,455,63,66,3572,452,7889,612,166,102,7723,610,802,195,713,168,89,88,12742,843,3634,493,44,56,3590,489,8045,541,260,113,7785,543,1063,218,987,206,76,67
21,Avondale,41526,1885,21521,1188,5047,593,62,63,4985,588,15307,948,147,92,15160,938,1167,225,1013,204,154,94,20005,1189,4597,633,39,71,4558,631,13359,768,306,119,13053,763,2049,300,1851,282,198,98
22,Logan Square,73495,1997,37525,1308,7374,710,131,110,7243,703,28161,1046,529,159,27632,1042,1990,282,1633,246,357,155,35970,1276,7177,633,69,79,7108,632,26205,949,712,194,25493,946,2588,308,2331,289,257,126
23,Humboldt Park,54341,2208,26310,1347,8800,913,104,83,8696,912,15577,926,1001,237,14576,929,1933,269,1884,266,49,59,28031,1336,7585,816,25,57,7560,816,18132,869,1028,230,17104,847,2314,274,2245,273,69,63
24,West Town,83695,2001,42621,1379,6876,659,22,65,6854,659,33740,1156,627,204,33113,1147,2005,284,1807,269,198,109,41074,1286,6186,639,18,64,6168,638,31942,1005,548,181,31394,998,2946,311,2717,297,229,108
25,Austin,97389,2742,45114,1622,13843,1029,148,115,13695,1031,27468,1175,1306,259,26162,1155,3803,350,3464,336,339,144,52275,1768,12573,948,101,111,12472,947,33084,1147,1372,263,31712,1122,6618,463,6279,468,339,124
26,West Garfield Park,19358,1315,9268,767,3486,479,0,35,3486,479,5107,518,331,121,4776,499,675,137,648,132,27,50,10090,763,3277,418,10,37,3267,419,5815,469,398,129,5417,444,998,159,970,156,28,39
27,East Garfield Park,21012,1341,8997,802,3651,459,78,79,3573,455,4618,517,223,103,4395,497,728,167,707,157,21,45,12015,810,3792,503,16,40,3776,503,7183,461,304,105,6879,457,1040,150,1006,155,34,55
28,Near West Side,53295,1645,26522,1135,4195,503,57,62,4138,499,20664,978,493,163,20171,964,1663,243,1537,239,126,75,26773,1043,3806,465,19,53,3787,465,21125,853,362,128,20763,843,1842,216,1691,202,151,96
29,North Lawndale,35623,1845,15583,1059,6041,644,46,61,5995,643,8489,736,511,165,7978,702,1053,194,957,185,96,70,20040,1185,6305,672,65,85,6240,662,11790,710,731,180,11059,691,1945,246,1834,242,111,60
30,South Lawndale,62390,2266,32064,1408,9457,787,0,48,9457,787,20886,1041,318,124,20568,1035,1721,258,1563,245,158,95,30326,1344,10251,865,4,47,10247,865,18099,814,389,149,17710,815,1976,276,1816,261,160,97
31,Lower West Side,36577,1700,19564,1120,4564,526,38,71,4526,523,13781,889,198,122,13583,877,1219,227,1100,205,119,91,17013,973,4655,554,37,54,4618,553,10885,628,197,83,10688,632,1473,218,1364,212,109,78
32,Loop,25786,1427,12552,1076,676,262,0,30,676,262,10940,1011,126,108,10814,1011,936,171,917,169,19,35,13234,906,853,322,0,30,853,322,11291,845,116,91,11175,843,1090,197,1075,195,15,32
33,Near South Side,20076,1151,9413,905,1319,341,0,24,1319,341,7475,706,198,138,7277,711,619,226,581,216,38,64,10663,689,1240,275,0,24,1240,275,8309,536,90,60,8219,539,1114,247,1076,236,38,40
