area_id,area_name,b14007b001,b14007b001_moe,b14007b002,b14007b002_moe,b14007b003,b14007b003_moe,b14007b004,b14007b004_moe,b14007b005,b14007b005_moe,b14007b006,b14007b006_moe,b14007b007,b14007b007_moe,b14007b008,b14007b008_moe,b14007b009,b14007b009_moe,b14007b010,b14007b010_moe,b14007b011,b14007b011_moe,b14007b012,b14007b012_moe,b14007b013,b14007b013_moe,b14007b014,b14007b014_moe,b14007b015,b14007b015_moe,b14007b016,b14007b016_moe,b14007b017,b14007b017_moe,b14007b018,b14007b018_moe,b14007b019,b14007b019_moe
16,Irving Park,1771,451,467,224,26,49,41,70,59,75,0,47,11,48,48,78,16,45,24,49,32,64,42,68,8,44,41,57,27,48,34,60,50,72,8,48,1304,342
17,Dunning,409,233,97,92,1,37,0,40,0,40,0,40,8,41,24,53,0,40,0,40,21,53,0,40,7,40,2,34,0,40,5,32,29,57,0,40,312,175
18,Montclare,582,162,182,101,0,23,23,29,17,31,18,32,36,30,0,23,0,23,0,23,0,23,0,23,0,23,0,23,55,30,15,29,0,23,18,33,400,127
19,Belmont Cragin,4039,921,1440,483,78,100,120,102,33,58,64,62,128,96,86,85,61,73,49,76,146,108,148,102,40,64,29,57,159,153,87,92,171,110,41,64,2599,613
20,Hermosa,274,168,66,73,11,32,0,29,0,29,0,29,0,29,20,41,0,29,20,42,0,29,0,29,0,29,0,29,0,29,0,29,15,37,0,29,208,127
21,Avondale,1408,482,384,169,34,52,0,38,15,39,34,61,0,38,0,38,0,38,0,38,20,49,0,38,45,70,30,56,6,38,41,63,81,78,78,87,1024,384
22,Logan Square,4850,755,1460,380,58,70,54,69,41,64,40,67,111,103,88,88,74,69,136,95,72,70,25,58,162,132,44,70,39,66,52,66,288,138,176,123,3390,514
23,Humboldt Park,22408,1680,7278,935,568,215,584,205,379,150,332,137,510,169,248,125,400,151,409,151,286,120,283,119,301,138,556,246,480,166,617,182,1191,294,134,103,15130,1073
24,West Town,7281,982,2446,528,222,141,76,86,62,78,113,101,44,70,115,92,116,107,73,83,73,81,120,97,102,87,185,108,215,116,264,132,527,220,139,118,4835,678
25,Austin,81506,2525,23454,1476,1516,320,1045,267,1085,245,1215,269,1168,256,1485,270,1161,264,1492,278,1460,283,1147,237,1448,262,1590,302,1502,278,1880,352,3814,491,446,153,58052,1804
26,West Garfield Park,17681,1229,6089,712,382,135,384,127,463,136,374,129,372,123,447,136,414,123,406,125,216,105,419,153,268,103,392,116,399,141,427,135,700,205,26,39,11592,796
27,East Garfield Park,18992,1263,7137,797,603,192,326,150,397,137,330,106,500,144,415,128,406,125,440,148,311,114,431,148,567,155,481,144,263,103,621,185,931,217,115,69,11855,769
28,Near West Side,17008,1173,5447,689,286,110,163,96,187,99,280,106,195,112,176,96,397,148,259,118,329,131,329,133,232,100,411,125,469,165,450,151,1044,265,240,142,11561,813
29,North Lawndale,31593,1720,11406,1011,714,157,713,173,602,161,654,180,814,183,464,138,609,149,569,137,899,206,709,160,830,192,775,189,747,184,783,174,1321,264,203,85,20187,1133
30,South Lawndale,7929,585,465,199,23,58,0,48,0,48,4,47,3,47,9,49,4,47,11,49,26,62,38,55,8,49,65,67,32,54,115,89,86,81,41,57,7464,509
31,Lower West Side,1187,313,256,132,23,54,31,49,0,42,18,49,14,45,0,42,0,42,14,45,14,45,4,41,0,42,0,42,14,46,0,42,73,62,51,51,931,250
32,Loop,3130,705,986,504,92,103,0,30,52,82,0,30,0,30,0,30,0,30,15,36,0,30,0,30,0,30,0,30,0,30,14,38,695,453,118,84,2144,463
33,Near South Side,5419,658,1157,320,54,54,74,86,117,95,66,68,12,26,9,23,12,26,53,62,0,24,66,65,34,57,6,22,0,24,71,79,418,243,165,121,4262,535
34,Armour Square,1658,312,474,202,24,38,10,30,11,30,8,27,0,27,50,65,10,30,35,43,11,30,0,27,39,40,20,33,74,57,29,37,152,95,1,25,1184,215
35,Douglas,13244,736,3733,474,288,120,156,88,119,62,74,45,152,70,172,96,141,77,167,74,258,110,149,66,174,81,69,55,94,63,199,91,1007,249,514,206,9511,576
36,Oakland,5508,496,2027,339,164,78,157,98,126,89,117,78,35,45,124,83,91,59,101,59,124,82,39,37,97,67,110,70,88,55,100,64,453,153,101,51,3481,301
37,Fuller Park,2609,501,849,326,48,45,22,36,42,42,11,14,51,53,102,81,17,17,30,31,66,78,23,23,61,44,80,47,115,81,33,27,116,75,32,33,1760,270
38,Grand Boulevard,20426,1068,6740,706,626,169,277,114,276,112,287,123,281,114,280,93,447,161,229,106,275,105,439,150,353,127,321,107,189,87,358,128,1617,289,485,157,13686,742
39,Kenwood,12435,839,3707,553,302,114,208,99,125,62,104,72,137,78,177,103,194,122,149,84,222,115,104,82,348,131,151,86,87,59,110,74,873,257,416,214,8728,551
40,Washington Park,10316,762,3841,495,350,134,235,98,193,77,169,71,176,81,251,95,214,85,229,102,233,89,239,87,264,93,215,83,181,84,216,97,561,139,115,70,6475,496
41,Hyde Park,8750,676,2625,440,147,93,58,56,6,38,58,58,125,72,76,71,29,44,140,96,62,59,26,45,66,64,75,69,74,55,168,99,998,244,517,172,6125,504
42,Woodlawn,20726,1185,6611,697,666,177,351,132,251,106,437,141,283,120,278,110,269,108,408,136,389,121,295,101,286,104,259,101,417,141,402,131,1321,253,299,134,14115,789
43,South Shore,43427,1907,13004,1131,987,235,524,183,558,189,421,147,374,132,584,204,453,147,788,214,411,140,608,186,899,241,530,165,768,213,1097,382,2843,421,1159,258,30423,1298
44,Chatham,31252,1582,9339,875,595,215,504,193,496,204,456,168,387,145,330,139,521,157,421,163,471,171,686,189,317,123,541,165,423,162,672,199,1862,349,657,185,21913,1128
45,Avalon Park,9100,713,2293,367,164,79,55,44,31,29,68,60,129,84,132,76,78,60,174,101,108,87,298,133,70,48,105,64,173,88,140,79,460,152,108,77,6807,533
46,South Chicago,20785,1426,6443,757,404,171,341,140,330,135,375,151,345,128,326,126,294,127,218,107,525,172,338,125,338,134,384,142,193,98,348,131,1265,281,419,176,14342,1031
47,Burnside,3368,647,1083,428,42,42,23,35,74,61,43,47,118,109,77,59,40,44,75,62,92,64,33,40,97,60,53,55,69,50,79,69,87,63,81,51,2285,347
48,Calumet Heights,13227,756,3455,483,230,109,204,106,179,81,117,71,162,97,101,63,154,101,180,96,189,90,191,82,252,113,96,59,290,126,255,167,731,197,124,68,9772,517
49,Roseland,42400,1590,12742,933,823,219,554,157,615,171,439,154,682,194,425,136,662,179,457,147,652,173,638,185,815,219,898,208,865,211,988,231,2503,408,726,186,29658,1074
50,Pullman,5834,539,1553,321,128,80,104,72,171,100,63,69,45,50,94,58,64,52,40,34,103,72,64,55,58,46,108,71,24,23,107,53,268,102,112,57,4281,390
51,South Deering,9936,819,3041,557,205,125,76,64,44,48,233,108,161,84,272,186,160,89,195,95,237,118,281,100,84,63,150,83,162,86,260,114,434,160,87,69,6895,552
52,East Side,696,324,329,194,69,67,49,60,6,29,25,47,10,31,50,60,37,50,0,29,0,29,0,29,10,32,0,29,19,32,9,31,38,51,7,30,367,178
53,West Pullman,27811,1549,9316,947,583,209,375,143,459,186,305,144,585,197,598,210,281,120,427,159,758,248,522,150,669,193,615,180,587,186,645,174,1653,306,254,118,18495,1018
54,Riverdale,6248,685,2817,446,134,86,175,82,118,78,189,106,121,79,239,106,109,72,183,90,300,129,231,98,258,109,175,107,118,70,132,78,285,115,50,42,3431,412
55,Hegewisch,1110,617,380,263,18,31,0,19,0,19,54,68,61,100,40,65,54,69,57,74,17,30,0,19,13,27,0,19,39,65,0,19,27,44,0,19,730,473
56,Garfield Ridge,2151,490,618,297,86,91,58,69,52,70,0,42,45,53,0,42,63,71,38,53,26,46,14,42,49,62,30,53,54,74,7,44,20,44,76,84,1533,281
57,Archer Heights,163,163,25,43,0,27,0,27,0,27,0,27,0,27,0,27,24,45,0,27,0,27,0,27,0,27,1,25,0,27,0,27,0,27,0,27,138,143
58,Brighton Park,547,262,203,132,0,43,0,43,27,59,16,48,55,70,0,43,0,43,9,44,7,46,14,45,27,58,0,43,0,43,35,53,13,46,0,43,344,195
59,McKinley Park,458,252,187,128,12,32,20,40,20,40,0,25,0,25,24,44,0,25,12,32,0,25,0,25,14,30,13,33,0,25,1,22,58,75,13,30,271,168
60,Bridgeport,599,180,148,94,8,37,17,44,12,40,0,37,0,37,22,48,0,37,19,46,0,37,17,44,7,37,0,37,0,37,0,37,46,54,0,37,451,140
61,New City,12069,1305,4255,642,224,88,220,99,205,83,167,81,337,155,171,81,301,110,259,108,250,100,337,109,238,102,331,118,270,111,237,109,673,174,35,54,7814,896
62,West Elsdon,502,299,156,136,0,27,12,31,0,27,0,27,0,27,0,27,0,27,12,31,0,27,22,42,0,27,13,29,0,27,0,27,62,80,35,55,346,225
63,Gage Park,1797,413,589,221,12,39,18,47,33,47,16,45,27,47,32,45,21,45,0,41,70,73,64,57,16,43,30,51,85,72,6,39,158,86,1,39,1208,292
64,Clearing,144,119,28,54,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,0,31,9,33,0,31,0,31,0,31,19,42,0,31,116,105
65,West Lawn,947,268,163,106,0,34,0,34,0,34,7,34,0,34,0,34,40,51,50,66,0,34,23,50,7,34,0,34,8,33,0,34,15,36,13,36,784,201
66,Chicago Lawn,27749,1717,8719,943,784,220,422,185,518,169,463,160,538,158,545,166,227,94,501,169,397,130,673,189,423,167,593,172,448,171,613,181,1440,312,134,88,19030,1134
67,West Englewood,32136,1479,9985,858,692,186,413,128,517,134,316,112,427,134,488,130,656,181,381,128,701,172,636,171,716,185,665,155,819,188,954,195,1491,271,113,77,22151,1015
68,Englewood,26704,1423,8701,796,508,152,356,142,513,156,373,120,558,157,469,148,393,130,457,129,486,139,538,150,570,159,479,150,658,171,649,163,1530,274,164,91,18003,981
69,Greater Grand Crossing,30331,1445,9709,914,661,189,359,131,509,138,508,148,427,129,374,115,469,153,530,168,615,169,519,149,680,175,602,163,523,156,657,178,1705,326,571,178,20622,992
70,Ashburn,21282,1404,6611,898,370,152,177,127,307,132,333,151,357,157,264,119,493,172,312,129,588,217,357,131,248,156,365,150,454,164,265,135,1493,343,228,105,14671,884
71,Auburn Gresham,47092,1800,14244,1100,1232,280,509,142,694,201,663,172,846,204,793,192,759,180,665,182,590,168,698,200,907,222,787,200,909,237,1397,282,2398,371,397,140,32848,1198
72,Beverly,7152,709,2252,379,141,78,83,75,105,70,114,81,57,63,101,80,141,89,74,42,180,85,189,98,104,75,76,64,122,80,140,92,405,152,220,105,4900,499
73,Washington Heights,24630,1066,6598,655,641,177,282,118,201,111,213,90,275,112,323,127,336,122,281,113,269,118,393,143,620,181,275,111,308,125,331,134,1454,298,396,144,18032,821
74,Mount Greenwood,937,317,369,188,0,25,24,44,0,25,44,54,0,25,0,25,0,25,40,65,51,68,0,25,0,25,0,25,0,25,0,25,168,114,42,42,568,184
75,Morgan Park,14192,1040,4089,671,199,80,117,72,180,99,147,81,194,116,202,101,309,122,256,147,196,73,275,106,341,153,109,57,291,163,315,126,724,352,234,108,10103,681
76,O'Hare,200,125,18,46,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,0,38,18,46,0,38,182,122
77,Edgewater,8000,847,2353,469,30,52,24,64,98,87,37,62,92,92,0,48,36,62,28,59,22,57,30,63,34,72,171,126,6,48,37,59,1405,329,303,179,5647,668
