area_id,area_name,b17010h001,b17010h001_moe,b17010h002,b17010h002_moe,b17010h003,b17010h003_moe,b17010h004,b17010h004_moe,b17010h005,b17010h005_moe,b17010h006,b17010h006_moe,b17010h007,b17010h007_moe,b17010h008,b17010h008_moe,b17010h009,b17010h009_moe,b17010h010,b17010h010_moe,b17010h011,b17010h011_moe,b17010h012,b17010h012_moe,b17010h013,b17010h013_moe,b17010h014,b17010h014_moe,b17010h015,b17010h015_moe,b17010h016,b17010h016_moe,b17010h017,b17010h017_moe,b17010h018,b17010h018_moe,b17010h019,b17010h019_moe,b17010h020,b17010h020_moe,b17010h021,b17010h021_moe,b17010h022,b17010h022_moe,b17010h023,b17010h023_moe,b17010h024,b17010h024_moe,b17010h025,b17010h025_moe,b17010h026,b17010h026_moe,b17010h027,b17010h027_moe,b17010h028,b17010h028_moe,b17010h029,b17010h029_moe,b17010h030,b17010h030_moe,b17010h031,b17010h031_moe,b17010h032,b17010h032_moe,b17010h033,b17010h033_moe,b17010h034,b17010h034_moe,b17010h035,b17010h035_moe,b17010h036,b17010h036_moe,b17010h037,b17010h037_moe,b17010h038,b17010h038_moe,b17010h039,b17010h039_moe,b17010h040,b17010h040_moe,b17010h041,b17010h041_moe
11,Jefferson Park,4576,339,194,89,77,49,31,39,0,29,15,36,16,33,46,37,117,79,11,33,0,29,0,29,0,29,0,29,11,33,106,77,83,70,0,29,11,32,72,68,23,45,4382,337,3447,333,1360,245,407,152,264,120,689,161,2087,276,935,200,370,138,121,88,9,32,56,72,56,54,249,109,565,152,169,78,0,29,21,39,148,72,396,133
12,Forest Glen,3698,208,108,70,98,68,18,38,0,29,18,38,0,29,80,61,10,32,0,29,0,29,0,29,0,29,0,29,0,29,10,32,0,29,0,29,0,29,0,29,10,32,3590,219,3192,221,1380,154,229,82,402,110,749,133,1812,198,398,119,153,93,95,86,47,77,0,29,48,46,58,42,245,83,101,58,12,32,0,29,89,54,144,62
13,North Park,2079,200,105,68,99,66,11,31,11,31,0,27,0,27,88,65,6,27,0,27,0,27,0,27,0,27,0,27,0,27,6,27,6,27,6,27,0,27,0,27,0,27,1974,195,1587,183,701,152,178,75,95,50,428,126,886,160,387,141,197,89,63,42,14,30,9,28,40,37,134,81,190,108,35,44,0,27,0,27,35,44,155,100
14,Albany Park,3686,346,365,146,185,106,140,102,98,96,26,53,16,49,45,54,180,116,84,81,29,62,0,45,0,45,29,62,55,69,96,94,90,94,39,76,0,45,51,71,6,45,3321,319,2627,276,1108,201,481,136,114,82,513,143,1519,248,694,186,274,117,89,80,47,72,0,45,42,54,185,96,420,144,208,111,51,69,15,49,142,101,212,96
15,Portage Park,8499,453,584,187,181,99,122,80,18,49,17,48,87,76,59,73,403,163,83,80,30,60,17,58,0,47,13,50,53,71,320,147,267,137,2,46,23,56,242,134,53,70,7915,430,6196,433,2207,280,448,142,347,119,1412,241,3989,372,1719,273,374,116,149,94,32,64,0,47,117,83,225,84,1345,249,436,161,17,52,80,90,339,141,909,194
16,Irving Park,5931,377,329,117,192,94,51,58,19,50,32,55,0,47,141,87,137,78,46,65,0,47,0,47,0,47,0,47,46,65,91,66,32,56,0,47,0,47,32,56,59,58,5602,368,4266,332,1848,234,855,175,198,85,795,152,2418,281,1336,236,389,134,140,88,11,49,58,64,71,74,249,112,947,195,324,112,25,55,33,52,266,101,623,163
17,Dunning,8123,395,538,163,306,121,189,98,64,70,37,57,88,69,117,77,232,115,37,57,10,40,0,40,0,40,10,40,27,55,195,106,162,102,37,69,54,61,71,72,33,46,7585,391,5745,366,2035,259,479,130,317,106,1239,216,3710,320,1840,266,525,166,180,106,92,86,0,40,88,73,345,131,1315,216,333,110,33,44,20,39,280,106,982,190
18,Montclare,1262,200,84,55,55,45,32,39,15,29,0,23,17,31,23,27,29,36,0,23,0,23,0,23,0,23,0,23,0,23,29,36,29,36,21,38,0,23,8,20,0,23,1178,193,864,186,192,89,88,51,0,23,104,76,672,176,314,113,134,70,50,45,0,23,0,23,50,45,84,57,180,100,24,31,12,24,0,23,12,25,156,97
19,Belmont Cragin,2971,309,367,127,182,101,63,71,36,63,9,52,18,59,119,87,185,96,26,59,26,59,26,59,0,52,0,52,0,52,159,93,85,78,30,69,19,59,36,57,74,72,2604,293,1834,250,533,149,150,88,70,73,313,116,1301,216,770,170,293,112,13,56,0,52,0,52,13,56,280,110,477,131,130,82,45,66,43,66,42,57,347,109
20,Hermosa,491,142,8,30,0,29,0,29,0,29,0,29,0,29,0,29,8,30,0,29,0,29,0,29,0,29,0,29,0,29,8,30,8,30,0,29,0,29,8,30,0,29,483,141,255,109,39,40,8,27,0,29,31,38,216,102,228,100,29,42,0,29,0,29,0,29,0,29,29,42,199,98,59,46,15,36,18,34,26,36,140,90
