area_id,area_name,c23002h001,c23002h001_moe,c23002h002,c23002h002_moe,c23002h003,c23002h003_moe,c23002h004,c23002h004_moe,c23002h005,c23002h005_moe,c23002h006,c23002h006_moe,c23002h007,c23002h007_moe,c23002h008,c23002h008_moe,c23002h009,c23002h009_moe,c23002h010,c23002h010_moe,c23002h011,c23002h011_moe,c23002h012,c23002h012_moe,c23002h013,c23002h013_moe,c23002h014,c23002h014_moe,c23002h015,c23002h015_moe,c23002h016,c23002h016_moe,c23002h017,c23002h017_moe,c23002h018,c23002h018_moe,c23002h019,c23002h019_moe,c23002h020,c23002h020_moe,c23002h021,c23002h021_moe,c23002h022,c23002h022_moe,c23002h023,c23002h023_moe,c23002h024,c23002h024_moe,c23002h025,c23002h025_moe,c23002h026,c23002h026_moe,c23002h027,c23002h027_moe
60,Bridgeport,9454,596,4754,392,4102,376,3451,340,7,36,3444,341,3034,322,410,142,651,152,652,134,70,43,70,43,0,37,582,130,4700,375,3694,349,2899,315,0,37,2899,315,2632,290,267,113,795,171,1006,158,109,62,109,62,0,37,897,152
61,New City,4787,496,2263,334,2000,329,1572,278,0,47,1572,278,1255,236,317,135,428,133,263,83,32,52,32,52,0,47,231,79,2524,277,2093,272,1330,198,0,47,1330,198,991,177,339,129,763,200,431,107,24,48,24,48,0,47,407,107
62,West Elsdon,3247,427,1638,254,1204,221,975,203,0,27,975,203,718,164,257,111,229,79,434,100,78,52,78,52,0,27,356,103,1609,232,982,165,699,149,0,27,699,149,633,138,66,53,283,86,627,123,58,43,58,43,0,27,569,119
63,Gage Park,1756,322,897,241,604,212,469,178,0,41,469,178,355,126,114,99,135,88,293,92,40,56,40,56,0,41,253,83,859,175,462,125,250,95,0,41,250,95,192,81,58,60,212,85,397,110,25,34,25,34,0,41,372,108
64,Clearing,10406,571,4889,422,4039,397,3483,379,0,31,3483,379,3046,398,437,200,556,147,850,144,176,99,176,99,0,31,674,118,5517,353,3846,300,2927,286,0,31,2927,286,2696,288,231,88,919,186,1671,213,243,113,233,111,10,33,1428,188
65,West Lawn,4946,518,2407,294,1757,259,1273,224,0,34,1273,224,1098,208,175,94,484,140,650,155,68,53,56,52,12,35,582,145,2539,342,1576,308,1191,273,0,34,1191,273,1079,272,112,74,385,128,963,162,86,57,74,54,12,35,877,157
66,Chicago Lawn,1736,346,885,212,572,173,464,157,0,49,464,157,377,145,87,68,108,73,313,109,36,51,29,49,7,48,277,103,851,184,568,149,387,122,0,49,387,122,331,118,56,61,181,93,283,102,8,46,8,46,0,49,275,100
67,West Englewood,319,120,173,92,136,85,98,77,0,48,98,77,98,77,0,48,38,53,37,58,25,56,25,56,0,48,12,49,146,81,95,69,38,52,0,48,38,52,38,52,0,48,57,65,51,55,0,48,0,48,0,48,51,55
68,Englewood,170,99,105,89,97,88,63,86,0,36,63,86,43,60,20,45,34,39,8,35,0,36,0,36,0,36,8,35,65,52,63,52,29,49,0,36,29,49,28,50,1,35,34,37,2,35,0,36,0,36,0,36,2,35
69,Greater Grand Crossing,324,141,175,115,158,111,109,76,0,38,109,76,95,74,14,39,49,61,17,47,0,38,0,38,0,38,17,47,149,89,63,64,26,43,0,38,26,43,11,38,15,43,37,61,86,57,5,38,5,38,0,38,81,57
70,Ashburn,6612,835,3329,599,2288,576,1594,372,0,41,1594,372,1431,350,163,107,694,276,1041,180,230,108,219,107,11,41,811,159,3283,340,2160,322,1429,265,0,41,1429,265,1301,242,128,80,731,181,1123,161,49,45,49,45,0,41,1074,157
71,Auburn Gresham,129,79,118,73,87,69,62,64,0,46,62,64,41,59,21,50,25,49,31,50,17,47,17,47,0,46,14,48,11,46,1,44,0,46,0,46,0,46,0,46,0,46,1,44,10,47,0,46,0,46,0,46,10,47
72,Beverly,9401,421,4607,264,3875,254,3256,242,0,29,3256,242,2996,238,260,82,619,124,732,104,176,63,176,63,0,29,556,93,4794,274,3848,247,2938,220,0,29,2938,220,2775,218,163,68,910,143,946,134,126,68,126,68,0,29,820,127
73,Washington Heights,235,159,66,58,33,34,17,30,0,33,17,30,17,30,0,33,16,36,33,56,0,33,0,33,0,33,33,56,169,119,57,62,45,62,0,33,45,62,45,62,0,33,12,34,112,89,0,33,0,33,0,33,112,89
74,Mount Greenwood,12780,629,6272,345,5441,333,4811,320,0,25,4811,320,4440,306,371,139,630,160,831,154,128,63,118,62,10,27,703,152,6508,422,5297,421,3840,359,0,25,3840,359,3515,352,325,123,1457,260,1211,178,119,56,107,52,12,27,1092,179
75,Morgan Park,5607,430,2701,263,2228,253,1879,219,10,32,1869,219,1694,187,175,104,349,148,473,127,31,37,31,37,0,31,442,126,2906,271,2150,202,1678,178,0,31,1678,178,1504,160,174,76,472,151,756,188,133,69,115,68,18,34,623,179
76,O'Hare,8403,683,4300,457,3616,443,2992,421,0,38,2992,421,2748,426,244,129,624,258,684,178,213,124,175,106,38,70,471,152,4103,421,3537,403,2395,353,0,38,2395,353,2281,342,114,76,1142,316,566,129,141,96,141,96,0,38,425,108
77,Edgewater,27400,1052,13363,750,11788,711,10118,645,0,48,10118,645,9299,636,819,207,1670,309,1575,257,228,106,175,97,53,62,1347,243,14037,783,11416,744,9165,668,0,48,9165,668,8449,613,716,204,2251,365,2621,308,427,125,391,121,36,55,2194,292
