area_id,area_name,b16005i001,b16005i001_moe,b16005i002,b16005i002_moe,b16005i003,b16005i003_moe,b16005i004,b16005i004_moe,b16005i005,b16005i005_moe,b16005i006,b16005i006_moe,b16005i007,b16005i007_moe,b16005i008,b16005i008_moe,b16005i009,b16005i009_moe,b16005i010,b16005i010_moe,b16005i011,b16005i011_moe
59,McKinley Park,9287,796,5334,585,1361,378,3973,477,3385,423,588,186,3953,522,109,71,3844,529,895,212,2949,461
60,Bridgeport,8553,1054,5980,860,2960,611,3020,595,2561,541,459,174,2573,513,140,89,2433,511,687,218,1746,405
61,New City,19922,1245,8830,791,1535,366,7295,693,5729,606,1566,329,11092,857,90,70,11002,859,2500,392,8502,732
62,West Elsdon,13392,1087,7234,704,1158,446,6076,627,5191,589,885,241,6158,701,70,50,6088,702,1490,321,4598,589
63,Gage Park,32099,1686,14397,1010,1326,410,13071,934,10980,891,2091,371,17702,1220,141,75,17561,1214,3638,531,13923,1063
64,Clearing,9165,766,6116,750,2669,567,3447,491,2882,479,565,214,3049,512,112,63,2937,507,872,236,2065,432
65,West Lawn,23627,1290,12567,991,2081,555,10486,872,8965,855,1521,346,11060,928,408,184,10652,907,3226,518,7426,760
66,Chicago Lawn,20366,1354,9831,872,1280,346,8551,829,7079,764,1472,342,10535,974,397,171,10138,967,2395,399,7743,830
67,West Englewood,834,387,488,223,195,125,293,175,216,147,77,75,346,236,0,48,346,236,75,86,271,198
68,Englewood,221,135,160,110,69,63,91,96,65,80,26,52,61,83,0,36,61,83,0,36,61,83
69,Greater Grand Crossing,420,231,374,224,320,217,54,54,35,53,19,39,46,54,3,37,43,55,7,38,36,55
70,Ashburn,11806,983,6844,674,1510,494,5334,557,4519,564,815,255,4962,627,37,49,4925,630,1197,283,3728,576
71,Auburn Gresham,459,205,351,161,203,112,148,111,132,100,16,52,108,90,0,46,108,90,39,55,69,68
72,Beverly,983,272,820,247,533,181,287,149,244,140,43,43,163,84,10,31,153,84,121,75,32,38
73,Washington Heights,189,141,145,96,80,73,65,65,42,58,23,45,44,67,0,33,44,67,37,67,7,34
74,Mount Greenwood,842,286,797,277,606,251,191,99,160,92,31,29,45,41,28,37,17,31,17,31,0,25
75,Morgan Park,486,233,384,190,278,165,106,94,84,75,22,34,102,78,27,42,75,73,26,35,49,56
76,O'Hare,1639,516,1113,436,256,174,857,410,699,363,158,130,526,341,36,55,490,330,190,162,300,215
77,Edgewater,8106,1095,4106,641,1539,333,2567,546,2099,436,468,230,4000,801,350,213,3650,758,1836,437,1814,545
