,,,,,,
New York City 2010 Census Tract to Neighborhood Tabulation Area (NTA) Equivalency,,,,,,
,,,,,,
Borough,2010 Census Bureau FIPS County Code,2010 NYC Borough Code,2010 Census Tract,PUMA,Neighborhood Tabulation Area (NTA),
Bronx,005,2,018102,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,018301,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,018302,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,022500,3708,BX14,East Concourse-Concourse Village
Bronx,005,2,022000,3705,BX17,East Tremont
Bronx,005,2,035900,3705,BX17,East Tremont
Bronx,005,2,036100,3705,BX17,East Tremont
Bronx,005,2,036300,3705,BX17,East Tremont
Bronx,005,2,036501,3705,BX17,East Tremont
Bronx,005,2,036502,3705,BX17,East Tremont
Bronx,005,2,036700,3705,BX17,East Tremont
Bronx,005,2,036901,3705,BX17,East Tremont
Bronx,005,2,036902,3705,BX17,East Tremont
Bronx,005,2,037100,3705,BX17,East Tremont
Bronx,005,2,037300,3705,BX17,East Tremont
Bronx,005,2,037504,3705,BX17,East Tremont
Bronx,005,2,035600,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,035800,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,036400,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,038600,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,045600,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,045800,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,046000,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,048400,3702,BX03,Eastchester-Edenwald-Baychester
Bronx,005,2,023703,3707,BX40,Fordham South
Bronx,005,2,023704,3707,BX40,Fordham South
Bronx,005,2,023900,3707,BX40,Fordham South
Bronx,005,2,038301,3707,BX40,Fordham South
Bronx,005,2,038302,3707,BX40,Fordham South
Bronx,005,2,018900,3708,BX26,Highbridge
Bronx,005,2,019300,3708,BX26,Highbridge
Bronx,005,2,019900,3708,BX26,Highbridge
Bronx,005,2,020100,3708,BX26,Highbridge
Bronx,005,2,021100,3708,BX26,Highbridge
Bronx,005,2,021302,3708,BX26,Highbridge
Bronx,005,2,021900,3708,BX26,Highbridge
Bronx,005,2,008900,3710,BX27,Hunts Point
Bronx,005,2,009300,3710,BX27,Hunts Point
Bronx,005,2,011502,3710,BX27,Hunts Point
Bronx,005,2,011700,3710,BX27,Hunts Point
Bronx,005,2,011900,3710,BX27,Hunts Point
Bronx,005,2,012102,3710,BX27,Hunts Point
Bronx,005,2,012701,3710,BX27,Hunts Point
Bronx,005,2,015900,3710,BX27,Hunts Point
Bronx,005,2,025300,3706,BX30,Kingsbridge Heights
Bronx,005,2,025500,3706,BX30,Kingsbridge Heights
Bronx,005,2,026100,3706,BX30,Kingsbridge Heights
Bronx,005,2,026300,3706,BX30,Kingsbridge Heights
Bronx,005,2,026500,3706,BX30,Kingsbridge Heights
Bronx,005,2,026900,3706,BX30,Kingsbridge Heights
Bronx,005,2,008300,3710,BX33,Longwood
Bronx,005,2,008500,3710,BX33,Longwood
Bronx,005,2,008700,3710,BX33,Longwood
Bronx,005,2,012901,3710,BX33,Longwood
Bronx,005,2,013100,3710,BX33,Longwood
Bronx,005,2,006500,3710,BX34,Melrose South-Mott Haven North
